doi,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1109/ccnc49033.2022.9700725,preprocessed,2022 IEEE 19th Annual Consumer Communications & Networking Conference (CCNC),IEEE,2022-01-11 00:00:00,ieeexplore,mitigating location-based attacks using predication models in vehicular ad-hoc networks,https://ieeexplore.ieee.org/document/9700725/,"The modern world is constantly in a state of technological revolution. Everyday new technological ideas, inventions, and threats emerge. With modern computer software and hardware advancements, we have the emergence of the Internet of Things (IoT). In conjunction, modern car companies have a push from public demand for a fully-autonomous car. To accomplish autonomy, small, and secure Vehicular Ad-Hoc Networks (VANETs) it is necessary to ensure that the systems that rely on connected vehicle data is reliable and accurate. In the event there is a malicious actor manipulating the data through replica and injection attacks or there is a hardware failure yielding inaccurate location information, it is necessary to explore efficient methods for predicting connected vehicles locations such that these systems, which rely on accurate information are not impacted. This study analyzes multiple clustering and prediction models to discover how effectively a multi-layered machine learning approach is able to meet the real-time requirement of future generation smart cities.",autonomous vehicle
10.1109/ccnc49033.2022.9700636,preprocessed,2022 IEEE 19th Annual Consumer Communications & Networking Conference (CCNC),IEEE,2022-01-11 00:00:00,ieeexplore,balancing latency and accuracy on deep video analytics at the edge,https://ieeexplore.ieee.org/document/9700636/,"Real-time deep video analytic at the edge is an enabling technology for emerging applications, such as vulnerable road user detection for autonomous driving, which requires highly accurate results of model inference within a low latency. In this paper, we investigate the accuracy-latency trade-off in the design and implementation of real-time deep video analytic at the edge. Without loss of generality, we select the widely used YOLO-based object detection and WebRTC-based video streaming for case study. Here, the latency consists of both networking latency caused by video streaming and the processing latency for video encoding/decoding and model inference. We conduct extensive measurements to figure out how the dynamically changing settings of video streaming affect the achieved latency, the quality of video, and further the accuracy of model inference. Based on the findings, we propose a mechanism for adapting video streaming settings (i.e. bitrate, resolution) online to optimize the accuracy of video analytic within latency constraints. The mechanism has proved, through a simulated setup, to be efficient in searching the optimal settings.",autonomous vehicle
10.1109/iccece54139.2022.9712792,preprocessed,2022 2nd International Conference on Consumer Electronics and Computer Engineering (ICCECE),IEEE,2022-01-16 00:00:00,ieeexplore,design of deep learning based autonomous driving control algorithm,https://ieeexplore.ieee.org/document/9712792/,"In recent years, with the continuous development of the field of artificial intelligence, autonomous driving technology has gained widespread attention. In order to meet the purpose of changing driving behavior and completing driving tasks in real time without human intervention. In this paper, we study the design and implementation process of end-to-end autonomous driving algorithms based on computer vision and deep learning, and explain the elements of algorithm design from a theoretical perspective. The method of continuous steering angle prediction for autonomous driving based on convolutional neural network is proposed, as well as the method of network pre-training and overfitting prevention to improve the training effect and generalization ability. The difference with the traditional end-to-end control methods is that the traditional methods study the problem abstractly as a classification problem, describing the motion in terms of direction with a coarser granularity. The method proposed in this paper treats it as a regression problem, describing the motion in terms of steering angles, which provides a more accurate description of the motion and is more adaptive.",autonomous vehicle
10.1109/wacv51458.2022.00206,preprocessed,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),IEEE,2022-01-08 00:00:00,ieeexplore,plugging self-supervised monocular depth into unsupervised domain adaptation for semantic segmentation,https://ieeexplore.ieee.org/document/9707096/,"Although recent semantic segmentation methods have made remarkable progress, they still rely on large amounts of annotated training data, which are often infeasible to collect in the autonomous driving scenario. Previous works usually tackle this issue with Unsupervised Domain Adaptation (UDA), which entails training a network on synthetic images and applying the model to real ones while minimizing the discrepancy between the two domains. Yet, these techniques do not consider additional information that may be obtained from other tasks. Differently, we propose to exploit self-supervised monocular depth estimation to improve UDA for semantic segmentation. On one hand, we deploy depth to realize a plug-in component which can inject complementary geometric cues into any existing UDA method. We further rely on depth to generate a large and varied set of samples to Self-Train the final model. Our whole proposal allows for achieving state-of-the-art performance (58.8 mIoU) in the GTA5 → CS benchmark. Code is available at https://github.com/CVLAB-Unibo/d4-dbst.",autonomous vehicle
10.1109/jas.2021.1003907,preprocessed,IEEE/CAA Journal of Automatica Sinica,IEEE,2022-02-01 00:00:00,ieeexplore,domain-invariant similarity activation map contrastive learning for retrieval-based long-term visual localization,https://ieeexplore.ieee.org/document/9358457/,"Visual localization is a crucial component in the application of mobile robot and autonomous driving. Image retrieval is an efficient and effective technique in image-based localization methods. Due to the drastic variability of environmental conditions, e.g., illumination changes, retrieval-based visual localization is severely affected and becomes a challenging problem. In this work, a general architecture is first formulated probabilistically to extract domain-invariant features through multi-domain image translation. Then, a novel gradient-weighted similarity activation mapping loss (Grad-SAM) is incorporated for finer localization with high accuracy. We also propose a new adaptive triplet loss to boost the contrastive learning of the embedding in a self-supervised manner. The final coarse-to-fine image retrieval pipeline is implemented as the sequential combination of models with and without Grad-SAM loss. Extensive experiments have been conducted to validate the effectiveness of the proposed approach on the CMU-Seasons dataset. The strong generalization ability of our approach is verified with the RobotCar dataset using models pre-trained on urban parts of the CMU-Seasons dataset. Our performance is on par with or even outperforms the state-of-the-art image-based localization baselines in medium or high precision, especially under challenging environments with illumination variance, vegetation, and night-time images. Moreover, real-site experiments have been conducted to validate the efficiency and effectiveness of the coarse-to-fine strategy for localization.",autonomous vehicle
10.1007/s11042-021-11437-3,preprocessed,Multimedia Tools and Applications,Springer,2022-01-01 00:00:00,springer,deep reinforcement learning based control for autonomous vehicles in carla,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11042-021-11437-3,"Nowadays, Artificial Intelligence (AI) is growing by leaps and bounds in almost all fields of technology, and Autonomous Vehicles (AV) research is one more of them. This paper proposes the using of algorithms based on Deep Learning (DL) in the control layer of an autonomous vehicle. More specifically, Deep Reinforcement Learning (DRL) algorithms such as Deep Q-Network (DQN) and Deep Deterministic Policy Gradient (DDPG) are implemented in order to compare results between them. The aim of this work is to obtain a trained model, applying a DRL algorithm, able of sending control commands to the vehicle to navigate properly and efficiently following a determined route. In addition, for each of the algorithms, several agents are presented as a solution, so that each of these agents uses different data sources to achieve the vehicle control commands. For this purpose, an open-source simulator such as CARLA is used, providing to the system with the ability to perform a multitude of tests without any risk into an hyper-realistic urban simulation environment, something that is unthinkable in the real world. The results obtained show that both DQN and DDPG reach the goal, but DDPG obtains a better performance. DDPG perfoms trajectories very similar to classic controller as LQR. In both cases RMSE is lower than 0.1m following trajectories with a range 180-700m. To conclude, some conclusions and future works are commented.",autonomous vehicle
http://arxiv.org/abs/2202.04224v1,preprocessed,arxiv,arxiv,2022-02-09 00:00:00,arxiv,intelligent autonomous intersection management,http://arxiv.org/abs/2202.04224v1,"Connected Autonomous Vehicles will make autonomous intersection management a
reality replacing traditional traffic signal control. Autonomous intersection
management requires time and speed adjustment of vehicles arriving at an
intersection for collision-free passing through the intersection. Due to its
computational complexity, this problem has been studied only when vehicle
arrival times towards the vicinity of the intersection are known beforehand,
which limits the applicability of these solutions for real-time deployment. To
solve the real-time autonomous traffic intersection management problem, we
propose a reinforcement learning (RL) based multiagent architecture and a novel
RL algorithm coined multi-discount Q-learning. In multi-discount Q-learning, we
introduce a simple yet effective way to solve a Markov Decision Process by
preserving both short-term and long-term goals, which is crucial for
collision-free speed control. Our empirical results show that our RL-based
multiagent solution can achieve near-optimal performance efficiently when
minimizing the travel time through an intersection.",autonomous vehicle
http://arxiv.org/abs/2202.02352v1,preprocessed,arxiv,arxiv,2022-02-04 00:00:00,arxiv,"learning interpretable, high-performing policies for continuous control
  problems",http://arxiv.org/abs/2202.02352v1,"Gradient-based approaches in reinforcement learning (RL) have achieved
tremendous success in learning policies for continuous control problems. While
the performance of these approaches warrants real-world adoption in domains,
such as in autonomous driving and robotics, these policies lack
interpretability, limiting deployability in safety-critical and
legally-regulated domains. Such domains require interpretable and verifiable
control policies that maintain high performance. We propose Interpretable
Continuous Control Trees (ICCTs), a tree-based model that can be optimized via
modern, gradient-based, RL approaches to produce high-performing, interpretable
policies. The key to our approach is a procedure for allowing direct
optimization in a sparse decision-tree-like representation. We validate ICCTs
against baselines across six domains, showing that ICCTs are capable of
learning interpretable policy representations that parity or outperform
baselines by up to 33$\%$ in autonomous driving scenarios while achieving a
$300$x-$600$x reduction in the number of policy parameters against deep
learning baselines.",autonomous vehicle
http://arxiv.org/abs/2202.00091v1,preprocessed,arxiv,arxiv,2022-01-31 00:00:00,arxiv,"query efficient decision based sparse attacks against black-box deep
  learning models",http://arxiv.org/abs/2202.00091v1,"Despite our best efforts, deep learning models remain highly vulnerable to
even tiny adversarial perturbations applied to the inputs. The ability to
extract information from solely the output of a machine learning model to craft
adversarial perturbations to black-box models is a practical threat against
real-world systems, such as autonomous cars or machine learning models exposed
as a service (MLaaS). Of particular interest are sparse attacks. The
realization of sparse attacks in black-box models demonstrates that machine
learning models are more vulnerable than we believe. Because these attacks aim
to minimize the number of perturbed pixels measured by l_0 norm-required to
mislead a model by solely observing the decision (the predicted label) returned
to a model query; the so-called decision-based attack setting. But, such an
attack leads to an NP-hard optimization problem. We develop an evolution-based
algorithm-SparseEvo-for the problem and evaluate against both convolutional
deep neural networks and vision transformers. Notably, vision transformers are
yet to be investigated under a decision-based attack setting. SparseEvo
requires significantly fewer model queries than the state-of-the-art sparse
attack Pointwise for both untargeted and targeted attacks. The attack
algorithm, although conceptually simple, is also competitive with only a
limited query budget against the state-of-the-art gradient-based whitebox
attacks in standard computer vision tasks such as ImageNet. Importantly, the
query efficient SparseEvo, along with decision-based attacks, in general, raise
new questions regarding the safety of deployed systems and poses new directions
to study and understand the robustness of machine learning models.",autonomous vehicle
http://arxiv.org/abs/2201.05797v1,preprocessed,arxiv,arxiv,2022-01-15 00:00:00,arxiv,"finding label and model errors in perception data with learned
  observation assertions",http://arxiv.org/abs/2201.05797v1,"ML is being deployed in complex, real-world scenarios where errors have
impactful consequences. In these systems, thorough testing of the ML pipelines
is critical. A key component in ML deployment pipelines is the curation of
labeled training data. Common practice in the ML literature assumes that labels
are the ground truth. However, in our experience in a large autonomous vehicle
development center, we have found that vendors can often provide erroneous
labels, which can lead to downstream safety risks in trained models.
  To address these issues, we propose a new abstraction, learned observation
assertions, and implement it in a system called Fixy. Fixy leverages existing
organizational resources, such as existing (possibly noisy) labeled datasets or
previously trained ML models, to learn a probabilistic model for finding errors
in human- or model-generated labels. Given user-provided features and these
existing resources, Fixy learns feature distributions that specify likely and
unlikely values (e.g., that a speed of 30mph is likely but 300mph is unlikely).
It then uses these feature distributions to score labels for potential errors.
We show that FIxy can automatically rank potential errors in real datasets with
up to 2$\times$ higher precision compared to recent work on model assertions
and standard techniques such as uncertainty sampling.",autonomous vehicle
