doi,type,publication,publisher,publication_date,database,title,url,abstract,domain,id
10.1109/iccda.2010.5540715,filtered,2010 International Conference On Computer Design and Applications,IEEE,2010-06-27 00:00:00,ieeexplore,data-oriented architecture for double and single bits error correction using cycle redundancy code,https://ieeexplore.ieee.org/document/5540715/,"Error occurs during transferring, storing and retrieving data. Thus error detection and correction is a necessary technique in information technology. Cycle Redundancy Code, CRC, is a common method in error detection. A new method based on data-oriented theory for single and double bit errors correction by using CRC is presented. The conceptual model of presented method as data-oriented architecture is designed to implement it with hardware. This method is able to determine the exact place of one and two bits in error and correct them. In a way, nonzero calculated remainder on receiver is compared with remainder field of the content of Problem Solution Data Structure, PSDS, to find the error location, as a solution.",data oriented architecture,1
10.1109/icacc.2010.5487131,filtered,2010 2nd International Conference on Advanced Computer Control,IEEE,2010-03-29 00:00:00,ieeexplore,data-oriented architecture of ln function,https://ieeexplore.ieee.org/document/5487131/,"In this paper a new architecture to calculate Ln function based on data-oriented theory is introduced. Because of using proper and huge amount of data in modeling, implementing of this type of models causes less calculation complexity. Data-oriented architecture is made of considering memory and small calculation unit together. Proposed method calculates Ln function faster than common methods.",data oriented architecture,2
10.1109/icetc.2010.5529337,filtered,2010 2nd International Conference on Education Technology and Computer,IEEE,2010-06-24 00:00:00,ieeexplore,data-oriented architecture of sine,https://ieeexplore.ieee.org/document/5529337/,"A data-oriented architecture is introduced to calculate Sine function by using sine data-oriented model as a data structure and a small calculation unit. The main contribution of this paper is to use a content-accessed memory to handle and manage data-oriented model of sine in this architecture. Using this architecture, sine function calculation will be fast.",data oriented architecture,3
10.1109/icacte.2010.5579358,filtered,2010 3rd International Conference on Advanced Computer Theory and Engineering(ICACTE),IEEE,2010-08-22 00:00:00,ieeexplore,data-oriented architecture of sine and cosine functions,https://ieeexplore.ieee.org/document/5579358/,"In this paper a new architecture to calculate Sine and Cosine Function based on data-oriented theory is introduced. To compute sine and cosine by this model less mathematical operations are needed comparing to common methods. Therefore, hardware implementation of this architecture provides faster module.",data oriented architecture,4
10.1109/icepe.2014.6970070,filtered,2014 International Conference and Exposition on Electrical and Power Engineering (EPE),IEEE,2014-10-18 00:00:00,ieeexplore,domain specific languages in power systems engineering,https://ieeexplore.ieee.org/document/6970070/,"This paper proposes an information system for data mining that allows the specification of ad-hoc queries on a data warehouse, which contain historical information relative to exceptions (i.e., operating faults) recorded by a SCADA system in a power distribution network. The proposed application can be used by the power system engineers to explore the existent historical data, with no need for any “low level” programming expertise. The data-oriented architecture of the system provides important advantages related to application development and system maintainability.",data oriented architecture,5
10.1109/cse.2014.128,filtered,2014 IEEE 17th International Conference on Computational Science and Engineering,IEEE,2014-12-21 00:00:00,ieeexplore,exploring the benefits of introducing network coding into named data networking,https://ieeexplore.ieee.org/document/7023638/,"In recent years, the focus to optimize network transmission efficiency has evolved to adopt methods that let those intermediate data transferring nodes get involved with routing, forwarding and caching. In other words, the new network architecture designs become in favor of hop-to-hop model, instead of traditional TCP-like end-to-end model. Named data networking is a promising future internet data oriented architecture which uses names instead of addresses and exchanges or forwards interest/data pair packets at each node along the path to route data for delivery. And meanwhile Network coding (NC) is a content oriented and effective method to reduce redundancy, increase network throughput and improve robustness. Nonetheless, due to NDN's current preliminary research, less research has combined these two technologies together. This paper presents some new thoughts to study on the benefits brought by integrating network coding to NDN, which can effectively improve network utilization, strengthen caching privacy, and also promote development of the NDN architecture itself.",data oriented architecture,6
10.1109/icmss.2010.5577074,filtered,2010 International Conference on Management and Service Science,IEEE,2010-08-26 00:00:00,ieeexplore,research of soa-based crm in telecommunications industry,https://ieeexplore.ieee.org/document/5577074/,"This paper first analyzes the architecture of the existing CRM in operators and its disadvantages. When operators integrate the 3G services into their business, it is necessary to propel their business support system shift from DOA (data-oriented architecture) to SOA (service-oriented architecture).Then an architecture of the CRM system based on SOA is presented. The paper finally takes an example of how to integrate the CRM and SFS based on SOA.",data oriented architecture,7
10.1109/lcomm.2016.2645768,filtered,IEEE Communications Letters,IEEE,2017-04-01 00:00:00,ieeexplore,broadcast-based content delivery in information-centric hybrid multihop wireless networks,https://ieeexplore.ieee.org/document/7801039/,"Information-centric networking is a “data-oriented” architecture for Future Internet. Since unicast routing cannot exploit the natural broadcast property of wireless networks and unicast paths may be broken down frequently due to node mobility, broadcast transmission is applied for content delivery in information-centric multihop wireless networks. It will face two key challenges: which nodes that receive the broadcasted packet should forward it, and how to avoid multiple nodes simultaneously transmitting it. In this letter, we solve these two issues by taking node mobility and available link capacity into account. A mobility-based forward node selection algorithm is proposed, which tends to select the less mobility nodes as the forward ones. An available link capacity-based forwarding scheme is proposed, which tends to select forward nodes with larger available link capacities to forward packets. Simulation results demonstrate the effectiveness of the proposed mechanism.",data oriented architecture,8
10.1007/978-981-15-5859-7_51,filtered,Proceedings of Fifth International Congress on Information and Communication Technology,Springer,2021-01-01 00:00:00,springer,preliminary study and implementation of chiang mai tourism platform based on dosa,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-15-5859-7_51,"To cope with data complication systematically, a tourism platform is proposed through a newly-defined concept named Data Oriented Security Architecture or DOSA. The framework of DOSA shifts an attention from “Application” in a conventional method to “Data”. The main idea is to neutralize the numerously different sources of data into single entity called Data Register Center and strengthen the security of data by utilizing the public- and private-key encryption. Thus it could be simply adaptable to the varieties of applications and easily extensible to sustainable development. The advantages of DOSA include (1) maintainability of data ownership, (2) improvement in security and privacy, and (3) reduction in storage that, as a result, are suitable to modern application development. The application prototype is implemented in web application and piloted by a set of tourist destination in Chiang Mai. This work contains the implementation from Data Register Center in DOSA through the Tourism Service Platform. Although the sample does not include all features of the DOSA, the results are comprehensive and ready for the future extension and improvement.",data oriented architecture,9
http://arxiv.org/abs/1706.03968v2,filtered,arxiv,arxiv,2017-06-13 00:00:00,arxiv,asynchronous graph pattern matching on multiprocessor systems,http://arxiv.org/abs/1706.03968v2,"Pattern matching on large graphs is the foundation for a variety of
application domains. Strict latency requirements and continuously increasing
graph sizes demand the usage of highly parallel in-memory graph processing
engines that need to consider non-uniform memory access (NUMA) and concurrency
issues to scale up on modern multiprocessor systems. To tackle these aspects,
graph partitioning becomes increasingly important. Hence, we present a
technique to process graph pattern matching on NUMA systems in this paper. As a
scalable pattern matching processing infrastructure, we leverage a
data-oriented architecture that preserves data locality and minimizes
concurrency-related bottlenecks on NUMA systems. We show in detail, how graph
pattern matching can be asynchronously processed on a multiprocessor system.",data oriented architecture,10
