id,doi,publisher,database,url,domain,publication_date,algorithm_type,training_schema,algorithm_goal,architecture,title,abstract,status
1,441b6a2ecfea590592dddb01ef056c87766a9916,IEEE,ieeexplore,https://www.semanticscholar.org/paper/441b6a2ecfea590592dddb01ef056c87766a9916,data oriented architecture,1/1/2003,,,,,mobishare : sharing context-dependent data and services among mobile devices ♣,"Initiative on Global Computing for the cooperation of autonomous and mobile entities in dynamic environments. Abstract Rapid advances in wireless and mobile communications and computing technologies have enabled handy personal mobile devices to be used in everyday life. Such small mobile devices can now become not only information browsers and service clients, but also information and service providers, complementing or replacing fixed hosts connected to the wireline network. Such mobile resources can be very important for other moving users and mobile devices, creating significant opportunities for many interesting and novel applications. The MobiShare architecture outlined in this paper provides a scalable infrastructure for ubiquitous mobile access to dynamic information and mechanisms for publishing, discovering and accessing heterogeneous mobile resources in a large area, taking into account the context of both providers and requestors. Any wireless communication technology could be employed between a device and the system. In addition, the use of XML-related languages and protocols for describing and exchanging metadata gives the system a uniform, easily adaptable and platform-independent interface, allowing a variety of devices to use it. The overall approach is data-centric and service-oriented, implying that all the devices are treated both as potential providers or requestors of data wrapped as information m-services.",excluded
2,2e28595f5c783d7cffd3987bc5c430aee68bd3f0,arxiv,arxiv,https://www.semanticscholar.org/paper/2e28595f5c783d7cffd3987bc5c430aee68bd3f0,data oriented architecture,1/1/2013,,,,,clara: clas12 reconstruction and analysis framework,"In this paper we present SOA based CLAS12 event Reconstruction and Analyses (CLARA) framework. CLARA design focus is on two main traits: real-time data stream processing, and service-oriented architecture (SOA) in a flow based programming (FBP) paradigm. Data driven and data centric architecture of CLARA presents an environment for developing agile, elastic, multilingual data processing applications. The CLARA framework presents solutions capable of processing large volumes of data interactively and substantially faster than batch systems.",architecture
3,86cd3e57dd5d31c025543d96dc271da365d61a90,'MDPI AG',core,https://www.semanticscholar.org/paper/86cd3e57dd5d31c025543d96dc271da365d61a90,data oriented architecture,1/1/2007,,,,,a data-oriented (and beyond) network architecture,"The Internet has evolved greatly from its original incarnation. For instance, the vast majority of current Internet usage is data retrieval and service access, whereas the architecture was designed around host-to-host applications such as telnet and ftp. Moreover, the original Internet was a purely transparent carrier of packets, but now the various network stakeholders use middleboxes to improve security and accelerate applications. To adapt to these changes, we propose the Data-Oriented Network Architecture (DONA), which involves a clean-slate redesign of Internet naming and name resolution.",architecture
4,bb4b9316c514860dbfd54bbd50baec757e37b83d,SIGCOMM,semantic_scholar,https://www.semanticscholar.org/paper/bb4b9316c514860dbfd54bbd50baec757e37b83d,data oriented architecture,1/1/2012,,,,,data as a service (daas) in cloud computing,"Data has become the enabling technology for many of the recent innovations. ""More data trumps smarter algorithms"" has been the mantra behind this revolution in computing. Given the rate at which the data is produced, there is need for scalable solutions to extract information out of them. Allowing the data to be stored in the cloud and be accessed without geographical and scalability limitations will remove many bottlenecks in bringing data-oriented innovations. Current cloud architecture solves the issues of accessibility and scalability, but poses several new challenges such as automatic management of the service, pricing the data, and security of the data. This talk will include several techniques to address these challenges using automatic physical design, servicebased pricing, and cryptographic mechanisms. Data Information Knowledge Intelligence.",excluded
5,ac3df9cff34e5b9331a114c70d5e308f03370bfd,,semantic_scholar,https://www.semanticscholar.org/paper/ac3df9cff34e5b9331a114c70d5e308f03370bfd,data oriented architecture,1/1/2015,,,,,a data-oriented method for scheduling dependent tasks on high-density multi-gpu systems,"The rapidly-changing computer architectures, though improving the performance of computers, have been challenging the programming environments for efficiently harnessing the potential of novel architectures. In this area, though the high-density multi-GPU architecture enabled unparalleled performance advantage of dense GPUs in a single server, it has increased the difficulty for scheduling diversified and dependent tasks. We therefore propose a data-oriented method for scheduling dependent tasks for this architecture while providing its implementation. In our method, we model a parallel program as a collection of data-dependent tasks for which data dependencies are managed by an expressive matrix. Accordingly, we develop a hierarchical scheduler infrastructure for our model. In this, a top scheduler is built for querying the data-dependency matrix; three downstream schedulers for queuing computation tasks that are exclusively assigned to processor, accelerator or either; and a multitude of bottom schedulers each for providing a processing element with assigned tasks. We experiment our scheduler for examples of Strassen matrix multiplication and Cholesky matrix inversion algorithms on a computer that has 8 Tesla K40 GPUs. The results show that our method is capable of offering the efficient task parallelism while fulfilling the complex task dependencies. When advanced task-oriented schedulers have been widely designed for distributed systems, a lightweight data-driven scheduler could be an alternative and handy approach that can handle the dependent yet diversified tasks of data-intensive applications for the novel high-density multi-accelerator system.",architecture
6,b9d34cbbce5e0d84c77a2cf4d5383fccf6b336c1,"2015 IEEE 17th International Conference on High Performance Computing and Communications, 2015 IEEE 7th International Symposium on Cyberspace Safety and Security, and 2015 IEEE 12th International Conference on Embedded Software and Systems",semantic_scholar,https://www.semanticscholar.org/paper/b9d34cbbce5e0d84c77a2cf4d5383fccf6b336c1,data oriented architecture,1/1/2016,,,,,icrowd: agent-based behavior modeling and crowd simulator,"Initially designed in the context of the TASS (Total Airport Security System) FP-7 project, the Crowd Simulation platform developed by the Integrated Systems Lab of the Institute of Informatics and Telecommunications at N.C.S.R. Demokritos, has evolved into a complete domain-independent agent-based behavior simulator with an emphasis on crowd behavior and building evacuation simulation. Under continuous development, it reﬂects an eﬀort to implement a modern, multithreaded, data-oriented simulation engine employing latest state-of-the-art programming technologies and paradigms. It is based on an extensible architecture that separates core services from the individual layers of agent behavior, oﬀering a concrete simulation kernel designed for high-performance and stability. Its primary goal is to deliver an abstract platform to facilitate implementation of several Agent-Based Simulation solutions with applicability in several domains of knowledge, such as: (i) Crowd behavior simulation during [in/out] door evacuation. (ii) Non-Player Character AI for Game-oriented applications and Gamiﬁcation activities. (iii) Vessel traﬃc modeling and simulation for Maritime Security and Surveillance applications. (iv) Urban and Highway Traﬃc and Transportation Simulations. (v) Social Behavior Simulation and Modeling.",excluded
7,10.1109/icepe.2014.6970070,Defense + Security,semantic_scholar,https://ieeexplore.ieee.org/document/6970070/,data oriented architecture,10/18/2014 0:00,,,,,domain specific languages in power systems engineering,"This paper proposes an information system for data mining that allows the specification of ad-hoc queries on a data warehouse, which contain historical information relative to exceptions (i.e., operating faults) recorded by a SCADA system in a power distribution network. The proposed application can be used by the power system engineers to explore the existent historical data, with no need for any “low level” programming expertise. The data-oriented architecture of the system provides important advantages related to application development and system maintainability.",excluded
8,http://arxiv.org/abs/1706.03968v2,Springer,springer,http://arxiv.org/abs/1706.03968v2,data oriented architecture,6/13/2017 0:00,,,,,asynchronous graph pattern matching on multiprocessor systems,"Pattern matching on large graphs is the foundation for a variety of
application domains. Strict latency requirements and continuously increasing
graph sizes demand the usage of highly parallel in-memory graph processing
engines that need to consider non-uniform memory access (NUMA) and concurrency
issues to scale up on modern multiprocessor systems. To tackle these aspects,
graph partitioning becomes increasingly important. Hence, we present a
technique to process graph pattern matching on NUMA systems in this paper. As a
scalable pattern matching processing infrastructure, we leverage a
data-oriented architecture that preserves data locality and minimizes
concurrency-related bottlenecks on NUMA systems. We show in detail, how graph
pattern matching can be asynchronously processed on a multiprocessor system.",architecture
9,10.3390/electronics10151810,IEEE,ieeexplore,,data oriented architecture,7/1/2021 0:00,,,,,on-board data management layer: connected vehicle as data platform,"For connected vehicles, as well as generally for the transportation sector, data are now seen as a precious resource. They can be used to make right decisions, improve road safety, reduce CO2 emissions, or optimize processes. However, analyzing these data is not so much a question of which technologies to use, but rather about where these data are analyzed. Thereby, the emerging vehicle architecture has to become a data-oriented architecture based on embedded computing platforms and take into account new applications, artificial intelligence elements, advanced analytics, and operating systems. Accordingly, in this paper, we introduce the concept of data management to the vehicle by proposing an on-board data management layer, so that the vehicle can play the role of data platform capable of storing, processing, and diffusing data. Our proposed layer supports analytics and data science to deliver additional value from the connected vehicle data and stimulate the development of new services. In addition, our data platform can also form or contribute to shaping the backbone of data-driven transport. An on-board platform was built where the dataset size was reduced 80% and a rate of 99% accuracy was achieved in a 5 min traffic flow prediction using artificial neural networks (ANNs)",excluded
10,86cd3e57dd5d31c025543d96dc271da365d61a90,IEEE,ieeexplore,https://www.semanticscholar.org/paper/86cd3e57dd5d31c025543d96dc271da365d61a90,data oriented architecture,1/1/2007,,,,,a data-oriented (and beyond) network architecture,"The Internet has evolved greatly from its original incarnation. For instance, the vast majority of current Internet usage is data retrieval and service access, whereas the architecture was designed around host-to-host applications such as telnet and ftp. Moreover, the original Internet was a purely transparent carrier of packets, but now the various network stakeholders use middleboxes to improve security and accelerate applications. To adapt to these changes, we propose the Data-Oriented Network Architecture (DONA), which involves a clean-slate redesign of Internet naming and name resolution.",architecture
