doi,url,database,title,abstract,publisher,publication_date,id,type,domain
e699c5433777fc8a0fcad58410061ec9b6d8afa5,https://www.semanticscholar.org/paper/e699c5433777fc8a0fcad58410061ec9b6d8afa5,semantic_scholar,On efficient data storage service for IoT,"SUMMARY 
 
The increasing popularity of Internet of Things (IoT) services causes tremendous growth of the amount of produced data. These data must be effectively stored and retrieved by the IoT service providers. The solution is to access the data through application programming interfaces. The paper focuses on the problem of designing an effective data storage service for IoT, which will be available through the universal application programming interface. We propose and analyze eight variants of the distributed data storage service that differ in the database structure, that is, the hierarchical structure based on Data-Oriented Network Architecture or the flat structure based on distributed hash table, the type of stored records, and the memory management algorithm that decides about using cache or base memory. The proposed solutions have been evaluated in the comprehensive simulation studies. The obtained results confirmed the effectiveness of the preferred solution with Dynamic Routing Records stored in the cache memory. Copyright © 2016 John Wiley & Sons, Ltd.",Int. J. Netw. Manag.,2017,1,filtered,citation
ce76daaf0a454f16ea515988901042990454e132,https://www.semanticscholar.org/paper/ce76daaf0a454f16ea515988901042990454e132,semantic_scholar,Achieving secure and scalable data access control in information-centric networking,"Shifting from host-oriented to data-oriented, information-centric networking (ICN) adopts several key design principles, e.g., in-network caching, to cope with the tremendous internet growth. In the ICN setting, data to be distributed can be cached by ICN routers anywhere and accessed arbitrarily by customers without data publishers' permission, which imposes new challenges when achieving data access control: (i) security: How can data publishers protect data confidentiality (either data cached by ICN routers or data accessed by authorized users) even when an authorized user's decryption key was revoked or compromised, and (ii) scalability: How can data publishers leverage ICN's promising features and enforce access control without complicated key management or extensive communication. This paper addresses these challenges by using the new proposed dual-phase encryption that uniquely combines the ideas from one-time decryption key, proxy re-encryption and all-or-nothing transformation, while still being able to leverage ICN's features. Our analysis and performance show that our solution is highly efficient and provable secure under the existing security model.",2015 IEEE International Conference on Communications (ICC),2015,2,filtered,citation
5b56f11758fa7e40ef6a3ebf9d7bc8eeff5079fe,https://www.semanticscholar.org/paper/5b56f11758fa7e40ef6a3ebf9d7bc8eeff5079fe,semantic_scholar,Application Design over Named Data Networking with Its Features in Mind,"Designed around host-reachability, today’s Internet architecture faces many limitations while serving data-oriented applications, which produce most traffic load to the Internet. Many clean-slate designs of the content/data oriented network have emerged to adapt to these needs. Named Data Networking (also known as CCN) is one of these designs to address these limitations from the fundamental level by building network architecture around named data. In this paper, we identify five key features crucial to application design over Named Data Networking and take the voice conference system as an example to show how this features impact the application design significantly in detail. We identify three major challenges facing current voice conference system and illustrate how NDN could help to solve these challenges. A NDN-based design of voice conference system is presented along with discussing its reliability and congestion control. Keywords-Named Data Networking; Application Design;",ICON 2012,2012,3,filtered,citation
bdd38349d22ab12ddd44a500d5720853ee17286b,https://www.semanticscholar.org/paper/bdd38349d22ab12ddd44a500d5720853ee17286b,semantic_scholar,Traffic engineering for information-centric networks,"Information-centric networking (ICN) proposes a networking architecture that uses methodologies such as publish-subscribe to achieve a data-oriented approach as opposed to a destination based approach found in the current Internet. This new architecture brings both new problems to be solved and also natural solutions to existing problems. This paper investigates an intra-domain traffic engineering (TE) problem for an information-centric networking (ICN) architecture where a form of source routing is used as the forwarding mechanism. The TE goal is to maximise the residual capacity in the network so that the load is spread evenly. A network flow approach is used and it is shown that the source routing mechanism allows the traffic to be split across multiple paths in a manner that is difficult to achieve using existing IP or IP/MPLS networks. Allowing splittable flows means that a fully polynomial-time approximation scheme can be used that has superior results when compared to existing constraint based routing schemes for flows that cannot be split. Consequently, this work demonstrates that the ICN architecture can simplify the given TE problem in a natural manner.",2012 IEEE International Conference on Communications (ICC),2012,4,filtered,citation
5c7d2cc547427274d3d8bc60d56e0e1e80921cf6,https://www.semanticscholar.org/paper/5c7d2cc547427274d3d8bc60d56e0e1e80921cf6,semantic_scholar,A Survey of Information-Centric Networking (Draft),"In this paper we compare and discuss some of the features and design choices 
of the 4WARD Networking of Information architecture (NetInf), PARC's Content Centric Networking(CCN), the Publish-Subscribe Internet Routing Paradigm (PSIRP), and the Data Oriented Network Architecture (DONA). All four projects take an information-centric approach to designing a future network architecture, where the information objects themselves are the primary focus rather than the network nodes.",Information-Centric Networking,2010,5,filtered,citation
7bb94b6e3b183cfab6c04238af53d08116778ed8,https://www.semanticscholar.org/paper/7bb94b6e3b183cfab6c04238af53d08116778ed8,semantic_scholar,Design considerations on data oriented communication services for Future Network,This paper investigates data-oriented communication services design for Future Network. We provide initial design considerations in terms of advantages and applicability with some use cases.,2009 9th International Symposium on Communications and Information Technology,2009,6,filtered,citation
a312fd2a6feffb5bd907a08548a359f071b1e2fe,https://www.semanticscholar.org/paper/a312fd2a6feffb5bd907a08548a359f071b1e2fe,semantic_scholar,LIPSIN: line speed publish/subscribe inter-networking,"A large fraction of today's Internet applications are internally publish/subscribe in nature; the current architecture makes it cumbersome and inept to support them. In essence, supporting efficient publish/subscribe requires data-oriented naming, efficient multicast, and in-network caching. Deployment of native IP-based multicast has failed, and overlay-based multicast systems are inherently inefficient. We surmise that scalable and efficient publish/subscribe will require substantial architectural changes, such as moving from endpoint-oriented systems to information-centric architectures.
 In this paper, we propose a novel multicast forwarding fabric, suitable for large-scale topic-based publish/subscribe. Due to very simple forwarding decisions and small forwarding tables, the fabric may be more energy efficient than the currently used ones. To understand the limitations and potential, we provide efficiency and scalability analysis via simulations and early measurements from our two implementations. We show that the system scales up to metropolitan WAN sizes, and we discuss how to interconnect separate networks.",SIGCOMM '09,2009,7,filtered,citation
d0bdc150887cfca9e8ee50db6e2f17d7c08520bc,https://www.semanticscholar.org/paper/d0bdc150887cfca9e8ee50db6e2f17d7c08520bc,semantic_scholar,LANES: an inter-domain data-oriented routing architecture,"Data-oriented networking has attracted research recently, but the efficiency of the state-of-the-art solutions can still be improved. Our work towards this goal is set in a clean-slate architecture consisting of modular rendezvous, routing, and forwarding functions. In this paper we present the interdomain routing layer and its interplay with the other components of the system. The proposed system is built around two types of nodes: forwarding nodes and branching nodes. The forwarding nodes are optimized for throughput with no per-subscription state and no need to change passing packets, while branching nodes contain a large memory for caching and can make complex routing decisions. The amount of storage space and bandwidth can be independently scaled to suit the needs of each network. In the background, topology nodes perform load-balancing and configure routes in each domain using a two-dimensional addressing mechanism. The paths taken by packets adapt to the number of active subscribers to keep the amount of in-network state and latency low. A new data-oriented congestion control scheme is introduced, which takes into account the use of storage resources on-path and is fair to multicast flows.",ReArch '09,2009,8,filtered,citation
8859ac6c40996bad1c2b74ba97fe81fcede7181f,https://www.semanticscholar.org/paper/8859ac6c40996bad1c2b74ba97fe81fcede7181f,semantic_scholar,Performance Comparison of Content-oriented Networking Alternatives : A Hierarchical Tree versus A Flat Distributed Hash Table,"The internet was designed with host-oriented networking applications such as file transfer and remote login. However, recent internet statistics show that content-oriented traffic (e.g. web pages, multimedia clips) becomes more and more dominant. Even though content-oriented networking has received increasing attention, there have been few comprehensive and quantitative studies on how to realize a content-oriented networking framework. In this paper, we focus on the operational issues of the new networking framework: (i) how to locate contents, (ii) how to deliver contents, and (iii) how to cache contents. There are two major infrastructure alternatives in substantiating these mechanisms: a tree and a distributed hash table (DHT). We carry out comprehensive simulation experiments to compare these alternatives in terms of content transfer latency, cache effectiveness, and failure resilience. I. I NTRODUCTION The Internet has evolved from a small-scale academic testbed into a crucial social infrastructure. For 40 years since its inception, the Internet has tried to accommodate new and unanticipated requirements. However, its rigid design based on TCP/IP, internet service providers’ exclusive control of networks and so on have ossified the Internet [6]. One of the Internet design principles that hinders the current Internet evolution is the host-oriented communications. That is, the early stage Internet applications, such as remote login, file transfer, and e-mail, focused strictly on host-to-host communications, where an end user explicitly directs his/her host to communicate with another host. Over the past several years, however, the vast majority of Internet usage has become data retrieval and service access [23], [3], [16] (i.e.,data-orientedusage), where an end user cares about contents 1 but is oblivious to or less aware of the host (or its location) [16]. For example, (i) many people often use search engines like Google from which they jump to the data or service page irrespective of the location in which the desired data/service resides, (ii) web intermediaries such as web caches and content delivery networks (CDNs) [18] transparently redirect web clients to a nearby copy of the requested data without contacting the original Web server, and (iii) peer-to-peer (P2P) applications enable users to search and 1In this paper, we use “data” and “contents” almost interchangeably. In the literature, “contents” often have more semantics than “data”. retrieve the data without making them know the location or identity of the host. The common viable contribution of search engines, web caching, CDNs, and P2P applications is that they all seek to support data-oriented applications. They improve the data availability, ease-of-use, performance, and scalability of applications by overcoming the limitations of the host-oriented principles of the legacy Internet by manipulating DNS naming and/or name resolution. In other words, they decouple content files from their locations (or hosts) using various techniques such as caching, replication with transparent request redirection, maintenance of a searching infrastructure, etc. [16]. Recently, lessons from these several application/servicedependent ad-hoc solutions, have motivated “clean-slate” efforts [1], [16], [10], termed data-oriented or content-centric networking, which strive to redesign the host-oriented Internet to accommodate more and more dominant data-oriented Internet usage at the architectural level. The essence of contentoriented networking lies in decoupling contents from the service host/location not at application levels, but at networking levels. That is, content-oriented networking shifts the focus from transmitting data between two hosts (or their locations) to delivering data via a content identifier 2. The content-oriented networking architecture is expected to (i) free application/service developers from re-inventing the necessary mechanisms, and (ii) provide scalable and efficient delivery of the requested contents. However, there have been few studies that how to substantiate the content-oriented networking infrastructure in terms of performance metrics. In order to address the operational issues that are missing in the recent architectural studies on content-oriented networking in the literature, this paper explores two alternatives for content-oriented network infrastructures: a hierarchical tree and a flat distributed hash table (DHT). Whether we choose a tree or a DHT for the infrastructure affects almost every aspect of network operations: name resolution, content delivery, caching, and so on. We will compare these two alternatives in terms of scalability, robustness, transfer latency thoroughly. 2As an example, the Data-Oriented Network Architecture (DONA) [16] r places endpoint-based DNS by a new name resolution mechanism using flat, certifying names and name-based anycast primitives above the IP layer.",,2008,9,filtered,citation
2d216c602d191765516b9b51a733a61311e76ee4,https://www.semanticscholar.org/paper/2d216c602d191765516b9b51a733a61311e76ee4,semantic_scholar,Design of a Multiplier for Similar Base Numbers Without Converting Base Using a Data Oriented Memory,"One the challenging in hardware performance is to designing a high speed calculating unit. The higher of calculations speeds in a computer system will be pointed out in terms of performance. As a result, designing a high speed calculating unit is of utmost importance. In this paper, we start design whit this knowledge that one multiplier made of several adder and one divider made of several sub tractor. Therefore, if the fast adder or fast multiplier designed, performance will be improved. In this design, a circuit is designed in a manner that without a need for transforming numbers or letters from the given bases into binary bases, the multiplication of two numbers for the same base is done in that base. Reduction in the number of conversions in the calculating unit, causes reduction in the consumption power and an increase in the operating speed of the system. In this design, a very small Data Oriented Memory is used to save numerical and character data.",,2014,10,filtered,citation
585b18385db6eb806e207b797ae7262143b9bd28,https://www.semanticscholar.org/paper/585b18385db6eb806e207b797ae7262143b9bd28,semantic_scholar,Data-oriented architecture of sine and Cosine Functions,"In this paper a new architecture to calculate Sine and Cosine Function based on data-oriented theory is introduced. To compute sine and cosine by this model less mathematical operations are needed comparing to common methods. Therefore, hardware implementation of this architecture provides faster module.",2010 3rd International Conference on Advanced Computer Theory and Engineering(ICACTE),2010,11,filtered,citation
63c7863fcba665bb8b87ee7f204ec79dcd60ba9a,https://www.semanticscholar.org/paper/63c7863fcba665bb8b87ee7f204ec79dcd60ba9a,semantic_scholar,xMP: Selective Memory Protection for Kernel and User Space,"Attackers leverage memory corruption vulnerabilities to establish primitives for reading from or writing to the address space of a vulnerable process. These primitives form the foundation for code-reuse and data-oriented attacks. While various defenses against the former class of attacks have proven effective, mitigation of the latter remains an open problem. In this paper, we identify various shortcomings of the x86 architecture regarding memory isolation, and leverage virtualization to build an effective defense against data-oriented attacks. Our approach, called xMP, provides (in-guest) selective memory protection primitives that allow VMs to isolate sensitive data in user or kernel space in disjoint xMP domains. We interface the Xen altp2m subsystem with the Linux memory management system, lending VMs the flexibility to define custom policies. Contrary to conventional approaches, xMP takes advantage of virtualization extensions, but after initialization, it does not require any hypervisor intervention. To ensure the integrity of in-kernel management information and pointers to sensitive data within isolated domains, xMP protects pointers with HMACs bound to an immutable context, so that integrity validation succeeds only in the right context. We have applied xMP to protect the page tables and process credentials of the Linux kernel, as well as sensitive data in various user-space applications. Overall, our evaluation shows that xMP introduces minimal overhead for real-world workloads and applications, and offers effective protection against data-oriented attacks.",2020 IEEE Symposium on Security and Privacy (SP),2020,12,filtered,citation
7f7553beefdf3579a6759b97ef41948c1fc79c57,https://www.semanticscholar.org/paper/7f7553beefdf3579a6759b97ef41948c1fc79c57,semantic_scholar,A data-oriented architecture for loosely coupled real-time information systems,"In this paper, we present an architectural pattern called Data Oriented Architecture (DOA). Motivation is the fact that on the one hand we face a shift to the usage of more and more mobile devices but on the other hand most services in the Internet still use a classic client-server-approach. Data is mainly produced at private devices today and put on centralized servers afterwards. This situation reflects the actual reality better: data is shared directly among users without the need of centralized sources. Three key facts distinguish DOA from existing approaches: First, DOA does not bind data to a specific location. Data is defined by the application which produced it and not an address of a location where it is currently stored. Second, DOA is a holistic approach that comprises a suitable data structure, data access methods and a message exchange protocol. Thus, DOA can be easily implemented and used right away. Third, in DOA, users can decide which data they want to keep private and which data they want to share. Shared data becomes a ""public good"" that is not owned by a specific entity but belongs to the community.",iiWAS,2017,13,filtered,citation
359cd4a6c9c23c6b5b2669c434dcab262f59f9e2,https://www.semanticscholar.org/paper/359cd4a6c9c23c6b5b2669c434dcab262f59f9e2,semantic_scholar,A Data-Oriented Software Architecture for Telemetry,"Building modern telemetry systems is fraught with challenges involving subsystem integration, the role and management of data, scalability issues, disparate technologies, concerns about costeffectiveness and more. This article addresses today’s challenges with a solution based on adopting a data-oriented architecture and relying on a standards-based, integrated highperformance middleware platform with standards-based programmable components. Key to the solution is integrating around the system information model instead of the application or technology infrastructure. A standards-based middleware infrastructure that breaks away from traditional assumptions is at the core of this approach. The article also presents successful applications of data-oriented architecture using standards-based middleware.",,2008,14,filtered,citation
045c7665e95ae9f0dbdac771ca307c5427ab6426,https://www.semanticscholar.org/paper/045c7665e95ae9f0dbdac771ca307c5427ab6426,semantic_scholar,Data-oriented architecture of Ln function,"In this paper a new architecture to calculate Ln function based on data-oriented theory is introduced. Because of using proper and huge amount of data in modeling, implementing of this type of models causes less calculation complexity. Data-oriented architecture is made of considering memory and small calculation unit together. Proposed method calculates Ln function faster than common methods.",2010 2nd International Conference on Advanced Computer Control,2010,15,filtered,citation
