doi,type,publication,publisher,publication_date,database,title,url,abstract,domain,id
10.1109/iccda.2010.5540715,filtered,2010 International Conference On Computer Design and Applications,IEEE,2010-06-27 00:00:00,ieeexplore,data-oriented architecture for double and single bits error correction using cycle redundancy code,https://ieeexplore.ieee.org/document/5540715/,"Error occurs during transferring, storing and retrieving data. Thus error detection and correction is a necessary technique in information technology. Cycle Redundancy Code, CRC, is a common method in error detection. A new method based on data-oriented theory for single and double bit errors correction by using CRC is presented. The conceptual model of presented method as data-oriented architecture is designed to implement it with hardware. This method is able to determine the exact place of one and two bits in error and correct them. In a way, nonzero calculated remainder on receiver is compared with remainder field of the content of Problem Solution Data Structure, PSDS, to find the error location, as a solution.",data oriented architecture,1
10.1109/icacc.2010.5487131,filtered,2010 2nd International Conference on Advanced Computer Control,IEEE,2010-03-29 00:00:00,ieeexplore,data-oriented architecture of ln function,https://ieeexplore.ieee.org/document/5487131/,"In this paper a new architecture to calculate Ln function based on data-oriented theory is introduced. Because of using proper and huge amount of data in modeling, implementing of this type of models causes less calculation complexity. Data-oriented architecture is made of considering memory and small calculation unit together. Proposed method calculates Ln function faster than common methods.",data oriented architecture,2
10.1109/icetc.2010.5529337,filtered,2010 2nd International Conference on Education Technology and Computer,IEEE,2010-06-24 00:00:00,ieeexplore,data-oriented architecture of sine,https://ieeexplore.ieee.org/document/5529337/,"A data-oriented architecture is introduced to calculate Sine function by using sine data-oriented model as a data structure and a small calculation unit. The main contribution of this paper is to use a content-accessed memory to handle and manage data-oriented model of sine in this architecture. Using this architecture, sine function calculation will be fast.",data oriented architecture,3
10.1109/icacte.2010.5579358,filtered,2010 3rd International Conference on Advanced Computer Theory and Engineering(ICACTE),IEEE,2010-08-22 00:00:00,ieeexplore,data-oriented architecture of sine and cosine functions,https://ieeexplore.ieee.org/document/5579358/,"In this paper a new architecture to calculate Sine and Cosine Function based on data-oriented theory is introduced. To compute sine and cosine by this model less mathematical operations are needed comparing to common methods. Therefore, hardware implementation of this architecture provides faster module.",data oriented architecture,4
10.1109/icepe.2014.6970070,filtered,2014 International Conference and Exposition on Electrical and Power Engineering (EPE),IEEE,2014-10-18 00:00:00,ieeexplore,domain specific languages in power systems engineering,https://ieeexplore.ieee.org/document/6970070/,"This paper proposes an information system for data mining that allows the specification of ad-hoc queries on a data warehouse, which contain historical information relative to exceptions (i.e., operating faults) recorded by a SCADA system in a power distribution network. The proposed application can be used by the power system engineers to explore the existent historical data, with no need for any “low level” programming expertise. The data-oriented architecture of the system provides important advantages related to application development and system maintainability.",data oriented architecture,5
10.1109/icmss.2010.5577074,filtered,2010 International Conference on Management and Service Science,IEEE,2010-08-26 00:00:00,ieeexplore,research of soa-based crm in telecommunications industry,https://ieeexplore.ieee.org/document/5577074/,"This paper first analyzes the architecture of the existing CRM in operators and its disadvantages. When operators integrate the 3G services into their business, it is necessary to propel their business support system shift from DOA (data-oriented architecture) to SOA (service-oriented architecture).Then an architecture of the CRM system based on SOA is presented. The paper finally takes an example of how to integrate the CRM and SFS based on SOA.",data oriented architecture,6
10.1109/lcomm.2016.2645768,filtered,IEEE Communications Letters,IEEE,2017-04-01 00:00:00,ieeexplore,broadcast-based content delivery in information-centric hybrid multihop wireless networks,https://ieeexplore.ieee.org/document/7801039/,"Information-centric networking is a “data-oriented” architecture for Future Internet. Since unicast routing cannot exploit the natural broadcast property of wireless networks and unicast paths may be broken down frequently due to node mobility, broadcast transmission is applied for content delivery in information-centric multihop wireless networks. It will face two key challenges: which nodes that receive the broadcasted packet should forward it, and how to avoid multiple nodes simultaneously transmitting it. In this letter, we solve these two issues by taking node mobility and available link capacity into account. A mobility-based forward node selection algorithm is proposed, which tends to select the less mobility nodes as the forward ones. An available link capacity-based forwarding scheme is proposed, which tends to select forward nodes with larger available link capacities to forward packets. Simulation results demonstrate the effectiveness of the proposed mechanism.",data oriented architecture,7
http://arxiv.org/abs/1706.03968v2,filtered,arxiv,arxiv,2017-06-13 00:00:00,arxiv,asynchronous graph pattern matching on multiprocessor systems,http://arxiv.org/abs/1706.03968v2,"Pattern matching on large graphs is the foundation for a variety of
application domains. Strict latency requirements and continuously increasing
graph sizes demand the usage of highly parallel in-memory graph processing
engines that need to consider non-uniform memory access (NUMA) and concurrency
issues to scale up on modern multiprocessor systems. To tackle these aspects,
graph partitioning becomes increasingly important. Hence, we present a
technique to process graph pattern matching on NUMA systems in this paper. As a
scalable pattern matching processing infrastructure, we leverage a
data-oriented architecture that preserves data locality and minimizes
concurrency-related bottlenecks on NUMA systems. We show in detail, how graph
pattern matching can be asynchronously processed on a multiprocessor system.",data oriented architecture,8
http://arxiv.org/abs/1310.5488v1,filtered,arxiv,arxiv,2013-10-21 00:00:00,arxiv,"a practical approach to ontology-enabled control systems for
  astronomical instrumentation",http://arxiv.org/abs/1310.5488v1,"Even though modern service-oriented and data-oriented architectures promise
to deliver loosely coupled control systems, they are inherently brittle as they
commonly depend on a priori agreed interfaces and data models. At the same
time, the Semantic Web and a whole set of accompanying standards and tools are
emerging, advocating ontologies as the basis for knowledge exchange. In this
paper we aim to identify a number of key ideas from the myriad of
knowledge-based practices that can readily be implemented by control systems
today. We demonstrate with a practical example (a three-channel imager for the
Mercator Telescope) how ontologies developed in the Web Ontology Language (OWL)
can serve as a meta-model for our instrument, covering as many engineering
aspects of the project as needed. We show how a concrete system model can be
built on top of this meta-model via a set of Domain Specific Languages (DSLs),
supporting both formal verification and the generation of software and
documentation artifacts. Finally we reason how the available semantics can be
exposed at run-time by adding a ""semantic layer"" that can be browsed, queried,
monitored etc. by any OPC UA-enabled client.",data oriented architecture,9
,filtered,core,International Foundation for Telemetering,2008-10-01 00:00:00,core,a data-oriented software architecture for telemetry,,"ITC/USA 2008 Conference Proceedings / The Forty-Fourth Annual International Telemetering Conference and Technical Exhibition / October 27-30, 2008 / Town and Country Resort & Convention Center, San Diego, CaliforniaBuilding modern telemetry systems is fraught with challenges involving subsystem integration, the role and management of data, scalability issues, disparate technologies, concerns about cost-effectiveness and more. This article addresses today's challenges with a solution based on adopting a data-oriented architecture and relying on a standards-based, integrated high-performance middleware platform with standards-based programmable components. Key to the solution is integrating around the system information model instead of the application or technology infrastructure. A standards-based middleware infrastructure that breaks away from traditional assumptions is at the core of this approach. The article also presents successful applications of data-oriented architecture using standards-based middleware.International Foundation for TelemeteringProceedings from the International Telemetering Conference are made available by the International Foundation for Telemetering and the University of Arizona Libraries. Visit http://www.telemetry.org/index.php/contact-us if you have questions about items in this collection",data oriented architecture,10
