id,datePublished,description,journals,publisher,title,doi,downloadUrl,database
350943994,2020-01-01T00:00:00,"Driven by technological advances, growing amounts of available data, and an emergent need for participatory processes, landscape architecture is witnessing a moment of disruption whereby formerly separated areas of operation become increasingly connected. While distinctions between various aspects of the design process are diminishing, a need for a novel, more inclusive toolset arises. The ‘tangible table’ paradigm is an attempt at combining intuitive ways of physical modelling with data-driven design strategies and the interactive simulation of naturally occurring phenomena. Despite its existence for more than 20 years, tangible tables have mainly focused on very specific workflows and therefore have not found wider adoption in landscape architectural practice or education. We list the limitations of previous implementations and introduce a novel software solution aimed at popularizing tangible table setups. Our software is embedded in a widespread visual programming environment, which allows for straightforward augmentation of physical models with computational design tech-niques. Using a week-long PhD course as a case study, we demonstrate the usefulness of the proposed software and its potential applications to solving various landscape architectural challenges through increased emphasis on participatory processes.Peer reviewe","[{'title': None, 'identifiers': ['2367-4253', 'issn:2367-4253', 'issn:2511-624X', '2511-624x']}]",Wichmann Verlag im VDE Verlag GmbH,Bridging tangible and virtual realities : Computational procedures for data-informed participatory processes,10.14627/537690036,,core
475260525,2021-07-01T00:00:00,"Designing auction parameters for online industrial auctions is a complex problem due to highly heterogeneous items. Currently, online auctioneers rely heavily on their experts in auction design. The ability of predicting how well an auction will perform prior to the start comes in handy for auctioneers. If an item is expected to be a low-performing item, the auctioneer can take certain actions to influence the auction outcome. For instance, the starting selling price of the item can be modified, or the location where the item is displayed on the website can be changed to attract more attention. In this paper, we take a real-world industrial auction data set and investigate how we can improve upon the expert’s design using insights learned from data. More specifically, we first construct a classification model that predicts the expected performance of auctions. We propose a data driven auction design framework (called DDAD) that combines the expert’s knowledge with the learned prediction model, in order to find the best parameter values, i.e., starting price and display positions of the items, for a given new auction. The prediction model is evaluated, and the new design for several auctions is discussed and validated with the auction experts",,'Springer Science and Business Media LLC',Data driven design for online industrial auctions,10.1007/s10472-020-09722-2,,core
287552271,2019-12-11T00:00:00,,,'Springer Science and Business Media LLC',Data-driven design of metal–organic frameworks for wet flue gas CO<sub>2</sub> capture,10.1038/s41586-019-1798-7,,core
482192986,2021-01-01T00:00:00,"Orientador: Prof. Dr. Aguinaldo dos SantosDissertação (mestrado) - Universidade Federal do Paraná, Setor de Artes, Comunicação e
Design, Programa de Pós-Graduação em Design. Defesa : Curitiba, 28/05/2021Inclui referências: p. 138-153Resumo: A presente dissertação apresenta um estudo com característica exploratória, de natureza aplicada, por meio de uma abordagem fenomenológica e qualitativa, sobre o uso do Data- Driven Design em um briefing metaprojetual para promover comportamentos mais sustentáveis. Ao longo das últimas décadas, as inovações em tecnologias da informação e comunicação vêm proporcionando diversas transformações no mercado de consumo e alterando o comportamento dos usuários. Essas modificações ocorrem nos diferentes pontos da jornada de consumo, seja no modo como os usuários pesquisam, adquirem, utilizam, avaliam ou descartam produtos e serviços. Consequentemente, o aumento da quantidade de dados digitais (big data) e do volume de tráfego on-line tem sido exponencial. Por meio da análise de big data é possível obter novo e/ou melhor entendimento acerca do comportamento humano de modo a influenciá-lo. Entretanto, muitas dessas análises estão sendo utilizadas como instrumentos para estimular o consumo. Neste cenário, os comportamentos de consumo dos últimos 50 anos têm contribuído para os impactos negativos na sustentabilidade, como por exemplo, para o aumento da temperatura do planeta. Por outro lado, as investigações de big data também podem apresentar oportunidades para o Data-Driven Design para o Comportamento Sustentável, como a elaboração de briefings metaprojetuais de: produto; serviço; Sistemas de Produto+Serviço (PSS); políticas públicas. Diante disso, este estudo teve como objetivo propor Diretrizes para Briefing Metaprojetual de Data-Driven Design para o Comportamento Sustentável. Como estratégia para a condução da pesquisa utilizou-se um conjunto de métodos, distribuídos ao longo de cinco fases, contemplando: 1. Revisões Bibliográficas (Assistemática e Sistemática); 2. Estudo de Caso ex-post-facto; 3. e 4. Action Design Research (Design Science Research e Pesquisa-Ação); 5. Análise Cruzada. O desenvolvimento da dissertação contou com o apoio de variados parceiros, dentre eles: uma agência de business intelligence, uma empresa de tecnologia médica, um órgão da ONU, pesquisadores de Design e pesquisadores de Ciência de Dados. Através das quatro fases iniciais, foi possível apurar, compreender e analisar os conceitos, para posteriormente propor diretrizes. Na última fase, todas as diretrizes foram avaliadas, refinadas e formalizadas em Diretrizes Finais. As diretrizes visam oferecer a designers um referencial que viabilize a elaboração de briefings metaprojetuais, que por meio do big data possibilite a compreensão do perfil dos usuários e aponte a estratégia de Design para Comportamento Sustentável mais adequada.Abstract: This dissertation presents an exploratory study, of an applied nature, through a phenomenological and qualitative approach, on the use of Data-Driven Design in a briefing of meta-projects to promote more sustainable behaviors. In recent decades, innovations in information and communication technologies have brought about several transformations in the costumers market and changed the users' behavior. These changes occur at different points in the customer journey, whether in the way users search, buy, use, evaluate or discard products and services. Consequently, the amount of digital data (big data) and the volume of online traffic has been increasing exponentially. Through big data analytics, it is possible to gain a new and/or better understanding of human behavior to influence it. However, many of these analyzes are being used as instruments to encourage consumption. In this scenario, the consumption behavior of the last 50 years contributed to negative impacts on sustainability, such as the increase in the planet's temperature. On the other hand, big data investigations can also present opportunities for Data-Driven Design for Sustainable Behaviour, such as developing meta-project briefings for a product; service; Product+Service Systems (PSS); public policies. Therefore, this study aimed to propose Data-Driven Design for Sustainable Behaviour Meta-Project Briefing Guidelines. As a strategy for conducting the research, a set of methods was used, distributed in five phases: 1.?? Literature Reviews (Unsystematic and Systematic); 2. Ex post-facto case study; 3. and 4.?? Action Design Research (Design Science Research and Action Research); 5. Cross analysis.?? The dissertation development was supported by several partners, including a business?? intelligence agency, a medical technology company, a UN agency, design researchers, and?? data science researchers. Through the four initial phases, it was possible to know,?? understand and analyze the concepts, to later propose guidelines. In the last phase, all?? guidelines were evaluated, refined, and formalized in the Final Guidelines. The guidelines?? aim to offer designers a framework that enables the preparation of briefings for metaprojects, which, through big data, make it possible to understand the profile of users and?? point out the most appropriate Design for Sustainable Behaviour strategy",,,Data-Driven Design orientado ao comportamento sustentável : diretrizes para briefing metaprojetual,,https://core.ac.uk/download/482192986.pdf,core
327313304,2020-07-01T07:00:00,"A research-to-action collaboration sought to understand and respond to barriers to female genital fistula treatment in Nigeria and Uganda. This was guided by appreciative inquiry, a participatory approach for transformative programing with four phases: (1) inquire, (2) imagine, (3) innovate, and (4) implement. Through this process, partners designed and refined a treatment barrier reduction intervention using multiple communication channels to disseminate a consistent fistula screening algorithm and provide transportation vouchers to those screening positive. Partnership between an implementation organization, a research institution, and local community partners enabled data-driven design and patient-centered implementation to address specific barriers experienced by women",,'Informa UK Limited',Removing barriers to fistula care: Applying appreciative inquiry to improve access to screening and treatment in Nigeria and Uganda,10.1080/07399332.2019.1638924,,core
344939802,2020-06-27T07:00:00,"Electric hydrofoil surfboards are clean alternatives to jet skis. Electric hydrofoils generate no noise, wake or emissions in comparison. Electric hydrofoil (e-Foil) boards are fun to ride and have low environmental impact. Due to the electric power source they are not dependent on weather conditions how sailing, wind surfing and kite surfing are. Commercial implementations of electric hydrofoils are expensive. The goal of this project is to construct a electric hydrofoil at a reasonable price point. Our approach involves building analysis software to provide data-driven design insights and to build o of the work of the online DIY electric hydrofoil community (efoil.builders)",,Scholar Commons,Electric Hydrofoil and Analysis Software,,,core
480275937,2021-09-10T00:00:00,"Waste infrastructure is largely non-digital and resists mapping and datafication. Waste itself can be seen as material information, revealing of its creators, which is lost along with the material resources that are thrown away. Design and HCI can unlock this information. Most people’s engagement with waste begins and ends at the domestic dustbin, with minimal consideration of what is wasted and where it goes. When aggregated waste practices have significant sustainability impacts. Digital technologies designed to raise awareness of environmental issues compete for our finite cognitive capacity with the demands of everyday life. To address this challenge, this paper uses speculative design of domestic waste devices. These speculative ‘data objects’ build on work in speculative design, sustainable HCI, and waste infrastructure mapping. The aim of this pictorial is to provoke debate on digital technology’s ability to engage us with consumption and waste, resulting in behavior change and reduced environmental degradation",,'Springer Fachmedien Wiesbaden GmbH',OSKARRR:Data-driven Design Speculations For The Future of Domestic Waste,,https://core.ac.uk/download/480275937.pdf,core
387291635,2020-12-09T00:00:00,"The design of online algorithms has tended to focus on algorithms with
worst-case guarantees, e.g., bounds on the competitive ratio. However, it is
well-known that such algorithms are often overly pessimistic, performing
sub-optimally on non-worst-case inputs. In this paper, we develop an approach
for data-driven design of online algorithms that maintain near-optimal
worst-case guarantees while also performing learning in order to perform well
for typical inputs. Our approach is to identify policy classes that admit
global worst-case guarantees, and then perform learning using historical data
within the policy classes. We demonstrate the approach in the context of two
classical problems, online knapsack and online set cover, proving competitive
bounds for rich policy classes in each case. Additionally, we illustrate the
practical implications via a case study on electric vehicle charging",,,Data-driven Competitive Algorithms for Online Knapsack and Set Cover,,http://arxiv.org/abs/2012.05361,core
387309223,2021-01-18T00:00:00,"A popular way to accelerate the sampling of rare events in molecular dynamics
simulations is to introduce a potential that increases the fluctuations of
selected collective variables. For this strategy to be successful, it is
critical to choose appropriate variables. Here we review some recent
developments in the data-driven design of collective variables, with a focus on
the combination of Fisher's discriminant analysis and neural networks. This
approach allows to compress the fluctuations of metastable states into a
low-dimensional representation. We illustrate through several examples the
effectiveness of this method in accelerating the sampling, while also
identifying the physical descriptors that undergo the most significant changes
in the process.Comment: Communication presented at the annual congress of the Italian
  Physical Society (2020",,,"Training collective variables for enhanced sampling via neural networks
  based discriminant analysis",,http://arxiv.org/abs/2101.07085,core
200862936,2019-04-01T00:00:00,"The development of BIM pedagogical strategies within the Architecture, Engineering, and Construction disciplines is a topic of significant research. Several approaches and theoretical lenses, such as Project-Based Learning, constructivist pedagogy, experiential learning, and Bloom&#8217;s Taxonomy have been applied to guide pedagogical education. This paper presents the development and evaluation of an approach integrating these four perspectives that was developed within an Architectural Science undergraduate program. A data-driven design project was incorporated into the curriculum to give students opportunities to engage with BIM-based simulation (cost and energy) to guide their design studio project development. The pedagogical approach is discussed, along with refinements to this project based on early implementation. Four years of data are analyzed, consisting of 1325 design iterations and student feedback on the project. A critical evaluation of the project determined that it was highly effective to engage students at an advanced level - level 4 (Analyze) of Bloom&#8217;s Taxonomy was consistently achieved (over 96% of students) and two thirds of students also engaged meaningfully at Level 5 (Evaluate; 67%) and/or 6 (Create; 8%) &#8212; while developing a high degree of competence in the use of BIM","[{'title': 'Buildings', 'identifiers': ['2075-5309', 'issn:2075-5309']}]",'MDPI AG',Data-Driven Design as a Vehicle for BIM and Sustainability Education,10.3390/buildings9050103,,core
