contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Article,doi:10.1038/s42003-022-03098-1,Data-driven design of targeted gene panels for estimating immunotherapy biomarkers,Communications Biology,10.1038/s42003-022-03098-1,Nature,2022-02-23,2022-02-23,"Tumour mutation burden and other exome-wide biomarkers are used to determine which patients will benefit from immunotherapy. However, the cost of whole exome sequencing limits the widespread use of such biomarkers. Here, we introduce a data-driven framework for the design of targeted gene panels for estimating a broad class of biomarkers including tumour mutation burden and tumour indel burden. Our first goal is to develop a generative model for the profile of mutation across the exome, which allows for gene- and variant type-dependent mutation rates. Based on this model, we then propose a procedure for constructing biomarker estimators. Our approach allows the practitioner to select a targeted gene panel of prespecified size and construct an estimator that only depends on the selected genes. Alternatively, our method may be applied to make predictions based on an existing gene panel, or to augment a gene panel to a given size. We demonstrate the excellent performance of our proposal using data from three non small-cell lung cancer studies, as well as data from six other cancer types. A data-driven procedure to estimate immunotherapy biomarkers is shown to perform well on data from three Non-Small Cell Lung Cancer studies as well as data from six other cancer types. The method is based on a generative model of how mutations arise in the tumour exome.",https://www.nature.com/articles/s42003-022-03098-1,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-7160-9_182,Development of a BIM-Based Master Digital Model Using Data-Driven Design for the Suspension Bridge,"CIGOS 2021, Emerging Technologies and Applications for Green Infrastructure",10.1007/978-981-16-7160-9_182,Springer,2022-01-01,2021-10-28,"Long-span cable-supported bridges are increasingly used to bridge a longer distance with a higher clearance than the other bridge types and their impressive aesthetic appearance. However, owing to challenging dynamic engineering practices, the suspension bridges, in particular, require accumulated design and construction technologies. Moreover, as the most distinctive mechanical property of the cable structures, different applied tension generates different lateral stiffness on the main cable. Without an integrated analysis model, the realistic profile of the cable structures cannot be determined. In this regard, this paper proposes a master digital model for a suspension bridge based on the data-driven approach for multiple purposes, including the structural assessment aspect. The Building Information Modeling (BIM) technique is a key factor to creating and federate all the essential engineering knowledge data regarding a suspension bridge. At first, a data schema for the suspension bridge’s main structures is created and based on that, the database for each structural member is defined. The BIM authoring using the data-driven design is proposed to generate all the individual structural members then assembly to make the entire initial model for the suspension bridge. Metadata is linked, and any efficient revisions concerning varying situations during the construction process can be easily updated into the digital model through the change of database. Finally, an analysis model is integrated into this initial model to create the federated master digital model. The advantage of this master digital model lies in the capability to continuously perform the bridge system’s stability analyses at any erection step. Furthermore, it makes the digital representation of the main cable and suspended bridge structures more dynamic, no longer just rigid objects in the general commercial BIM model. A prototyping master digital model was developed for an existing bridge is introduced along with this paper.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-7160-9_182,springer
Article,doi:10.1007/s12369-021-00776-8,Top of the Class: Mining Product Characteristics Associated with Crowdfunding Success and Failure of Home Robots,International Journal of Social Robotics,10.1007/s12369-021-00776-8,Springer,2022-01-01,2021-03-31,"Recent high-profile failures of domestic robotic products suggest more research is needed on factors that impact consumers’ willingness to purchase robots, and the success rates of the consumer robotics industry compared with other innovative technologies. Using data from two crowdfunding sites (Kickstarter and Indiegogo), we summarize the applications, forms, prices, contexts of use, target populations, and sociality of potential consumer and home robots. We then use statistical analysis, predictive modeling, and word co-occurrence to determine which characteristics are associated with increased product support by early market consumers, finding that health and fitness, security and monitoring, and general education applications, cartoon-like and animal-like robot forms, and single user group robots have significantly more backers. We also find that social robots have a mean of 1.2–3.2 times as many backers as non-social robots and that every twofold increase in price results in a 20% decrease in financial supporters. Product reviews from these sites are additionally used to identify product features consumers found important. Finally, analyses of the failure rates of social and home robots find that these products are not failing more frequently than other innovative products overall. This research is among the first to study factors influencing consumers’ purchasing behavior of home robots, and to use data mining methods to gain insights into home and consumer robot design.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12369-021-00776-8,springer
Chapter,doi:10.1007/978-3-030-88181-8_1,Data-Driven Engineering Design,Data-Driven Engineering Design,10.1007/978-3-030-88181-8_1,Springer,2022-01-01,2021-10-10,"This chapter aims to introduce the basics of data-driven engineering design to design researchers and practitioners who are unnecessarily familiar with relevant notions. The background, motivation, and significance of data-driven engineering design are elaborated. From a theoretical perspective, data-driven engineering design is characterized by a novel integration between the existing design theory and methodology with the emerging data science. Therefore, a systematic design process is divided into multiple key design operations, and a complete data lifecycle is divided into multiple data operations. A theoretical framework of data-driven engineering design is presented to couple various design operations with relevant data operations for different scenarios of engineering design.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-88181-8_1,springer
Chapter,doi:10.1007/978-3-030-88181-8_6,Data-Driven Design of Smart Product,Data-Driven Engineering Design,10.1007/978-3-030-88181-8_6,Springer,2022-01-01,2021-10-10,"This chapter presents a structured framework that can guide designers to develop smart products with context-smartness, network-smartness, and service-smartness, the definitions of which are explained from the perspective of product development. The framework is developed based on the theoretical foundation of the Situated Function-Behavior-Structure (FBS) ontology. A systematic step-by-step design process is prescribed to leverage various data operations to support design operations involved in the process of designing a smart product with stronger context-smartness, network-smartness, and service-smartness. Some existing design methods and emerging design tools are also incorporated into the framework.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-88181-8_6,springer
Article,doi:10.1007/s00158-021-02926-y,Data-driven topology design using a deep generative model,Structural and Multidisciplinary Optimization,10.1007/s00158-021-02926-y,Springer,2021-09-01,2021-06-30,"In this paper, we propose a sensitivity-free and multi-objective structural design methodology called data-driven topology design . It is schemed to obtain high-performance material distributions from initially given material distributions in a given design domain. Its basic idea is to iterate the following processes: (i) selecting material distributions from a dataset of material distributions according to eliteness, (ii) generating new material distributions using a deep generative model trained with the selected elite material distributions, and (iii) merging the generated material distributions with the dataset. Because of the nature of a deep generative model, the generated material distributions are diverse and inherit features of the training data, that is, the elite material distributions. Therefore, it is expected that some of the generated material distributions are superior to the current elite material distributions, and by merging the generated material distributions with the dataset, the performances of the newly selected elite material distributions are improved. The performances are further improved by iterating the above processes. The usefulness of data-driven topology design is demonstrated through numerical examples.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00158-021-02926-y,springer
Article,doi:10.1007/s00158-021-02851-0,Data-driven design exploration method using conditional variational autoencoder for airfoil design,Structural and Multidisciplinary Optimization,10.1007/s00158-021-02851-0,Springer,2021-08-01,2021-07-07,"An objective of mechanical design is to obtain a shape that satisfies specific requirements. In the present work, we achieve this goal using a conditional variational autoencoder (CVAE). The method enables us to analyze the relationship between aerodynamic performance and the shape of aerodynamic parts, and to explore new designs for the parts. In the CVAE model, a shape is fed as an input and the corresponding aerodynamic performance index is fed as a continuous label. Then, shapes are generated by specifying the continuous label and latent vector. When CVAE is applied to mechanical design, it is desired to draw shapes that reproduce the specified aerodynamic performance. In ordinal CVAE, the model is trained to minimize reconstruction loss and latent loss, and it is usually optimized considering the sum of these losses. However, the present study shows that the optimal network is not always optimal in terms of reproducing the aerodynamic performance. The proposed method is verified using two numerical examples: a two-dimensional (2D) airfoil and a turbine blade. In the airfoil example, we demonstrate the effects of latent dimension, and in the turbine design example, we demonstrate that the proposed method can be applied to a real turbine design problem and reduce the design time.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00158-021-02851-0,springer
Article,doi:10.1007/s10472-020-09722-2,Data driven design for online industrial auctions,Annals of Mathematics and Artificial Intelligence,10.1007/s10472-020-09722-2,Springer,2021-07-01,2021-01-05,"Designing auction parameters for online industrial auctions is a complex problem due to highly heterogeneous items. Currently, online auctioneers rely heavily on their experts in auction design. The ability of predicting how well an auction will perform prior to the start comes in handy for auctioneers. If an item is expected to be a low-performing item, the auctioneer can take certain actions to influence the auction outcome. For instance, the starting selling price of the item can be modified, or the location where the item is displayed on the website can be changed to attract more attention. In this paper, we take a real-world industrial auction data set and investigate how we can improve upon the expert’s design using insights learned from data. More specifically, we first construct a classification model that predicts the expected performance of auctions. We propose a data driven auction design framework (called DDAD) that combines the expert’s knowledge with the learned prediction model, in order to find the best parameter values, i.e., starting price and display positions of the items, for a given new auction. The prediction model is evaluated, and the new design for several auctions is discussed and validated with the auction experts.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10472-020-09722-2,springer
Article,doi:10.1007/s42484-020-00032-8,Sparse quantum Gaussian processes to counter the curse of dimensionality,Quantum Machine Intelligence,10.1007/s42484-020-00032-8,Springer,2021-02-17,2021-02-17,"Gaussian processes are well-established Bayesian machine learning algorithms with significant merits, despite a strong limitation: lack of scalability. Clever solutions address this issue by inducing sparsity through low-rank approximations, often based on the Nystrom method. Here, we propose a different method to achieve better scalability and higher accuracy using quantum computing, outperforming classical Bayesian neural networks for large datasets significantly. Unlike other approaches to quantum machine learning, the computationally expensive linear algebra operations are not just replaced with their quantum counterparts. Instead, we start from a recent study that proposed a quantum circuit for implementing quantum Gaussian processes and then we use quantum phase estimation to induce a low-rank approximation analogous to that in classical sparse Gaussian processes. We provide evidence through numerical tests, mathematical error bound estimation, and complexity analysis that the method can address the “curse of dimensionality,” where each additional input parameter no longer leads to an exponential growth of the computational cost. This is also demonstrated by applying the algorithm in a practical setting and using it in the data-driven design of a recently proposed metamaterial. The algorithm, however, requires significant quantum computing hardware improvements before quantum advantage can be achieved.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s42484-020-00032-8,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-87571-8_64,A Big Data Driven Design Method of Helicopter Health Management System,Web Information Systems and Applications,10.1007/978-3-030-87571-8_64,Springer,2021-01-01,2021-09-17,"This article briefly describes the development process of aircraft health management, and discusses the basic principles of helicopter health and use monitoring systems. Then proposed a big data-driven helicopter health management system architecture, analyzed the relationship between the components of the helicopter health management system, and analyzed the sources of the helicopter health management big data, and finally proposed Big data and knowledge-driven helicopter health management system Program. This paper explores the design method of the helicopter health management system driven by big data, and reserves the theoretical basis for the practical research of the future system.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-87571-8_64,springer
