@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,pii,freetoread,freetoreadLabel,prism:isbn,pubmed-id
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85119199966', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85119199966?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119199966&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119199966&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85119199966,SCOPUS_ID:85119199966,2-s2.0-85119199966,Virtual Reality Aided High-Quality 3D Reconstruction by Remote Drones,Zhang D.,ACM Transactions on Internet Technology,15335399,15576051,22,1,,2022-02-01,February 2022,10.1145/3458930,0,"[{'@_fa': 'true', 'affilname': 'Nanjing University of Post and TeleCommunications', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,3458930,15773,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85115401406', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85115401406?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115401406&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115401406&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1566253521001779'}",https://api.elsevier.com/content/abstract/scopus_id/85115401406,SCOPUS_ID:85115401406,2-s2.0-85115401406,Multimodal Earth observation data fusion: Graph-based approach in shared latent space,Arun P.V.,Information Fusion,15662535,,78,,20-39,2022-02-01,February 2022,10.1016/j.inffus.2021.09.004,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology Bombay', 'affiliation-city': 'Mumbai', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'Hebrew University of Jerusalem', 'affiliation-city': 'Jerusalem', 'affiliation-country': 'Israel'}]",Journal,ar,Article,,26099,0,False,S1566253521001779,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118958473', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118958473?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118958473&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118958473&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85118958473,SCOPUS_ID:85118958473,2-s2.0-85118958473,A lightweight model for multi-traffic object detection based on deep learning under complex traffic conditions,Chen G.,Journal of Applied Science and Engineering (Taiwan),27089967,27089975,25,3,527-535,2022-01-01,2022,10.6180/jase.202206_25(3).0019,0,"[{'@_fa': 'true', 'affilname': 'Henan Polytechnic University', 'affiliation-city': 'Jiaozuo', 'affiliation-country': 'China'}]",Journal,ar,Article,,21101034114,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118634214', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118634214?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118634214&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118634214&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1051200421003298'}",https://api.elsevier.com/content/abstract/scopus_id/85118634214,SCOPUS_ID:85118634214,2-s2.0-85118634214,Deep residual learning-based cognitive model for detection and classification of transmitted signal patterns in 5G smart city networks,Ahmed R.,Digital Signal Processing: A Review Journal,10512004,,120,,,2022-01-01,January 2022,10.1016/j.dsp.2021.103290,0,"[{'@_fa': 'true', 'affilname': 'University of Science and Technology Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,103290,24306,0,False,S1051200421003298,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118562642', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118562642?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118562642&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118562642&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85118562642,SCOPUS_ID:85118562642,2-s2.0-85118562642,Courteous Behavior of Automated Vehicles at Unsignalized Intersections Via Reinforcement Learning,Yan S.,IEEE Robotics and Automation Letters,,23773766,7,1,191-198,2022-01-01,1 January 2022,10.1109/LRA.2021.3121807,0,"[{'@_fa': 'true', 'affilname': 'Universität Freiburg', 'affiliation-city': 'Freiburg im Breisgau', 'affiliation-country': 'Germany'}]",Journal,ar,Article,,21100900379,0,False,,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118175447', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118175447?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118175447&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118175447&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85118175447,SCOPUS_ID:85118175447,2-s2.0-85118175447,Deriving driver behavioral pattern analysis and performance using neural network approaches,Malik M.,Intelligent Automation and Soft Computing,10798587,2326005X,32,1,87-99,2022-01-01,2022,10.32604/iasc.2022.020249,0,"[{'@_fa': 'true', 'affilname': 'Maharshi Dayanand University', 'affiliation-city': 'Rohtak', 'affiliation-country': 'India'}]",Journal,ar,Article,,25476,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85114956212', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85114956212?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114956212&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114956212&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85114956212,SCOPUS_ID:85114956212,2-s2.0-85114956212,Futuristic Communication Systems Using Mobile Edge Computing,Kaur M.J.,Lecture Notes on Data Engineering and Communications Technologies,23674512,23674520,74,,267-281,2022-01-01,2022,10.1007/978-981-16-3448-2_13,0,"[{'@_fa': 'true', 'affilname': 'Seneca College of Applied Arts &amp; Technology', 'affiliation-city': 'Toronto', 'affiliation-country': 'Canada'}]",Book Series,ch,Book Chapter,,21100975545,0,False,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85114142271', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85114142271?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114142271&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114142271&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85114142271,SCOPUS_ID:85114142271,2-s2.0-85114142271,Service orchestration for object detection on edge and cloud in dependable industrial vehicles,Pettinen H.,Journal of Mobile Multimedia,15504646,15504654,18,1,1-26,2022-01-01,2022,10.13052/jmm1550-4646.1811,0,"[{'@_fa': 'true', 'affilname': 'CrossControl', 'affiliation-city': 'Tampere', 'affiliation-country': 'Finland'}]",Journal,ar,Article,,19900192412,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}]}",,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85113556429', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85113556429?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85113556429&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113556429&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85113556429,SCOPUS_ID:85113556429,2-s2.0-85113556429,"5th EAI International Conference on Management of Manufacturing Systems, MMS 2020",,EAI/Springer Innovations in Communication and Computing,25228595,25228609,,,,2022-01-01,2022,,0,,Book Series,cr,Conference Review,,21101019713,0,False,,,,"[{'@_fa': 'true', '$': '9783030672409'}]",
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85112374720', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85112374720?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112374720&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112374720&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1566253521001445'}",https://api.elsevier.com/content/abstract/scopus_id/85112374720,SCOPUS_ID:85112374720,2-s2.0-85112374720,SaccadeFork: A lightweight multi-sensor fusion-based target detector,Ouyang Z.,Information Fusion,15662535,,77,,172-183,2022-01-01,January 2022,10.1016/j.inffus.2021.07.004,0,"[{'@_fa': 'true', 'affilname': 'Beihang University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Zhongfa Aviation University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,,26099,0,False,S1566253521001445,,,,
