id,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1016/j.eswa.2021.115975,Journal,Expert Systems with Applications,scopus,2022-03-01,sciencedirect,Optimizing the early glaucoma detection from visual fields by combining preprocessing techniques and ensemble classifier with selection strategies,https://api.elsevier.com/content/abstract/scopus_id/85117908294,"Artificial Intelligence is booming and many issues of research are being explored to improve technical performance in health systems. But also making them suitable for targeted medical practices. Their cost must also be justified by real added value for medical practitioners and patients. Extracting accurate information from datasets usually comes up against the amount of data and its distribution, which greatly affect the performance of the classifiers. Unbalanced classes or insignificant data features do not provide information for classifiers. Medical data like those of visual field (VF) most suffer from these problems. These factors limit the performance of individual classifiers. However, ensemble methods such as the bagging classifier (BC) can overcome these limitations and return good performances. BC is simple to process and very favorable to the combination with dynamic/static selection strategies (BC-DS/SS) which considerably improves its performance. By remaining sensitive to the problem of data distribution, this combination requires a fusion with pre-processing techniques such as feature selection and data rebalancing to be efficient. Thus, combining pre-processing techniques with the BC-DS/SS ensemble classifiers would allow to extract more accurate information from VF datasets. The stake of this classifier combining pre-processing techniques and ensemble methods with selection strategies named 
                        
                           
                              
                                 C
                              
                              
                                 2
                              
                           
                           P
                           E
                           M
                           
                              
                                 S
                              
                              
                                 2
                              
                           
                        
                      (C2 relates to Classifier Combining, PEM refers to Pre-processing and Ensemble Methods and S2 refers to Selection Strategies) consists of: (1) optimizing the performances while reducing the over-fitting, (2) saving in processing time and more importantly (3) predicting more efficiently the targeted class which often is the minority in unbalanced datasets. The experiments of our approach on VF datasets allowed to predict early glaucoma with greater efficiency compared to the state of the art.",health
10.1016/j.ces.2021.117205,Journal,Chemical Engineering Science,scopus,2022-02-02,sciencedirect,"Developments of leak detection, diagnostics, and prediction algorithms in multiphase flows",https://api.elsevier.com/content/abstract/scopus_id/85118896502,"Leak detection, diagnostics, and prediction constitute a crucial phase of the flow assurance risk management process for onshore and offshore pipelines. There are a variety of techniques and algorithms that can be deployed to address each aspect. To date, most review papers have concentrated on steady-state and single-phase flow conditions. The goal of the current review is therefore to carry out a thorough analysis of the available leak detection and diagnosis methods by focusing on (i) multiphase flow and transient flow conditions, (ii) model-based and data-driven techniques, (iii) prediction tools, and (iv) performance measures. Detailed assessment of leak detection methods based on accuracy, complexity, data requirement, and cost of installation are discussed. Data-driven techniques are utterly dependent on qualitative and quantitative data available from pipeline systems. Contrastingly data-driven techniques, model-based techniques require less data to achieve leak detection, provided that a nearly accurate base model is available. Different methodologies and technologies can be combined in order to produce the best detection and diagnosis outputs. In many cases, statistical analysis was combined with the Real Time Transient Method (RTTM), which helped to minimize false alarms. The material in this review can be used as a robust guide for the design of diagnostic systems and further research.",health
10.1016/j.talanta.2021.123030,Journal,Talanta,scopus,2022-02-01,sciencedirect,A turn-on NIR fluorescence sensor for gossypol based on Yb-based metal-organic framework,https://api.elsevier.com/content/abstract/scopus_id/85118877273,"The development of analytical method for selective and sensitive detection of gossypol (Gsp), an extraction from the cotton plants, is important but still challenging in food safety and medical field. Herein, we reported a turn-on near infrared (NIR) fluorescence detection strategy for Gsp based on a metal-organic framework (MOF), QBA-Yb, which was prepared from 4,4’-(quinolone-5, 8-diyl) benzoate with Yb(NO3)3·5H2O by solvothermal synthesis. The Gsp acted as another “antenna” to sensitize the luminescence of Yb3+, leading to the turn-on NIR emission upon 467 nm excitation. As Gsp concentration increased, the NIR emission at 973 nm enhanced gradually, thus enabling highly sensitive Gsp detection in a turn-on way. The experiment and theoretical calculation results revealed the presence of strong hydrogen bonds between Gsp molecules and the MOF skeleton. The developed QBA-Yb probe showed excellent characteristics for detection of Gsp molecules, accompanied by wide linear range (5–160 μg/mL), low detection limit (0.65 μg/mL) and short response time (within 10 min). We have further demonstrated that the QBA-Yb probe was successfully applied for the determination of Gsp in real samples of cottonseeds.",health
10.1016/j.tiv.2021.105271,Journal,Toxicology in Vitro,scopus,2022-02-01,sciencedirect,Identification of the function and regulatory network of circ_009773 in DNA damage induced by nanoparticles of neodymium oxide,https://api.elsevier.com/content/abstract/scopus_id/85118591780,"The health hazards of nanoparticles of neodymium oxide (NPs-Nd2O3) have aroused public concern in recent years. Exposure to NPs-Nd2O3 can change the level of reactive oxygen species (ROS) that cause DNA damage and alter whole transcriptome expression profiles for micro (mi)RNA, circular (circ)RNA, long noncoding (lnc)RNA, and mRNA. However, there have been no reports to our knowledge about the role of circRNAs in DNA damage caused by NPs-Nd2O3. In our study, we analyzed the circRNA expression profile of human bronchial epithelial cells(16HBE)exposed to 40 μg/ml NPs-Nd2O3. Our results indicated that exposure produced 1025 up-regulated and 890 down-regulated circRNAs. Real-time quantitative polymerase chain reaction (qRT-PCR) was applied to verify some of the significantly changed circRNAs and demonstrated that circ_009773 was apparently down-regulated. Through exploration of its host gene function, we found that circ_009773 may be related to DNA damage. Functional experiments found that circ_009773 regulated NPs-Nd2O3-induced DNA damage in 16HBE cells. A circ_009773-associated competing endogenous (ce)RNA network was constructed based on one differentially expressed (DE) circRNA, 74 DE miRNAs and 208 DE mRNAs. Module analysis identified hub genes related to DNA damage and repair and a protein-protein interaction (PPI) network was created.",health
10.1016/j.ress.2021.108119,Journal,Reliability Engineering and System Safety,scopus,2022-02-01,sciencedirect,Prognostics and Health Management (PHM): Where are we and where do we (need to) go in theory and practice,https://api.elsevier.com/content/abstract/scopus_id/85117331443,"We are performing the digital transition of industry, living the 4th industrial revolution, building a new World in which the digital, physical and human dimensions are interrelated in complex socio-cyber-physical systems. For the sustainability of these transformations, knowledge, information and data must be integrated within model-based and data-driven approaches of Prognostics and Health Management (PHM) for the assessment and prediction of structures, systems and components (SSCs) evolutions and process behaviors, so as to allow anticipating failures and avoiding accidents, thus, aiming at improved safe and reliable design, operation and maintenance.
                  There is already a plethora of methods available for many potential applications and more are being developed: yet, there are still a number of critical problems which impede full deployment of PHM and its benefits in practice. In this respect, this paper does not aim at providing a survey of existing works for an introduction to PHM nor at providing new tools or methods for its further development; rather, it aims at pointing out main challenges and directions of advancements, for full deployment of condition-based and predictive maintenance in practice.",health
10.1016/j.eswa.2021.115937,Journal,Expert Systems with Applications,scopus,2022-02-01,sciencedirect,Genetic Neural Architecture Search for automatic assessment of human sperm images,https://api.elsevier.com/content/abstract/scopus_id/85117152898,"Male infertility is a disease that affects approximately 7% of men. Sperm morphology analysis (SMA) is one of the main diagnosis methods for this problem. However, manual SMA is an inexact, subjective, non-reproducible, and hard to teach process. Therefore, in this paper, we introduce a novel automatic SMA technique that is based on the neural architecture search algorithm, named Genetic Neural Architecture Search (GeNAS). For this purpose, we used a collection of images termed MHSMA dataset, which contains 1540 sperm images that have been collected from 235 patients with infertility problems. In detail, GeNAS consists of a special genetic algorithm that acts as a meta-controller which explores the constrained search space of plain convolutional neural network architectures. Every individual of this genetic algorithm is a convolutional neural network trained to predict morphological deformities in different segments of human sperm (head, vacuole, and acrosome). The fitness of each individual is calculated by a novel proposed method, named GeNAS Weighting Factor (GeNAS-WF). This technique is specially designed to evaluate the fitness of neural networks which, during their learning process, validation accuracy highly fluctuates. To speed up the algorithm, a hashing method is practiced to save each trained neural architecture fitness, so we could reuse them during fitness evaluation. In terms of running time and computational power, our proposed architecture search method is far more efficient than most of the other existing neural architecture search algorithms. Moreover, whereas most of the existing neural architecture search algorithms are designed to work well with well-prepared benchmark datasets, the overall paradigm of GeNAS is specially designed to address the challenges of real-world datasets, particularly shortage of data and class imbalance. In our experiments, the best neural architecture found by GeNAS has reached an accuracy of 91.66%, 77.33%, and 77.66% in the vacuole, head, and acrosome abnormality detection, respectively. In comparison to other proposed algorithms for MHSMA dataset, GeNAS achieved state-of-the-art results.",health
10.1016/j.future.2021.08.030,Journal,Future Generation Computer Systems,scopus,2022-02-01,sciencedirect,A wearable-based posture recognition system with AI-assisted approach for healthcare IoT,https://api.elsevier.com/content/abstract/scopus_id/85115908462,"Human posture recognition is a challenging task in the medical healthcare industry, when pursuing intelligence, accuracy, security, privacy, and efficiency, etc. Currently, the main posture recognition methods are captured-behaviors-based visual image analysis and wearable devices-based signal analysis. However, these methods suffer from issues such as high misjudgment rate, high-cost and low-efficiency. To address these issues, we propose a collaborative AI-IoT-based solution (namely, WMHPR) that embeds with advanced AI-assisted approach. In WMHPR, we propose the multi-posture recognition (MPR), an offline algorithm is implemented on wearable hardware, to identify posture based on multi-dimensions data. Meanwhile, an AI-based algorithm running on the cloud server (online), named Cascade-AdaBoosting-CART (CACT), is proposed to further enhance the reliability and accuracy of MPR. We recruit 20 volunteers for real-life experiments to evaluate the effectiveness, and the results show our solution is significantly outstanding in terms of accuracy and reliability while comparing with other typical algorithms.",health
10.1016/j.is.2021.101878,Journal,Information Systems,scopus,2022-02-01,sciencedirect,Electronic health records based reinforcement learning for treatment optimizing,https://api.elsevier.com/content/abstract/scopus_id/85115385699,"Electronic Health Records (EHRs) have become one of the main sources of evidence to evaluate clinical actions, improve medical quality, predict disease-risk, and optimize treatment effects. However, EHRs present several modeling challenges, including heterogeneous data types and dynamic characteristics. Reinforcement learning provides an efficient way for sequential decision-making. Powered by model-based reinforcement learning approach, we propose an EHRs-based reinforcement learning algorithm to optimize sequential treatment strategies for diseases, such as sepsis, diabetes, and their complications. We conduct our experiments with this algorithm to optimize physicians’ historical treatment strategies and achieve better glucose control for diabetic ketoacidosis (DKA) patients, which is one serious complication of diabetes. The research includes the modeling process and reinforcement learning process. During the EHRs modeling process, besides considering the necessary physiological variables, we also consider the major disease factors to enhance the interpretability of the model. In the reinforcement learning process, a deep Q network is employed to explore the optimal insulin dose for patients. Moreover, inspired by the real medical scenes, we extend the algorithm to cooperative learning environment. We use the joint policy of the two agents to simulate doctor consultations, and achieve better treatment performances in terms of policy and blood glucose control than single agent and clinicians.",health
10.1016/j.future.2021.09.010,Journal,Future Generation Computer Systems,scopus,2022-02-01,sciencedirect,XSRU-IoMT: Explainable simple recurrent units for threat detection in Internet of Medical Things networks,https://api.elsevier.com/content/abstract/scopus_id/85115376405,"The Internet of Medical Things (IoMT) is increasingly replacing the traditional healthcare systems. However, less focus has been paid to their security against cyber-threats in the implementation of the IoMT and its networks. One of the key reasons can be the challenging task of optimizing typical security solutions to the IoMT networks. And despite the rising admiration of machine learning and deep learning methods in the cyber-security domain (e.g., a threat detection system), most of these methods are acknowledged as a black-box model. The explainable AI (XAI) has become progressively vital to understand the employed learning models to improve trust level and empower security experts to interpret the prediction decisions. The authors propose a highly efficient model named XSRU-IoMT, for effective and timely detection of sophisticated attack vectors in IoMT networks. The proposed model is developed using novel bidirectional simple recurrent units (SRU) using the phenomenon of skip connections to eradicate the vanishing gradient problem and achieve a fast training process in recurrent networks. We also explore the concepts of XAI to improve trust level by providing explanations of the predictive decisions and enabling humans and security experts to understand the causal reasoning and underlying data evidence. The evaluation results on the ToN_IoT dataset demonstrate the effectiveness and superiority of the proposed XSRU-IoMT model as compared to the state-of-the-art compelling detection models, suggesting its usefulness as a viable deployment model in real-IoMT networks.",health
10.1016/j.ymssp.2021.108217,Journal,Mechanical Systems and Signal Processing,scopus,2022-02-01,sciencedirect,Robustness enhancement of machine fault diagnostic models for railway applications through data augmentation,https://api.elsevier.com/content/abstract/scopus_id/85111801223,"The performance of machine learning based machine fault diagnosis (MFD) models could be impaired due to operating condition variations encountered in the real-world industrial environment, such as variations of operating speeds and loads. One major reason for this robustness problem is a lack of adequate training data, especially faulty data, measured in various operating conditions. To cover this gap, we propose a novel data augmentation framework for robustness enhancement in railway MFD applications. First, multibody dynamic simulation (MBS) for physical modeling is applied to simulate arbitrary faulty and operating conditions. Second, fast weighted feature-space averaging (FWFSA) as a new data augmentation technique is developed to augment the simulated faulty data, producing infinite reality-augmented simulation data. The proposed MBS-FWFSA can fit in arbitrary MFD algorithms and transfer-learning settings with minimal effort. Moreover, an in-depth empirical study has been carried out to investigate the causality between condition variations and robustness. A new metric has been defined to evaluate robustness. The experiments also revealed the effect of the proposed MBS-FWFSA and its outperformance against several state-of-the-art augmentation methods. The code and data used in this paper have been shared in our GitHub repository: https://github.com/quickhdsdc/Robustness-Enhancement-of-Machine-Fault-Diagnostic-Models.",health
