contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Chapter,doi:10.1007/978-3-030-81716-9_7,Fault Diagnosis in Structural Health Monitoring Systems Using Signal Processing and Machine Learning Techniques,Structural Health Monitoring Based on Data Science Techniques,10.1007/978-3-030-81716-9_7,Springer,2022-01-01,2021-10-24,"Smart structures leverage intelligent structural health monitoring (SHM) systems, which comprise sensors and processing units deployed to transform sensor data into decisions. Faulty sensors may compromise the reliability of SHM systems, causing data corruption, data loss, and erroneous judgment of structural conditions. Fault diagnosis (FD) of SHM systems encompasses the detection, isolation, identification, and accommodation of sensor faults, aiming to ensure the reliability of SHM systems. Typically, FD is based on “analytical redundancy,” utilizing correlated sensor data inherent to the SHM system. However, most analytical redundancy FD approaches neglect the fault identification step and are tailored to specific types of sensor data. In this chapter, an analytical redundancy FD approach for SHM systems is presented, coupling methods for processing any type of sensor data and two machine learning (ML) techniques, (i) an ML regression algorithm used for fault detection, fault isolation, and fault accommodation, and (ii) an ML classification algorithm used for fault identification. The FD approach is validated using an artificial neural network as ML regression algorithm and a convolutional neural network as ML classification algorithm. Validation is performed through a real-world SHM system in operation at a railway bridge. The results demonstrate the suitability of the FD approach for ensuring reliable SHM systems.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-81716-9_7,springer
Chapter,doi:10.1007/978-981-16-6542-4_18,AI Approach Based on Deep Learning for Classification of White Blood Cells as a for e-Healthcare Solution,Intelligent Interactive Multimedia Systems for e-Healthcare Applications,10.1007/978-981-16-6542-4_18,Springer,2022-01-01,2021-11-16,"Cognitive computing makes a computational device think digitally and interact in the same way that human beings do, while also highlighting that the factor to distinguish “traditional” computing from cognitive computing, is intelligent digital learning, achieved through artificial neural networks (ANN), elements from artificial intelligence (AI) through the deep learning (DL) technique with high capacity for computational processing concerning huge volumes of data. With the advancement of digital transformation in health technologies as cognitive computing and DL resulting in this new computational paradigm, pondering over disruptive tools giving traction to the changes transforming the way management acts and helping with medical assistance. Specifically, in the clinical area, it is more assertive diagnoses and treatments, or it can even point out the probability of a patient developing a disease, and besides, solutions based on cognitive computing have properties to suggest the treatment of diseases based on clinical protocols and best practices that have come to be effective, providing the physician with elements to deciding on what is the best care to be taken with the patient. In this context, this manuscript has the motivation and objective to develop a cognitive approach oriented towards DL, employing Python and Jupyter notebook, achieving accuracy at 84.19%, employed at a dataset of medical digital images of human blood smear fields of non-pathological leukocytes. The AI-oriented cognitive approach is pointed a reliable and inexpensive method that can be implemented as a third procedure for blood tests, for that portion of the world population associated with the inaccessible reality of public health derived often in underprivileged countries.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-6542-4_18,springer
Chapter,doi:10.1007/978-3-030-81716-9_6,Real-Time Unsupervised Detection of Early Damage in Railway Bridges Using Traffic-Induced Responses,Structural Health Monitoring Based on Data Science Techniques,10.1007/978-3-030-81716-9_6,Springer,2022-01-01,2021-10-24,"This chapter addresses unsupervised damage detection in railway bridges by presenting a novel AI-based SHM strategy using traffic-induced dynamic responses. To achieve this goal a hybrid combination of wavelets, PCA, and cluster analysis is implemented. Damage-sensitive features from train-induced dynamic responses are extracted and allow taking advantage not only of the repeatability of the loading, but also, of its large magnitude, thus enhancing sensitivity to small-magnitude structural changes. The effectiveness of the proposed methodology is validated in a long-span bowstring-arch railway bridge with a permanent structural monitoring system installed. A digital twin of the bridge was used, along with experimental values of temperature, noise, trains loadings, and speeds, to realistically simulate baseline and damage scenarios. The methodology proved highly sensitive in detecting early damage, even in case of small stiffness reductions that do not impair structural safety, as well as highly robust to false detections. The ability to identify early damage, imperceptible in the original signals, while avoiding observable changes induced by environmental and operational variations, is achieved by carefully defining the modelling and fusion sequence of the information. A damage detection strategy capable of characterizing multi-sensor data while being sensitive to identify local changes is proposed as a tool for real-time structural assessment of bridges without interfering with the normal service condition.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-81716-9_6,springer
Chapter,doi:10.1007/978-3-030-76732-7_4,Diagnosis and Analysis of Tuberculosis Disease Using Simple Neural Network and Deep Learning Approach for Chest X-Ray Images,Tracking and Preventing Diseases with Artificial Intelligence,10.1007/978-3-030-76732-7_4,Springer,2022-01-01,2021-07-15,"Artificial Intelligence (AI) based diagnosis of Tuberculosis (TB) disease has experienced large developments with the application of Machine Learning (ML) and Deep Learning (DL) methods to classify the disease as well as to detect it. TB is a contagious infection that usually presents on lungs and is identified through the initial level symptoms by conducting tests using Chest Radiographs (CXRs) and microscopic images. Powerful Diagnosis of Tuberculosis depends on rigorous analysis of radiological patterns realized in CXR. However, due to high number of patients burden and lack of resources in underdeveloped country is high chance of human error in analyzing the CXRs and hence, the diagnosis of TB becomes difficult. Our aim is to develop a computer aided diagnosis (CAD) system for TB disease classification, which can help in early diagnosis of the disease. Nowadays, deep learning based automatic feature extractors are used, when large dataset is concerned for accurate classification instead of using hand crafted features. Our work deals with above mentioned methods to have a justified explanation when working with small- and large-scale data learning problems. This work proposes two approaches for classification of TB disease using X-Ray dataset. In first approach, we have utilized handcrafted features in simple neural network with Support Vector Machine (SVM) to classify the disease as TB images and normal images. We have designed ANN system for 13 input neurons, 10 hidden neurons and 2 output neurons to train features, which are fed as input to SVM for classification purpose. Experiments are conducted on MATLAB 2014b. ANN-SVM based classification gives accuracy of 94.6% when all features are fed to it. This method is thereby awarding increase in efficiency and reduced diagnosis time. In second, we implemented Deep learning technique, which is capable of training high level features from dataset compared to handcrafted feature method to classify the TB disease. In which we have developed binary classification using Deep Convolutional Neural Network (DCNN). Google collab notebooks are used to model DCNN with GPU based Keras library and Tensor flow as back end. Experiments are conducted on Tuberculosis Chest X-ray dataset obtained from Kaggle community and showed output classification accuracy of 99.24%.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-76732-7_4,springer
Chapter,doi:10.1007/978-981-16-6542-4_15,"Security, Privacy and Trust Issues in Internet of Things and Machine Learning Based e-Healthcare",Intelligent Interactive Multimedia Systems for e-Healthcare Applications,10.1007/978-981-16-6542-4_15,Springer,2022-01-01,2021-11-16,"The Internet of Things (IoT) or Internet Connected Things is the networking of physical devices that are both connected and smart. These devices are embedded with software, sensors, and network connectivity that enables them to collect and exchange data. The number of IoT enabled devices developed makes the application of IoT more interesting. The utilization of IoT-based gadgets is changing individuals’ ways of life, especially in exercises identified with healthcare. But using these devices in many applications creates several serious drawbacks or pitfalls. This work provides information about avoidance, identification, treatment, and control of overweight and heftiness, and different sicknesses or medical issues. IoT can be absolutely an insurgency in the field as significant on the worldwide scale as medical services. In this work, we present a survey of the cutting edge of exploration including the IoT in healthcare, especially concerning overweight, corpulence, and ongoing degenerative infections. IoT implementation relies on different security and privacy challenges. To make use of IoT in real-life application confidentiality, integrity, authentication, authorization, trust, verification, information storage, and management, availability challenges need to be addressed. This work also gives an outline of Security, Privacy, Trust issues in IoT-Machine Learning based healthcare systems.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-6542-4_15,springer
Chapter,doi:10.1007/978-981-16-5304-9_10,Integration of Machine Learning and IoT for Assisting Medical Experts in Brain Tumor Diagnosis,Smart Healthcare Analytics: State of the Art,10.1007/978-981-16-5304-9_10,Springer,2022-01-01,2021-10-01,"The irregular development of tissue in the brain or spine is known as a brain tumor. A tumor is of two types that are malignant or benign. A brain tumor can be differentiated between primary as well as secondary. When its diagnosis is done using a traditional approach where segmentation is not as skilled as when done with help of ML or deep learning and it’s a time taking process. IoT helps in making treatment hassle-free for the patient as well as provides better communication for both. A lot of IoT-based devices help in self-assessment. A better solution compared to the manual approach is that of the Machine learning-based approach in terms of quality and labor. Various Machine learning processes for detection could be used. Segmentation, and classification through deep learning seems a better approach than machine learning. Comparison of different methods of feature extraction, segmentation method, and classification method using Machine learning and then by deep learning is done separately in the tables. An optimized algorithm is really important for the best result. So here an optimized way is used which includes the use of IoT along with CWOA and ANN for a precise result. CWOA is explained which is derived from WOA along with pseudocode. Post getting the scans a sensor is used to convert images into electrical signals and store them in the server after that in Pre-processing, a median filter can be used to reduce noise. For image segmentation, Otus’s method is used for thresholding. Various features are extracted using texture, statistics and for feature selection, CWOA has been used and for classification, ANN is used with CWOA. Later a comparison is done among all the models and for day to day implementation the accurate result is handled to the server which the patients can use with help of a mobile IoT based application.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-5304-9_10,springer
Chapter,doi:10.1007/978-3-030-81716-9_12,Integrated SHM Systems: Damage Detection Through Unsupervised Learning and Data Fusion,Structural Health Monitoring Based on Data Science Techniques,10.1007/978-3-030-81716-9_12,Springer,2022-01-01,2021-10-24,"One of the most daunting challenges of modern structural engineering concerns the management and maintenance of ageing infrastructure. The technical response to this challenge falls within the framework of structural health monitoring (SHM), which pursues the automated diagnosis and prognosis of structures from continuously acquired sensor data. In the last years, particular attention has been devoted in the literature to ambient vibration-based SHM owing to its minimal intrusiveness and global damage identification capabilities. Nevertheless, the sheer variety of failure mechanisms that large-scale civil engineering structures may experience, some of which may be of local nature, compels the use of integrated SHM systems and data fusion for comprehensive damage identification. As a result, such systems must deal with extensive databases of heterogeneous monitoring data, being the selection of critical features a key step to link signals to decisions. This chapter presents an overview of some of the most recent statistical pattern recognition, data fusion, feature extraction and damage detection techniques for integrated SHM systems. Under an application-oriented philosophy, the theoretical basis and implementation details of these techniques are illustrated through real case studies of Italian historic buildings.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-81716-9_12,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-87869-6_57,Anomaly Detection for Health Monitoring of Heavy Equipment Using Hierarchical Prediction with Correlative Feature Learning,16th International Conference on Soft Computing Models in Industrial and Environmental Applications (SOCO 2021),10.1007/978-3-030-87869-6_57,Springer,2022-01-01,2021-09-23,"Data-based diagnostics and condition prediction research is actively underway in the heavy equipment industry, including construction machinery. However, it is practically difficult to obtain anomalous data and predict maintenance in most industrial equipment. Also, several problems occur with missing sensors and abnormal conditions of equipment in various forms. In this paper, a realistic industrial problem is dealt with an anomaly detection approach based on prediction of multi-sensor data collected under normal conditions. We propose a multiple feature extraction model to discriminate at least four different anomaly types, and a prediction model based on normal state to diagnose abnormalities according to the difference between the predicted and the actual values. The proposed method uses a hierarchical model that predicts missing sensor information and predicts global sensor information. Extensive experiments have shown that the proposed model improves robustness and detection accuracy. Our model generates missing sensor data with about 90% accuracy and detects anomalies with about 85% accuracy, even if part of the sensor is missing or the device has been changed.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-87869-6_57,springer
Article,doi:10.1245/s10434-021-10959-2,ASO Visual Abstract: Diagnostic Performance of Artificial Intelligence-Centered Systems in the Diagnosis and Postoperative Surveillance of Upper Gastrointestinal Malignancies Using Computed Tomography Imaging: A Systematic Review and Meta-Analysis of Diagnostic Accuracy,Annals of Surgical Oncology,10.1245/s10434-021-10959-2,Springer,2021-11-11,2021-11-11,,http://link.springer.com/openurl/pdf?id=doi:10.1245/s10434-021-10959-2,springer
Article,doi:10.1038/s41598-021-01678-5,Author Correction: Clinically applicable artificial intelligence system for dental diagnosis with CBCT,Scientific Reports,10.1038/s41598-021-01678-5,Nature,2021-11-09,2021-11-09,,https://www.nature.com/articles/s41598-021-01678-5,springer
