id,updated,published,title,summary,database
http://arxiv.org/abs/2007.03580v1,2020-07-07T15:58:10Z,2020-07-07T15:58:10Z,Using Semantic Web Services for AI-Based Research in Industry 4.0,"The transition to Industry 4.0 requires smart manufacturing systems that are
easily configurable and provide a high level of flexibility during
manufacturing in order to achieve mass customization or to support cloud
manufacturing. To realize this, Cyber-Physical Systems (CPSs) combined with
Artificial Intelligence (AI) methods find their way into manufacturing shop
floors. For using AI methods in the context of Industry 4.0, semantic web
services are indispensable to provide a reasonable abstraction of the
underlying manufacturing capabilities. In this paper, we present semantic web
services for AI-based research in Industry 4.0. Therefore, we developed more
than 300 semantic web services for a physical simulation factory based on Web
Ontology Language for Web Services (OWL-S) and Web Service Modeling Ontology
(WSMO) and linked them to an already existing domain ontology for intelligent
manufacturing control. Suitable for the requirements of CPS environments, our
pre- and postconditions are verified in near real-time by invoking other
semantic web services in contrast to complex reasoning within the knowledge
base. Finally, we evaluate our implementation by executing a cyber-physical
workflow composed of semantic web services using a workflow management system.",arxiv
http://arxiv.org/abs/2005.13669v1,2020-05-27T21:32:44Z,2020-05-27T21:32:44Z,"The Manufacturing Data and Machine Learning Platform: Enabling Real-time
  Monitoring and Control of Scientific Experiments via IoT","IoT devices and sensor networks present new opportunities for measuring,
monitoring, and guiding scientific experiments. Sensors, cameras, and
instruments can be combined to provide previously unachievable insights into
the state of ongoing experiments. However, IoT devices can vary greatly in the
type, volume, and velocity of data they generate, making it challenging to
fully realize this potential. Indeed, synergizing diverse IoT data streams in
near-real time can require the use of machine learning (ML). In addition, new
tools and technologies are required to facilitate the collection, aggregation,
and manipulation of sensor data in order to simplify the application of ML
models and in turn, fully realize the utility of IoT devices in laboratories.
Here we will demonstrate how the use of the Argonne-developed Manufacturing
Data and Machine Learning (MDML) platform can analyze and use IoT devices in a
manufacturing experiment. MDML is designed to standardize the research and
operational environment for advanced data analytics and AI-enabled automated
process optimization by providing the infrastructure to integrate AI in
cyber-physical systems for in situ analysis. We will show that MDML is capable
of processing diverse IoT data streams, using multiple computing resources, and
integrating ML models to guide an experiment.",arxiv
http://arxiv.org/abs/1908.02150v3,2019-10-22T02:23:42Z,2019-08-04T05:19:43Z,Industrial Artificial Intelligence,"Artificial Intelligence (AI) is a cognitive science to enables human to
explore many intelligent ways to model our sensing and reasoning processes.
Industrial AI is a systematic discipline to enable engineers to systematically
develop and deploy AI algorithms with repeating and consistent successes. In
this paper, the key enablers for this transformative technology along with
their significant advantages are discussed. In addition, this research explains
Lighthouse Factories as an emerging status applying to the top manufacturers
that have implemented Industrial AI in their manufacturing ecosystem and gained
significant financial benefits. It is believed that this research will work as
a guideline and roadmap for researchers and industries towards the real-world
implementation of Industrial AI.",arxiv
http://arxiv.org/abs/2012.09610v1,2020-10-30T20:33:05Z,2020-10-30T20:33:05Z,Validate and Enable Machine Learning in Industrial AI,"Industrial Artificial Intelligence (Industrial AI) is an emerging concept
which refers to the application of artificial intelligence to industry.
Industrial AI promises more efficient future industrial control systems.
However, manufacturers and solution partners need to understand how to
implement and integrate an AI model into the existing industrial control
system. A well-trained machine learning (ML) model provides many benefits and
opportunities for industrial control optimization; however, an inferior
Industrial AI design and integration limits the capability of ML models. To
better understand how to develop and integrate trained ML models into the
traditional industrial control system, test the deployed AI control system, and
ultimately outperform traditional systems, manufacturers and their AI solution
partners need to address a number of challenges. Six top challenges, which were
real problems we ran into when deploying Industrial AI, are explored in the
paper. The Petuum Optimum system is used as an example to showcase the
challenges in making and testing AI models, and more importantly, how to
address such challenges in an Industrial AI system.",arxiv
http://arxiv.org/abs/2001.05703v1,2020-01-16T09:13:31Z,2020-01-16T09:13:31Z,"A Markerless Deep Learning-based 6 Degrees of Freedom PoseEstimation for
  with Mobile Robots using RGB Data","Augmented Reality has been subject to various integration efforts within
industries due to its ability to enhance human machine interaction and
understanding. Neural networks have achieved remarkable results in areas of
computer vision, which bear great potential to assist and facilitate an
enhanced Augmented Reality experience. However, most neural networks are
computationally intensive and demand huge processing power thus, are not
suitable for deployment on Augmented Reality devices. In this work we propose a
method to deploy state of the art neural networks for real time 3D object
localization on augmented reality devices. As a result, we provide a more
automated method of calibrating the AR devices with mobile robotic systems. To
accelerate the calibration process and enhance user experience, we focus on
fast 2D detection approaches which are extracting the 3D pose of the object
fast and accurately by using only 2D input. The results are implemented into an
Augmented Reality application for intuitive robot control and sensor data
visualization. For the 6D annotation of 2D images, we developed an annotation
tool, which is, to our knowledge, the first open source tool to be available.
We achieve feasible results which are generally applicable to any AR device
thus making this work promising for further research in combining high
demanding neural networks with Internet of Things devices.",arxiv
http://arxiv.org/abs/2108.04465v1,2021-08-10T06:20:18Z,2021-08-10T06:20:18Z,"Industrial Digital Twins at the Nexus of NextG Wireless Networks and
  Computational Intelligence: A Survey","By amalgamating recent communication and control technologies, computing and
data analytics techniques, and modular manufacturing, Industry~4.0 promotes
integrating cyber-physical worlds through cyber-physical systems (CPS) and
digital twin (DT) for monitoring, optimization, and prognostics of industrial
processes. A DT is an emerging but conceptually different construct than CPS.
Like CPS, DT relies on communication to create a highly-consistent,
synchronized digital mirror image of the objects or physical processes. DT, in
addition, uses built-in models on this precise image to simulate, analyze,
predict, and optimize their real-time operation using feedback. DT is rapidly
diffusing in the industries with recent advances in the industrial Internet of
things (IIoT), edge and cloud computing, machine learning, artificial
intelligence, and advanced data analytics. However, the existing literature
lacks in identifying and discussing the role and requirements of these
technologies in DT-enabled industries from the communication and computing
perspective. In this article, we first present the functional aspects, appeal,
and innovative use of DT in smart industries. Then, we elaborate on this
perspective by systematically reviewing and reflecting on recent research in
next-generation (NextG) wireless technologies (e.g., 5G and beyond networks),
various tools (e.g., age of information, federated learning, data analytics),
and other promising trends in networked computing (e.g., edge and cloud
computing). Moreover, we discuss the DT deployment strategies at different
industrial communication layers to meet the monitoring and control requirements
of industrial applications. We also outline several key reflections and future
research challenges and directions to facilitate industrial DT's adoption.",arxiv
http://arxiv.org/abs/2103.11879v2,2021-09-13T07:07:50Z,2021-03-22T14:16:16Z,Real-time End-to-End Federated Learning: An Automotive Case Study,"With the development and the increasing interests in ML/DL fields, companies
are eager to apply Machine Learning/Deep Learning approaches to increase
service quality and customer experience. Federated Learning was implemented as
an effective model training method for distributing and accelerating
time-consuming model training while protecting user data privacy. However,
common Federated Learning approaches, on the other hand, use a synchronous
protocol to conduct model aggregation, which is inflexible and unable to adapt
to rapidly changing environments and heterogeneous hardware settings in
real-world scenarios. In this paper, we present an approach to real-time
end-to-end Federated Learning combined with a novel asynchronous model
aggregation protocol. Our method is validated in an industrial use case in the
automotive domain, focusing on steering wheel angle prediction for autonomous
driving. Our findings show that asynchronous Federated Learning can
significantly improve the prediction performance of local edge models while
maintaining the same level of accuracy as centralized machine learning.
Furthermore, by using a sliding training window, the approach can minimize
communication overhead, accelerate model training speed and consume real-time
streaming data, proving high efficiency when deploying ML/DL components to
heterogeneous real-world embedded systems.",arxiv
http://arxiv.org/abs/2009.03645v1,2020-09-08T11:31:43Z,2020-09-08T11:31:43Z,"Detection of Anomalies and Faults in Industrial IoT Systems by Data
  Mining: Study of CHRIST Osmotron Water Purification System","Industry 4.0 will make manufacturing processes smarter but this smartness
requires more environmental awareness, which in case of Industrial Internet of
Things, is realized by the help of sensors. This article is about industrial
pharmaceutical systems and more specifically, water purification systems.
Purified water which has certain conductivity is an important ingredient in
many pharmaceutical products. Almost every pharmaceutical company has a water
purifying unit as a part of its interdependent systems. Early detection of
faults right at the edge can significantly decrease maintenance costs and
improve safety and output quality, and as a result, lead to the production of
better medicines. In this paper, with the help of a few sensors and data mining
approaches, an anomaly detection system is built for CHRIST Osmotron water
purifier. This is a practical research with real-world data collected from
SinaDarou Labs Co. Data collection was done by using six sensors over two-week
intervals before and after system overhaul. This gave us normal and faulty
operation samples. Given the data, we propose two anomaly detection approaches
to build up our edge fault detection system. The first approach is based on
supervised learning and data mining e.g. by support vector machines. However,
since we cannot collect all possible faults data, an anomaly detection approach
is proposed based on normal system identification which models the system
components by artificial neural networks. Extensive experiments are conducted
with the dataset generated in this study to show the accuracy of the
data-driven and model-based anomaly detection methods.",arxiv
http://arxiv.org/abs/1810.07829v1,2018-10-17T23:06:06Z,2018-10-17T23:06:06Z,"Quality 4.0: Let's Get Digital - The many ways the fourth industrial
  revolution is reshaping the way we think about quality","The technology landscape is richer and more promising than ever before. In
many ways, cloud computing, big data, virtual reality (VR), augmented reality
(AR), blockchain, additive manufacturing, artificial intelligence (AI), machine
learning (ML), Internet Protocol Version 6 (IPv6), cyber-physical systems and
the Internet of Things (IoT) all represent new frontiers. These technologies
can help improve product and service quality, and organizational performance.
In many regions, the internet is now as ubiquitous as electricity. Components
are relatively cheap. A robust ecosystem of open-source software libraries
means that engineers can solve problems 100 times faster than just two decades
ago. This digital transformation is leading us toward connected intelligent
automation: smart, hyperconnected agents deployed in environments where humans
and machines cooperate, and leverage data, to achieve shared goals. This is not
the worlds first industrial revolution. In fact, it is its fourth, and the
disruptive changes it will bring suggest we will need a fresh perspective on
quality to adapt to it.",arxiv
http://arxiv.org/abs/1705.00346v1,2017-04-30T17:17:44Z,2017-04-30T17:17:44Z,Deep Learning in the Automotive Industry: Applications and Tools,"Deep Learning refers to a set of machine learning techniques that utilize
neural networks with many hidden layers for tasks, such as image
classification, speech recognition, language understanding. Deep learning has
been proven to be very effective in these domains and is pervasively used by
many Internet services. In this paper, we describe different automotive uses
cases for deep learning in particular in the domain of computer vision. We
surveys the current state-of-the-art in libraries, tools and infrastructures
(e.\,g.\ GPUs and clouds) for implementing, training and deploying deep neural
networks. We particularly focus on convolutional neural networks and computer
vision use cases, such as the visual inspection process in manufacturing plants
and the analysis of social media data. To train neural networks, curated and
labeled datasets are essential. In particular, both the availability and scope
of such datasets is typically very limited. A main contribution of this paper
is the creation of an automotive dataset, that allows us to learn and
automatically recognize different vehicle properties. We describe an end-to-end
deep learning application utilizing a mobile app for data collection and
process support, and an Amazon-based cloud backend for storage and training.
For training we evaluate the use of cloud and on-premises infrastructures
(including multiple GPUs) in conjunction with different neural network
architectures and frameworks. We assess both the training times as well as the
accuracy of the classifier. Finally, we demonstrate the effectiveness of the
trained classifier in a real world setting during manufacturing process.",arxiv
