doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/ICAIIC51459.2021.9415257,A Deep Learning Module Design for Workspace Identification in Manufacturing Industry,IEEE,Conferences,"In this paper, in order to solve various problems occurring in the workspace, a deep learning-based workspace identification module was designed, and the performance was analyzed through an experiment on the recognition accuracy according to the configuration of the training dataset and the number of training. The data model of the designed deep learning module is ResNetl8, and after setting up three dataset strategies, a dataset using five types of workspaces of the manufacturing industry was selected. In terms of the average top 5 and all training, strategy 2 was 81.2% and 76.4%, respectively, confirming that it was the best among the 3 strategies. In the future, after upgrading the designed module, it is planned to implement a module with real-time workspace identification performance level of practical use in a mobile environment with an image input device installed.",https://ieeexplore.ieee.org/document/9415257/,2021 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),13-16 April 2021,ieeexplore
10.1109/IS.2018.8710526,A Digital Twin-based Privacy Enhancement Mechanism for the Automotive Industry,IEEE,Conferences,"This paper discusses a Digital Twin demonstrator for privacy enhancement in the automotive industry. Here, the Digital Twin demonstrator is presented as a method for the design and implementation of privacy enhancement mechanisms, and is used to detect privacy concerns and minimize breaches and associated risks to which smart car drivers can be exposed through connected infotainment applications and services. The Digital Twin-based privacy enhancement demonstrator is designed to simulate variety of conditions that can occur in the smart car ecosystem. We firstly identify the core stakeholders (actors) in the smart car ecosystem, their roles and exposure to privacy vulnerabilities and associated risks. Secondly, we identify assets that consume and generate sensitive privacy data in smart cars, their functionalities, and relevant privacy concerns and risks. Thirdly, we design an infrastructure for collecting (i) real-time sensor data from smart cars and their assets, and (ii) environmental data, road and traffic data, generated through operational driving lifecycle. In order to ensure compliance of the collected data with privacy policies and regulations, e.g. with GDPR requirements for enforcement of the data subject's rights, we design methods for the Digital Twin-based privacy enhancement demonstrator that are based on behavioural analytics informed by GDPR. We also perform data anonymization to minimize privacy risks and enable actions such as sending an automatic informed consent to the stakeholders.",https://ieeexplore.ieee.org/document/8710526/,2018 International Conference on Intelligent Systems (IS),25-27 Sept. 2018,ieeexplore
10.1109/ICMCCE.2018.00050,A Smart Manufacturing Compliance Architecture of Electronic Batch Recording System (eBRS) for Life Sciences Industry,IEEE,Conferences,"The paradigm shift brought about by smart manufacturing or Industrie 4.0 has posed threefold challenges to electronic batch recording system (eBRS) in Life Sciences Industry: 1) the structure of the data should be informative and standard for interoperate using information models, 2) administration of synchronization between physical world and cyber world for smart decision making and optimization using cyber physical system (CPS) and 3) so-called digital manufacturing operations management (digital MOM) characterized by decentralization, comprehensive collaboration and servitization shall be implemented. Under the new situations of smart manufacturing or Industrie 4.0, the requirements from information models, CPS and digital MOM will become the most principal criteria to be considered for future eBRS/MES and other operations management information system in shop floor. To fulfill these demands, an approach combining ISA95/88 hybrid model with activities ontology and variant domain-driven design for SOA-based eBRS development has been presented. An eBRS software platform has been developed on the theoretical basis and applied to a specific application scenario of Lyophilized Injection Production for verifying its feasibility purpose.",https://ieeexplore.ieee.org/document/8537548/,"2018 3rd International Conference on Mechanical, Control and Computer Engineering (ICMCCE)",14-16 Sept. 2018,ieeexplore
10.1109/PacificVis.2018.00026,A Visual Analytics Approach for Equipment Condition Monitoring in Smart Factories of Process Industry,IEEE,Conferences,"Monitoring equipment conditions is of great value in manufacturing, which can not only reduce unplanned downtime by early detecting anomalies of equipment but also avoid unnecessary routine maintenance. With the coming era of Industry 4.0 (or industrial internet), more and more assets and machines in plants are equipped with various sensors and information systems, which brings an unprecedented opportunity to capture large-scale and fine-grained data for effective on-line equipment condition monitoring. However, due to the lack of systematic methods, analysts still find it challenging to carry out efficient analyses and extract valuable information from the mass volume of data collected, especially for process industry (e.g., a petrochemical plant) with complex manufacturing procedures. In this paper, we report the design and implementation of an interactive visual analytics system, which helps managers and operators at manufacturing sites leverage their domain knowledge and apply substantial human judgements to guide the automated analytical approaches, thus generating understandable and trustable results for real-world applications. Our system integrates advanced analytical algorithms (e.g., Gaussian mixture model with a Bayesian framework) and intuitive visualization designs to provide a comprehensive and adaptive semi-supervised solution to equipment condition monitoring. The example use cases based on a real-world manufacturing dataset and interviews with domain experts demonstrate the effectiveness of our system.",https://ieeexplore.ieee.org/document/8365986/,2018 IEEE Pacific Visualization Symposium (PacificVis),10-13 April 2018,ieeexplore
10.1109/BigData.2014.7004408,Advanced planning and control of manufacturing processes in steel industry through big data analytics: Case study and architecture proposal,IEEE,Conferences,"Enterprises in today's globalized world are compelled to react on threats and opportunities in a highly flexible manner. Hence, companies that are able to analyze the current state of their business processes, forecast their most optimal progresses and with this proactively control them will have a decisive competitive advantage. Technological progress in sensor technology has boosted real-time situation awareness, especially in manufacturing operations. The paper at hands examines, based on a case study stemming from the steel manufacturing industry, which production-related data is collectable using state of the art sensors forming a basis for a detailed situation awareness and for deriving accurate forecasts. However, analyses of this data point out that dedicated big data analytics approaches are required to utilize the full potential out of it. By proposing an architecture for predictive process planning and control systems, the paper intends to form a working and discussion basis for further research and implementation efforts in big data analytics.",https://ieeexplore.ieee.org/document/7004408/,2014 IEEE International Conference on Big Data (Big Data),27-30 Oct. 2014,ieeexplore
10.1109/HICSS.2007.52,Agent-based Human-computer-interaction for Real-time Monitoring Systems in the Trucking Industry,IEEE,Conferences,"Auto ID systems can replace time-consuming, costly and error-prone processes of human data entry and produce detailed real time information. However, they would add value only to the extent that data is presented in a user-friendly manner. As model-based decision support is not always adequate, an agent-based approach is often chosen. Real life entities such as orders and trucks are represented by agents, which negotiate in order to solve planning problems. For the respective data representation at least two forms can be distinguished, focusing either on (1) resources (account-based) or (2) orders (order-centric). Applying cognitive fit theory we describe how the different interfaces affect decision making. The hypotheses would be tested in a laboratory experiment. The intended contribution should support that order-centric interfaces have higher user-friendliness and are especially beneficial to low-analytics and planners working under time pressure",https://ieeexplore.ieee.org/document/4076424/,2007 40th Annual Hawaii International Conference on System Sciences (HICSS'07),3-6 Jan. 2007,ieeexplore
10.1109/COASE.2018.8560557,An Industry 4.0 Cyber-Physical Framework for Micro Devices Assembly,IEEE,Conferences,"An advanced cyber manufacturing framework to support the collaborative assembly of micro devices is presented based on Industry 4.0 principles. The distributed cyber and physical components work together to plan, assemble and monitor micro assembly related tasks; micro assembly refers to the assembly of micron sized devices which cannot be manufactured by MEMS technologies. The collaborative framework proposed includes assembly planning and path planning modules, Virtual Reality based assembly simulation environments and physical assembly work cells. An ontology based approach was implemented to address semantic interoperability issues to support formation of temporary partnerships in a Virtual Enterprise context. The key to the design and implementation of this complex framework is an information centric process modeling approach which provides a data/information oriented basis for collaboration. A collaborative cyber physical test bed has been built to demonstrate feasibility of proposed framework and approach.",https://ieeexplore.ieee.org/document/8560557/,2018 IEEE 14th International Conference on Automation Science and Engineering (CASE),20-24 Aug. 2018,ieeexplore
10.1109/SYSCON.2018.8369547,An interactive architecture for industrial scale prediction: Industry 4.0 adaptation of machine learning,IEEE,Conferences,"According to wiki definition, there are four design principles in Industry 4.0. These principles support companies in identifying and implementing Industry 4.0 scenarios, namely, Interoperability, Information transparency, Technical assistance, Decentralized decisions. In this paper we have discussed our work on an implementation of a machine learning based interactive architecture for industrial scale prediction for dynamic distribution of water resources across the continent, keeping the four corners of Industry 4.0 in place. We report the possibility of producing most probable high resolution estimation regarding the water balance in any region within Australia by implementation of an intelligent system that can integrate spatial-temporal data from various independent sensors and models, with the ground truth data produced by 250 practitioners from the irrigation industry across Australia. This architectural implementation on a cloud computing platform linked with a freely distributed mobile application, allowing interactive ground truthing of a machine learning model on a continental scale, shows accuracy of 90% with 85% sensitivity of correct surface soil moisture estimation with end users at its complete control. Along with high level of information transparency and interoperability, providing on-demand technical supports and motivating users by allowing them to customize and control their own local predictive models, show the successfulness of principles in Industry 4.0 in real environmental issues in the future adaptation in various industries starting from resource management to modern generation soft robotics.",https://ieeexplore.ieee.org/document/8369547/,2018 Annual IEEE International Systems Conference (SysCon),23-26 April 2018,ieeexplore
10.1109/PerComWorkshops51409.2021.9431009,Architecture and pervasive platform for machine learning services in Industry 4.0,IEEE,Conferences,"Pervasive computing promotes the integration of smart electronic devices in our living and working spaces in order to provide new, advanced services. Recently many prototype services based on machine learning techniques have been proposed in a number of domains like smart homes, smart buildings or smart plants. However, the number of applications effectively deployed in the real world is still limited. We believe that architectural principles and integrated frameworks are still missing today to successfully and repetitively support application developers and operators. In this paper, we present a novel architecture and a pervasive platform allowing the development of machine learning based applications in smart buildings.",https://ieeexplore.ieee.org/document/9431009/,2021 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops),22-26 March 2021,ieeexplore
10.1109/IV47402.2020.9304778,"Autonomous Driving Vehicle Control Auto-Calibration System: An Industry-Level, Data-Driven and Learning-based Vehicle Longitudinal Dynamic Calibrating Algorithm",IEEE,Conferences,"The control module is a crucial part for autonomous driving systems, a typical control algorithm often requires vehicle dynamics (such as longitudinal dynamics) as inputs, which, unfortunately are difficult to calibrate in real time. Further, it is also a challenge to reflect instantaneous changes in longitudinal dynamics (e.g. load changes) using a calibration table. As a result, control performance may deteriorate when load changes considerably (especially for small cargoes). In this paper, we will show how we build a data-driven longitudinal calibration procedure using machine learning techniques to adapt load changes in real time. We first generated offline calibration tables from human driving data. The offline table serves as an initial guess for later uses, and it only requires twenty minutes of data collection and processing. We then used an online learning algorithm to appropriately update the initial table (the offline table) based on real-time performance analysis. Experiments indicated (a) offline auto-calibration leads to a better control accuracy, compared with manual calibration; (b) online auto-calibration is capable to handle load changes and significantly reduce real time control error. This system has been deployed to more than one hundred Baidu self-driving vehicles (both hybrid and electronic vehicles) since April 2018. By January 2019, the system had been tested for more than 2,000 hours and over 10,000 kilometers (6,213 miles) and was still proven to be effective.",https://ieeexplore.ieee.org/document/9304778/,2020 IEEE Intelligent Vehicles Symposium (IV),19 Oct.-13 Nov. 2020,ieeexplore
