id,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1016/j.rcim.2021.102283,Journal,Robotics and Computer-Integrated Manufacturing,scopus,2022-04-01,sciencedirect,Real-time data-driven dynamic scheduling for flexible job shop with insufficient transportation resources using hybrid deep Q network,https://api.elsevier.com/content/abstract/scopus_id/85118113364,"With the extensive application of automated guided vehicles in manufacturing system, production scheduling considering limited transportation resources becomes a difficult problem. At the same time, the real manufacturing system is prone to various disturbance events, which increase the complexity and uncertainty of shop floor. To this end, this paper addresses the dynamic flexible job shop scheduling problem with insufficient transportation resources (DFJSP-ITR) to minimize the makespan and total energy consumption. As a sequential decision-making problem, DFJSP-ITR can be modeled as a Markov decision process where the agent should determine the scheduling object and allocation of resources at each decision point. So this paper adopts deep reinforcement learning to solve DFJSP-ITR. In this paper, the multiobjective optimization model of DFJSP-ITR is established. Then, in order to make agent learn to choose the appropriate rule based on the production state at each decision point, a hybrid deep Q network (HDQN) is developed for this problem, which combines deep Q network with three extensions. Moreover, the shop floor state model is established at first, and then the decision point, generic state features, genetic-programming-based action space and reward function are designed. Based on these contents, the training method using HDQN and the strategy for facing new job insertions and machine breakdowns are proposed. Finally, comprehensive experiments are conducted, and the results show that HDQN has superiority and generality compared with current optimization-based approaches, and can effectively deal with disturbance events and unseen situations through learning.",industry
10.1016/j.ymssp.2021.108372,Journal,Mechanical Systems and Signal Processing,scopus,2022-02-15,sciencedirect,Robotic seam tracking system combining convolution filter and deep reinforcement learning,https://api.elsevier.com/content/abstract/scopus_id/85113754502,"To perform automatic, real-time seam tracking tasks effectively, a robust and accurate seam tracking system must be designed. In this paper, we solve the seam tracking issue using a six-axis welding robot, a line laser sensor and an industrial computer. The processing of welding images is the core of the seam tracking system, which aims to determine the weld feature point in each image. We propose a two-stage weld feature point localization method that combines convolution filter and deep reinforcement learning (CF-DRL) to localize the weld feature point in each welding image robustly and accurately. In the first stage, the weld feature point is roughly tracked using a convolution filter tracker. But the position given by the convolution tracker is sometimes not accurate enough due to the natural gap between visual tracking and seam tracking. Consequently, in the second stage, the weld feature point should be further refined using our trained policy network. Using our two-stage weld feature point localization method, the weld feature points can be determined from noisy images in real time during the welding process. The 3D coordinate values of these points are obtained according to the structured light measurement principle to control the movement of the robot and the torch in real time. A robotic seam tracking system is established based on the equipment and methods mentioned above. Experimental results show that the welding torch runs smoothly with a strong arc light and splash interference. The mean tracking error of our experiments reaches 0.189 mm, which can fulfill actual welding requirements. Several comparison tests have been performed to illustrate the robustness and accuracy of our seam tracking system using our welding image dataset.",industry
10.1016/j.ssci.2021.105529,Journal,Safety Science,scopus,2022-02-01,sciencedirect,A novel decision support system for managing predictive maintenance strategies based on machine learning approaches,https://api.elsevier.com/content/abstract/scopus_id/85118705579,"Nowadays, the industrial environment is characterised by growing competitiveness, short response times, cost reduction and reliability of production to meet customer needs. Thus, the new industrial paradigm of Industry 4.0 has gained interest worldwide, leading many manufacturers to a significant digital transformation. Digital technologies have enabled a novel approach to decision-making processes based on data-driven strategies, where knowledge extraction relies on the analysis of a large amount of data from sensor-equipped factories. In this context, Predictive Maintenance (PdM) based on Machine Learning (ML) is one of the most prominent data-driven analytical approaches for monitoring industrial systems aiming to maximise reliability and efficiency. In fact, PdM aims not only to reduce equipment failure rates but also to minimise operating costs by maximising equipment life. When considering industrial applications, industries deal with different issues and constraints relating to process digitalisation. The main purpose of this study is to develop a new decision support system based on decision trees (DTs) that guides the decision-making process of PdM implementation, considering context-aware information, quality and maturity of collected data, severity, occurrence and detectability of potential failures (identified through FMECA analysis) and direct and indirect maintenance costs. The decision trees allow the study of different scenarios to identify the conditions under which a PdM policy, based on the ML algorithm, is economically profitable compared to corrective maintenance, considered to be the current scenario. The results show that the proposed methodology is a simple and easy way to implement tool to support the decision process by assessing the different levels of occurrence and severity of failures. For each level, savings and the potential costs have been evaluated at leaf nodes of the trees aimed at defining the most suitable maintenance strategy implementation. Finally, the proposed DTs are applied to a real industrial case to illustrate their applicability and robustness.",industry
10.1016/j.eswa.2021.116045,Journal,Expert Systems with Applications,scopus,2022-02-01,sciencedirect,POSIMNET-R: An immunologic resilient approach to position routers in Industrial Wireless Sensor Networks,https://api.elsevier.com/content/abstract/scopus_id/85117584055,"Industry 4.0 has increased the interest in employing Industrial Wireless Sensor Network (IWSN) technologies in industrial automation. The advantages range from ease of installation and maintenance to reduced deployment time and infrastructure costs. However, industrial automation has critical requirements regarding network infrastructure, such as reliability and failure tolerance. Therefore, it is imperative to have an adequate placement of sensor and router nodes, to obtain a network with multiple paths, allowing the data to reach management systems within a reasonable time, even in the event of failures. The placement of router nodes has to consider latency, network lifespan, connectivity, and failure tolerance aspects in a possibly hostile environment, with classified areas and obstacles such as silos, tanks and buildings. We present a new approach, called POSIMNET-R, to place IWSN routing nodes in an industrial configuration, which circumvents forbidden areas and obstacles, based on Artificial Immunological Networks. The resulting network offers low failure rates and path redundancy criteria. The results have shown that POSIMNET-R was capable of providing a reliable network with multiple paths and resilience of the used routers equal to 81.50% in the basic case study and 73.66% in the real case scenario.",industry
10.1016/j.ress.2021.108119,Journal,Reliability Engineering and System Safety,scopus,2022-02-01,sciencedirect,Prognostics and Health Management (PHM): Where are we and where do we (need to) go in theory and practice,https://api.elsevier.com/content/abstract/scopus_id/85117331443,"We are performing the digital transition of industry, living the 4th industrial revolution, building a new World in which the digital, physical and human dimensions are interrelated in complex socio-cyber-physical systems. For the sustainability of these transformations, knowledge, information and data must be integrated within model-based and data-driven approaches of Prognostics and Health Management (PHM) for the assessment and prediction of structures, systems and components (SSCs) evolutions and process behaviors, so as to allow anticipating failures and avoiding accidents, thus, aiming at improved safe and reliable design, operation and maintenance.
                  There is already a plethora of methods available for many potential applications and more are being developed: yet, there are still a number of critical problems which impede full deployment of PHM and its benefits in practice. In this respect, this paper does not aim at providing a survey of existing works for an introduction to PHM nor at providing new tools or methods for its further development; rather, it aims at pointing out main challenges and directions of advancements, for full deployment of condition-based and predictive maintenance in practice.",industry
10.1016/j.eswa.2021.116014,Journal,Expert Systems with Applications,scopus,2022-02-01,sciencedirect,Broken stitch detection method for sewing operation using CNN feature map and image-processing techniques,https://api.elsevier.com/content/abstract/scopus_id/85116882516,"The inspection of sewing defects is an essential step in the quality assurance of garment manufacturing. Although traditional automated defect detection applications have shown good performance, these methods are usually configured with handcrafted features designed by a human operator. Recently, deep learning methods that include Convolutional Neural Networks (CNNs) have demonstrated excellent performance in a wide variety of computer-vision applications. To take advantage of the CNN’s feature representation, the direct utilization of feature maps from the convolutional layers as universal feature descriptors has been studied. In this paper, we propose a sewing defect detection method using a CNN feature map extracted from the initial layers of a pre-trained VGG-16 to detect a broken stitch from a captured image of a sewing operation. To assess the effectiveness of the proposed method, experiments were conducted on a set of sewing images, including normal images, their synthetic defects, and rotated images. As a result, the proposed method detected true defects with 92.3% accuracy. Moreover, additional conditions for computing devices and deep learning libraries were investigated to reduce the computing time required for real-time computation. Using a general and cheap single-board computer with resizing the image and utilizing a lightweight deep learning library, the computing time was 0.22 s. The results confirm the feasibility of the proposed method’s performance as an appropriate manufacturing technology for garment production.",industry
10.1016/j.rcim.2021.102260,Journal,Robotics and Computer-Integrated Manufacturing,scopus,2022-02-01,sciencedirect,Highly interacting machining feature recognition via small sample learning,https://api.elsevier.com/content/abstract/scopus_id/85115942686,"In the area of intelligent manufacturing, recognising the interacting features on a CAD model is a critical yet challenging task as topology structures of features are damaged due to the feature interaction. Some of the learning-based feature recognition methods produce less favourable results when recognising highly interacting features, while some require a significant amount of 3D models for training, which present an increasing challenge in a real world scenario, especially whenever collecting large training data becomes too difficult and time-consuming. To this end, effective highly interacting feature recognition via small sample learning becomes bottleneck for learning-based methods. To tackle the above issue, the paper proposes a novel method named RDetNet based on single-shot refinement object detection network (RefineDet) which is capable of recognising highly interacting features with small training samples. In addition, the paper further utilises several data augmentation (DA) strategies to increase the amount of relevant 3D training models. Experiments carried out in this paper show that the proposed method yields favourable results in recognising highly interacting features by using small training samples (e.g. 32 models per class).",industry
10.1016/j.future.2021.08.030,Journal,Future Generation Computer Systems,scopus,2022-02-01,sciencedirect,A wearable-based posture recognition system with AI-assisted approach for healthcare IoT,https://api.elsevier.com/content/abstract/scopus_id/85115908462,"Human posture recognition is a challenging task in the medical healthcare industry, when pursuing intelligence, accuracy, security, privacy, and efficiency, etc. Currently, the main posture recognition methods are captured-behaviors-based visual image analysis and wearable devices-based signal analysis. However, these methods suffer from issues such as high misjudgment rate, high-cost and low-efficiency. To address these issues, we propose a collaborative AI-IoT-based solution (namely, WMHPR) that embeds with advanced AI-assisted approach. In WMHPR, we propose the multi-posture recognition (MPR), an offline algorithm is implemented on wearable hardware, to identify posture based on multi-dimensions data. Meanwhile, an AI-based algorithm running on the cloud server (online), named Cascade-AdaBoosting-CART (CACT), is proposed to further enhance the reliability and accuracy of MPR. We recruit 20 volunteers for real-life experiments to evaluate the effectiveness, and the results show our solution is significantly outstanding in terms of accuracy and reliability while comparing with other typical algorithms.",industry
10.1016/j.ymssp.2021.108217,Journal,Mechanical Systems and Signal Processing,scopus,2022-02-01,sciencedirect,Robustness enhancement of machine fault diagnostic models for railway applications through data augmentation,https://api.elsevier.com/content/abstract/scopus_id/85111801223,"The performance of machine learning based machine fault diagnosis (MFD) models could be impaired due to operating condition variations encountered in the real-world industrial environment, such as variations of operating speeds and loads. One major reason for this robustness problem is a lack of adequate training data, especially faulty data, measured in various operating conditions. To cover this gap, we propose a novel data augmentation framework for robustness enhancement in railway MFD applications. First, multibody dynamic simulation (MBS) for physical modeling is applied to simulate arbitrary faulty and operating conditions. Second, fast weighted feature-space averaging (FWFSA) as a new data augmentation technique is developed to augment the simulated faulty data, producing infinite reality-augmented simulation data. The proposed MBS-FWFSA can fit in arbitrary MFD algorithms and transfer-learning settings with minimal effort. Moreover, an in-depth empirical study has been carried out to investigate the causality between condition variations and robustness. A new metric has been defined to evaluate robustness. The experiments also revealed the effect of the proposed MBS-FWFSA and its outperformance against several state-of-the-art augmentation methods. The code and data used in this paper have been shared in our GitHub repository: https://github.com/quickhdsdc/Robustness-Enhancement-of-Machine-Fault-Diagnostic-Models.",industry
10.1016/j.fuel.2021.121234,Journal,Fuel,scopus,2022-01-15,sciencedirect,"Recent progress and perspective on thermal-kinetic, heat and mass transportation of coal spontaneous combustion hazard",https://api.elsevier.com/content/abstract/scopus_id/85115019858,"The thermal dynamic hazard raised by coal spontaneous combustion (CSC) is greatly challenging the worldwide coal industry. Understanding the mechanisms of CSC can provide reliable theoretical basis for process safety. This work conducts a comprehensive review on recent relevant work, aiming at analyzing the status and offering a certain reference for subsequent research endeavors for mechanism illumination and development of advanced fire management technology. Progress based on diversities of experimental and mathematical methods have been witnessed, among which the propensity rating research occupy the largest proportion and their key findings are useful for law description of coal–oxygen reaction. The inhomogeneous thermal field, hot spot migration, shortest self-ignition period etc. provided by large-scale furnace tests and similarity experiments have helped comprehensive understanding the occurrence and development of CSC events. The machine learning approach for real-time forecast of fire status as well as numerical modeling for long-term response prediction have developed a lot. Yet, some blank knowledge on thermal dynamic mechanisms in CSC hazard remains unsolved, such as extrapolation small-scale results to the scale-up situations, multiscale methodology for coupling microscopic phenomena of oxidative reaction and mesoscopic phenomena within single or representative elementary volume of coals as well as morphology variation due to reaction, mechanism illumination of natural convection in self-sustaining spontaneous combustion, threshold descriptions between self-sustaining and extinction conditions for coalfield fire. We thus discussed these potentially useful perspectives for investigation on CSC hazard in the section of summary and future research suggestions, for the sake of process safety in coal industry",industry
