id,updated,published,title,summary,database
http://arxiv.org/abs/2001.05703v1,2020-01-16T09:13:31Z,2020-01-16T09:13:31Z,"A Markerless Deep Learning-based 6 Degrees of Freedom PoseEstimation for
  with Mobile Robots using RGB Data","Augmented Reality has been subject to various integration efforts within
industries due to its ability to enhance human machine interaction and
understanding. Neural networks have achieved remarkable results in areas of
computer vision, which bear great potential to assist and facilitate an
enhanced Augmented Reality experience. However, most neural networks are
computationally intensive and demand huge processing power thus, are not
suitable for deployment on Augmented Reality devices. In this work we propose a
method to deploy state of the art neural networks for real time 3D object
localization on augmented reality devices. As a result, we provide a more
automated method of calibrating the AR devices with mobile robotic systems. To
accelerate the calibration process and enhance user experience, we focus on
fast 2D detection approaches which are extracting the 3D pose of the object
fast and accurately by using only 2D input. The results are implemented into an
Augmented Reality application for intuitive robot control and sensor data
visualization. For the 6D annotation of 2D images, we developed an annotation
tool, which is, to our knowledge, the first open source tool to be available.
We achieve feasible results which are generally applicable to any AR device
thus making this work promising for further research in combining high
demanding neural networks with Internet of Things devices.",arxiv
http://arxiv.org/abs/1912.06321v2,2020-08-17T03:26:55Z,2019-12-13T04:29:38Z,"Sim2Real Predictivity: Does Evaluation in Simulation Predict Real-World
  Performance?","Does progress in simulation translate to progress on robots? If one method
outperforms another in simulation, how likely is that trend to hold in reality
on a robot? We examine this question for embodied PointGoal navigation,
developing engineering tools and a research paradigm for evaluating a simulator
by its sim2real predictivity. First, we develop Habitat-PyRobot Bridge (HaPy),
a library for seamless execution of identical code on simulated agents and
robots, transferring simulation-trained agents to a LoCoBot platform with a
one-line code change. Second, we investigate the sim2real predictivity of
Habitat-Sim for PointGoal navigation. We 3D-scan a physical lab space to create
a virtualized replica, and run parallel tests of 9 different models in reality
and simulation. We present a new metric called Sim-vs-Real Correlation
Coefficient (SRCC) to quantify predictivity. We find that SRCC for Habitat as
used for the CVPR19 challenge is low (0.18 for the success metric), suggesting
that performance differences in this simulator-based challenge do not persist
after physical deployment. This gap is largely due to AI agents learning to
exploit simulator imperfections, abusing collision dynamics to 'slide' along
walls, leading to shortcuts through otherwise non-navigable space. Naturally,
such exploits do not work in the real world. Our experiments show that it is
possible to tune simulation parameters to improve sim2real predictivity (e.g.
improving $SRCC_{Succ}$ from 0.18 to 0.844), increasing confidence that
in-simulation comparisons will translate to deployed systems in reality.",arxiv
http://arxiv.org/abs/1805.10604v2,2018-06-27T14:04:07Z,2018-05-27T11:01:30Z,"Deployment of Customized Deep Learning based Video Analytics On
  Surveillance Cameras","This paper demonstrates the effectiveness of our customized deep learning
based video analytics system in various applications focused on security,
safety, customer analytics and process compliance. We describe our video
analytics system comprising of Search, Summarize, Statistics and real-time
alerting, and outline its building blocks. These building blocks include object
detection, tracking, face detection and recognition, human and face
sub-attribute analytics. In each case, we demonstrate how custom models trained
using data from the deployment scenarios provide considerably superior
accuracies than off-the-shelf models. Towards this end, we describe our data
processing and model training pipeline, which can train and fine-tune models
from videos with a quick turnaround time. Finally, since most of these models
are deployed on-site, it is important to have resource constrained models which
do not require GPUs. We demonstrate how we custom train resource constrained
models and deploy them on embedded devices without significant loss in
accuracy. To our knowledge, this is the first work which provides a
comprehensive evaluation of different deep learning models on various
real-world customer deployment scenarios of surveillance video analytics. By
sharing our implementation details and the experiences learned from deploying
customized deep learning models for various customers, we hope that customized
deep learning based video analytics is widely incorporated in commercial
products around the world.",arxiv
http://arxiv.org/abs/1807.08775v1,2018-07-23T18:19:57Z,2018-07-23T18:19:57Z,CNN-based Facial Affect Analysis on Mobile Devices,"This paper focuses on the design, deployment and evaluation of Convolutional
Neural Network (CNN) architectures for facial affect analysis on mobile
devices. Unlike traditional CNN approaches, models deployed to mobile devices
must minimise storage requirements while retaining high performance. We
therefore propose three variants of established CNN architectures and
comparatively evaluate them on a large, in-the-wild benchmark dataset of facial
images. Our results show that the proposed architectures retain similar
performance to the dataset baseline while minimising storage requirements:
achieving 58% accuracy for eight-class emotion classification and average RMSE
of 0.39 for valence/arousal prediction. To demonstrate the feasibility of
deploying these models for real-world applications, we implement a music
recommendation interface based on predicted user affect. Although the CNN
models were not trained in the context of music recommendation, our case study
shows that: (i) the trained models achieve similar prediction performance to
the benchmark dataset, and (ii) users tend to positively rate the song
recommendations provided by the interface. Average runtime of the deployed
models on an iPhone 6S equates to ~45 fps, suggesting that the proposed
architectures are also well suited for real-time deployment on video streams.",arxiv
http://arxiv.org/abs/1705.00346v1,2017-04-30T17:17:44Z,2017-04-30T17:17:44Z,Deep Learning in the Automotive Industry: Applications and Tools,"Deep Learning refers to a set of machine learning techniques that utilize
neural networks with many hidden layers for tasks, such as image
classification, speech recognition, language understanding. Deep learning has
been proven to be very effective in these domains and is pervasively used by
many Internet services. In this paper, we describe different automotive uses
cases for deep learning in particular in the domain of computer vision. We
surveys the current state-of-the-art in libraries, tools and infrastructures
(e.\,g.\ GPUs and clouds) for implementing, training and deploying deep neural
networks. We particularly focus on convolutional neural networks and computer
vision use cases, such as the visual inspection process in manufacturing plants
and the analysis of social media data. To train neural networks, curated and
labeled datasets are essential. In particular, both the availability and scope
of such datasets is typically very limited. A main contribution of this paper
is the creation of an automotive dataset, that allows us to learn and
automatically recognize different vehicle properties. We describe an end-to-end
deep learning application utilizing a mobile app for data collection and
process support, and an Amazon-based cloud backend for storage and training.
For training we evaluate the use of cloud and on-premises infrastructures
(including multiple GPUs) in conjunction with different neural network
architectures and frameworks. We assess both the training times as well as the
accuracy of the classifier. Finally, we demonstrate the effectiveness of the
trained classifier in a real world setting during manufacturing process.",arxiv
http://arxiv.org/abs/1810.07829v1,2018-10-17T23:06:06Z,2018-10-17T23:06:06Z,"Quality 4.0: Let's Get Digital - The many ways the fourth industrial
  revolution is reshaping the way we think about quality","The technology landscape is richer and more promising than ever before. In
many ways, cloud computing, big data, virtual reality (VR), augmented reality
(AR), blockchain, additive manufacturing, artificial intelligence (AI), machine
learning (ML), Internet Protocol Version 6 (IPv6), cyber-physical systems and
the Internet of Things (IoT) all represent new frontiers. These technologies
can help improve product and service quality, and organizational performance.
In many regions, the internet is now as ubiquitous as electricity. Components
are relatively cheap. A robust ecosystem of open-source software libraries
means that engineers can solve problems 100 times faster than just two decades
ago. This digital transformation is leading us toward connected intelligent
automation: smart, hyperconnected agents deployed in environments where humans
and machines cooperate, and leverage data, to achieve shared goals. This is not
the worlds first industrial revolution. In fact, it is its fourth, and the
disruptive changes it will bring suggest we will need a fresh perspective on
quality to adapt to it.",arxiv
http://arxiv.org/abs/1710.09860v2,2018-04-12T13:20:15Z,2017-10-26T18:40:45Z,DoShiCo Challenge: Domain Shift in Control Prediction,"Training deep neural network policies end-to-end for real-world applications
so far requires big demonstration datasets in the real world or big sets
consisting of a large variety of realistic and closely related 3D CAD models.
These real or virtual data should, moreover, have very similar characteristics
to the conditions expected at test time. These stringent requirements and the
time consuming data collection processes that they entail, are currently the
most important impediment that keeps deep reinforcement learning from being
deployed in real-world applications. Therefore, in this work we advocate an
alternative approach, where instead of avoiding any domain shift by carefully
selecting the training data, the goal is to learn a policy that can cope with
it. To this end, we propose the DoShiCo challenge: to train a model in very
basic synthetic environments, far from realistic, in a way that it can be
applied in more realistic environments as well as take the control decisions on
real-world data. In particular, we focus on the task of collision avoidance for
drones. We created a set of simulated environments that can be used as
benchmark and implemented a baseline method, exploiting depth prediction as an
auxiliary task to help overcome the domain shift. Even though the policy is
trained in very basic environments, it can learn to fly without collisions in a
very different realistic simulated environment. Of course several benchmarks
for reinforcement learning already exist - but they never include a large
domain shift. On the other hand, several benchmarks in computer vision focus on
the domain shift, but they take the form of a static datasets instead of
simulated environments. In this work we claim that it is crucial to take the
two challenges together in one benchmark.",arxiv
http://arxiv.org/abs/2105.05873v1,2021-05-12T18:00:14Z,2021-05-12T18:00:14Z,Out of the Box: Embodied Navigation in the Real World,"The research field of Embodied AI has witnessed substantial progress in
visual navigation and exploration thanks to powerful simulating platforms and
the availability of 3D data of indoor and photorealistic environments. These
two factors have opened the doors to a new generation of intelligent agents
capable of achieving nearly perfect PointGoal Navigation. However, such
architectures are commonly trained with millions, if not billions, of frames
and tested in simulation. Together with great enthusiasm, these results yield a
question: how many researchers will effectively benefit from these advances? In
this work, we detail how to transfer the knowledge acquired in simulation into
the real world. To that end, we describe the architectural discrepancies that
damage the Sim2Real adaptation ability of models trained on the Habitat
simulator and propose a novel solution tailored towards the deployment in
real-world scenarios. We then deploy our models on a LoCoBot, a Low-Cost Robot
equipped with a single Intel RealSense camera. Different from previous work,
our testing scene is unavailable to the agent in simulation. The environment is
also inaccessible to the agent beforehand, so it cannot count on scene-specific
semantic priors. In this way, we reproduce a setting in which a research group
(potentially from other fields) needs to employ the agent visual navigation
capabilities as-a-Service. Our experiments indicate that it is possible to
achieve satisfying results when deploying the obtained model in the real world.
Our code and models are available at https://github.com/aimagelab/LoCoNav.",arxiv
http://arxiv.org/abs/2104.09164v1,2021-04-19T09:41:32Z,2021-04-19T09:41:32Z,"HEAR: Human Action Recognition via Neural Networks on Homomorphically
  Encrypted Data","Remote monitoring to support ""aging in place"" is an active area of research.
Advanced computer vision technology based on deep learning can provide near
real-time home monitoring to detect falling and symptoms related to seizure,
and stroke. Affordable webcams, together with cloud computing services (to run
machine learning algorithms), can potentially bring significant social and
health benefits. However, it has not been deployed in practice because of
privacy and security concerns. People may feel uncomfortable sending their
videos of daily activities (with potentially sensitive private information) to
a computing service provider (e.g., on a commercial cloud). In this paper, we
propose a novel strategy to resolve this dilemma by applying fully homomorphic
encryption (FHE) to an alternative representation of human actions (i.e.,
skeleton joints), which guarantees information confidentiality while retaining
high-performance action detection at a low cost. We design an FHE-friendly
neural network for action recognition and present a secure neural network
evaluation strategy to achieve near real-time action detection. Our framework
for private inference achieves an 87.99% recognition accuracy (86.21%
sensitivity and 99.14% specificity in detecting falls) with a latency of 3.1
seconds on real-world datasets. Our evaluation shows that our elaborated and
fine-tuned method reduces the inference latency by 23.81%~74.67% over a
straightforward implementation.",arxiv
http://arxiv.org/abs/1808.02134v1,2018-08-06T22:13:33Z,2018-08-06T22:13:33Z,"Kerman: A Hybrid Lightweight Tracking Algorithm to Enable Smart
  Surveillance as an Edge Service","Edge computing pushes the cloud computing boundaries beyond uncertain network
resource by leveraging computational processes close to the source and target
of data. Time-sensitive and data-intensive video surveillance applications
benefit from on-site or near-site data mining. In recent years, many smart
video surveillance approaches are proposed for object detection and tracking by
using Artificial Intelligence (AI) and Machine Learning (ML) algorithms.
However, it is still hard to migrate those computing and data-intensive tasks
from Cloud to Edge due to the high computational requirement. In this paper, we
envision to achieve intelligent surveillance as an edge service by proposing a
hybrid lightweight tracking algorithm named Kerman (Kernelized Kalman filter).
Kerman is a decision tree based hybrid Kernelized Correlation Filter (KCF)
algorithm proposed for human object tracking, which is coupled with a
lightweight Convolutional Neural Network (L-CNN) for high performance. The
proposed Kerman algorithm has been implemented on a couple of single board
computers (SBC) as edge devices and validated using real-world surveillance
video streams. The experimental results are promising that the Kerman algorithm
is able to track the object of interest with a decent accuracy at a resource
consumption affordable by edge devices.",arxiv
