contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Chapter ReferenceWorkEntry,doi:10.1007/978-3-030-63416-2_848,Deep Learning Based 3D Vision,Computer Vision,10.1007/978-3-030-63416-2_848,Springer,2021-01-01,2021-10-13,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-63416-2_848,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-83723-5_10,Engineering a Digital Twin for Manual Assembling,"Leveraging Applications of Formal Methods, Verification and Validation: Tools and Trends",10.1007/978-3-030-83723-5_10,Springer,2021-01-01,2021-08-05,"The paper synthesizes our preliminary work on developing a digital twin, with learning capabilities, for a system that includes cyber, physical, and social components. The system is an industrial workstation for manual assembly tasks that uses several machine learning models implemented as microservices in a hybrid architecture, a combination between the orchestrated and the event stream approaches. These models have either similar objectives but context-dependent performance, or matching functionalities when the results are fused to support real-life decisions. Some of the models are descriptive but easy to transform in inductive models with extra tuning effort, while others are purely inductive, requiring intrinsic connection with the real world.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-83723-5_10,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-86383-8_49,Learning Traffic as Videos: A Spatio-Temporal VAE Approach for Traffic Data Imputation,Artificial Neural Networks and Machine Learning – ICANN 2021,10.1007/978-3-030-86383-8_49,Springer,2021-01-01,2021-09-07,"In the real world, data missing is inevitable in traffic data collection due to detector failures or signal interference. However, missing traffic data imputation is non-trivial since traffic data usually contains both temporal and spatial characteristics with inherent complex relations. In each time interval, the traffic measurements collected in all spatial regions can be regarded as an image with more or fewer channels. Therefore, the traffic raster data over time can be learned as videos. In this paper, we propose a novel unsupervised generative neural network for traffic raster data imputation called STVAE , which works well robustly even under different missing rates. The core idea of our model is to discover more complex spatio-temporal representations inside the traffic data under the architecture of variational autoencoder (VAE) with Sylvester normalizing flows (SNFs). After transforming the traffic raster data into multi-channel videos, a Detection-and-Calibration Block (DCB), which extends 3D gated convolution and multi-attention mechanism, is proposed to sense, extract and calibrate more flexible and accurate spatio-temporal dependencies of the original data. The experiments are employed on three real-world traffic flow datasets and demonstrate that our network STVAE achieves the lowest imputation errors and outperforms state-of-the-art traffic data imputation models.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-86383-8_49,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-86517-7_29,Multi-task Learning for User Engagement and Adoption in Live Video Streaming Events,Machine Learning and Knowledge Discovery in Databases. Applied Data Science Track,10.1007/978-3-030-86517-7_29,Springer,2021-01-01,2021-09-10,"Nowadays, live video streaming events have become a mainstay in viewer’s communication in large international enterprises. Provided that viewers are distributed worldwide, the main challenge resides on how to schedule the optimal event’s time so as to improve both the viewer’s engagement and adoption. In this paper we present a multi-task deep reinforcement learning model to select the time of a live video streaming event, aiming to optimize the viewer’s engagement and adoption at the same time. We consider the engagement and adoption of the viewers as independent tasks and formulate a unified loss function to learn a common policy. In addition, we account for the fact that each task might have different contribution to the training strategy of the agent. Therefore, to determine the contribution of each task to the agent’s training, we design a Transformer’s architecture for the state-action transitions of each task. We evaluate our proposed model on four real-world datasets, generated by the live video streaming events of four large enterprises spanning from January 2019 until March 2021. Our experiments demonstrate the effectiveness of the proposed model when compared with several state-of-the-art strategies. For reproduction purposes, our evaluation datasets and implementation are publicly available at https://github.com/stefanosantaris/merlin .",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-86517-7_29,springer
Chapter,doi:10.1007/978-3-030-58197-8_7,6G Wireless Systems: Challenges and Opportunities,5G and Beyond,10.1007/978-3-030-58197-8_7,Springer,2021-01-01,2020-08-12,"The ongoing deployment of 5G cellular systems is continuously exposing the inherent limitations of this system, compared to its original premise as an enabler for Internet of Everything applications. These 5G drawbacks are spurring worldwide activities focused on defining the next-generation 6G wireless system that can truly integrate far-reaching applications ranging from autonomous systems to extended reality. To date, the fundamental architectural and performance components of 6G remain largely undefined and open to speculations. In this chapter, we present a holistic vision that identifies the main principles that can guide the design and development of a 6G system. In particular, we discuss, in detail, why 6G will not be a simple exploration of more spectrum at high-frequency bands such as terahertz frequencies, but it will rather be a convergence of a number of technological trends. 6G will also be largely driven by a new breed of exciting Internet of Everything services. To this end, we first outline the primary drivers of 6G systems, in terms of applications and accompanying technological trends. Then, we introduce a new set of service classes and expose their target 6G performance requirements. We then explore the enabling technologies for the introduced 6G services and define a comprehensive set of research problems that come hand in hand with the identified technologies. We conclude by providing our observations on the challenges and opportunities that will define the road toward 6G. Ultimately, this chapter can be used to stimulate comprehensive, out-of-the-box research around 6G technologies.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-58197-8_7,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-87034-8_42,User Experience Analysis Based on a Virtual Mark-up Approach,Creativity in Intelligent Technologies and Data Science,10.1007/978-3-030-87034-8_42,Springer,2021-01-01,2021-09-13,"The paper presents some results of interactive user interfaces implementation in practice. Virtual mark-up approach is used to classify the professional status of the users and respectively adapt the user interface. New software components are introduced as a part of Augmented Reality system that capture the user’s behavior, compare it to the typical patterns and generate virtual elements when necessary. The resulting solution is capable of providing alerts and notifications for novice users and hiding the redundant information for experts and thus personalizing the user interface. Artificial neural network provides classification based on the results of user performance in script execution according to pre-defined scenarios. The proposed approach is illustrated by an example of electrical meters surveying mobile application. Research results illustrate the possibility to improve and personalize the augmented reality user interfaces based on the analysis of user activity.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-87034-8_42,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-88007-1_9,Slice Sequential Network: A Lightweight Unsupervised Point Cloud Completion Network,Pattern Recognition and Computer Vision,10.1007/978-3-030-88007-1_9,Springer,2021-01-01,2021-10-22,"The point cloud is usually sparse and incomplete in reality, and the missing region of the point cloud is coherent when it is blocked by other objects. To tackle this problem, we propose a novel light-weight unsupervised model, namely the Slice Sequential Network, for point cloud completion. Our method only generates the missing parts with high fidelity, while many previous methods output the entire point cloud and leave out some important details. Specifically, we slice the incomplete point cloud and force the model to exploit the information lying between slices. In addition, we design a new algorithm for extracting geometric information, which can extract multi-scale features of points of the point cloud to enhance the use of slices. The qualitative and quantitative experiments show that our method is more lightweight and has better performance than the existing state-of-the-art methods.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-88007-1_9,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-89394-1_9,A Symbolic Machine Learning Approach for Cybersickness Potential-Cause Estimation,Entertainment Computing – ICEC 2021,10.1007/978-3-030-89394-1_9,Springer,2021-01-01,2021-10-22,"Virtual reality (VR) and head-mounted displays are constantly gaining popularity in various fields such as education, military, entertainment, and bio/medical informatics. Although such technologies provide a high sense of immersion, they can also trigger symptoms of discomfort. This condition is called cybersickness (CS) and is quite popular in recent publications in the virtual reality context. This work proposes a novel experimental analysis using symbolic machine learning that ranks potential causes for CS. We estimate the CS causes and rank them according to their impact on the classification capabilities of CS. The experiments are performed using two distinct virtual reality games. We were able to identify that acceleration triggered cybersickness more frequently in a race game in contrast to a flight game. Furthermore, participants less experienced with VR are more prone to feel discomfort and this variable has a greater impact in the race game in contrast to the flight game, where the acceleration is not controlled by the user.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-89394-1_9,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-69373-2_1,Cloud Networked Models of Knowledge-Based Intelligent Control Towards Manufacturing as a Service,"Service Oriented, Holonic and Multi-Agent Manufacturing Systems for Industry of the Future",10.1007/978-3-030-69373-2_1,Springer,2021-01-01,2021-03-03,"This paper describes a 10-year scientific journey in the area of Cloud-based manufacturing in the SOHOMA research community. The tour started in Paris on June 20, 2011 at École Nationale Supérieure d’Arts et Métiers, Paris and returns here on 1^st October 2020 after annual stops in Bucharest, Valenciennes, Nancy, Cambridge, Lisbon, Nantes, Bergamo and Valencia. Several stages in the evolution of Cloud manufacturing research are recalled in their historical order: vertical enterprise integration and networking; resource and product virtualization and cloud infrastructure design; batch optimization with cloud services; real time big shop floor data streaming, machine learning in the cloud for predictive production control, resource health monitoring and predictive maintenance. Major contributions of SOHOMA authors are evoked: extending the cloud computing model to on demand shop floor resource sharing, infrastructure sharing in cloud networked enterprises, MES workload virtualization, deploying cloud services in real time with virtual machine and containers, high availability solutions and software defined networking, machine learning for predictive manufacturing.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-69373-2_1,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-60577-3_31,Operational Visual Control of the Presence of Students in Training Sessions,"Advances in Neural Computation, Machine Learning, and Cognitive Research IV",10.1007/978-3-030-60577-3_31,Springer,2021-01-01,2020-10-02,"The problem of automating the students’ attendance in the classroom is solved by using computer vision. A convolutional neural network is used to recognize a person’s face. The recognition process is implemented in real time. Localization of faces in frames from a video camera is performed by the Viola-Jones method. The convolutional neural network of the VGGFace model forms the features of a person’s face. Identification of the person occurs by the facial features similarity. The software is implemented by using the Keras and OpenCV libraries. The control system performs the following functions: captures the faces of students on a video camera when entering the classroom, compares faces with a database of students, notes the presence at the lesson (or being late) in case of successful identification, saves the data in attendance register. For the convenience of video monitoring, the color of the student’s line changes depending on his condition: not present, present, late, absent. The system provides for manual editing of the electronic register and the choice of the subject name. The student’s photo can be uploaded into the database from a file or directly from the camera.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-60577-3_31,springer
