contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Article,doi:10.1007/s12525-021-00494-z,"Artificial intelligence (AI) and robotics in travel, hospitality and leisure",Electronic Markets,10.1007/s12525-021-00494-z,Springer,2021-09-01,2021-09-03,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12525-021-00494-z,springer
Article,doi:10.1007/s00146-020-01123-7,"Where is the human got to go? Artificial intelligence, machine learning, big data, digitalisation, and human–robot interaction in Industry 4.0 and 5.0",AI & SOCIETY,10.1007/s00146-020-01123-7,Springer,2021-09-01,2021-01-15,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00146-020-01123-7,springer
Article,doi:10.1007/s11119-021-09856-1,Field evaluations of a deep learning-based intelligent spraying robot with flow control for pear orchards,Precision Agriculture,10.1007/s11119-021-09856-1,Springer,2021-09-19,2021-09-19,"This study proposes a deep learning-based real-time variable flow control system using the segmentation of fruit trees in a pear orchard. The real-time flow rate control, undesired pressure fluctuation and theoretical modeling may differ from those in the real world. Therefore, two types of preliminary experiments were conducted to examine the linear relationship of the flow rate modeling. Through preliminary experiments, the parameters of the pulse width modulation (PWM) controller were optimized, and a field experiment was conducted to confirm the performance of the variable flow rate control system. The field test was conducted for three cases: all open, on/off control, and variable flow rate control, showing results of 56.15 ( $$\pm 17.24$$ ± 17.24 )%, 68.95 ( $$\pm 21.12)$$ ± 21.12 ) % and 57.33 ( $$\pm 21.73$$ ± 21.73 )% for each control. The result revealed that the proposed system performed satisfactorily, showing that pesticide use and the risk of pesticide exposure could be reduced.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11119-021-09856-1,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-2937-2_10,Object Recognition and Classification for Robotics Using Virtualization and AI Acceleration on Cloud and Edge,"Data Management, Analytics and Innovation",10.1007/978-981-16-2937-2_10,Springer,2022-01-01,2021-09-20,"With the development of cloud robotics, a much broader scope of multidisciplinary applications to create smart systems is now available. The “Artificially Intelligent” system's brains are in the cloud. The cloud can hold data centers, deep learning, communication support, etc. With the help of edge computing, VM-based cloudlets, deploying deep learning implementation systems are a more practical option rather than one single system doing all the tasks. The mobile applications and IoT devices often produce streaming data which requires real-time analysis and control. When the application involves end devices as hardware like Raspberry Pi and laptops working at edge, an acceleration in the result generation is also necessary. This paper presents its observations with the implementation of one such machine learning application of object detection and recognition, i.e., You-Only-Look-Once (YOLO) on a robotic environment working on the number of clients and servers ends. Differentiating cloud and edge, we have demonstrated the analysis and results where output efficiency leverage is seen with AI acceleration with toolkits like Intel's OpenVINO.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-2937-2_10,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-81007-8_141,An Emotional Interaction Robot with Facial Expression Recognition Realized on Raspberry Pi and STM32,Advances in Intelligent Automation and Soft Computing,10.1007/978-3-030-81007-8_141,Springer,2022-01-01,2021-07-25,"In this paper, we propose a framework of emotional interaction robot which can recognize seven basic facial expressions of users and make responses accordingly. Considering the benefits provided by the facial expression recognition system, it is applied to the companion robot to greatly enrich the emotional communications between human and robots. The proposed framework mainly consists of two modules, the module of facial expression recognition and the interaction module. The module of facial expression recognition is implemented based on a CNN trained on the FER2013 dataset and realized on Raspberry Pi 3b+. The interaction module is realized by a TFT-LCD and a speaker controlled by the STM32 single-chip microcomputer. When receiving the signal from the control button on STM32, the recognition module reads in a frame from the video stream taken by the camera, and then performs the preprocessing and recognizes the facial expression. After successfully recognizing a kind of emotion, the recognition result is sent to the interaction model, and then it displays one of emojis stored in its SD card and plays music accordingly.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-81007-8_141,springer
Article,doi:10.1007/s11370-021-00387-2,Reinforcement learning-based dynamic obstacle avoidance and integration of path planning,Intelligent Service Robotics,10.1007/s11370-021-00387-2,Springer,2021-10-06,2021-10-06,"Deep reinforcement learning has the advantage of being able to encode fairly complex behaviors by collecting and learning empirical information. In the current study, we have proposed a framework for reinforcement learning in decentralized collision avoidance where each agent independently makes its decision without communication with others. In an environment exposed to various kinds of dynamic obstacles with irregular movements, mobile robot agents could learn how to avoid obstacles and reach a target point efficiently. Moreover, a path planner was integrated with the reinforcement learning-based obstacle avoidance to solve the problem of not finding a path in a specific situation, thereby imposing path efficiency. The robots were trained about the policy of obstacle avoidance in environments where dynamic characteristics were considered with soft actor critic algorithm. The trained policy was implemented in the robot operating system (ROS), tested in virtual and real environments for the differential drive wheel robot to prove the effectiveness of the proposed method. Videos are available at https://youtu.be/xxzoh1XbAl0 .",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11370-021-00387-2,springer
Article,doi:10.1007/s11063-020-10311-x,Knowledge Acquisition and Design Using Semantics and Perception: A Case Study for Autonomous Robots,Neural Processing Letters,10.1007/s11063-020-10311-x,Springer,2021-10-01,2020-07-27,"The pervasive use of artificial intelligence and neural networks in several different research fields has noticeably improved multiple aspects of human life. The application of these techniques to machines has made them progressively more “intelligent” and able to solve tasks considered extremely complex for a human being. This technological evolution has deeply influenced the way we interact with machines. Purely symbolic artificial intelligence and techniques like ontologies, have also been successfully used in the past applied to robotics, but have also shown some limitations and failings in the knowledge construction task. In fact, the exhibited “intelligence” is rarely the result of a real autonomous decision, but it is rather hard-encoded in the machine. While a number of approaches have already been proposed in literature concerning knowledge acquisition from the surrounding environment, they are either exclusively based on low-level features or they involve solely high-level semantics-based attributes. Moreover, they often don’t use a general high-level knowledge base for grounding the acquired knowledge. In this contexts, the use of semantics technologies, such as ontologies, is mostly employed for action-oriented tasks. In this article we propose an extension of a novel approach for knowledge acquisition based on a general semantic knowledge-base and the fusion of semantics and visual information by means of neural networks and ontologies. The proposed approach has been implemented on a humanoid robotic platform and the experimental results are shown and discussed.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11063-020-10311-x,springer
Article,doi:10.1007/s40313-021-00829-3,A New Mechanism for Collision Detection in Human–Robot Collaboration using Deep Learning Techniques,"Journal of Control, Automation and Electrical Systems",10.1007/s40313-021-00829-3,Springer,2021-09-29,2021-09-29,"Human–robot collaboration is increasingly present not only in research environments, but also in industry and many contemporary day-to-day activities. There is a need for the automation of tasks ranging from the simplest to the most complex ones. The insertion of robotic arms provides a considerable step useful in achieving this goal. In this context, safety remains a concern, however. Among the most frequent issue in this collaboration context is human–robot collision. While focus has been on automation efficiency of the of the activities, there is a growing need to reduce or even prevent damage to the involved agents. As part of this goal, a new mechanism for detecting human–robot collisions is proposed in this article. It has been tested in a well-controlled scenario using equipment commonly present in collaborative scenarios for maintenance on a radio base station. The robot used is a UR5 robotic arm in addition to three 2D cameras and a network rack. In our experimental scenario, a person interacts with the network devices installed within the rack while conducting basic collaborative activities inserted in this context. For collision detection, deep learning models were used and evaluated. These were trained to detect overlap between humans and robots considering the view and perspectives from three different cameras. Finally, a new ensemble learning system is proposed in order to establish whether or not a collision took place. It receives as input the result of overlap detection through deep learning models. Results suggest that the proposed system is capable of detecting collisions with an average global accuracy of 89.81% of correctness in a well-controlled scenario. The effectiveness of the proposed ensemble is exposed in comparison with the use of only one of the cameras for decision-making. Finally, the proposed system is shown to detect collisions in real time and to achieve a low response time.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s40313-021-00829-3,springer
Article,doi:10.1007/s00146-021-01226-9,"Pasquale, Frank. New Laws of Robotics: Defending Human Expertise in the Age of AI. Cambridge, Massachusetts: The Belknap Press of Harvard University Press, 2020",AI & SOCIETY,10.1007/s00146-021-01226-9,Springer,2021-09-01,2021-05-31,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00146-021-01226-9,springer
Article,doi:10.1007/s42438-021-00242-8,Review of Cathrine Hasse (2020). Posthumanist Learning: What Robots and Cyborgs Teach us About Being Ultra-social,Postdigital Science and Education,10.1007/s42438-021-00242-8,Springer,2021-07-22,2021-07-22,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s42438-021-00242-8,springer
Article,doi:10.1007/s11948-021-00306-9,"Rights for Robots: Artificial Intelligence, Animal and Environmental Law (2020) by Joshua Gellers",Science and Engineering Ethics,10.1007/s11948-021-00306-9,Springer,2021-04-19,2021-04-19,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11948-021-00306-9,springer
Article,doi:10.1007/s10994-021-05982-z,Grounded action transformation for sim-to-real reinforcement learning,Machine Learning,10.1007/s10994-021-05982-z,Springer,2021-09-01,2021-05-13,"Reinforcement learning in simulation is a promising alternative to the prohibitive sample cost of reinforcement learning in the physical world. Unfortunately, policies learned in simulation often perform worse than hand-coded policies when applied on the target, physical system. Grounded simulation learning ( gsl ) is a general framework that promises to address this issue by altering the simulator to better match the real world (Farchy et al. 2013 in Proceedings of the 12th international conference on autonomous agents and multiagent systems (AAMAS)). This article introduces a new algorithm for gsl —Grounded Action Transformation (GAT)—and applies it to learning control policies for a humanoid robot. We evaluate our algorithm in controlled experiments where we show it to allow policies learned in simulation to transfer to the real world. We then apply our algorithm to learning a fast bipedal walk on a humanoid robot and demonstrate a 43.27% improvement in forward walk velocity compared to a state-of-the art hand-coded walk. This striking empirical success notwithstanding, further empirical analysis shows that gat may struggle when the real world has stochastic state transitions. To address this limitation we generalize gat to the stochastic gat ( sgat ) algorithm and empirically show that sgat leads to successful real world transfer in situations where gat may fail to find a good policy. Our results contribute to a deeper understanding of grounded simulation learning and demonstrate its effectiveness for applying reinforcement learning to learn robot control policies entirely in simulation.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10994-021-05982-z,springer
Article,doi:10.1007/s42979-021-00817-z,Deep Reinforcement Learning of Map-Based Obstacle Avoidance for Mobile Robot Navigation,SN Computer Science,10.1007/s42979-021-00817-z,Nature,2021-08-18,2021-08-18,"Autonomous and safe navigation in complex environments without collisions is particularly important for mobile robots. In this paper, we propose an end-to-end deep reinforcement learning method for mobile robot navigation with map-based obstacle avoidance. Using the experience collected in the simulation environment, a convolutional neural network is trained to predict the proper steering operation of the robot based on its egocentric local grid maps, which can accommodate various sensors and fusion algorithms. We use dueling double DQN with prioritized experienced replay technology to update parameters of the network and integrate curriculum learning techniques to enhance its performance. The trained deep neural network is then transferred and executed on a real-world mobile robot to guide it to avoid local obstacles for long-range navigation. The qualitative and quantitative evaluations of the new approach were performed in simulations and real robot experiments. The results show that the end-to-end map-based obstacle avoidance model is easy to deploy, without any fine-tuning, robust to sensor noise, compatible with different sensors, and better than other related DRL-based models in many evaluation indicators.",https://www.nature.com/articles/s42979-021-00817-z,springer
