doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/I2MTC.2018.8409699,A new method for the indicator of dynamic scheduling in life science laboratories using artificial neural networks,IEEE,Conferences,"Nowadays, a growing number of automation systems is applied in life science laboratories to increase the throughput and accuracy of the experiments. Meanwhile, complex investigations require cooperative work, which includes multiple automated workstations. In order to face the great challenge of the resource distribution, a hybrid scheduler is used to generate the time schedule before the execution and after an unexpected situation for the dynamic scheduling. The indicator, presented in this paper, can trigger the rescheduling procedure when the trigger conditions are satisfied and offer the transportation balance factor, which is the most important parameter for dynamic scheduling. An artificial neural network (ANN) is proposed to learn the relationship between the system operation data and the transportation balance factor. Then the ANN can forecast the balance factor fast and accurately based on the real current data of the system operation. Finally, an experiment proves that the proposed method is suitable to trigger the dynamic scheduling and accurate to generate the balance factor for the rescheduling, which provides a correct solution based on the unexpected situation.",https://ieeexplore.ieee.org/document/8409699/,2018 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),14-17 May 2018,ieeexplore
10.1109/ICoDT252288.2021.9441481,Classy AA-NECTAR: Personalized Ubiquitous E-Learning Recommender System with Ontology and Data Science Techniques,IEEE,Conferences,"Learners have different learning styles each tailored to their own personality. Incompatibility of learning and teaching style is inconvenient. This paper integrates learner behavior modeling, academic web crawling and content retrieval using state of the art technology. This research work aims to propose a personalized ubiquitous learning model to identify learner learning styles and deploy type of content that is corresponding to the learner's learning style. Felder-Solomon model is one of the models being used for the learner profiling. This gives ease not only to the learners but the pedagogical instructors as well for not making different type of content. Real time monitoring makes the self-adaptive system learn through the learner's gestures and self-adjusts autonomously. Learners' aptitude increases, saving time and inconvenience. This will give an easy access to certifying organizations to get more capable skill oriented people.",https://ieeexplore.ieee.org/document/9441481/,2021 International Conference on Digital Futures and Transformative Technologies (ICoDT2),20-21 May 2021,ieeexplore
10.1109/IRI.2009.5211603,Ontology-based information model development for science information reuse and integration,IEEE,Conferences,"Scientific digital libraries serve complex and evolving research communities. Justifications for the development of scientific digital libraries include the desire to preserve science data and the promises of information interconnectedness, correlative science, and system interoperability. Shared ontologies are fundamental to fulfilling these promises. We present a tool framework, a set of principles, and a real world case study where shared ontologies are used to develop and manage science information models and subsequently guide the implementation of scientific digital libraries. The tool framework, based on an ontology modeling tool, has been used to formalize legacy information models as well as design new models. Within this framework, the information model remains relevant within changing domains and thereby promotes the interoperability, interconnectedness, and correlation desired by scientists.",https://ieeexplore.ieee.org/document/5211603/,2009 IEEE International Conference on Information Reuse & Integration,10-12 Aug. 2009,ieeexplore
10.1109/FIE.2018.8658596,Personalizing Computer Science Education by Leveraging Multimodal Learning Analytics,IEEE,Conferences,"This Research Full Paper implements a framework that harness sources of programming learning analytics on three computer programming courses a Higher Education Institution. The platform, called PredictCS, automatically detects lower-performing or “at-risk” students in programming courses and automatically and adaptively sends them feedback. This system has been progressively adopted at the classroom level to improve personalized learning. A visual analytics dashboard is developed and accessible to Faculty. This contains information about the models deployed and insights extracted from student's data. By leveraging historical student data we built predictive models using student characteristics, prior academic history, logged interactions between students and online resources, and students' progress in programming laboratory work. Predictions were generated every week during the semester's classes. In addition, during the second half of the semester, students who opted-in received pseudo real-time personalised feedback. Notifications were personalised based on students' predicted performance on the course and included a programming suggestion from a top-student in the class if any programs submitted had failed to meet the specified criteria. As a result, this helped students who corrected their programs to learn more and reduced the gap between lower and higher-performing students.",https://ieeexplore.ieee.org/document/8658596/,2018 IEEE Frontiers in Education Conference (FIE),3-6 Oct. 2018,ieeexplore
10.1093/comjnl/bxy082,Algorithmic Government: Automating Public Services and Supporting Civil Servants in using Data Science Technologies,OUP,Journals,"The data science technologies of artificial intelligence (AI), Internet of Things (IoT), big data and behavioral/predictive analytics, and blockchain are poised to revolutionize government and create a new generation of GovTech start-ups. The impact from the ‘smartification’ of public services and the national infrastructure will be much more significant in comparison to any other sector given government's function and importance to every institution and individual. Potential GovTech systems include Chatbots and intelligent assistants for public engagement, Robo-advisors to support civil servants, real-time management of the national infrastructure using IoT and blockchain, automated compliance/regulation, public records securely stored in blockchain distributed ledgers, online judicial and dispute resolution systems, and laws/statutes encoded as blockchain smart contracts. Government is potentially the major ‘client’ and also ‘public champion’ for these new data technologies. This review paper uses our simple taxonomy of government services to provide an overview of data science automation being deployed by governments world-wide. The goal of this review paper is to encourage the Computer Science community to engage with government to develop these new systems to transform public services and support the work of civil servants.",https://ieeexplore.ieee.org/document/8852885/,The Computer Journal,March 2019,ieeexplore
10.1109/TITB.2004.826724,Using XML technology for the ontology-based semantic integration of life science databases,IEEE,Journals,"Several hundred internet accessible life science databases with constantly growing contents and varying areas of specialization are publicly available via the internet. Database integration, consequently, is a fundamental prerequisite to be able to answer complex biological questions. Due to the presence of syntactic, schematic, and semantic heterogeneities, large scale database integration at present takes considerable efforts. As there is a growing apprehension of extensible markup language (XML) as a means for data exchange in the life sciences, this article focuses on the impact of XML technology on database integration in this area. In detail, a general architecture for ontology-driven data integration based on XML technology is introduced, which overcomes some of the traditional problems in this area. As a proof of concept, a prototypical implementation of this architecture based on a native XML database and an expert system shell is described for the realization of a real world integration scenario.",https://ieeexplore.ieee.org/document/1303558/,IEEE Transactions on Information Technology in Biomedicine,June 2004,ieeexplore
10.1109/COGINF.2007.4341895,A Cognitive Psychology Approach for Balancing Elicitation Goals,IEEE,Conferences,"The difference between success and failure in a project depends on the initial identification and construction of goals, which are the mechanism of identifying software requirements. The result of applying goal-oriented methods, which are top-down requirements analysis, is in most cases a goal graph. Goal graphs are implemented from customers needs as initial goals to requirements specifications as final goals. Their analysis includes negotiation as an important issue, which becomes extremely difficult, as clients often cannot know exactly what they need. To overcome this situation, aiming at improving stakeholder's negotiation, we reduce the gap of misunderstanding between them by the use of cognitive science. The objective of this paper is to introduce a cognitive approach to help in the solution of discordances among stakeholders when applying goal- oriented methods. We depict our proposal with a real case study.",https://ieeexplore.ieee.org/document/4341895/,6th IEEE International Conference on Cognitive Informatics,6-8 Aug. 2007,ieeexplore
10.1109/ISORC49007.2020.00030,A Cross-Layer Review of Deep Learning Frameworks to Ease Their Optimization and Reuse,IEEE,Conferences,"Machine learning and especially Deep Learning (DL) approaches are at the heart of many domains, from computer vision and speech processing to predicting trajectories in autonomous driving and data science. Those approaches mainly build upon Neural Networks (NNs), which are compute-intensive in nature. A plethora of frameworks, libraries and platforms have been deployed for the implementation of those NNs, but end users often lack guidance on what frameworks, platforms and libraries to use to obtain the best implementation for their particular needs. This paper analyzes the DL ecosystem providing a structured view of some of the main frameworks, platforms and libraries for DL implementation. We show how those DL applications build ultimately on some form of linear algebra operations such as matrix multiplication, vector addition, dot product and the like. This analysis allows understanding how optimizations of specific linear algebra functions for specific platforms can be effectively leveraged to maximize specific targets (e.g. performance or power-efficiency) at application level reusing components across frameworks and domains.",https://ieeexplore.ieee.org/document/9112939/,2020 IEEE 23rd International Symposium on Real-Time Distributed Computing (ISORC),19-21 May 2020,ieeexplore
10.1109/ICAIIC51459.2021.9415186,A Data Augmented Bayesian Network for Node Failure Prediction in Optical Networks,IEEE,Conferences,"Failures in optical network backbone can cause significant interruption in internet data traffic. Hence, it is very important to reduce such network outages. Prediction of such failures would be a step forward to avoid such disruption of internet services for users as well as operators. Several research proposals are available in the literature which are applications of data science and machine learning techniques. Most of the techniques rely on significant amount of real time data collection. Network devices are assumed to be equipped to collect data and these are then analysed by different algorithms to predict failures. Every network element which is already deployed in the field may not have these data gathering or analysis techniques designed into them initially. However, such mechanisms become necessary later when they are already deployed in the field. This paper proposes a Bayesian network based failure prediction of network nodes, g., routers etc., using very basic information from the log files of the devices and applying power law based data augmentation to complement for scarce real time information. Numerical results show that network node failure prediction can be performed with high accuracy using the proposed mechanism.",https://ieeexplore.ieee.org/document/9415186/,2021 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),13-16 April 2021,ieeexplore
10.1109/HPCC/SmartCity/DSS.2018.00201,A Deep Learning Approach to Sensory Navigation Device for Blind Guidance,IEEE,Conferences,"Sensory navigation device is an important trend in the field of machine learning and data science. Nowadays, more and more sensory navigation devices are built for blind people. The core of such sensory navigation devices for blind people usually is implemented by an Image Recognition Method. To build an image recognition model, many tools and online machine learning platforms are proposed. However, these tools or platforms are not able to completely satisfy the requirements for sensory navigation device. To build a sensory navigation device with satisfying requirements for blind people, an ability of reducing the cost of model training and a capability of user-centric image recognition are the two main issues. Therefore, to address the above issues, we propose a novel approach, namely, DLSNF (Deep-Learning-based Sensory Navigation Framework). Our proposed DLSNF is built based on the YOLO architecture to deal with the reducing cost of model training and NVIDIA Jetson TX2 to take the user-centric image recognition into account. Based on our proposed DLSNF, the real-time image recognition can be trained well and conduct a sensory navigation to help blind people. At the same time, the train model is embedded in NVIDIA Jetson TX2 which is the fastest, most power-efficient embedded AI computing device. For the experiments, we evaluated our proposed DLSNF with a real-world dataset consisting of 4,570 images collected by part-time workers. The extensive experimental results show that our proposed DLSNF more effectively and efficiently beyond the existing baselines.",https://ieeexplore.ieee.org/document/8622939/,2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),28-30 June 2018,ieeexplore
