id,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1016/j.resconrec.2021.106022,Journal,"Resources, Conservation and Recycling",scopus,2022-03-01,sciencedirect,Using computer vision to recognize composition of construction waste mixtures: A semantic segmentation approach,https://api.elsevier.com/content/abstract/scopus_id/85118570774,"Timely and accurate recognition of construction waste (CW) composition can provide yardstick information for its subsequent management (e.g., segregation, determining proper disposal destination). Increasingly, smart technologies such as computer vision (CV), robotics, and artificial intelligence (AI) are deployed to automate waste composition recognition. Existing studies focus on individual waste objects in well-controlled environments, but do not consider the complexity of the real-life scenarios. This research takes the challenges of the mixture and clutter nature of CW as a departure point and attempts to automate CW composition recognition by using CV technologies. Firstly, meticulous data collection, cleansing, and annotation efforts are made to create a high-quality CW dataset comprising 5,366 images. Then, a state-of-the-art CV semantic segmentation technique, DeepLabv3+, is introduced to develop a CW segmentation model. Finally, several training hyperparameters are tested via orthogonal experiments to calibrate the model performance. The proposed approach achieved a mean Intersection over Union (mIoU) of 0.56 in segmenting nine types of materials/objects with a time performance of 0.51 s per image. The approach was found to be robust to variation of illumination and vehicle types. The study contributes to the important problem of material composition recognition, formalizing a deep learning-based semantic segmentation approach for CW composition recognition in complex environments. It paves the way for better CW management, particularly in engaging robotics, in the future. The trained models are hosted on GitHub, based on which researchers can further finetune for their specific applications.",science
10.1016/j.ymssp.2021.108284,Journal,Mechanical Systems and Signal Processing,scopus,2022-02-15,sciencedirect,Real-time model calibration with deep reinforcement learning,https://api.elsevier.com/content/abstract/scopus_id/85112506465,"The real-time, and accurate inference of model parameters is of great importance in many scientific and engineering disciplines that use computational models (such as a digital twin) for the analysis and prediction of complex physical processes. However, fast and accurate inference for processes of complex systems cannot easily be achieved in real-time with state-of-the-art methods under noisy real-world conditions with the requirement of a real-time response. The primary reason is that the inference of model parameters with traditional techniques based on optimization or sampling often suffers from computational and statistical challenges, resulting in a trade-off between accuracy and deployment time. In this paper, we propose a novel framework for inference of model parameters based on reinforcement learning. The proposed methodology is demonstrated and evaluated on two different physics-based models of turbofan engines. The experimental results demonstrate that the proposed methodology outperforms all other tested methods in terms of speed and robustness, with high inference accuracy.",science
10.1016/j.jep.2021.114812,Journal,Journal of Ethnopharmacology,scopus,2022-02-10,sciencedirect,Bai-Hu-Tang regulates endothelin-1 and its signalling pathway in vascular endothelial cells,https://api.elsevier.com/content/abstract/scopus_id/85118924464,"Ethnopharmacological relevance
                  Bai-Hu-Tang (BHT) is traditionally used to treat human and animal fever syndrome with four symptoms: large and vigorous pulse, large thirst, high sweat, and high heat.
               
                  Aim of the study
                  To investigate the mechanism of vasodilation regulation of Bai-Hu-Tang in primary vascular endothelial cells stimulated by lipopolysaccharide (LPS).
               
                  Materials and methods
                  A hydrophilic concentrate of BHT was prepared, and the main components of mangiferin and timosaponin BⅡ were determined by HLPC analysis. The rabbit fever model was constructed by intravenous injection of LPS (15 μg/kg body weight), and BHT was gavaged to treat febrile rabbits. After treatment for 6 h, animal peripheral blood was collected, and serum was isolated for endothelin-1 (ET-1) and nitric oxide (NO) assays. Rabbit vascular endothelial cells (RVECs) were isolated and stimulated with 1 μg/mL LPS, and then inflammatory cells were treated with 125 or 250 μg/mL BHT for 24 h. The supernatant cytokines TNF-ɑ, IL-1β, IL-6, and ET-1 were detected by ELISA kits. Gene expression levels of endothelin receptor type B (ETB receptor) were analysed by real-time polymerase chain reaction (RT-PCR), and protein expression levels of PI3K and Akt were detected by Western blot. A nitrite assay was used to measure intracellular nitric oxide (NO) production, and nitric oxide synthase (NOS) was measured by the T-NOS colorimetric method.
               
                  Results
                  Animal experiments demonstrated that BHT significantly restored ET-1 and NO in animal peripheral blood, which were disordered in LPS-induced fever rabbits. Moreover, a cytotoxicity assay demonstrated that BHT ≤700 μg/mL is innoxious to RVECs. BHT significantly repressed cellular TNF-α, IL-1β, and ET-1, which were originally elevated by LPS in RVECs. Meanwhile, BHT elevated the gene expression level of the ETB receptor and promoted NOS and NO production in RVECs induced by LPS.
               
                  Conclusion
                  BHT can inhibit excessive ET-1 secretion induced by LPS in vascular endothelial cells and activate the classic ET-1 signalling pathway to promote NO production, which may facilitate vasodilation of smooth muscle cells.",science
10.1016/j.ces.2021.117205,Journal,Chemical Engineering Science,scopus,2022-02-02,sciencedirect,"Developments of leak detection, diagnostics, and prediction algorithms in multiphase flows",https://api.elsevier.com/content/abstract/scopus_id/85118896502,"Leak detection, diagnostics, and prediction constitute a crucial phase of the flow assurance risk management process for onshore and offshore pipelines. There are a variety of techniques and algorithms that can be deployed to address each aspect. To date, most review papers have concentrated on steady-state and single-phase flow conditions. The goal of the current review is therefore to carry out a thorough analysis of the available leak detection and diagnosis methods by focusing on (i) multiphase flow and transient flow conditions, (ii) model-based and data-driven techniques, (iii) prediction tools, and (iv) performance measures. Detailed assessment of leak detection methods based on accuracy, complexity, data requirement, and cost of installation are discussed. Data-driven techniques are utterly dependent on qualitative and quantitative data available from pipeline systems. Contrastingly data-driven techniques, model-based techniques require less data to achieve leak detection, provided that a nearly accurate base model is available. Different methodologies and technologies can be combined in order to produce the best detection and diagnosis outputs. In many cases, statistical analysis was combined with the Real Time Transient Method (RTTM), which helped to minimize false alarms. The material in this review can be used as a robust guide for the design of diagnostic systems and further research.",science
10.1016/j.saa.2021.120347,Journal,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,scopus,2022-01-15,sciencedirect,Rapid discrimination of Curcuma longa and Curcuma xanthorrhiza using Direct Analysis in Real Time Mass Spectrometry and Near Infrared Spectroscopy,https://api.elsevier.com/content/abstract/scopus_id/85115004546,"This study describes a newly developed method for the fast and straightforward differentiation of two turmeric species using Direct Analysis in Real Time mass spectrometry and miniaturized Near Infrared spectroscopy. Multivariate analyses (PCA and LDA) were performed on the mass spectrometric data, thus creating a powerful model for the discrimination of Curcumalonga and Curcumaxanthorrhiza. Cross-validation of the model revealed correctness-scores of 100% with 20-fold as well as leave-one-out validation techniques. To further estimate the models prediction power, seven retail samples of turmeric powder were analyzed and assorted to a species. Looking for a fast, non-invasive, cost-efficient and laboratory independent method, miniaturized NIR spectrometers offer an alternative for quality control of turmeric species. However, different technologies implemented to compensate for their small size, lead to different applicability of these spectrometers. Therefore, we investigated the three handheld spectrometers microPHAZIR, MicroNIR 2200 and MicroNIR 1700ES for their application in spice analysis in hyphenation to PCA, LDA and ANN methods used for the discriminant analysis. While microPHAZIR proved to be the most valuable device for differentiating C.longa and C.xanthorrhiza, MicroNIR 1700ES offered the worst results. These findings are interpreted on the basis of a quantum chemical simulation of the NIR spectrum of curcumin as the representative constituent. It was found that the information accessible to MicroNIR 1700ES that is relevant to the analyzed constituents is located in the spectral region prone to interferences with the matrix, likely limiting the performance of this spectrometer in this analytical scenario.",science
10.1016/j.cageo.2021.104968,Journal,Computers and Geosciences,scopus,2022-01-01,sciencedirect,Seismic fault detection using convolutional neural networks with focal loss,https://api.elsevier.com/content/abstract/scopus_id/85118727682,"Fault detection is a fundamental and important research topic in automatic seismic interpretation since the geometry of faults usually reveals the accumulation and migration of geological resource. In the communities of machine learning, many methods convert the fault detection task into a patch-based binary classification problem to solve. Because there are only a few faults in seismic data, the related classification task is obviously imbalanced, i.e., non-fault samples heavily outnumber fault samples. On considering that the existing CNN models just transform the problem into a balanced two-class task via undersampling, in this paper we attempt to construct CNNs directly from the imbalanced patch data with the assistance of transfer learning. In particular, we use focal loss to robustly learn fault feature representations for both fault and non-fault patches. With the aim to make full use of available data, we adopt transfer learning to enhance the recognition ability of relatively complex patches. The experiments conducted with both synthetic and real seismic data (some slices of the Netherland offshore F3 block in the North Sea) show that the novel method performs very well in detecting faults in seismic data. In supplemental material, the features extracted by the CNNs are visualized for both fault and non-fault patches to get some insights for their good performance.",science
10.1016/j.neunet.2021.10.002,Journal,Neural Networks,scopus,2022-01-01,sciencedirect,Probabilistic generative modeling and reinforcement learning extract the intrinsic features of animal behavior,https://api.elsevier.com/content/abstract/scopus_id/85118333957,"It is one of the ultimate goals of ethology to understand the generative process of animal behavior, and the ability to reproduce and control behavior is an important step in this field. However, it is not easy to achieve this goal in systems with complex and stochastic dynamics such as animal behavior. In this study, we have shown that MDN–RNN,a type of probabilistic deep generative model, is able to reproduce stochastic animal behavior with high accuracy by modeling the behavior of C. elegans. Furthermore, we found that the model learns different dynamics in a disentangled representation as a time-evolving Gaussian mixture. Finally, by combining the model and reinforcement learning, we were able to extract a behavioral policy of goal-directed behavior in silico, and showed that it can be used for regulating the behavior of real animals. This set of methods will be applicable not only to animal behavior but also to broader areas such as neuroscience and robotics.",science
10.1016/j.commatsci.2021.110883,Journal,Computational Materials Science,scopus,2022-01-01,sciencedirect,Uncertainty bounds for multivariate machine learning predictions on high-strain brittle fracture,https://api.elsevier.com/content/abstract/scopus_id/85116258208,"Simulation of the crack network evolution on high strain rate impact experiments performed in brittle materials is very compute-intensive. The cost increases even more if multiple simulations are needed to account for the randomness in crack length, location, and orientation, which is inherently found in real-world materials. Constructing a machine learning emulator can make the process faster by orders of magnitude. There has been little work, however, on assessing the error associated with their predictions. Estimating these errors is imperative for meaningful overall uncertainty quantification. In this work, we extend the heteroscedastic uncertainty estimates to bound a multiple output machine learning emulator. We find that the response prediction is accurate within its predicted errors, but with a somewhat conservative estimate of uncertainty.",science
10.1016/j.postharvbio.2021.111741,Journal,Postharvest Biology and Technology,scopus,2022-01-01,sciencedirect,Multi-output 1-dimensional convolutional neural networks for simultaneous prediction of different traits of fruit based on near-infrared spectroscopy,https://api.elsevier.com/content/abstract/scopus_id/85115232057,"In spectral data predictive modelling of fresh fruit, often the models are calibrated to predict multiple responses. A common method to deal with such a multi-response predictive modelling is the partial least-squares (PLS2) regression. Recently, deep learning (DL) has shown to outperform partial least-squares (PLS) approaches for single fruit traits prediction. The DL can also be adapted to perform multi-response modelling. This study presents an implementation of DL modelling for multi-response prediction for spectral data of fresh fruit. To show this, a real NIR data set related to SSC and MC measurements in pear fruit was used. Since DL models perform better with larger data sets, a data augmentation procedure was performed prior to data modelling. Furthermore, a comparative study was also performed between two of the most used DL architectures for spectral analysis, their multi-output and single-output variants and a classic baseline model using PLS2. A key point to note that all the DL modelling presented in this study is performed using novel automated optimisation tools such as Bayesian optimisation and Hyperband. The results showed that DL models can be easily adapted by changing the output of the fully connected layers to perform multi-response modelling. In comparison to the PLS2, the multi-response DL model showed ∼13 % lower root mean squared error (RMSE), showing the ease and superiority of handling multi-response by DL models for spectral calibration.",science
10.1016/j.chb.2021.106994,Journal,Computers in Human Behavior,scopus,2022-01-01,sciencedirect,Neural and self-reported responses to antisocial news stories: Entertaining versus traditional news introduction,https://api.elsevier.com/content/abstract/scopus_id/85114195266,"Recently, as entertainment programs have become more prevalent in the news media, there is a growing need to understand how entertainment appeal influences viewers' sociomoral evaluation of news content. We investigated neural and self-reported moral evaluation of antisocial news content in college students who viewed real-life news reports featuring moral violations inside a functional magnetic resonance imaging (fMRI) brain scanner. Each news report was preceded by a traditional or entertaining style of introduction. The behavioral results showed that antisocial severity was reduced for antisocial news content that was presented following entertaining news introductions versus traditional news introductions. The fMRI results showed that entertainment news introductions tax more cognitive control resources than traditional news introductions during news processing, as indicated by greater activation in the dorsolateral prefrontal region; however, they diminish moral saliency, as suggested by the reduced activation in the medial prefrontal region. We also found that greater dorsolateral prefrontal activation during the early phase of news reports was associated with more lenient moral acceptability ratings in the entertainment condition. Furthermore, reduced functional connectivity of the mentalizing brain network was observed in the entertainment condition when compared with the traditional condition. These results suggest that entertainment appeal may increase resource depletion, diminish moral sensitivity, and reduce functional integration of relevant social information during news processing, thus hindering viewers' moral scrutiny. This novel study contributes to a better understanding of how entertainment features influence viewers’ sociomoral evaluation of news stories.",science
