contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Article,doi:10.1007/s12517-021-08936-w,Retraction Note: Research on artificial intelligence-based mountain mineral composition detection and big data chemistry education,Arabian Journal of Geosciences,10.1007/s12517-021-08936-w,Springer,2021-11-15,2021-11-15,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12517-021-08936-w,springer
Article,doi:10.1007/s11004-021-09982-6,Correction to: Surface Warping Incorporating Machine Learning Assisted Domain Likelihood Estimation: A New Paradigm in Mine Geology Modeling and Automation,Mathematical Geosciences,10.1007/s11004-021-09982-6,Springer,2021-11-11,2021-11-11,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11004-021-09982-6,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-3346-1_35,Efficacious Governance During Pandemics Like Covid-19 Using Intelligent Decision Support Framework for User Generated Content,Proceedings of Second Doctoral Symposium on Computational Intelligence,10.1007/978-981-16-3346-1_35,Springer,2022-01-01,2021-09-20,"Jindal, Rajni Malhotra, Anshu During the unprecedented global health emergency caused by the pandemic Covid-19, the governments and nationalized organizations of all countries are struggling to control its spread by enforcing various measures, and also manage its social economic impact through policy intervention. In such critical situation, it becomes imperative to take data driven decisions. User generated content over online social media is an untapped data source that can be leveraged to gain insights for effective governance and decision making; and can also serve as a first hand communication medium between the various government bodies and citizens. In this paper, we have proposed a novel governance framework that leverages user generated content on social media for effective decision making by the authorities. We have used topic modelling techniques to discover social-economic trends, and to understand the issues or concerns of public interest. We used information extraction techniques like noun and verb phrase extraction, and Named Entity Recognition to measure the geographical spread, identify Covid-19 hotspots, assist in contact tracing, and discovering new health conditions. From the available literature, we could not find any intelligent framework for effective governance during pandemics, where user generated content has been utilized for real time decision making. In this paper, we address this real world problem through our proposed decision support System, and demonstrate as a proof-of-concept of how it can be used for effective governance during the pandemics through its prototype implementation.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-3346-1_35,springer
Article,doi:10.1007/s10660-019-09395-y,Towards effective discovery of natural communities in complex networks and implications in e-commerce,Electronic Commerce Research,10.1007/s10660-019-09395-y,Springer,2021-12-01,2020-01-06,"Automated community detection is an important problem in the study of complex networks. The idea of community detection is closely related to the concept of data clustering in pattern recognition. Data clustering refers to the task of grouping similar objects and segregating dissimilar objects. The community detection problem can be thought of as finding groups of densely interconnected nodes with few connections to nodes outside the group. A node similarity measure is proposed here that finds the similarity between two nodes by considering both neighbors and non-neighbors of these two nodes. Subsequently, a method is introduced for identifying communities in complex networks using this node similarity measure and the notion of data clustering. The significant characteristic of the proposed method is that it does not need any prior knowledge about the actual communities of a network. Extensive experiments on several real world and artificial networks with known ground-truth communities are reported. The proposed method is compared with various state of the art community detection algorithms by using several criteria, viz. normalized mutual information, f-measure etc. Moreover, it has been successfully applied in improving the effectiveness of a recommender system which is rapidly becoming a crucial tool in e-commerce applications. The empirical results suggest that the proposed technique has the potential to improve the performance of a recommender system and hence it may be useful for other e-commerce applications.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10660-019-09395-y,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-82193-7_17,Discovering Nonlinear Dynamics Through Scientific Machine Learning,Intelligent Systems and Applications,10.1007/978-3-030-82193-7_17,Springer,2022-01-01,2021-08-04,"Scientific Machine Learning (SciML) is a new multidisciplinary methodology that combines the data-driven machine learning models and the principle-based computational models to improve the simulations of scientific phenomenon and uncover new scientific rules from existing measurements. This article reveals the experience of using the SciML method to discover the nonlinear dynamics that may be hard to model or be unknown in the real-world scenario. The SciML method solves the traditional principle-based differential equations by integrating a neural network to accurately model the nonlinear dynamics while respecting the scientific constraints and principles. The paper discusses the latest SciML models and apply them to the oscillator simulations and experiment. Besides better capacity to simulate, and match with the observation, the results also demonstrate a successful discovery of the hidden physics in the pendulum dynamics using SciML.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-82193-7_17,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-3071-2_12,Predicting Prior Academic Failure of Students’ Using Machine Learning Approach,International Conference on Innovative Computing and Communications,10.1007/978-981-16-3071-2_12,Springer,2022-01-01,2021-08-29,"In the educational institutions, research on educational data is on demand due to its predictive power and decision-making process using machine learning approach. The present research work can be broadly categorized into two modules. Firstly, data pre-processing directed on real-time data of Government Polytechnic College Ambala, Haryana, India. Secondly, desired data collected along with exploratory data analysis and human-interpretable features is tested on six different classifier to predict student third-year performance as binary classification based on first- and second-year performance, and maximum accuracy of 98.7% was achieved. This generates a chance to identify low-performing students, and accordingly, early interventions can be deployed to prevent them from failing or dropping. This study also suggests a viable direction to use educational data for getting insights by using the machine learning approach.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-3071-2_12,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-4126-8_25,Toward a Social Media Emergency Events Detection Based on Supervised Learning,"Communication, Smart Technologies and Innovation for Society",10.1007/978-981-16-4126-8_25,Springer,2022-01-01,2021-09-28,"Urban emergency events affect many lives and property of people every day. They should be tackled in a fast, precise, and with an early detection goal. In recent years, social media has become popular, turning its users into proper “citizen sensors,” which means a person who, through devices, records incidents on these platforms. Therefore, they become real-time communicators of emergency events. This paper presents a preliminary study based on supervised learning toward social media emergency events detection. This approach has four phases: the first two correspond to data acquisition and preprocessing, where tweets available in a public repository about emergency and non-emergency were taken, filtered, and converted through a process of lemma feature extraction. In the third phase, four most commonly used supervised algorithms were implemented to detect tweets containing emergency events. Finally, using validation metrics and algorithms to detect emergency and non-emergency reported in the tweets was verified. Computational results showed that all evaluated algorithms achieved average rates of 85.38% of accuracy meanwhile that in execution time about 23 seconds, to detect a real emergency event. The best algorithm when trade-offs between execution time and emergency detection capability are considered was the SVM.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-4126-8_25,springer
Chapter,doi:10.1007/978-981-16-6210-2_3,Artificial Intelligence in Agri-Food Systems—An Introduction,"Internet of Things and Analytics for Agriculture, Volume 3",10.1007/978-981-16-6210-2_3,Springer,2022-01-01,2021-11-11,"Artificial intelligence (AI) is a replacement to human intelligence with expanded capabilities that has empowered the industries to handle and drive more complex systems. In agri-food industrial systems, an artificial intelligent system would drive a system towards the set objectives based on the information and knowledge gathered from the consumers, farmers, machines, and domain experts. Machine learning (ML) is the preferred tool to process the knowledge and information for identifying some underlying rules and patterns to support the implementation of the AI based solution. ML-based AI is preferred, because the heterogeneity in consumer preference, biological variability of material characteristics, and unpredictable system behavior presents a highly complex system to be handled by the rule based expert systems. This chapter gives an insight of the fundamentals of machine learning and deep learning with the emphasis on their application for AI implementation in the field of agri-food material handling. Popular ML algorithms viz., support vector machine (SVM), K-nearest neighbor (KNN), artificial neural networks (ANN), decision trees, and convolutional neural networks (CNN) are discussed as feature description methods for classification and recognition, based on the product images. Works from different researchers are cited to demonstrate the potential application of these techniques for solving real-life complex problems.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-6210-2_3,springer
Article,doi:10.1007/s41019-021-00165-1,Predicting Geolocation of Tweets: Using Combination of CNN and BiLSTM,Data Science and Engineering,10.1007/s41019-021-00165-1,Springer,2021-12-01,2021-07-08,"Twitter is one of the most popular micro-blogging and social networking platforms where users post their opinions, preferences, activities, thoughts, views, etc., in form of tweets within the limit of 280 characters. In order to study and analyse the social behavior and activities of a user across a region, it becomes necessary to identify the location of the tweet. This paper aims to predict geolocation of real-time tweets at the city level collected for a period of 30 days by using a combination of convolutional neural network and a bidirectional long short-term memory by extracting features within the tweets and features associated with the tweets. We have also compared our results with previous baseline models and the findings of our experiment show a significant improvement over baselines methods achieving an accuracy of 92.6 with a median error of 22.4 km at city level prediction.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s41019-021-00165-1,springer
Article,doi:10.1007/s13278-021-00800-9,GANBOT: a GAN-based framework for social bot detection,Social Network Analysis and Mining,10.1007/s13278-021-00800-9,Springer,2021-11-14,2021-11-14,"Nowadays, a massive number of people are involved in various social media. This fact enables organizations and institutions to more easily access their audiences across the globe. Some of them use social bots as an automatic entity to gain intangible access and influence on their users by faster content propagation. Thereby, malicious social bots are populating more and more to fool humans with their unrealistic behavior and content. Hence, that’s necessary to distinguish these fake social accounts from real ones. Multiple approaches have been investigated in the literature to answer this problem. Statistical machine learning methods are one of them focusing on handcrafted features to represent characteristics of social bots. Although they reached successful results in some cases, they relied on the bot’s behavior and failed in the behavioral change patterns of bots. On the other hands, more advanced deep neural network-based methods aim to overcome this limitation. Generative adversarial network (GAN) as new technology from this domain is a semi-supervised method that demonstrates to extract the behavioral pattern of the data. In this work, we use GAN to leak more information of bot samples for state-of-the-art textual bot detection method ( Contextual LSTM ). Although GAN augments low labeled data, original textual GAN ( Sequence Generative Adversarial Net (SeqGAN) ) has the known limitation of convergence. In this paper, we invested this limitation and customized the GAN idea in a new framework called GANBOT , in which the generator and classifier connect by an LSTM layer as a shared channel between them. Our experimental results on a bench-marked dataset of Twitter social bot show our proposed framework outperforms the existing contextual LSTM method by increasing bot detection probabilities.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s13278-021-00800-9,springer
