doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/SBESC49506.2019.9046078,A Linked Data-Based Semantic Information Model for Smart Cities,IEEE,Conferences,"Smart cities typically involve a myriad of inter-connected systems intended to promote better management of urban and natural resources of cities, thereby contributing to the improve the quality of life of citizens. The heterogeneity of domains, systems, data, and relationships among them requires defining a data model able to express information in a flexible, extensible way while promoting interoperability between systems and applications. Furthermore, smart city systems can benefit from georeferenced information to allow for more effective actions over the real-world urban space. Aiming at tackling challenges related to data heterogeneity while considering georeferenced information, this work introduces LGeoSIM, a semantic-based information model for smart cities as means of fostering interoperability and powerful automated reasoning upon unambiguous information. LGeoSIM relies on the recent NGSI-LD Specification, thereby encompassing the principles of Linked Data to allow semantically defining information through ontologies and their interconnection. This paper also presents an implementation of LGeoSIM within Smart Geo Layers, a geographic-layered data middleware platform conceived to integrate data provided by heterogeneous sources in a smart city environment.",https://ieeexplore.ieee.org/document/9046078/,2019 IX Brazilian Symposium on Computing Systems Engineering (SBESC),19-22 Nov. 2019,ieeexplore
10.1109/HONET.2019.8907997,AR-IoMT Mental Health Rehabilitation Applications for Smart Cities,IEEE,Conferences,"Augmented Reality (AR) applications provide major opportunities for healthcare. Mental health rehabilitation in particular is an area that stands to gain from innovations in this field. Debilitating medical conditions related to traumatic brain injuries, aging, and drug abuse, can take advantage from the benefits that these applications provide. Coupled with IoMT (Internet of Medical Things) sensors and machine learning, effective system implementations that predict mental rehabilitation outcomes can be built. This can help in administering better treatment protocols. The collective use of these technologies for therapeutic approaches to alter patient behaviour at a physiological level falls in the emerging field of Digital Therapeutics (DT). In this paper, the current state of AR for mental health rehabilitation is described and used to motivate the implementation of a proof of concept mental DT rehabilitation system developed by us. Similar AR-IoMT systems can reduce inpatient counts in smart cities where an increase in aging populations is already a concern, and existing healthcare resources may be clogged up due to minor inpatient health checkups. In addition, the paper discusses the deployment challenges of the implemented system, which include the lack and need thereof of a standardized protocol for IoMT data collection and analysis for cross interoperability across different healthcare providers and vendors.",https://ieeexplore.ieee.org/document/8907997/,2019 IEEE 16th International Conference on Smart Cities: Improving Quality of Life Using ICT & IoT and AI (HONET-ICT),6-9 Oct. 2019,ieeexplore
10.1109/icABCD49160.2020.9183832,Adaptation of Smart Cities in the South African Internet of Things Context,IEEE,Conferences,"Towards the end of 2030, the global population is estimated to be around 8.5 billion. Half of the human population live today in cities and these cities continues to grow exponential growth as people migrate to urban areas in search of a better life. As a result, urban resources are being stretched to their limits to accommodate the population growth. Smart city is a paradigm to manage the difficulty of urban living, upsurge competence, decrease expenditures and advance the worth of its inhabitant's daily life. Countries across the world are adapting to smart cities as it becomes highly critical to explore innovative solutions available to make cities more efficient and smarter. South Africa (SA) needs to leapfrog in terms of the competition through smart cities. SA cities have unique challenges stemming from years of apartheid and neglect of infrastructure. When compared to established cities such as Amsterdam, Barcelona, Copenhagen, London and New York, SA cities are lagging far behind the competitive curve. However, can be mitigated as SA cities through innovative adoption of smart cities can become globally competitive. Furthermore, through the implementation of advanced technologies and lessons learned from established cities that the anticipated growth need not be incremental, but rather will be exponential in many aspects. In light of the above facts, this paper looks into the adaptation of smart cities from a SA perspective by leveraging on the Internet of Things (IoT) technologies for different feasible use cases. The smart city initiatives in SA are laid out and the priority use cases are stream lined in lieu of the national priorities as stipulated in the National Development Plan (NDP). A smart city framework for SA is further proposed and the vitally important use cases in the SA context are identified and elaborated. The use cases are then evaluated based on the national Key Performance Indicators (KPIs). The scope for future directions and conclusions are sketched towards the end, with an optimism that the current work will be an eye-opener and adaptable to other developing countries.",https://ieeexplore.ieee.org/document/9183832/,"2020 International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems (icABCD)",6-7 Aug. 2020,ieeexplore
10.1109/BMSB53066.2021.9547185,An Optimal and Lightweight Convolutional Neural Network for Performance Evaluation in Smart Cities based on CAPTCHA Solving,IEEE,Conferences,"Multimedia Internet of Things (IoT) devices, especially, the smartphones are embedded with sensors including Global Positioning System (GPS), barometer, microphone, accelerometer, etc. These sensors working together, present a fairly complete picture of the citizens' daily activities, with implications for their privacy. With the internet, Citizens in Smart Cities are able to perform their daily life activities online with their connected electronic devices. But, unfortunately, computer hackers tend to write automated malicious applications to attack websites on which these citizens perform their activities. These security threats sometime put their private information at risk. In order to prevent these security threats on websites, Completely Automated Public Turing test to tell Computers and Humans Apart (CAPTCHAs) are generated, as a form of security mechanism to protect the citizens' private information. But with the advancement of deep learning, text-based CAPTCHAs can sometimes be vulnerable. As a result, it is essential to conduct performance evaluation on the CAPTCHAs that are generated before they are deployed on multimedia web applications. Therefore, this work proposed an optimal and light-weight Convolutional Neural Network (CNN) to solve both numerical and alpha-numerical complex text-based CAPTCHAs simultaneously. The accuracy of the proposed CNN model has been accelerated based on Cyclical Learning Rates (CLRs) policy. The proposed CLR-CNN model achieved a high accuracy to solve both numerical and alpha-numerical text-based CAPTCHAs of 99.87% and 99.66%, respectively. In real-time, we observed that the speed of the model has increased, the model is lightweight, stable, and flexible as compared to other CAPTCHA solving techniques. The result of this current work will increase awareness and will assist multimedia security Researchers to continue and develop more robust text-based CAPTCHAs with their security mechanisms capable of protecting the private information of citizens in Smart Cities.",https://ieeexplore.ieee.org/document/9547185/,2021 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),4-6 Aug. 2021,ieeexplore
10.1109/ICAIS50930.2021.9395970,Garbage Zero (Garb0): An IoT Framework for Effective Garbage Management in Smart Cities,IEEE,Conferences,"Today, there is a significant trend of blending optimized waste management strategies with low power, low-cost Internet of Things (IoT) solutions. This paper discusses and investigates Garbage Zero (Garb0), an indigenous product developed for outdoor garbage bins. Garb0 aims at developing a power efficient IoT based real-time solid waste monitoring solution that helps cities to optimize their waste collection and maintain clean and green environment. The Garb0 sensor module can be installed within public garbage bins to provide real time fill level data. The related information regarding the current fill level of the garbage bin will be transmitted to a cloud using the Low Power Wide Area Networks (LPWAN) based Long Range (LoRa) technology [1][2], which will be further processed and forwarded to garbage collector's mobile application and to the municipal dashboard for updating the status. Optimized schedule and route for collecting the garbage from the garbage bins will be generated on the garbage collector's app and accordingly directs the driver to follow the most efficient route. The main focus of this paper is on the hardware and software architecture implemented to achieve low cost, low power consumption and long battery life.",https://ieeexplore.ieee.org/document/9395970/,2021 International Conference on Artificial Intelligence and Smart Systems (ICAIS),25-27 March 2021,ieeexplore
10.1109/GLOBECOM42002.2020.9348202,Image Download and Rate Allocation of Internet-of-Things Analytics at Gateways in Smart Cities,IEEE,Conferences,"Internet-of-Things (IoT) devices are connected to the Internet through a gateway, which can host IoT analytics encapsulated in containers to convert raw sensor data into more condensed processed data. In this paper, we study two research problems to maximize the overall Quality-of-Service (QoS) level of all IoT analytics that run on both data center servers and gateways. The first problem is to select additional IoT analytics to deploy on a gateway to save upload bandwidth due to transmitting raw sensor data. The second problem is to allocate the residue upload bandwidth among all IoT analytics to maximize the overall QoS level. We propose several algorithms to solve these two research problems. We have implemented real testbeds to evaluate our proposed system and algorithms. Our experiment results reveal that the proposed algorithms: (i) capitalize the download bandwidth and storage space of the gateway for saving the upload bandwidth consumption and (ii) achieve high QoS levels without overloading the network and gateway.",https://ieeexplore.ieee.org/document/9348202/,GLOBECOM 2020 - 2020 IEEE Global Communications Conference,7-11 Dec. 2020,ieeexplore
10.1109/ICCTA52020.2020.9477671,Keynote Speech II: AI-Enabled Deployment of Connected and Autonomous Electric Vehicles in Smart Cities,IEEE,Conferences,"The transformation of our current cities into smarter cities will bring challenges in diverse areas such as the transportation system, the electricity system, and wearable systems, just to name a few. In smart cities, Information and Communication Technologies (ICT) will play a vital role for providing services in the urban environment. These services include real time monitoring and reaction in time through wireless sensor and actuator networks. Smart Grids (SGs), Intelligent Transportation Systems (ITS), Internet of Things (IoT), Electric Vehicles (EVs), and Wireless Sensor Networks (WSNs), supported by the advances I Artificial Intelligence (AI) and Machine Learning (ML), will be the building blocks of futuristic smart cities. In this presentation we will address ML techniques with a focus on autonomous vehicles and in particular on Connected and Autonomous Electric Vehicles (CAEVs) in smart cities. Current capabilities as well as limitations and opportunities of key AI enabling technologies will be reviewed, along with a discussion on the impact of such advances on society and the environment. All these technologies will help to build a smart city. A use case on evaluating traffic signs detection using deep convolutional neural networks (CNNs) such as Faster R-CNN for autonomous driving, will be provided.",https://ieeexplore.ieee.org/document/9477671/,2020 30th International Conference on Computer Theory and Applications (ICCTA),12-14 Dec. 2020,ieeexplore
10.1109/BalkanCom53780.2021.9593258,MARVEL: Multimodal Extreme Scale Data Analytics for Smart Cities Environments,IEEE,Conferences,"A Smart City based on data acquisition, handling and intelligent analysis requires efficient design and implementation of the respective AI technologies and the underlying infrastructure for seamlessly analyzing the large amounts of data in real-time. The EU project MARVEL will research solutions that can improve the integration of multiple data sources in a Smart City environment for harnessing the advantages rooted in multimodal perception of the surrounding environment.",https://ieeexplore.ieee.org/document/9593258/,2021 International Balkan Conference on Communications and Networking (BalkanCom),20-22 Sept. 2021,ieeexplore
10.1109/ISC246665.2019.9071685,Predictive GPU-based ADAS Management in Energy-Conscious Smart Cities,IEEE,Conferences,"The demand of novel IoT and smart city applications is increasing significantly and it is expected that by 2020 the number of connected devices will reach 20.41 billion. Many of these applications and services manage real-time data analytics with high volumes of data, thus requiring an efficient computing infrastructure. Edge computing helps to enable this scenario improving service latency and reducing network saturation. This computing paradigm consists on the deployment of numerous smaller data centers located near the data sources. The energy efficiency is a key challenge to implement this scenario, and the management of federated edge data centers would benefit from the use of microgrid energy sources parameterized by user's demands. In this research we propose an ANN predictive power model for GPU-based federated edge data centers based on data traffic demanded by the application. We validate our approach, using real traffic for a state-of-the-art driving assistance application, obtaining 1 hour ahead power predictions with a normalized root-mean-square deviation below 7.4% when compared with real measurements. Our research would help to optimize both resource management and sizing of edge federations.",https://ieeexplore.ieee.org/document/9071685/,2019 IEEE International Smart Cities Conference (ISC2),14-17 Oct. 2019,ieeexplore
10.1109/ICPP.2015.45,Reflex-Tree: A Biologically Inspired Parallel Architecture for Future Smart Cities,IEEE,Conferences,"We introduce a new parallel computing and communication architecture, Reflex-Tree, with massive sensing, data processing, and control functions suitable for future smart cities. The central feature of the proposed Reflex-Tree architecture is inspired by a fundamental element of the human nervous system: reflex arcs, the neuromuscular reactions and instinctive motions of a part of the body in response to urgent situations. At the bottom level of the Reflex-Tree (layer 4), novel sensing devices are proposed that are controlled by low power processing elements. These ""leaf"" nodes are then connected to new classification engines based on machine learning techniques, including support vector machines (SVM), to form the third layer. The next layer up consists of servers that provide accurate control decisions via multi-layer adaptive learning and spatial-temporal association, before they are connected to the top level cloud where complex system behavior analysis is performed. Our multi-layered architecture mimics human neural circuits to achieve the high levels of parallelization and scalability required for efficient city-wide monitoring and feedback. To demonstrate the utility of our architecture, we present the design, implementation, and experimental evaluation of a prototype Reflex-Tree. City power supply network and gas pipeline management scenarios are used to drive our prototype as case studies. We show the effectiveness for several levels of the architecture and discuss the feasibility of implementation.",https://ieeexplore.ieee.org/document/7349591/,2015 44th International Conference on Parallel Processing,1-4 Sept. 2015,ieeexplore
