contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Article,doi:10.1007/s12145-021-00718-y,Correction to: Prediction of urban water accumulation points and water accumulation process based on machine learning,Earth Science Informatics,10.1007/s12145-021-00718-y,Springer,2021-12-01,2021-10-23,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12145-021-00718-y,springer
Article,doi:10.1007/s12517-021-08905-3,Retraction Note to: Urban land ecological evaluation and English translation model optimization based on machine learning,Arabian Journal of Geosciences,10.1007/s12517-021-08905-3,Springer,2021-11-12,2021-11-12,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12517-021-08905-3,springer
Article,doi:10.1007/s12517-021-08914-2,Retraction Note to: Neural network-based urban green vegetation coverage detection and smart home system optimization,Arabian Journal of Geosciences,10.1007/s12517-021-08914-2,Springer,2021-11-12,2021-11-12,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12517-021-08914-2,springer
Article,doi:10.1007/s12517-021-08904-4,Retraction Note to: Machine learning-based prediction of urban soil environment and corpus translation teaching,Arabian Journal of Geosciences,10.1007/s12517-021-08904-4,Springer,2021-11-11,2021-11-11,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12517-021-08904-4,springer
Article,doi:10.1007/s12517-021-08833-2,Retraction Note to: Research on coastline climate environment and student psychology in coastal cities based on artificial intelligence,Arabian Journal of Geosciences,10.1007/s12517-021-08833-2,Springer,2021-11-09,2021-11-09,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12517-021-08833-2,springer
Article,doi:10.1007/s12517-021-08699-4,Retraction Note: Artificial intelligence-based water and soil erosion around cities and spatial distribution of sports public service resources,Arabian Journal of Geosciences,10.1007/s12517-021-08699-4,Springer,2021-11-03,2021-11-03,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12517-021-08699-4,springer
Article,doi:10.1007/s12517-021-08732-6,Retraction Note: Neural network–based urban rainfall trend estimation and adolescent anxiety management,Arabian Journal of Geosciences,10.1007/s12517-021-08732-6,Springer,2021-11-03,2021-11-03,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12517-021-08732-6,springer
Article,doi:10.1007/s11036-021-01778-6,"Convergence of 5G Technologies, Artificial Intelligence and Cybersecurity of Networked Societies for the Cities of Tomorrow",Mobile Networks and Applications,10.1007/s11036-021-01778-6,Springer,2021-08-01,2021-05-11,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11036-021-01778-6,springer
Article,doi:10.1007/s00521-021-05760-x,Appearance-based passenger counting in cluttered scenes with lateral movement compensation,Neural Computing and Applications,10.1007/s00521-021-05760-x,Springer,2021-08-01,2021-02-06,"Autonomous passenger counting in public transportation represents an integral part of an intelligent transportation system, as it provides vital information to improve the efficiency and resource management of a public transportation network. However, counting passengers in highly crowded scenes is a challenging task due to their random movement, diverse appearance settings and inter-object occlusions. Furthermore, state-of-the-art methods in this domain rely heavily on additional custom cameras or sensors instead of existing onboard surveillance cameras, which consequently limits the feasibility of such systems for large-scale deployment. Hence, this paper puts forward an enhanced appearance descriptor with lateral movement compensation, which addresses the difficulty in counting passengers bidirectionally in cluttered scenes. We first construct a head re-identification dataset, which is used to train an appearance descriptor. This dataset addresses the absence of a person re-identification dataset, which in turn allows for accurate tracking of passengers in cluttered scenes. Then, a novel technique of applying a fedora counting line is introduced to count the number of passengers entering and exiting a bus. This technique compensates the impact of passengers’ lateral movement, which crucially increases the accuracy of bidirectional passenger counting using onboard bus surveillance cameras. In addition, a real-time implementation of the proposed method, which includes the integration of DeepStream and fedora counting line, is also presented. Experimental results on a challenging test dataset demonstrate that the proposed method outperforms benchmarked techniques with an average counting accuracy of 93.21% for entering and 96.10% for exiting public buses. Furthermore, the proposed system achieves this accuracy at an average frame rate of 16 frames per second, which represents a practical solution to a real-time application.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00521-021-05760-x,springer
Article,doi:10.1007/s11227-021-04068-w,Reinforcement learning for traffic light control with emphasis on emergency vehicles,The Journal of Supercomputing,10.1007/s11227-021-04068-w,Springer,2021-09-14,2021-09-14,"Traffic lights are an important controlling factor in traffic flows, and good policies will facilitate traffic congestion. A car's waiting time is highly related to the period in which the traffic lights are green or red; thus, a proper controlling policy reduces the waiting time and speeds up the car movement. Emergency vehicles always have a higher priority than other cars and need to reach their destination faster. In the last decade, a lot of research has been done to solve the traffic light scheduling issue using artificial intelligence techniques. Reinforcement learning with simulating human learning has the outstanding performance to solve complex problems, such as traffic lights control. In this study, a deep reinforcement learning traffic light control was implemented at a crossroad using real-time traffic information with an emphasis on emergency vehicles. The agent learns to adjust its policies to prioritize the emergency cars over the other cars. The results show less waiting time and speed up the cars’ movement. It also indicates the emergency vehicles will cross the intersection with the least delay. With 200 to 600 cars and one emergency vehicle, the average delay decreases 2–16% in total using reinforcement learning. Considering more emergency vehicles, there is a 27–40% decrease in average delay for emergency vehicles.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11227-021-04068-w,springer
