id,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1016/j.physc.2021.1354007,Journal,Physica C: Superconductivity and its Applications,scopus,2022-02-15,sciencedirect,Optical fibre based quench detection in HTS applications using machine learning classifiers,https://api.elsevier.com/content/abstract/scopus_id/85122309535,"A Mach-Zehnder Interferometer (MZI) based optical fibre sensing technique, developed and patented by EPFL, is an efficient and economical way to detect hotspots in High Temperature Superconductor (HTS) applications. Due to the MZI sensitivity being a composite of strain sensitive and temperature sensitive contributions, the MZI gives an instantaneous response to a quench (within 10 ms), because of the quick strain transfer to the optical fibre. However, the MZI output signal can also manifest the environmental noise caused by mechanical vibrations, bubbling in the cryostat and temperature variations, along with the response to the quench. This presents the problems of false alarms and indiscernible response to a quench. Discrete wavelet transform (DWT) has been proven to be a useful tool for feature extraction in different fields requiring signal categorization and hence holds the potential to enable quench recognition in the MZI output. This paper proposes an effective approach of performing DWT based feature extraction on experimental data and subsequently using the extracted features for the MZI response classification using two machine learning based classification techniques: k-nearest neighbours (KNN) and Artificial Neural Network (ANN). For this manuscript, experiments were performed using MZI for quench detection in an HTS tape. Feature extraction was then implemented on these experimental measurements using discrete wavelet coefficients extracted at different decomposition levels from the MZI output; these features were then used to train the KNN and ANN models for identifying quench in the MZI signal. This method could be a valuable supplement to the MZI technique by enabling the development of a real time application that can process the MZI output data as well as eliminate the occurrences of false alarms; thereby facilitating reliable quench detection. With this development, the MZI technique would become an even more attractive solution for the health monitoring of HTS applications.",health
10.1016/j.comnet.2021.108661,Journal,Computer Networks,scopus,2022-02-11,sciencedirect,Evaluating Federated Learning for intrusion detection in Internet of Things: Review and challenges,https://api.elsevier.com/content/abstract/scopus_id/85121903251,"The application of Machine Learning (ML) techniques to the well-known intrusion detection systems (IDS) is key to cope with increasingly sophisticated cybersecurity attacks through an effective and efficient detection process. In the context of the Internet of Things (IoT), most ML-enabled IDS approaches use centralized approaches where IoT devices share their data with data centers for further analysis. To mitigate privacy concerns associated with centralized approaches, in recent years the use of Federated Learning (FL) has attracted a significant interest in different sectors, including healthcare and transport systems. However, the development of FL-enabled IDS for IoT is in its infancy, and still requires research efforts from various areas, in order to identify the main challenges for the deployment in real-world scenarios. In this direction, our work evaluates a FL-enabled IDS approach based on a multiclass classifier considering different data distributions for the detection of different attacks in an IoT scenario. In particular, we use three different settings that are obtained by partitioning the recent ToN_IoT dataset according to IoT devices’ IP address and types of attack. Furthermore, we evaluate the impact of different aggregation functions according to such setting by using the recent IBMFL framework as FL implementation. Additionally, we identify a set of challenges and future directions based on the existing literature and the analysis of our evaluation results.",health
10.1016/j.ces.2021.117205,Journal,Chemical Engineering Science,scopus,2022-02-02,sciencedirect,"Developments of leak detection, diagnostics, and prediction algorithms in multiphase flows",https://api.elsevier.com/content/abstract/scopus_id/85118896502,"Leak detection, diagnostics, and prediction constitute a crucial phase of the flow assurance risk management process for onshore and offshore pipelines. There are a variety of techniques and algorithms that can be deployed to address each aspect. To date, most review papers have concentrated on steady-state and single-phase flow conditions. The goal of the current review is therefore to carry out a thorough analysis of the available leak detection and diagnosis methods by focusing on (i) multiphase flow and transient flow conditions, (ii) model-based and data-driven techniques, (iii) prediction tools, and (iv) performance measures. Detailed assessment of leak detection methods based on accuracy, complexity, data requirement, and cost of installation are discussed. Data-driven techniques are utterly dependent on qualitative and quantitative data available from pipeline systems. Contrastingly data-driven techniques, model-based techniques require less data to achieve leak detection, provided that a nearly accurate base model is available. Different methodologies and technologies can be combined in order to produce the best detection and diagnosis outputs. In many cases, statistical analysis was combined with the Real Time Transient Method (RTTM), which helped to minimize false alarms. The material in this review can be used as a robust guide for the design of diagnostic systems and further research.",health
10.1016/j.cjca.2021.11.009,Journal,Canadian Journal of Cardiology,scopus,2022-02-01,sciencedirect,A Primer on the Present State and Future Prospects for Machine Learning and Artificial Intelligence Applications in Cardiology,https://api.elsevier.com/content/abstract/scopus_id/85122266625,"The artificial intelligence (AI) revolution is well underway, including in the medical field, and has dramatically transformed our lives. An understanding of the basics of AI applications, their development, and challenges to their clinical implementation is important for clinicians to fully appreciate the possibilities of AI. Such a foundation would ensure that clinicians have a good grasp and realistic expectations for AI in medicine and prevent discrepancies between the promised and real-world impact. When quantifying the track record for AI applications in cardiology, we found that a substantial number of AI systems are never deployed in clinical practice, although there certainly are many success stories. Successful implementations shared the following: they came from clinical areas where large amount of training data was available; were deployable into a single diagnostic modality; prediction models generally had high performance in external validation; and most were developed as part of collaborations with medical device manufacturers who had substantial experience with implementation of new clinical technology. When looking into the current processes used for developing AI-based systems, we suggest that expanding the analytic framework to address potential deployment and implementation issues at project outset will improve the rate of successful implementation, and will be a necessary next step for AI to achieve its full potential in cardiovascular medicine.",health
10.1016/j.compbiomed.2021.105144,Journal,Computers in Biology and Medicine,scopus,2022-02-01,sciencedirect,Domain generalization on medical imaging classification using episodic training with task augmentation,https://api.elsevier.com/content/abstract/scopus_id/85121969937,"Medical imaging datasets usually exhibit domain shift due to the variations of scanner vendors, imaging protocols, etc. This raises the concern about the generalization capacity of machine learning models. Domain generalization (DG), which aims to learn a model from multiple source domains such that it can be directly generalized to unseen test domains, seems particularly promising to medical imaging community. To address DG, recent model-agnostic meta-learning (MAML) has been introduced, which transfers the knowledge from previous training tasks to facilitate the learning of novel testing tasks. However, in clinical practice, there are usually only a few annotated source domains available, which decreases the capacity of training task generation and thus increases the risk of overfitting to training tasks in the paradigm. In this paper, we propose a novel DG scheme of episodic training with task augmentation on medical imaging classification. Based on meta-learning, we develop the paradigm of episodic training to construct the knowledge transfer from episodic training-task simulation to the real testing task of DG. Motivated by the limited number of source domains in real-world medical deployment, we consider the unique task-level overfitting and we propose task augmentation to enhance the variety during training task generation to alleviate it. With the established learning framework, we further exploit a novel meta-objective to regularize the deep embedding of training domains. To validate the effectiveness of the proposed method, we perform experiments on histopathological images and abdominal CT images.",health
10.1016/j.scs.2021.103559,Journal,Sustainable Cities and Society,scopus,2022-02-01,sciencedirect,Assessment of sustainable development objectives in Smart Labs: technology and sustainability at the service of society,https://api.elsevier.com/content/abstract/scopus_id/85120052266,"Sustainable development is the working basis of engineering research and cities are becoming increasingly flexible, inclusive and intelligent. In this context, there is a need for environments that emulate real-life spaces in which cutting-edge technologies can be implemented for subsequent deployment in society. Smart Labs or Living Labs are spaces for innovation, research and experimentation that integrate systems, devices and methodologies focused on people and their environments. The technologies studied and developed in such labs can then be deployed in human spaces to provide intelligence, comfort, health and sustainability. Health and wellness, energy and environment, artificial intelligence, big data and digital rights are some of the disciplines being studied. At the same time, the UN 2030 Agenda provides a comprehensive framework to promote human well-being through the Sustainable Development Goals. In this work, an evaluation model of its indicators in smart environments is performed through a mixed review methodology. The objective of this work is the analysis and implementation of the SDGs in Smart Labs through a literature review and a case study of UJAmI, the smart laboratory of the University of Jaén. The results provide quantitative and qualitative data on the present and future of the smart devices implemented in the UJAmI lab, providing a roadmap for future developments.",health
10.1016/j.jiac.2021.10.027,Journal,Journal of Infection and Chemotherapy,scopus,2022-02-01,sciencedirect,A study of quality assessment in SARS-CoV-2 pathogen nucleic acid amplification tests performance; from the results of external quality assessment survey of clinical laboratories in the Tokyo Metropolitan Government external quality assessment program in 2020,https://api.elsevier.com/content/abstract/scopus_id/85119258737,"Introduction
                  The Tokyo Metropolitan Government (TMG) conducted an external quality assessment (EQA) survey of pathogen nucleic acid amplification tests (NAATs) as a TMG EQA program for SARS-CoV-2 for clinical laboratories in Tokyo.
               
                  Methods
                  We diluted and prepared a standard product manufactured by Company A to about 2,500 copies/mL to make a positive control and distribute it with a negative control. The participants reported the use of the NAATs methods for SARS-CoV-2, the name of the real-time RT-PCR kit, the name of the detection device, the target gene(s), nucleic acid extraction kit, Threshold Cycle value in the case of RT-PCR and the Threshold time value and Differential calculation value in the case of Loop-Mediated Isothermal Amplification (LAMP) method.
               
                  Results
                  As a result, 17 laboratories using fully automated equipment and 34 laboratories using the RT-PCR method reported generally appropriate results in this EQA survey. On the other hand, among the laboratories that adopted the LAMP method, there were a plurality of laboratories that judged positive samples to be negative.
               
                  Conclusion
                  The false negative result is considered to be due to the fact that the amount of virus genome contained in the quality control reagent used this time was below the detection limit of the LAMP method combined with the rapid extraction reagent for influenza virus. On the other hand, false positive results are considered to be due to the non-specific reaction of the NAATs. The EQA program must be continued for the proper implementation of the pathogen NAATs.",health
10.1016/j.ress.2021.108119,Journal,Reliability Engineering and System Safety,scopus,2022-02-01,sciencedirect,Prognostics and Health Management (PHM): Where are we and where do we (need to) go in theory and practice,https://api.elsevier.com/content/abstract/scopus_id/85117331443,"We are performing the digital transition of industry, living the 4th industrial revolution, building a new World in which the digital, physical and human dimensions are interrelated in complex socio-cyber-physical systems. For the sustainability of these transformations, knowledge, information and data must be integrated within model-based and data-driven approaches of Prognostics and Health Management (PHM) for the assessment and prediction of structures, systems and components (SSCs) evolutions and process behaviors, so as to allow anticipating failures and avoiding accidents, thus, aiming at improved safe and reliable design, operation and maintenance.
                  There is already a plethora of methods available for many potential applications and more are being developed: yet, there are still a number of critical problems which impede full deployment of PHM and its benefits in practice. In this respect, this paper does not aim at providing a survey of existing works for an introduction to PHM nor at providing new tools or methods for its further development; rather, it aims at pointing out main challenges and directions of advancements, for full deployment of condition-based and predictive maintenance in practice.",health
10.1016/j.future.2021.08.030,Journal,Future Generation Computer Systems,scopus,2022-02-01,sciencedirect,A wearable-based posture recognition system with AI-assisted approach for healthcare IoT,https://api.elsevier.com/content/abstract/scopus_id/85115908462,"Human posture recognition is a challenging task in the medical healthcare industry, when pursuing intelligence, accuracy, security, privacy, and efficiency, etc. Currently, the main posture recognition methods are captured-behaviors-based visual image analysis and wearable devices-based signal analysis. However, these methods suffer from issues such as high misjudgment rate, high-cost and low-efficiency. To address these issues, we propose a collaborative AI-IoT-based solution (namely, WMHPR) that embeds with advanced AI-assisted approach. In WMHPR, we propose the multi-posture recognition (MPR), an offline algorithm is implemented on wearable hardware, to identify posture based on multi-dimensions data. Meanwhile, an AI-based algorithm running on the cloud server (online), named Cascade-AdaBoosting-CART (CACT), is proposed to further enhance the reliability and accuracy of MPR. We recruit 20 volunteers for real-life experiments to evaluate the effectiveness, and the results show our solution is significantly outstanding in terms of accuracy and reliability while comparing with other typical algorithms.",health
10.1016/j.future.2021.09.010,Journal,Future Generation Computer Systems,scopus,2022-02-01,sciencedirect,XSRU-IoMT: Explainable simple recurrent units for threat detection in Internet of Medical Things networks,https://api.elsevier.com/content/abstract/scopus_id/85115376405,"The Internet of Medical Things (IoMT) is increasingly replacing the traditional healthcare systems. However, less focus has been paid to their security against cyber-threats in the implementation of the IoMT and its networks. One of the key reasons can be the challenging task of optimizing typical security solutions to the IoMT networks. And despite the rising admiration of machine learning and deep learning methods in the cyber-security domain (e.g., a threat detection system), most of these methods are acknowledged as a black-box model. The explainable AI (XAI) has become progressively vital to understand the employed learning models to improve trust level and empower security experts to interpret the prediction decisions. The authors propose a highly efficient model named XSRU-IoMT, for effective and timely detection of sophisticated attack vectors in IoMT networks. The proposed model is developed using novel bidirectional simple recurrent units (SRU) using the phenomenon of skip connections to eradicate the vanishing gradient problem and achieve a fast training process in recurrent networks. We also explore the concepts of XAI to improve trust level by providing explanations of the predictive decisions and enabling humans and security experts to understand the causal reasoning and underlying data evidence. The evaluation results on the ToN_IoT dataset demonstrate the effectiveness and superiority of the proposed XSRU-IoMT model as compared to the state-of-the-art compelling detection models, suggesting its usefulness as a viable deployment model in real-IoMT networks.",health
