@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issn,pii,pubmed-id,prism:isbn
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124588251', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124588251?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124588251&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124588251&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124588251,SCOPUS_ID:85124588251,2-s2.0-85124588251,Cost-effective filtering of unreliable proximity detection results based on BLE RSSI and IMU readings using smartphones,Filus K.,Scientific reports,20452322,12,1,2440,2022-02-14,14 February 2022,10.1038/s41598-022-06201-y,0,"[{'@_fa': 'true', 'affilname': 'Institute of Theoretical and Applied Informatics of the Polish Academy of Sciences', 'affiliation-city': 'Gliwice', 'affiliation-country': 'Poland'}]",Journal,ar,Article,,21100200805,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,35165306,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124592557', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124592557?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124592557&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124592557&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124592557,SCOPUS_ID:85124592557,2-s2.0-85124592557,Pedestrian Counting Based on Piezoelectric Vibration Sensor,Yu Y.,Applied Sciences (Switzerland),20763417,12,4,,2022-02-01,February-2 2022,10.3390/app12041920,0,"[{'@_fa': 'true', 'affilname': 'Zhengzhou University', 'affiliation-city': 'Zhengzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Universität Duisburg-Essen', 'affiliation-city': 'Duisburg', 'affiliation-country': 'Germany'}]",Journal,ar,Article,1920,21100829268,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124505719', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124505719?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124505719&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124505719&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124505719,SCOPUS_ID:85124505719,2-s2.0-85124505719,Evaluation of Vision-Based Hand Tool Tracking Methods for Quality Assessment and Training in Human-Centered Industry 4.0,De Feudis I.,Applied Sciences (Switzerland),20763417,12,4,,2022-02-01,February-2 2022,10.3390/app12041796,0,"[{'@_fa': 'true', 'affilname': 'Politecnico di Bari', 'affiliation-city': 'Bari', 'affiliation-country': 'Italy'}, {'@_fa': 'true', 'affilname': 'Apulian Bioengineering s.r.l.', 'affiliation-city': 'Modugno', 'affiliation-country': 'Italy'}]",Journal,ar,Article,1796,21100829268,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124478994', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124478994?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124478994&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124478994&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124478994,SCOPUS_ID:85124478994,2-s2.0-85124478994,State of Health Estimation of Lithium‐Ion Batteries in Electric Vehicles under Dynamic Load Conditions,Ezemobi E.,Energies,19961073,15,3,,2022-02-01,February-1 2022,10.3390/en15031234,0,"[{'@_fa': 'true', 'affilname': 'University of Waterloo', 'affiliation-city': 'Waterloo', 'affiliation-country': 'Canada'}, {'@_fa': 'true', 'affilname': 'Politecnico di Torino', 'affiliation-city': 'Turin', 'affiliation-country': 'Italy'}]",Journal,ar,Article,1234,62932,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124265341', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124265341?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124265341&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124265341&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124265341,SCOPUS_ID:85124265341,2-s2.0-85124265341,Machine Learning Techniques for Increasing Efficiency of the Robot’s Sensor and Control Information Processing,Kondratenko Y.,Sensors,,22,3,,2022-02-01,February-1 2022,10.3390/s22031062,0,"[{'@_fa': 'true', 'affilname': 'Petro Mohyla Black Sea National University', 'affiliation-city': 'Mykolaiv', 'affiliation-country': 'Ukraine'}]",Journal,ar,Article,1062,130124,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",14248220,,35161819,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124059096', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124059096?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124059096&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124059096&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124059096,SCOPUS_ID:85124059096,2-s2.0-85124059096,Accelerating Upstream Together: Achieving Infant Health Equity in the United States by 2030,Warren M.D.,Pediatrics,10984275,149,2,,2022-02-01,1 February 2022,10.1542/peds.2021-052800,0,"[{'@_fa': 'true', 'affilname': 'Health Resources and Services Administration', 'affiliation-city': 'Rockville', 'affiliation-country': 'United States'}]",Journal,ar,Article,e2021052800,15756,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",00314005,,35102413,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124038873', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124038873?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124038873&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124038873&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124038873,SCOPUS_ID:85124038873,2-s2.0-85124038873,"Digital Twins in Built Environments: An Investigation of the Characteristics, Applications, and Challenges",Shahzad M.,Buildings,20755309,12,2,,2022-02-01,February 2022,10.3390/buildings12020120,0,"[{'@_fa': 'true', 'affilname': 'Foundation Property Management (FPM)', 'affiliation-city': 'Abu Dhabi', 'affiliation-country': 'United Arab Emirates'}]",Journal,ar,Article,120,26980,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123848416', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123848416?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123848416&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123848416&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123848416,SCOPUS_ID:85123848416,2-s2.0-85123848416,Smart Energy Management System: Design of a Monitoring and Peak Load Forecasting System for an Experimental Open-Pit Mine,Laayati O.,Applied System Innovation,25715577,5,1,,2022-02-01,February 2022,10.3390/asi5010018,0,"[{'@_fa': 'true', 'affilname': 'Mohammed VI Polytechnic University', 'affiliation-city': 'Ben Guerir', 'affiliation-country': 'Morocco'}, {'@_fa': 'true', 'affilname': 'Université Hassan 1er', 'affiliation-city': 'Settat', 'affiliation-country': 'Morocco'}]",Journal,ar,Article,18,21101024218,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123527830', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123527830?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123527830&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123527830&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123527830,SCOPUS_ID:85123527830,2-s2.0-85123527830,On-Line Monitoring of Biological Parameters in Microalgal Bioprocesses Using Optical Methods,Havlik I.,Energies,19961073,15,3,,2022-02-01,February-1 2022,10.3390/en15030875,0,"[{'@_fa': 'true', 'affilname': 'Gottfried Wilhelm Leibniz Universität Hannover', 'affiliation-city': 'Hannover', 'affiliation-country': 'Germany'}]",Journal,re,Review,875,62932,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123351962', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123351962?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123351962&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123351962&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123351962,SCOPUS_ID:85123351962,2-s2.0-85123351962,An Experimental Safety Response Mechanism for an Autonomous Moving Robot in a Smart Manufacturing Environment Using Q-Learning Algorithm and Speech Recognition,Kiangala K.S.,Sensors,,22,3,,2022-02-01,February-1 2022,10.3390/s22030941,0,"[{'@_fa': 'true', 'affilname': 'University of South Africa', 'affiliation-city': 'Pretoria', 'affiliation-country': 'South Africa'}]",Journal,ar,Article,941,130124,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",14248220,,35161688,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123276925', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123276925?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123276925&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123276925&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123276925,SCOPUS_ID:85123276925,2-s2.0-85123276925,A Design of FPGA-Based Neural Network PID Controller for Motion Control System,Wang J.,Sensors,,22,3,,2022-02-01,February-1 2022,10.3390/s22030889,0,"[{'@_fa': 'true', 'affilname': 'Fuzhou University', 'affiliation-city': 'Fuzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,889,130124,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",14248220,,35161635,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122983366', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122983366?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122983366&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122983366&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85122983366,SCOPUS_ID:85122983366,2-s2.0-85122983366,Latent Dimensions of Auto-Encoder as Robust Features for Inter-Conditional Bearing Fault Diagnosis,Kancharla C.R.,Applied Sciences (Switzerland),20763417,12,3,,2022-02-01,February-1 2022,10.3390/app12030965,0,"[{'@_fa': 'true', 'affilname': 'KU Leuven', 'affiliation-city': '3000 Leuven', 'affiliation-country': 'Belgium'}]",Journal,ar,Article,965,21100829268,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,,,
