@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,pubmed-id,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issn,pii,prism:isbn
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122793867', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122793867?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122793867&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122793867&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0196890422000139'}",https://api.elsevier.com/content/abstract/scopus_id/85122793867,SCOPUS_ID:85122793867,2-s2.0-85122793867,RoboPV: An integrated software package for autonomous aerial monitoring of large scale PV plants,Moradi Sizkouhi A.M.,Energy Conversion and Management,,254,,,2022-02-15,15 February 2022,10.1016/j.enconman.2022.115217,0,"[{'@_fa': 'true', 'affilname': 'Concordia University', 'affiliation-city': 'Montreal', 'affiliation-country': 'Canada'}, {'@_fa': 'true', 'affilname': 'Amirkabir University of Technology', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}]",,Journal,ar,Article,115217,29372,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",01968904,S0196890422000139,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85115876392', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85115876392?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115876392&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115876392&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85115876392,SCOPUS_ID:85115876392,2-s2.0-85115876392,A survey on parallel computing for traditional computer vision,Jaiswal D.,Concurrency and Computation: Practice and Experience,15320634,34,4,,2022-02-15,15 February 2022,10.1002/cpe.6638,0,"[{'@_fa': 'true', 'affilname': 'Visvesvaraya National Institute of Technology, Nagpur', 'affiliation-city': 'Nagpur', 'affiliation-country': 'India'}]",,Journal,ar,Article,e6638,27871,0,False,,,15320626,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85115082096', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85115082096?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115082096&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115082096&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85115082096,SCOPUS_ID:85115082096,2-s2.0-85115082096,Artificial intelligent based smart system for safe mining during foggy weather,Kumari S.,Concurrency and Computation: Practice and Experience,15320634,34,4,,2022-02-15,15 February 2022,10.1002/cpe.6631,0,"[{'@_fa': 'true', 'affilname': 'Central Institute of Mining and Fuel Research India', 'affiliation-city': 'Dhanbad', 'affiliation-country': 'India'}]",,Journal,ar,Article,e6631,27871,0,False,,,15320626,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85112506465', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85112506465?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112506465&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112506465&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0888327021006506'}",https://api.elsevier.com/content/abstract/scopus_id/85112506465,SCOPUS_ID:85112506465,2-s2.0-85112506465,Real-time model calibration with deep reinforcement learning,Tian Y.,Mechanical Systems and Signal Processing,10961216,165,,,2022-02-15,15 February 2022,10.1016/j.ymssp.2021.108284,0,"[{'@_fa': 'true', 'affilname': 'ETH Zürich', 'affiliation-city': 'Zurich ZH,', 'affiliation-country': 'Switzerland'}]",,Journal,ar,Article,108284,21080,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",08883270,S0888327021006506,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124605041', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124605041?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124605041&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124605041&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124605041,SCOPUS_ID:85124605041,2-s2.0-85124605041,Improving Radar Human Activity Classification Using Synthetic Data with Image Transformation,Hernangómez R.,Sensors,,22,4,,2022-02-01,February-2 2022,10.3390/s22041519,0,"[{'@_fa': 'true', 'affilname': 'Fraunhofer Institute for Telecommunications, Heinrich-Hertz-Institut, HHI', 'affiliation-city': 'Berlin', 'affiliation-country': 'Germany'}]",,Journal,ar,Article,1519,130124,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",14248220,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124600751', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124600751?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124600751&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124600751&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124600751,SCOPUS_ID:85124600751,2-s2.0-85124600751,A Digital Twin of a Water Distribution System by Using Graph Convolutional Networks for Pump Speed‐Based State Estimation,Bonilla C.A.,Water (Switzerland),20734441,14,4,,2022-02-01,February-2 2022,10.3390/w14040514,0,"[{'@_fa': 'true', 'affilname': 'Universitat Politècnica de València', 'affiliation-city': 'Valencia', 'affiliation-country': 'Spain'}, {'@_fa': 'true', 'affilname': 'University of Pamplona', 'affiliation-city': 'Pamplona', 'affiliation-country': 'Colombia'}]",,Journal,ar,Article,514,21100255400,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124592557', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124592557?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124592557&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124592557&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124592557,SCOPUS_ID:85124592557,2-s2.0-85124592557,Pedestrian Counting Based on Piezoelectric Vibration Sensor,Yu Y.,Applied Sciences (Switzerland),20763417,12,4,,2022-02-01,February-2 2022,10.3390/app12041920,0,"[{'@_fa': 'true', 'affilname': 'Zhengzhou University', 'affiliation-city': 'Zhengzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Universität Duisburg-Essen', 'affiliation-city': 'Duisburg', 'affiliation-country': 'Germany'}]",,Journal,ar,Article,1920,21100829268,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124517698', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124517698?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124517698&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124517698&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2096579622000043'}",https://api.elsevier.com/content/abstract/scopus_id/85124517698,SCOPUS_ID:85124517698,2-s2.0-85124517698,Virtual-reality-based digital twin of office spaces with social distance measurement feature,Mukhopadhyay A.,Virtual Reality and Intelligent Hardware,26661209,4,1,55-75,2022-02-01,February 2022,10.1016/j.vrih.2022.01.004,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Science', 'affiliation-city': 'Bengaluru', 'affiliation-country': 'India'}]",,Journal,ar,Article,,21101060163,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",20965796,S2096579622000043,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124505719', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124505719?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124505719&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124505719&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124505719,SCOPUS_ID:85124505719,2-s2.0-85124505719,Evaluation of Vision-Based Hand Tool Tracking Methods for Quality Assessment and Training in Human-Centered Industry 4.0,De Feudis I.,Applied Sciences (Switzerland),20763417,12,4,,2022-02-01,February-2 2022,10.3390/app12041796,0,"[{'@_fa': 'true', 'affilname': 'Politecnico di Bari', 'affiliation-city': 'Bari', 'affiliation-country': 'Italy'}, {'@_fa': 'true', 'affilname': 'Apulian Bioengineering s.r.l.', 'affiliation-city': 'Modugno', 'affiliation-country': 'Italy'}]",,Journal,ar,Article,1796,21100829268,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124342440', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124342440?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124342440&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124342440&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124342440,SCOPUS_ID:85124342440,2-s2.0-85124342440,Security Service Function Chain Based on Graph Neural Network,Li W.,Information (Switzerland),20782489,13,2,,2022-02-01,February 2022,10.3390/info13020078,0,"[{'@_fa': 'true', 'affilname': 'North China Electric Power University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",,Journal,ar,Article,78,21100223111,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
