doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/TIE.2021.3090707,Active Object Detection Based on a Novel Deep Q-Learning Network and Long-Term Learning Strategy for the Service Robot,IEEE,Journals,"This article focuses on active object detection (AOD), one of the greatest challenges in the robotics field. A novel deep-Q-learning-network-based approach is proposed to utilize more useful status information for enhancing the training efficiency and testing accuracy of AOD by adding the cropped target object (TGOJ) from the current state as a new input. Different from the existing researches, a novel reward function, combing the area factor and distance factor of the bounding box, is designed to make the robot not only get closer to the TGOJ but also obtain a better observation viewpoint. Moreover, to overcome the differences between the training dataset and new environments as well as improving the adaptation of the AOD model, a reward-based long-term learning strategy including a novel training strategy is presented. The comparable experiments and the ablation study have been implemented in an AOD dataset, proving that our method owns better performance and efficiency than the comparable methods. Meanwhile, the experiments in the real-world scenario with a robot indicate the validity of the proposed method.",https://ieeexplore.ieee.org/document/9464751/,IEEE Transactions on Industrial Electronics,June 2022,ieeexplore
10.1109/LRA.2022.3146515,Kineverse: A Symbolic Articulation Model Framework for Model-Agnostic Mobile Manipulation,IEEE,Journals,"Service robots in the future need to execute abstract instructions such as “fetch the milk from the fridge”. To translate such instructions into actionable plans, robots require in-depth background knowledge. With regards to interactions with doors and drawers, robots require articulation models that they can use for state estimation and motion planning. Existing frameworks model articulated connections as abstract concepts such as <italic>prismatic</italic>, or <italic>revolute</italic>, but do not provide a parameterized model of these connections for computation. In this letter, we introduce a novel framework that uses symbolic mathematical expressions to model articulated structures – robots and objects alike – in a unified and extensible manner. We provide a theoretical description of this framework, and the operations that are supported by its models, and introduce an architecture to exchange our models in robotic applications, making them as flexible as any other environmental observation. To demonstrate the utility of our approach, we employ our practical implementation <italic>Kineverse</italic> for solving common robotics tasks from state estimation and mobile manipulation, and use it further in real-world mobile robot manipulation.",https://ieeexplore.ieee.org/document/9695204/,IEEE Robotics and Automation Letters,April 2022,ieeexplore
10.1109/LRA.2022.3146945,"TACTO: A Fast, Flexible, and Open-Source Simulator for High-Resolution Vision-Based Tactile Sensors",IEEE,Journals,"Simulators perform an important role in prototyping, debugging, and benchmarking new advances in robotics and learning for control. Although many physics engines exist, some aspects of the real world are harder than others to simulate. One of the aspects that have so far eluded accurate simulation is touch sensing. To address this gap, we present TACTO – a fast, flexible, and open-source simulator for vision-based tactile sensors. This simulator allows to render realistic high-resolution touch readings at hundreds of frames per second, and can be easily configured to simulate different vision-based tactile sensors, including DIGIT and OmniTact. In this letter, we detail the principles that drove the implementation of TACTO and how they are reflected in its architecture. We demonstrate TACTO on a perceptual task, by learning to predict grasp stability using touch from 1 million grasps, and on a marble manipulation control task. Moreover, we provide a proof-of-concept that TACTO can be successfully used for Sim2Real applications. We believe that TACTO is a step towards the widespread adoption of touch sensing in robotic applications, and to enable machine learning practitioners interested in multi-modal learning and control.",https://ieeexplore.ieee.org/document/9697425/,IEEE Robotics and Automation Letters,April 2022,ieeexplore
10.1109/LRA.2021.3123374,Uncertainty for Identifying Open-Set Errors in Visual Object Detection,IEEE,Journals,"Deployed into an open world, object detectors are prone to open-set errors, false positive detections of object classes not present in the training dataset.We propose GMM-Det, a real-time method for extracting epistemic uncertainty from object detectors to identify and reject open-set errors. GMM-Det trains the detector to produce a structured logit space that is modelled with class-specific Gaussian Mixture Models. At test time, open-set errors are identified by their low log-probability under all Gaussian Mixture Models. We test two common detector architectures, Faster R-CNN and RetinaNet, across three varied datasets spanning robotics and computer vision. Our results show that GMM-Det consistently outperforms existing uncertainty techniques for identifying and rejecting open-set detections, especially at the low-error-rate operating point required for safety-critical applications. GMM-Det maintains object detection performance, and introduces only minimal computational overhead. We also introduce a methodology for converting existing object detection datasets into specific <italic>open-set</italic> datasets to evaluate open-set performance in object detection.",https://ieeexplore.ieee.org/document/9591346/,IEEE Robotics and Automation Letters,Jan. 2022,ieeexplore
10.1109/TRO.2021.3084374,Cat-Like Jumping and Landing of Legged Robots in Low Gravity Using Deep Reinforcement Learning,IEEE,Journals,"In this article, we show that learned policies can be applied to solve legged locomotion control tasks with extensive flight phases, such as those encountered in space exploration. Using an off-the-shelf deep reinforcement learning algorithm, we train a neural network to control a jumping quadruped robot while solely using its limbs for attitude control. We present tasks of increasing complexity leading to a combination of 3-D (re)orientation and landing locomotion behaviors of a quadruped robot traversing simulated low-gravity celestial bodies. We show that our approach easily generalizes across these tasks and successfully trains policies for each case. Using sim-to-real transfer, we deploy trained policies in the real world on the SpaceBok robot placed on an experimental testbed designed for 2-D microgravity experiments. The experimental results demonstrate that repetitive controlled jumping and landing with natural agility is possible.",https://ieeexplore.ieee.org/document/9453856/,IEEE Transactions on Robotics,Feb. 2022,ieeexplore
10.1109/TFUZZ.2020.3033141,Fuzzy Double Deep Q-Network-Based Gait Pattern Controller for Humanoid Robots,IEEE,Journals,"In this article, the adaptive-network-based fuzzy inference system (ANFIS) is combined with the double deep <italic>Q</italic>-network (DDQN) to realize a fuzzy DDQN (FDDQN) such that a humanoid robot can generate a linear inverted pendulum model-based gait pattern in real time. The FDDQN not only allows the humanoid robot to correct the gait pattern instantly but also improves its stability. The proposed scheme is designed and implemented in a toddler-sized humanoid robot called Louis. First, four pressure sensors are installed on the bottom of the sole and one inertial measurement unit is set up on the trunk of the robot. A wireless communication chip is employed to transfer the data to a computer to determine the required parameters for the robot. Next, a control system based on the Linux operating system is developed. The values of the center of pressure and acceleration obtained with the ANFIS are adopted to train the DDQN. The proposed neural network comprises four layers, and the model is cautiously selected to avoid overfitting. The proposed scheme is verified using a robot simulator and then real-time-tested on Louis. The experimental results indicate that the FDDQN can provide the robot timely feedback during walking as well as helps it in adjusting the gait pattern independently. The balancing of the robot through effective dynamic feedback is similar to the balancing ability of an infant learning to walk.",https://ieeexplore.ieee.org/document/9237162/,IEEE Transactions on Fuzzy Systems,Jan. 2022,ieeexplore
10.1109/SII52469.2022.9708826,Evaluation of Variable Impedance- and Hybrid Force/MotionControllers for Learning Force Tracking Skills,IEEE,Conferences,"For robots to perform real-world force interaction tasks with human level dexterity, it is crucial to develop adaptable and compliant force controllers. Learning techniques, especially reinforcement learning, provide a platform to develop adaptable controllers for complex robotic tasks. This paper presents an evaluation of two prominent force control methods, variable impedance control and hybrid force-motion control in a robot learning framework. The controllers are evaluated on a Franka Emika Panda robotic manipulator for a robotic interaction task demanding force and motion tracking using a model-based reinforcement learning algorithm, PILCO. Utilizing the learning framework to find the optimal controller parameters has significantly improved the performance of the controllers. The implementation of the controllers integrated with the robot learning framework is available on https://github.com/martihmy/Compliant_control.",https://ieeexplore.ieee.org/document/9708826/,2022 IEEE/SICE International Symposium on System Integration (SII),9-12 Jan. 2022,ieeexplore
10.1109/LRA.2022.3142439,Anytime 3D Object Reconstruction Using Multi-Modal Variational Autoencoder,IEEE,Journals,"For effective human-robot teaming, it is important for the robots to be able to share their visual perception with the human operators. In a harsh remote collaboration setting, data compression techniques such as autoencoder can be utilized to obtain and transmit the data in terms of latent variables in a compact form. In addition, to ensure real-time runtime performance even under unstable environments, an anytime estimation approach is desired that can reconstruct the full contents from incomplete information. In this context, we propose a method for imputation of latent variables whose elements are partially lost. To achieve the anytime property with only a few dimensions of variables, exploiting prior information of the category-level is essential. A prior distribution used in variational autoencoders is simply assumed to be isotropic Gaussian regardless of the labels of each training datapoint. This type of flattened prior makes it difficult to perform imputation from the category-level distributions. We overcome this limitation by exploiting a category-specific multi-modal prior distribution in the latent space. The missing elements of the partially transferred data can be sampled, by finding a specific modal according to the remaining elements. Since the method is designed to use partial elements for anytime estimation, it can also be applied for data over-compression. Based on the experiments on the ModelNet and Pascal3D datasets, the proposed approach shows consistently superior performance over autoencoder and variational autoencoder up to 70% data loss. The software is open source and is available from our repository<sup>1</sup>.",https://ieeexplore.ieee.org/document/9681277/,IEEE Robotics and Automation Letters,April 2022,ieeexplore
10.1109/LRA.2022.3142433,Enabling Low-Cost Full Surface Tactile Skin for Human Robot Interaction,IEEE,Journals,"Realizing full coverage, low-maintenance, and low-cost tactile skin is a <italic>de facto</italic> design dream since the invention of robots. It ensures safety and enables collaborative work protocols for human robot interactions (HRI). The on-robot tactile capability is realized by deploying an array of external sensors or inferring from proprioceptive information that comes with the robot, such as motor torque. However, these methods may be cumbersome, introduce extra management cost, expensive, lack real-world robustness, or require special robot designs. In this letter, we present <italic>SonicSkin</italic>, a low-cost ($2) and easy to deploy system that localizes the on-robot human touch and estimates the touch pressure without actually attaching sensors at potential touch locations. The system requires only a single pair of piezoelectric transducers (<italic>i.e.</italic> one transmitter and one receiver) attached on the target robot and turns the robot itself into a versatile sensor. We present a set of novel algorithms to progressively address the unique challenges posed by our system design. We put together an end-to-end <italic>SonicSkin</italic> system on a Jaco robot arm that runs in real-time, and conducted an extensive real-world study including 57019 actual evaluation datapoints under various challenging conditions from 12 human subjects. <italic>SonicSkin</italic> achieves less than 2 cm localization error for 96.4% of touches, with more than 96.7% cross-correlation similarity between the predicted touch pressure and the ground truth touch pressure.",https://ieeexplore.ieee.org/document/9681158/,IEEE Robotics and Automation Letters,April 2022,ieeexplore
10.1109/ACCESS.2022.3145969,FastMDE: A Fast CNN Architecture for Monocular Depth Estimation at High Resolution,IEEE,Journals,"A depth map helps robots and autonomous vehicles (AVs) visualize the three-dimensional world to navigate and localize neighboring obstacles. However, it is difficult to develop a deep learning model that can estimate the depth map from a single image in real-time. This study proposes a fast monocular depth estimation model named <italic>FastMDE</italic> by optimizing the deep convolutional neural network according to the encoder-decoder architecture. The decoder needs to obtain partial and semantic feature maps from the encoding phase to improve the depth estimation accuracy. Therefore, we designed FastMDE with two effective strategies. The first one involved redesigning the skip connection with the features of the squeeze-excitation module to obtain partial and semantic feature maps of the encoding phase. The second strategy involved redesigning the decoder by using the fusion dense block to permit the usage of high-resolution features that were learned earlier in the network before upsampling. The proposed FastMDE model utilizes only 4.1 M parameters, which is much lesser than the parameters utilized by state-of-art models. Thus, FastDME has a higher accuracy and lower latency than previous models. This study also demonstrates that MDE can leverage deep neural networks in real-time (i.e., 30 fps) with the Linux embedded board Nvidia Jetson Xavier NX. The model can facilitate the development and applications with superior performances and easy deployment on an embedded platform.",https://ieeexplore.ieee.org/document/9690863/,IEEE Access,2022,ieeexplore
