@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,pubmed-id,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issn,pii,prism:isbn
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124265341', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124265341?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124265341&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124265341&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124265341,SCOPUS_ID:85124265341,2-s2.0-85124265341,Machine Learning Techniques for Increasing Efficiency of the Robot’s Sensor and Control Information Processing,Kondratenko Y.,Sensors,,22,3,,2022-02-01,February-1 2022,10.3390/s22031062,0,"[{'@_fa': 'true', 'affilname': 'Petro Mohyla Black Sea National University', 'affiliation-city': 'Mykolaiv', 'affiliation-country': 'Ukraine'}]",35161819,Journal,ar,Article,1062,130124,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",14248220,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123351962', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123351962?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123351962&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123351962&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123351962,SCOPUS_ID:85123351962,2-s2.0-85123351962,An Experimental Safety Response Mechanism for an Autonomous Moving Robot in a Smart Manufacturing Environment Using Q-Learning Algorithm and Speech Recognition,Kiangala K.S.,Sensors,,22,3,,2022-02-01,February-1 2022,10.3390/s22030941,0,"[{'@_fa': 'true', 'affilname': 'University of South Africa', 'affiliation-city': 'Pretoria', 'affiliation-country': 'South Africa'}]",35161688,Journal,ar,Article,941,130124,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",14248220,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85120333069', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85120333069?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120333069&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120333069&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0004370221001880'}",https://api.elsevier.com/content/abstract/scopus_id/85120333069,SCOPUS_ID:85120333069,2-s2.0-85120333069,Online perceptual learning and natural language acquisition for autonomous robots,Alomari M.,Artificial Intelligence,,303,,,2022-02-01,February 2022,10.1016/j.artint.2021.103637,0,"[{'@_fa': 'true', 'affilname': 'University of Leeds', 'affiliation-city': 'Leeds', 'affiliation-country': 'United Kingdom'}]",,Journal,ar,Article,103637,23675,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",00043702,S0004370221001880,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85115270097', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85115270097?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115270097&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115270097&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85115270097,SCOPUS_ID:85115270097,2-s2.0-85115270097,RFSOD: a lightweight single-stage detector for real-time embedded applications to detect small-size objects,Amudhan A.N.,Journal of Real-Time Image Processing,18618219,19,1,133-146,2022-02-01,February 2022,10.1007/s11554-021-01170-3,0,"[{'@_fa': 'true', 'affilname': 'National Institute of Technology Calicut', 'affiliation-city': 'Kozhikode', 'affiliation-country': 'India'}]",,Journal,ar,Article,,4900152415,0,False,,,18618200,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85114726716', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85114726716?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114726716&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114726716&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85114726716,SCOPUS_ID:85114726716,2-s2.0-85114726716,A Novel Tissue Identification Framework in Cataract Surgery Using an Integrated Bioimpedance-Based Probe and Machine Learning Algorithms,Aghajanipedram S.,IEEE Transactions on Biomedical Engineering,15582531,69,2,910-920,2022-02-01,1 February 2022,10.1109/TBME.2021.3109246,0,"[{'@_fa': 'true', 'affilname': 'University of California, Los Angeles', 'affiliation-city': 'Los Angeles', 'affiliation-country': 'United States'}]",34469289,Journal,ar,Article,,16318,0,False,,,00189294,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85112417836', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85112417836?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112417836&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112417836&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85112417836,SCOPUS_ID:85112417836,2-s2.0-85112417836,Fully Onboard AI-Powered Human-Drone Pose Estimation on Ultralow-Power Autonomous Flying Nano-UAVs,Palossi D.,IEEE Internet of Things Journal,23274662,9,3,1913-1929,2022-02-01,1 February 2022,10.1109/JIOT.2021.3091643,0,"[{'@_fa': 'true', 'affilname': 'ETH Zürich', 'affiliation-city': 'Zurich ZH,', 'affiliation-country': 'Switzerland'}, {'@_fa': 'true', 'affilname': 'Università della Svizzera italiana', 'affiliation-city': 'Lugano', 'affiliation-country': 'Switzerland'}]",,Journal,ar,Article,,21100338350,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85101742423', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85101742423?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101742423&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101742423&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85101742423,SCOPUS_ID:85101742423,2-s2.0-85101742423,Domain-Invariant Similarity Activation Map Contrastive Learning for Retrieval-Based Long-Term Visual Localization,Hu H.,IEEE/CAA Journal of Automatica Sinica,23299274,9,2,313-328,2022-02-01,1 February 2022,10.1109/JAS.2021.1003907,0,"[{'@_fa': 'true', 'affilname': 'Shanghai Jiao Tong University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",,Journal,ar,Article,,21100367773,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",23299266,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122701215', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122701215?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122701215&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122701215&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85122701215,SCOPUS_ID:85122701215,2-s2.0-85122701215,Real-Time Ultrasound Doppler Tracking and Autonomous Navigation of a Miniature Helical Robot for Accelerating Thrombolysis in Dynamic Blood Flow,Wang Q.,ACS Nano,1936086X,16,1,604-616,2022-01-25,25 January 2022,10.1021/acsnano.1c07830,0,"[{'@_fa': 'true', 'affilname': 'Chinese University of Hong Kong', 'affiliation-city': 'Hong Kong', 'affiliation-country': 'Hong Kong'}]",,Journal,ar,Article,,11500153511,0,False,,,19360851,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123412686', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123412686?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123412686&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123412686&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123412686,SCOPUS_ID:85123412686,2-s2.0-85123412686,Global Trends and Hotspots in Research on Rehabilitation Robots: A Bibliometric Analysis From 2010 to 2020,Xue X.,Frontiers in Public Health,22962565,9,,,2022-01-11,11 January 2022,10.3389/fpubh.2021.806723,0,"[{'@_fa': 'true', 'affilname': 'Chengdu Sport University', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",35087788,Journal,ar,Article,806723,21100798718,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124677666', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124677666?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124677666&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124677666&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124677666,SCOPUS_ID:85124677666,2-s2.0-85124677666,ASM-ROBOT: A Cyber-Physical Home Automation Controller with Memristive Reconfigurable State Machine,Okafor K.C.,International Journal of Advanced Computer Science and Applications,21565570,13,1,896-912,2022-01-01,2022,10.14569/IJACSA.2022.01301103,0,"[{'@_fa': 'true', 'affilname': 'Federal University of Technology, Owerri', 'affiliation-city': 'Owerri', 'affiliation-country': 'Nigeria'}, {'@_fa': 'true', 'affilname': 'University of Johannesburg', 'affiliation-city': 'Johannesburg', 'affiliation-country': 'South Africa'}]",,Journal,ar,Article,,21100867241,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",2158107X,,
