id,updated,published,title,summary,database
http://arxiv.org/abs/2202.08982v1,2022-02-18T02:15:44Z,2022-02-18T02:15:44Z,"PGCN: Progressive Graph Convolutional Networks for Spatial-Temporal
  Traffic Forecasting","The complex spatial-temporal correlations in transportation networks make the
traffic forecasting problem challenging. Since transportation system inherently
possesses graph structures, much research efforts have been put with graph
neural networks. Recently, constructing adaptive graphs to the data has shown
promising results over the models relying on a single static graph structure.
However, the graph adaptations are applied during the training phases, and do
not reflect the data used during the testing phases. Such shortcomings can be
problematic especially in traffic forecasting since the traffic data often
suffers from the unexpected changes and irregularities in the time series. In
this study, we propose a novel traffic forecasting framework called Progressive
Graph Convolutional Network (PGCN). PGCN constructs a set of graphs by
progressively adapting to input data during the training and the testing
phases. Specifically, we implemented the model to construct progressive
adjacency matrices by learning trend similarities among graph nodes. Then, the
model is combined with the dilated causal convolution and gated activation unit
to extract temporal features. With residual and skip connections, PGCN performs
the traffic prediction. When applied to four real-world traffic datasets of
diverse geometric nature, the proposed model achieves state-of-the-art
performance with consistency in all datasets. We conclude that the ability of
PGCN to progressively adapt to input data enables the model to generalize in
different study sites with robustness.",arxiv
http://arxiv.org/abs/2202.07147v1,2022-02-15T02:39:12Z,2022-02-15T02:39:12Z,"Graph Meta-Reinforcement Learning for Transferable Autonomous
  Mobility-on-Demand","Autonomous Mobility-on-Demand (AMoD) systems represent an attractive
alternative to existing transportation paradigms, currently challenged by
urbanization and increasing travel needs. By centrally controlling a fleet of
self-driving vehicles, these systems provide mobility service to customers and
are currently starting to be deployed in a number of cities around the world.
Current learning-based approaches for controlling AMoD systems are limited to
the single-city scenario, whereby the service operator is allowed to take an
unlimited amount of operational decisions within the same transportation
system. However, real-world system operators can hardly afford to fully
re-train AMoD controllers for every city they operate in, as this could result
in a high number of poor-quality decisions during training, making the
single-city strategy a potentially impractical solution. To address these
limitations, we propose to formalize the multi-city AMoD problem through the
lens of meta-reinforcement learning (meta-RL) and devise an actor-critic
algorithm based on recurrent graph neural networks. In our approach, AMoD
controllers are explicitly trained such that a small amount of experience
within a new city will produce good system performance. Empirically, we show
how control policies learned through meta-RL are able to achieve near-optimal
performance on unseen cities by learning rapidly adaptable policies, thus
making them more robust not only to novel environments, but also to
distribution shifts common in real-world operations, such as special events,
unexpected congestion, and dynamic pricing schemes.",arxiv
http://arxiv.org/abs/2202.06639v1,2022-02-14T11:47:26Z,2022-02-14T11:47:26Z,"On the Complexity of Object Detection on Real-world Public
  Transportation Images for Social Distancing Measurement","Social distancing in public spaces has become an essential aspect in helping
to reduce the impact of the COVID-19 pandemic. Exploiting recent advances in
machine learning, there have been many studies in the literature implementing
social distancing via object detection through the use of surveillance cameras
in public spaces. However, to date, there has been no study of social distance
measurement on public transport. The public transport setting has some unique
challenges, including some low-resolution images and camera locations that can
lead to the partial occlusion of passengers, which make it challenging to
perform accurate detection. Thus, in this paper, we investigate the challenges
of performing accurate social distance measurement on public transportation. We
benchmark several state-of-the-art object detection algorithms using real-world
footage taken from the London Underground and bus network. The work highlights
the complexity of performing social distancing measurement on images from
current public transportation onboard cameras. Further, exploiting domain
knowledge of expected passenger behaviour, we attempt to improve the quality of
the detections using various strategies and show improvement over using vanilla
object detection alone.",arxiv
http://arxiv.org/abs/2202.06608v1,2022-02-14T10:55:14Z,2022-02-14T10:55:14Z,"UnScenE: Toward Unsupervised Scenario Extraction for Automated Driving
  Systems from Urban Naturalistic Road Traffic Data","Scenario-based testing is a promising approach to solve the challenge of
proving the safe behavior of vehicles equipped with automated driving systems
(ADS). Since an infinite number of concrete scenarios can theoretically occur
in real-world road traffic, the extraction of relevant scenarios that are
sensitive regarding the safety-related behavior of ADS-equipped vehicles is a
key aspect for the successful verification and validation of these systems.
Therefore, this paper provides a method for extracting multimodal urban traffic
scenarios from naturalistic road traffic data in an unsupervised manner for
minimizing the amount of (potentially biased) prior expert knowledge needed.
Rather than an (expensive) rule-based assignment by extracting concrete
scenarios into predefined functional scenarios, the presented method deploys an
unsupervised machine learning pipeline. It includes principal feature analysis,
feature extraction with so-called scenario grids, dimensionality reduction by
principal component analysis, scenario clustering as well as cluster
validation. The approach allows exploring the unknown natures of the data and
interpreting them as scenarios that experts could not have anticipated. The
method is demonstrated and evaluated for naturalistic road traffic data at
urban intersections from the inD and the Silicon Valley dataset. The findings
encourage the use of this type of data as well as unsupervised machine learning
approaches as important pillar for a systematic construction of a relevant
scenario database with sufficient coverage for testing ADS.",arxiv
http://arxiv.org/abs/2202.05334v1,2022-02-10T21:26:54Z,2022-02-10T21:26:54Z,"Learning the Pedestrian-Vehicle Interaction for Pedestrian Trajectory
  Prediction","In this paper, we study the interaction between pedestrians and vehicles and
propose a novel neural network structure called the Pedestrian-Vehicle
Interaction (PVI) extractor for learning the pedestrian-vehicle interaction. We
implement the proposed PVI extractor on both sequential approaches (long
short-term memory (LSTM) models) and non-sequential approaches (convolutional
models). We use the Waymo Open Dataset that contains real-world urban traffic
scenes with both pedestrian and vehicle annotations. For the LSTM-based models,
our proposed model is compared with Social-LSTM and Social-GAN, and using our
proposed PVI extractor reduces the average displacement error (ADE) and the
final displacement error (FDE) by 7.46% and 5.24%, respectively. For the
convolutional-based models, our proposed model is compared with Social-STGCNN
and Social-IWSTCNN, and using our proposed PVI extractor reduces the ADE and
FDE by 2.10% and 1.27%, respectively. The results show that the
pedestrian-vehicle interaction influences pedestrian behavior, and the models
using the proposed PVI extractor can capture the interaction between
pedestrians and vehicles, and thereby outperform the compared methods.",arxiv
http://arxiv.org/abs/2202.05118v1,2022-02-10T16:07:17Z,2022-02-10T16:07:17Z,"Reinforcement Learning in the Wild: Scalable RL Dispatching Algorithm
  Deployed in Ridehailing Marketplace","In this study, a real-time dispatching algorithm based on reinforcement
learning is proposed and for the first time, is deployed in large scale.
Current dispatching methods in ridehailing platforms are dominantly based on
myopic or rule-based non-myopic approaches. Reinforcement learning enables
dispatching policies that are informed of historical data and able to employ
the learned information to optimize returns of expected future trajectories.
Previous studies in this field yielded promising results, yet have left room
for further improvements in terms of performance gain, self-dependency,
transferability, and scalable deployment mechanisms. The present study proposes
a standalone RL-based dispatching solution that is equipped with multiple
mechanisms to ensure robust and efficient on-policy learning and inference
while being adaptable for full-scale deployment. A new form of value updating
based on temporal difference is proposed that is more adapted to the inherent
uncertainty of the problem. For the driver-order assignment, a customized
utility function is proposed that when tuned based on the statistics of the
market, results in remarkable performance improvement and interpretability. In
addition, for reducing the risk of cancellation after drivers' assignment, an
adaptive graph pruning strategy based on the multi-arm bandit problem is
introduced. The method is evaluated using offline simulation with real data and
yields notable performance improvement. In addition, the algorithm is deployed
online in multiple cities under DiDi's operation for A/B testing and is
launched in one of the major international markets as the primary mode of
dispatch. The deployed algorithm shows over 1.3% improvement in total driver
income from A/B testing. In addition, by causal inference analysis, as much as
5.3% improvement in major performance metrics is detected after full-scale
deployment.",arxiv
http://arxiv.org/abs/2202.04628v2,2022-02-13T21:23:07Z,2022-02-09T18:45:40Z,"Reinforcement Learning with Sparse Rewards using Guidance from Offline
  Demonstration","A major challenge in real-world reinforcement learning (RL) is the sparsity
of reward feedback. Often, what is available is an intuitive but sparse reward
function that only indicates whether the task is completed partially or fully.
However, the lack of carefully designed, fine grain feedback implies that most
existing RL algorithms fail to learn an acceptable policy in a reasonable time
frame. This is because of the large number of exploration actions that the
policy has to perform before it gets any useful feedback that it can learn
from. In this work, we address this challenging problem by developing an
algorithm that exploits the offline demonstration data generated by a
sub-optimal behavior policy for faster and efficient online RL in such sparse
reward settings. The proposed algorithm, which we call the Learning Online with
Guidance Offline (LOGO) algorithm, merges a policy improvement step with an
additional policy guidance step by using the offline demonstration data. The
key idea is that by obtaining guidance from - not imitating - the offline data,
LOGO orients its policy in the manner of the sub-optimal policy, while yet
being able to learn beyond and approach optimality. We provide a theoretical
analysis of our algorithm, and provide a lower bound on the performance
improvement in each learning episode. We also extend our algorithm to the even
more challenging incomplete observation setting, where the demonstration data
contains only a censored version of the true state observation. We demonstrate
the superior performance of our algorithm over state-of-the-art approaches on a
number of benchmark environments with sparse rewards and censored state.
Further, we demonstrate the value of our approach via implementing LOGO on a
mobile robot for trajectory tracking and obstacle avoidance, where it shows
excellent performance.",arxiv
http://arxiv.org/abs/2202.03917v1,2022-02-08T15:09:16Z,2022-02-08T15:09:16Z,Edge-based fever screening system over private 5G,"Edge computing and 5G have made it possible to perform analytics closer to
the source of data and achieve super-low latency response times, which is not
possible with centralized cloud deployment. In this paper, we present a novel
fever-screening system, which uses edge machine learning techniques and
leverages private 5G to accurately identify and screen individuals with fever
in real-time. Particularly, we present deep-learning based novel techniques for
fusion and alignment of cross-spectral visual and thermal data streams at the
edge. Our novel Cross-Spectral Generative Adversarial Network (CS-GAN)
synthesizes visual images that have the key, representative object level
features required to uniquely associate objects across visual and thermal
spectrum. Two key features of CS-GAN are a novel, feature-preserving loss
function that results in high-quality pairing of corresponding cross-spectral
objects, and dual bottleneck residual layers with skip connections (a new,
network enhancement) to not only accelerate real-time inference, but to also
speed up convergence during model training at the edge. To the best of our
knowledge, this is the first technique that leverages 5G networks and limited
edge resources to enable real-time feature-level association of objects in
visual and thermal streams (30 ms per full HD frame on an Intel Core i7-8650
4-core, 1.9GHz mobile processor). To the best of our knowledge, this is also
the first system to achieve real-time operation, which has enabled fever
screening of employees and guests in arenas, theme parks, airports and other
critical facilities. By leveraging edge computing and 5G, our fever screening
system is able to achieve 98.5% accuracy and is able to process about 5X more
people when compared to a centralized cloud deployment.",arxiv
http://arxiv.org/abs/2202.02653v1,2022-02-05T22:49:26Z,2022-02-05T22:49:26Z,"Millisecond speed deep learning based proton dose calculation with Monte
  Carlo accuracy","Next generation online and real-time adaptive radiotherapy workflows require
precise particle transport simulations in sub-second times, which is unfeasible
with current analytical pencil beam algorithms (PBA) or stochastic Monte Carlo
(MC) methods. We present a data-driven millisecond speed dose calculation
algorithm (DoTA) accurately predicting the dose deposited by mono-energetic
proton pencil beams for arbitrary energies and patient geometries. Given the
forward-scattering nature of protons, we frame 3D particle transport as
modeling a sequence of 2D geometries in the beam's eye view. DoTA combines
convolutional neural networks extracting spatial features (e.g., tissue and
density contrasts) with a transformer self-attention backbone that routes
information between the sequence of geometry slices and a vector representing
the beam's energy, and is trained to predict low noise MC simulations of proton
beamlets using 80,000 different head and neck, lung, and prostate geometries.
Predicting beamlet doses in 5 ms with a very high gamma pass rate of 99.37%
(1%, 3 mm) compared to the ground truth MC calculations, DoTA significantly
improves upon analytical pencil beam algorithms both in precision and speed.
Offering MC accuracy 100 times faster than PBAs for pencil beams, our model
calculates full treatment plan doses in 10 to 15 s depending on the number of
beamlets, achieving a 99.70% (2%, 2 mm) gamma pass rate across 9 test patients.
Outperforming all previous analytical pencil beam and deep learning based
approaches, DoTA represents a new state of the art in data-driven dose
calculation and can directly compete with the speed of even commercial GPU MC
approaches. Providing the sub-second speed required for adaptive treatments,
straightforward implementations could offer similar benefits to other steps of
the radiotherapy workflow or other modalities such as helium or carbon
treatments.",arxiv
http://arxiv.org/abs/2202.01862v1,2022-02-03T21:43:06Z,2022-02-03T21:43:06Z,Practical Imitation Learning in the Real World via Task Consistency Loss,"Recent work in visual end-to-end learning for robotics has shown the promise
of imitation learning across a variety of tasks. Such approaches are expensive
both because they require large amounts of real world training demonstrations
and because identifying the best model to deploy in the real world requires
time-consuming real-world evaluations. These challenges can be mitigated by
simulation: by supplementing real world data with simulated demonstrations and
using simulated evaluations to identify high performing policies. However, this
introduces the well-known ""reality gap"" problem, where simulator inaccuracies
decorrelate performance in simulation from that of reality. In this paper, we
build on top of prior work in GAN-based domain adaptation and introduce the
notion of a Task Consistency Loss (TCL), a self-supervised loss that encourages
sim and real alignment both at the feature and action-prediction levels. We
demonstrate the effectiveness of our approach by teaching a mobile manipulator
to autonomously approach a door, turn the handle to open the door, and enter
the room. The policy performs control from RGB and depth images and generalizes
to doors not encountered in training data. We achieve 80% success across ten
seen and unseen scenes using only ~16.2 hours of teleoperated demonstrations in
sim and real. To the best of our knowledge, this is the first work to tackle
latched door opening from a purely end-to-end learning approach, where the task
of navigation and manipulation are jointly modeled by a single neural network.",arxiv
