contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Article,doi:10.1038/s41433-021-01690-z,Correction: Clinical validation of an artificial intelligence-based diabetic retinopathy screening tool for a national health system,Eye,10.1038/s41433-021-01690-z,Nature,2021-10-01,2021-07-23,,https://www.nature.com/articles/s41433-021-01690-z,springer
Article,doi:10.1038/s41598-021-98387-w,Predicting medication adherence using ensemble learning and deep learning models with large scale healthcare data,Scientific Reports,10.1038/s41598-021-98387-w,Nature,2021-09-23,2021-09-23,"Clinical studies from WHO have demonstrated that only 50–70% of patients adhere properly to prescribed drug therapy. Such adherence failure can impact therapeutic efficacy for the patients in question and compromises data quality around the population-level efficacy of the drug for the indications targeted. In this study, we applied various ensemble learning and deep learning models to predict medication adherence among patients. Our contribution to this endeavour involves targeting the problem of adherence prediction for a particularly challenging class of patients who self-administer injectable medication at home. Our prediction pipeline, based on event history, comprises a connected sharps bin which aims to help patients better manage their condition and improve outcomes. In other words, the efficiency of interventions can be significantly improved by prioritizing the patients who are most likely to be non-adherent. The collected data comprising a rich event feature set may be exploited for the purposes of predicting the status of the next adherence state for individual patients. This paper reports on how this concept can be realized through an investigation using a wide range of ensemble learning and deep learning models on a real-world dataset collected from such a system. The dataset investigated comprises 342,174 historic injection disposal records collected over the course of more than 5 years. A comprehensive comparison of different models is given in this paper. Moreover, we demonstrate that the selected best performer, long short-term memory (LSTM), generalizes well by deploying it in a true future testing dataset. The proposed end-to-end pipeline is capable of predicting patient failure in adhering to their therapeutic regimen with 77.35 % accuracy (Specificity: 78.28 %, Sensitivity: 76.42%, Precision: 77.87%,F1 score: 0.7714, ROC AUC: 0.8390).",https://www.nature.com/articles/s41598-021-98387-w,springer
Article,doi:10.1186/s12911-021-01634-3,A framework for validating AI in precision medicine: considerations from the European ITFoC consortium,BMC Medical Informatics and Decision Making,10.1186/s12911-021-01634-3,BioMed Central,2021-10-02,2021-10-02,"Background Artificial intelligence (AI) has the potential to transform our healthcare systems significantly. New AI technologies based on machine learning approaches should play a key role in clinical decision-making in the future. However, their implementation in health care settings remains limited, mostly due to a lack of robust validation procedures. There is a need to develop reliable assessment frameworks for the clinical validation of AI. We present here an approach for assessing AI for predicting treatment response in triple-negative breast cancer (TNBC), using real-world data and molecular -omics data from clinical data warehouses and biobanks. Methods The European “ITFoC (Information Technology for the Future Of Cancer)” consortium designed a framework for the clinical validation of AI technologies for predicting treatment response in oncology. Results This framework is based on seven key steps specifying: (1) the intended use of AI, (2) the target population, (3) the timing of AI evaluation, (4) the datasets used for evaluation, (5) the procedures used for ensuring data safety (including data quality, privacy and security), (6) the metrics used for measuring performance, and (7) the procedures used to ensure that the AI is explainable. This framework forms the basis of a validation platform that we are building for the “ITFoC Challenge”. This community-wide competition will make it possible to assess and compare AI algorithms for predicting the response to TNBC treatments with external real-world datasets. Conclusions The predictive performance and safety of AI technologies must be assessed in a robust, unbiased and transparent manner before their implementation in healthcare settings. We believe that the consideration of the ITFoC consortium will contribute to the safe transfer and implementation of AI in clinical settings, in the context of precision oncology and personalized care.",https://www.biomedcentral.com/openurl?doi=10.1186/s12911-021-01634-3,springer
Article,doi:10.1007/s00521-021-05910-1,Detection of COVID-19 from CT scan images: A spiking neural network-based approach,Neural Computing and Applications,10.1007/s00521-021-05910-1,Springer,2021-10-01,2021-04-16,"The outbreak of a global pandemic called coronavirus has created unprecedented circumstances resulting into a large number of deaths and risk of community spreading throughout the world. Desperate times have called for desperate measures to detect the disease at an early stage via various medically proven methods like chest computed tomography (CT) scan, chest X-Ray, etc., in order to prevent the virus from spreading across the community. Developing deep learning models for analysing these kinds of radiological images is a well-known methodology in the domain of computer based medical image analysis. However, doing the same by mimicking the biological models and leveraging the newly developed neuromorphic computing chips might be more economical. These chips have been shown to be more powerful and are more efficient than conventional central and graphics processing units. Additionally, these chips facilitate the implementation of spiking neural networks (SNNs) in real-world scenarios. To this end, in this work, we have tried to simulate the SNNs using various deep learning libraries. We have applied them for the classification of chest CT scan images into COVID and non-COVID classes. Our approach has achieved very high F1 score of 0.99 for the potential-based model and outperforms many state-of-the-art models. The working code associated with our present work can be found here.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00521-021-05910-1,springer
Article,doi:10.1038/s41598-021-02660-x,Author Correction: Rapid diagnosis of COVID-19 using FT-IR ATR spectroscopy and machine learning,Scientific Reports,10.1038/s41598-021-02660-x,Nature,2021-11-24,2021-11-24,,https://www.nature.com/articles/s41598-021-02660-x,springer
Article,doi:10.1245/s10434-021-10959-2,ASO Visual Abstract: Diagnostic Performance of Artificial Intelligence-Centered Systems in the Diagnosis and Postoperative Surveillance of Upper Gastrointestinal Malignancies Using Computed Tomography Imaging: A Systematic Review and Meta-Analysis of Diagnostic Accuracy,Annals of Surgical Oncology,10.1245/s10434-021-10959-2,Springer,2021-11-11,2021-11-11,,http://link.springer.com/openurl/pdf?id=doi:10.1245/s10434-021-10959-2,springer
Article,doi:10.1038/s41598-021-01678-5,Author Correction: Clinically applicable artificial intelligence system for dental diagnosis with CBCT,Scientific Reports,10.1038/s41598-021-01678-5,Nature,2021-11-09,2021-11-09,,https://www.nature.com/articles/s41598-021-01678-5,springer
Article,doi:10.1007/s00345-021-03879-z,Personalized application of machine learning algorithms to identify pediatric patients at risk for recurrent ureteropelvic junction obstruction after dismembered pyeloplasty,World Journal of Urology,10.1007/s00345-021-03879-z,Springer,2021-11-13,2021-11-13,"Purpose To develop a model that predicts whether a child will develop a recurrent obstruction after pyeloplasty, determine their survival risk score, and expected time to re-intervention using machine learning (ML). Methods We reviewed patients undergoing pyeloplasty from 2008 to 2020 at our institution, including all children and adolescents younger than 18 years. We developed a two-stage machine learning model from 34 clinical fields, which included patient characteristics, ultrasound findings, and anatomical variation. We fit and trained with a logistic lasso model for binary cure model and subsequent survival model. Feature importance on the model was determined with post-selection inference. Performance metrics included area under the receiver-operating-characteristic (AUROC), concordance, and leave-one-out cross validation. Results A total of 543 patients were identified, with a median preoperative and postoperative anteroposterior diameter of 23 and 10 mm, respectively. 39 of 232 patients included in the survival model required re-intervention. The cure and survival models performed well with a leave-one-out cross validation AUROC and concordance of 0.86 and 0.78, respectively. Post-selective inference showed that larger anteroposterior diameter at the second post-op follow-up, and anatomical variation in the form of concurrent anomalies were significant model features predicting negative outcomes. The model can be used at https://sickkidsurology.shinyapps.io/PyeloplastyReOpRisk/ . Conclusion Our ML-based model performed well in predicting the risk of and time to re-intervention after pyeloplasty. The implementation of this ML-based approach is novel in pediatric urology and will likely help achieve personalized risk stratification for patients undergoing pyeloplasty. Further real-world validation is warranted.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00345-021-03879-z,springer
Article,doi:10.1007/s10916-021-01783-y,Machine Learning for Health: Algorithm Auditing & Quality Control,Journal of Medical Systems,10.1007/s10916-021-01783-y,Springer,2021-11-02,2021-11-02,"Developers proposing new machine learning for health (ML4H) tools often pledge to match or even surpass the performance of existing tools, yet the reality is usually more complicated. Reliable deployment of ML4H to the real world is challenging as examples from diabetic retinopathy or Covid-19 screening show. We envision an integrated framework of algorithm auditing and quality control that provides a path towards the effective and reliable application of ML systems in healthcare. In this editorial, we give a summary of ongoing work towards that vision and announce a call for participation to the special issue  Machine Learning for Health: Algorithm Auditing & Quality Control in this journal to advance the practice of ML4H auditing.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10916-021-01783-y,springer
Article,doi:10.1007/s44196-021-00040-x,Edge Computing Using Embedded Webserver with Mobile Device for Diagnosis and Prediction of Metastasis in Histopathological Images,International Journal of Computational Intelligence Systems,10.1007/s44196-021-00040-x,Springer,2021-11-20,2021-11-20,"Diagnosis of different breast cancer stages using histopathology whole slide images is the gold standard in grading the tissue metastasis. Traditional diagnosis involves labor intensive procedures and is prone to human errors. Computer aided diagnosis assists medical experts as a second opinion tool in early detection which prevents further proliferation. Computing facilities have emerged to an extent where algorithms can attain near human accuracy in prediction of diseases, offering better treatment to curb further proliferation. The work introduced in the paper provides an interface in mobile platform, which enables the user to input histopathology image and obtain the prediction results with its class probability through embedded web-server. The trained deep convolutional neural networks model is deployed into a microcomputer-based embedded system after hyper-parameter tuning, offering congruent performance. The implementation results show that the embedded platform with custom-trained CNN model is suitable for medical image classification, as it takes less execution time and mean prediction time. It is also noticed that customized CNN classifier model outperforms pre-trained models when used in embedded platforms for prediction and classification of histopathology images. This work also emphasizes the relevance of portable and flexible embedded device in real time clinical applications.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s44196-021-00040-x,springer
