id,datePublished,description,title,downloadUrl,publisher,journals,doi,database
387604654,2021-03-01T00:00:00,"The recent progress of artificial intelligence(AI) has shown great potentials
for alleviating human burden in various complex tasks. From the view of
software engineering, AI techniques can be seen in many fundamental aspects of
development, such as source code comprehension, in which state-of-the-art
models are implemented to extract and express the meaning of code snippets
automatically. However, such technologies are still struggling to tackle and
comprehend the complex structures within industrial code, thus far from
real-world applications. In the present work, we built an innovative and
systematical framework, emphasizing the problem of complexity in code
comprehension and further software engineering. Upon automatic data collection
from the latest Linux kernel source code, we modeled code structures as complex
networks through token extraction and relation parsing. Comprehensive analysis
of complexity further revealed the density and scale of network-based code
representations. Our work constructed the first large-scale dataset from
industrial-strength software code for downstream software engineering tasks
including code comprehension, and incorporated complex network theory into
code-level investigations of software development for the first time. In the
longer term, the proposed methodology could play significant roles in the
entire software engineering process, powering software design, coding,
debugging, testing, and sustaining by redefining and embracing complexity","Rethinking complexity for software code structures: A pioneering study
  on Linux kernel code repository",http://arxiv.org/abs/2103.00821,,,,core
14702701,2051-09-28T00:00:00,"Questo lavoro di tesi è il risultato di un periodo di stage svolto presso Navicelli S.p.A di Pisa, finalizzato allo sviluppo di un modello di ottimizzazione di un sistema gestionale CRM esistente di supporto al settore della cantieristica nautica. L’attività si colloca nell’ambito del progetto Mistral, che prevede la realizzazione di una piattaforma tecnologica collaborativa web based ed open source rivolta alla Nautica da Diporto dell'Alto Mediterraneo. L'obiettivo è quello di offrire ai cantieri una soluzione software che permetta loro di migliorare il processo di gestione delle relazioni con i loro clienti reali e potenziali. Con la collaborazione del cantiere Società Navale Pisa il lavoro svolto si è articolato principalmente in tre fasi: analisi della filiera nautica e rappresentazione dei processi riguardanti la gestione di una commessa navale semi-custom; analisi dei bisogni informativi del cantiere e studio delle problematiche legate allo strumento di gestione reso disponibile da Navicelli S.p.A nei confronti delle aziende sul canale dei Navicelli; traduzione dei bisogni individuati in requisiti funzionali attraverso lo sviluppo di un modello concettuale di reingegnerizzazione del sistema creato utilizzando lo standard internazionale UML. Le specifiche elaborate con UML saranno consegnate ad una softwarehouse per l'implementazione delle modifiche attuate al CRM.
This thesis is the result of an internship at the Navicelli S.p.A company in Pisa, aimed at developing an optimization model of a CRM (Customer Relationship Management) management system which exists in order to support the shipbuilding industry. The activity is part of the Mistral project that involves the realization of a web based and open source collaborative technological platform directed towards Recreational Boating of the North Mediterranean. The goal is to offer the shipyards a software solution allowing them to improve the relationship management process with their real and potential customers. In collaboration with the Pisa Naval Society the work performed was mainly divided into three phases: shipyard's organizational structure analysis and processes representation regarding the management of a semi-custom naval job order, individuation of the shipyard's informative needs and study of the problematics tied to the management tool made available by Navicelli S.p.A for the companies on the Navicelli canal; translation of the needs identified as functional requirements through the development of a conceptual model of system reengineering created by utilizing the international standard UML (Unified Modeling Language). The specifications elaborated through UML will be delivered to a softwarehouse for the implementation of the modifications effectuated to the CRM",Sviluppo di un modello di ottimizzazione di un CRM nell'ambito della cantieristica navale,,'Pisa University Press',,,core
337301137,2021-06-17T00:00:00,"Deep learning-based sequential recommender systems have recently attracted
increasing attention from both academia and industry. Most of industrial
Embedding-Based Retrieval (EBR) system for recommendation share the similar
ideas with sequential recommenders. Among them, how to comprehensively capture
sequential user interest is a fundamental problem. However, most existing
sequential recommendation models take as input clicked or purchased behavior
sequences from user-item interactions. This leads to incomprehensive user
representation and sub-optimal model performance, since they ignore the
complete user behavior exposure data, i.e., items impressed yet unclicked by
users. In this work, we attempt to incorporate and model those unclicked item
sequences using a new learning approach in order to explore better sequential
recommendation technique. An efficient triplet metric learning algorithm is
proposed to appropriately learn the representation of unclicked items. Our
method can be simply integrated with existing sequential recommendation models
by a confidence fusion network and further gain better user representation. The
offline experimental results based on real-world E-commerce data demonstrate
the effectiveness and verify the importance of unclicked items in sequential
recommendation. Moreover we deploy our new model (named XDM) into EBR of
recommender system at Taobao, outperforming the deployed previous generation
SDM.Comment: 10 page","XDM: Improving Sequential Deep Matching with Unclicked User Behaviors
  for Recommender System",http://arxiv.org/abs/2010.12837,,,,core
480043809,2021-01-01T00:00:00,"What we did This report assesses the potential of data-driven approaches to improving transport infrastructure maintenance. It looks at trends in maintenance strategies, explores how the targeted use of data could make them more effective for different types of transport infrastructure, and looks into implications for policy. The report builds on discussions held during workshops with members of the International Transport Forum’s Corporate Partnership Board. What we found Maintenance constitutes an inevitable, albeit often invisible, part of countries’ transport policies. Increased demand for transport infrastructure accelerates infrastructure’s ageing. The effects of climate change further aggravate this. Unsurprisingly, many governments look for transport infrastructure maintenance policies that provide better value for money than current practices offer. Infrastructure maintenance strategies are gradually shifting towards data-driven approaches. They exploit the power of digital technologies, Big Data analytics and advanced forecasting methodologies. Data-driven approaches have gained momentum in transport infrastructure maintenance as a result of four simultaneous technological innovations. First, the development of digital technologies has resulted in the digitalisation of society, industry and transport, which facilitates data sharing. Second, computing technologies have provided the necessary horsepower for running the digital infrastructure. Third, the Internet of Things and sensor technology have increased the potential for automating reporting from sensors that capture and measure new phenomena and provide data sets that flow through digital infrastructures. Fourth, artificial intelligence (AI) has helped to extract information from vast amounts of data, recognising patterns beyond the capacity of individual observation and exploiting digital infrastructure and computing power. Policy makers are beginning to leverage these developments in various ways. Data-driven maintenance is becoming common in many parts of the transport industry. Railroads collect massive amounts of inspection data from different sources using various methods, such as track inspection cars and drones that gather data to model track degradation. However, the rail sector faces numerous challenges for applying Big Data analysis: a lack of specific data analysis tools, high cost of involving stakeholders and heterogeneous data sources. Also, the algorithms currently used to predict the wear of rail infrastructure only work under lab conditions. For road infrastructure, various automated inspection methods exist. These include vision-based methods, laser scanning, ground penetration radar and a combination of these. All are accurate and effective but usually costly. As a result, the coverage and collection frequency can prove insufficient for detectingchanging road conditions. Several pilot studies have tried to use smartphones to collect data on the state of roads to reduce deployment costs for data-driven maintenance. At airports, the demand for accurate real-time data has spawned systems that automatically acquire and process infrastructure data. Advanced technologies now register when deformities develop on runways. They accurately measure moisture levels, temperature, strain and other factors relevant to wear and degradation. Several airports have built, or plan to build, concrete pavements with embedded strain gauges and other sensors to monitor the stress in the material caused by aircraft. Overall, data-driven approaches to infrastructure maintenance promise to enhance fact-based decision making and capabilities to predict the remaining useful life of assets. They can also improve cost efficiency and environmental sustainability. However, some new challenges need to be addressed, notably for the use of AI. AI predicts future behaviour based on historical data. Yet all predictions can prove incorrect where events do not follow past trends. What we recommendScale up and speed up the deployment of data-driven approaches to transport infrastructure maintenance Transport infrastructure maintenance could benefit from a broader and accelerated roll-out of data-driven approaches. These could improve the quality of assets, enhance the life cycles and save costs - especially when the relevant technologies are well-known, such as sensor technologies. In some cases, more tests and pilot projects will be useful, notably where leveraging data technologies for more effective maintenance policies poses specific challenges, as is the case of artificial intelligence in the railway sector. Update regulation and guidelines for transport infrastructure maintenance to facilitate the introduction of more data-driven approaches Current regulations and guidelines apply to condition-based maintenance strategies. These may set requirements that are ill-adapted to data-driven approaches to maintenance and may hamper their roll-out. Policy makers should ensure that the policies applied to data-driven approaches do not stifle their potential benefits. Ensure data-driven infrastructure maintenance approaches follow good practices in data governance The use of data in infrastructure maintenance must be in line with privacy protection laws and regulations. All data should be anonymised and encrypted. Location and trajectory data should be covered by the most robust protection methods, as they create the severest vulnerabilities for citizens. Tools to limit privacy risks include non-disclosure agreements between data users and providers, the involvement of trusted third parties to conduct the data collection and the development of “safe answers” approaches, in which only query results are exchanged instead of raw data. Governments could also broker data-sharing partnerships for the purpose of data-driven maintenance, for instance, between data providers and infrastructure managers. However, it may want to limit such partnerships to data of public interest and require purpose specificity and data minimisation",Data-driven Transport Infrastructure Maintenance,,,,,core
479336202,2021-05-25T00:00:00,"Recently, the Internet of Things (IoT) has an important role in the growth and development of digitalized electric power stations while offering ambitious opportunities, specifically real-time monitoring and cybersecurity. In this regard, this paper introduces a novel IoT architecture for the online monitoring of the gas-insulated switchgear (GIS) status instead of the traditional observation methods. The proposed IoT architecture is derived from the concept of the cyber-physic system (CPS) in Industry 4.0. However, the cyber-attacks and the classification of the GIS insulation defects represent the main challenges against the implementation of IoT topology for the online monitoring and tracking of the GIS status. For this purpose, advanced machine learning techniques are utilized to detect cyber-attacks to conduct the paradigm and verification. Different test scenarios on various defects in GIS are performed to demonstrate the effectiveness of the proposed IoT architecture. Partial discharge pulse sequence features are extracted for each defect to represent the inputs for IoT architecture. The results confirm that the proposed IoT architecture based on the machine learning technique, that is the extreme gradient boosting (XGBoost), can visualize all defects in the GIS with different alarms, besides showing the cyber-attacks on the networks effectively. Furthermore, the defects of GIS and the fake data due to the cyber-attacks are recognized and presented on the dashboard of the proposed IoT platform with high accuracy and more clarified visualization to enhance the decision-making about the GIS status.Peer reviewe",Towards Secured Online Monitoring for Digitalized GIS Against Cyber-Attacks Based on IoT and Machine Learning,,'Institute of Electrical and Electronics Engineers (IEEE)',"[{'title': 'IEEE Access', 'identifiers': ['issn:2169-3536', '2169-3536']}]",10.1109/ACCESS.2021.3083499,core
479510128,2021-04-23T00:00:00,"Federated Learning (FL) is one of the leading learning paradigms for enabling a more significant presence of intelligent applications in networked and Internet of Things (IoT) systems. It consists of individual user devices performing machine learning (ML) models training locally, so that only trained models due to privacy concerns, but not raw data, is transferred through the network for aggregation at the edge or cloud data centers [Li et al. 2019]. Due to the pervasive presence of connected devices such as smart phones and IoT devices in peoples lives, there is a growing concern about how we can preserve and secure users’ information. FL reduces the risk of exposing user information to attackers during transmission over networks or information leakages at the central data centers. Another advantage of FL is scalability and maintainability of intelligent applications in networked and IoT systems. Considering highly distributed environments in which such systems are deployed, collecting and transmitting raw user data for training of ML models at central data centers is a challenging task as it imposes huge workload on the networks and consumes high bandwidth. Training of ML models is distributed over locations and transmitting the trained models for aggregation alleviates these challenges.



Among others, distributed and federated learning have applications in smart healthcare systems, where very sensitive user data is involved, and industrial IoT applications, where the amount of data for training may be too large and cumbersome to transport to central data centers. However, FL has the significant shortcoming of requiring user data to be Independent Identically Distributed (IID) (i.e., users which have similar data statistical distributions and are not mutually dependent) and make reliable predictions for a given group of users aggregated into a single model. IID users have similar statistical features, and thus can be aggregated into the same ML models. Since raw data is not available at the model aggregator, it is necessary to find IID users based solely on their trained machine learning models.



We present a Neural Network-based Federated Clustering mechanism capable of clustering IID with no access to their raw data called Neural-network SIMilarity estimator, NSIM. Such mechanism performs significantly better than competing techniques for neural-network clustering [Pacheco et al. 2021]. We also present an alternative to the FedAvg aggregation algorithm used in traditional FL, which significantly increases the aggregated models’ reliability in terms of Mean Square Error by creating several training models over IID users in a real-world mobility prediction dataset. We observe improvements of up to 97.52% in terms of Pearson correlation between the similarity estimation by NSIM and ground truth based on the LCSS (Longest Common Sub-Sequence) similarity metric, in comparison with other state-of-the-art approaches. Federated Clustering of IID data in different geographical locations can improve performance of early warning applications such as flood prediction [Samikwa et al. 2020], where the data for some locations may have more statistical similarities. We further present a technique for accelerating ML inference in resource-constrained devices through distributed computation of ML models over IoT networks, while preserving privacy. This has the potential to improve the performance of time sensitive ML applications",Distributed and Federated Learning Optimization with Federated Clustering of IID-users,https://core.ac.uk/download/479510128.pdf,,,,core
291716187,10000-01-01,"This thesis addresses the task of distributed production scheduling, especially for flexible manufacturing systems (FMS). Current mathematical programming and model-based approaches are considered, but are shown to inadequately manage the dynamic behavior, uncertainty, and large scale typical of such systems. Thus, a new unified framework for modelling and control is proposed that incorporates insights from Operations Research, Control Theory, Artificial Intelligence, and Software Engineering.In this research, production scheduling is addressed in terms of the allocation of resources. The method of ""resource allocation policy"" scheduling is proposed and compared with the ""event-time"" schedules, which result from typical formulations of the production scheduling problem. Next, the technique of real-time simulation is introduced and applied to study the Automated Manufacturing Research Facility (AMRF). The proposed solution methodology for on-line production scheduling centers on a generic controller, which employs real-time simulation to evaluate the trade-offs existing among alternative production policies. The generic controller establishes a standard, parallel-processing architecture in which to perform the decision-making at any level in a hierarchically decomposed scheduling problem. The specification of the functional elements of the generic controller (GC), conceptualized by Davis, Jones, and Saleh (1991), has been further developed in this research work. Likewise, precise definitions have been enumerated for the types of data utilized in the GC, as well as the manner in which they are transmitted between the GC's elements.The essential structure and functional content of the generic controller as well as the proposed resource-based, discrete-event model for production systems have been incorporated into the development of the Flexible Manufacturing Simulation Library (FMSL). The FMSL software provides a set of routines to model hierarchical production systems and perform the tasks required for on-line scheduling. Based on the preliminary studies with the AMRF model and the application of the FMSL for the modelling and simulation of the Motorola Grafted Multilayer process, conclusions are drawn regarding the importance of critical resources. Furthermore, the possibility to apply the proposed approach for true real-time monitoring and control in production systems is likewise considered.U of I OnlyETDs are only available to UIUC Users without author permissio","Real-time, distributed scheduling of production resources",,,,,core
334946296,2021-06-02T00:00:00,"Tech-leading organizations are embracing the forthcoming artificial
intelligence revolution. Intelligent systems are replacing and cooperating with
traditional software components. Thus, the same development processes and
standards in software engineering ought to be complied in artificial
intelligence systems. This study aims to understand the processes by which
artificial intelligence-based systems are developed and how state-of-the-art
lifecycle models fit the current needs of the industry. We conducted an
exploratory case study at ING, a global bank with a strong European base. We
interviewed 17 people with different roles and from different departments
within the organization. We have found that the following stages have been
overlooked by previous lifecycle models: data collection, feasibility study,
documentation, model monitoring, and model risk assessment. Our work shows that
the real challenges of applying Machine Learning go much beyond sophisticated
learning algorithms - more focus is needed on the entire lifecycle. In
particular, regardless of the existing development tools for Machine Learning,
we observe that they are still not meeting the particularities of this field.Comment: Accepted in Empirical Software Engineering in April, 202",AI Lifecycle Models Need To Be Revised. An Exploratory Study in Fintech,http://arxiv.org/abs/2010.02716,,,,core
387323254,2021-05-31T00:00:00,"While data sharing is crucial for knowledge development, privacy concerns and
strict regulation (e.g., European General Data Protection Regulation (GDPR))
unfortunately limit its full effectiveness. Synthetic tabular data emerges as
an alternative to enable data sharing while fulfilling regulatory and privacy
constraints. The state-of-the-art tabular data synthesizers draw methodologies
from generative Adversarial Networks (GAN) and address two main data types in
the industry, i.e., continuous and categorical. In this paper, we develop
CTAB-GAN, a novel conditional table GAN architecture that can effectively model
diverse data types, including a mix of continuous and categorical variables.
Moreover, we address data imbalance and long-tail issues, i.e., certain
variables have drastic frequency differences across large values. To achieve
those aims, we first introduce the information loss and classification loss to
the conditional GAN. Secondly, we design a novel conditional vector, which
efficiently encodes the mixed data type and skewed distribution of data
variable. We extensively evaluate CTAB-GAN with the state of the art GANs that
generate synthetic tables, in terms of data similarity and analysis utility.
The results on five datasets show that the synthetic data of CTAB-GAN
remarkably resembles the real data for all three types of variables and results
into higher accuracy for five machine learning algorithms, by up to 17%.Comment: This paper consists of 11 pages which contain 8 figures, 5 tables and
  an appendix with a user manual for our software applicatio",CTAB-GAN: Effective Table Data Synthesizing,http://arxiv.org/abs/2102.08369,,,,core
459156956,2021-11-01T00:00:00,"Building ventilation accounts for up to 30% of the heat loss in commercial buildings and 25% in industrial buildings. To effectively aid the reduction of energy consumption in the building sector, the development of demand-driven control systems for heating ventilation and air-conditioning (HVAC) is necessary. In countries with temperate climates such as the UK, many buildings depend on natural ventilation strategies such as openable windows, which are useful for reducing overheating prevalence during the summer. The manual opening and adjustment of windows by occupants, particularly during the heating season, can lead to substantial heat loss and consequent energy consumption. This could also result in the unnecessary or over ventilation of the space, or the fresh air is more than what is required to ensure adequate air quality. Furthermore, energy losses build up when windows are left open for extended periods. Hence, it is important to develop control strategies that can detect and recognise the period and amount of window opening in real-time and at the same time adjust the HVAC systems to minimise energy wastage and maintain indoor environment quality and thermal comfort. This paper presents a vision-based deep learning framework for the detection and recognition of manual window operation in buildings. A trained deep learning model is deployed into an artificial intelligence-powered camera. To assess the proposed strategy's capabilities, building energy simulation was used with various operation profiles of the opening of the windows based on various scenarios. Initial experimental tests were conducted within a university lecture room with a south-facing window. Deep learning influenced profile (DLIP) was generated via the framework, which uses real-time window detection and recognition data. The generated DLIP were compared with the actual observations, and the initial detection results showed that the method was capable of identifying windows that were opened and had an average accuracy of 97.29%. The results for the three scenarios showed that the proposed strategy could potentially be used to help adjust the HVAC setpoint or alert the occupants or building managers to prevent unnecessary heating demand. Further developments include enhancing the framework ability to detect multiple window opening types and sizes and the detection accuracy by optimising the model",A deep learning approach towards the detection and recognition of opening of windows for effective management of building ventilation heat losses and reducing space heating demand,,'Elsevier BV',,10.1016/j.renene.2021.05.155,core
