contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Article,doi:10.1007/s00146-020-01123-7,"Where is the human got to go? Artificial intelligence, machine learning, big data, digitalisation, and human–robot interaction in Industry 4.0 and 5.0",AI & SOCIETY,10.1007/s00146-020-01123-7,Springer,2021-09-01,2021-01-15,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00146-020-01123-7,springer
Article,doi:10.1007/s10664-021-10011-7,Correction to: MLASP: Machine learning assisted capacity planning. An industrial experience report,Empirical Software Engineering,10.1007/s10664-021-10011-7,Springer,2021-08-16,2021-08-16,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10664-021-10011-7,springer
Article,doi:10.1007/s12350-021-02671-1,Artificial intelligence in nuclear cardiology: Preparing for the fifth industrial revolution,Journal of Nuclear Cardiology,10.1007/s12350-021-02671-1,Springer,2021-08-01,2021-08-03,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12350-021-02671-1,springer
Article,doi:10.1007/s00170-021-07248-3,Cognitive capabilities for the CAAI in cyber-physical production systems,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-021-07248-3,Springer,2021-08-01,2021-06-08,"This paper presents the cognitive module of the Cognitive Architecture for Artificial Intelligence (CAAI) in cyber-physical production systems (CPPS). The goal of this architecture is to reduce the implementation effort of artificial intelligence (AI) algorithms in CPPS. Declarative user goals and the provided algorithm-knowledge base allow the dynamic pipeline orchestration and configuration. A big data platform (BDP) instantiates the pipelines and monitors the CPPS performance for further evaluation through the cognitive module. Thus, the cognitive module is able to select feasible and robust configurations for process pipelines in varying use cases. Furthermore, it automatically adapts the models and algorithms based on model quality and resource consumption. The cognitive module also instantiates additional pipelines to evaluate algorithms from different classes on test functions. CAAI relies on well-defined interfaces to enable the integration of additional modules and reduce implementation effort. Finally, an implementation based on Docker, Kubernetes, and Kafka for the virtualization and orchestration of the individual modules and as messaging technology for module communication is used to evaluate a real-world use case.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00170-021-07248-3,springer
Article,doi:10.1007/s10845-021-01804-0,Towards scalable and reusable predictive models for cyber twins in manufacturing systems,Journal of Intelligent Manufacturing,10.1007/s10845-021-01804-0,Springer,2021-07-29,2021-07-29,"Smart factories are intelligent, fully-connected and flexible systems that can continuously monitor and analyse data streams from interconnected systems to make decisions and dynamically adapt to new circumstances. The implementation of smart factories represents a leap forward compared to traditional automation. It is underpinned by the deployment of cyberphysical systems that, through the application of Artificial Intelligence, integrate predictive capabilities and foster rapid decision-making. Deep Learning (DL) is a key enabler for the development of smart factories. However, the implementation of DL in smart factories is hindered by its reliance on large amounts of data and extreme computational demand. To address this challenge, Transfer Learning (TL) has been proposed to promote the efficient training of models by enabling the reuse of previously trained models. In this paper, by means of a specific example in aluminium can manufacturing, an empirical study is presented, which demonstrates the potential of TL to achieve fast deployment of scalable and reusable predictive models for Cyber Manufacturing Systems. Through extensive experiments, the value of TL is demonstrated to achieve better generalisation and model performance, especially with limited datasets. This research provides a pragmatic approach towards predictive model building for cyber twins, paving the way towards the realisation of smart factories.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10845-021-01804-0,springer
Article,doi:10.1007/s00542-020-05123-x,Deep learning based real-time Industrial framework for rotten and fresh fruit detection using semantic segmentation,Microsystem Technologies,10.1007/s00542-020-05123-x,Springer,2021-09-01,2020-11-30,"Computer vision finds wide range of applications in fruit processing industries, allowing the tasks to be done with automation. Classification of fruit’s quality and thereby gradation of the same is very important for the industry manufacture unit for production of best quality finished food products and the finest quality of the raw fruits to be sellable in the market. In the present paper, detection of rotten or fresh apple has been accomplished based on the defects present on the peel of the fruit. The work proposes a semantic segmentation of the rotten portion present in the apple’s RGB image based on deep learning architecture. UNet and a modified version of it, the Enhanced UNet (En-UNet) are implemented for segmentation yielding promising results. The proposed En-UNet model generated enhanced outputs than UNet with training and validation accuracies of 97.46% and 97.54% respectively while UNet as the base architecture attaining an accuracy of 95.36%. The best mean IoU score under a threshold of 0.95 attained by En-UNet is 0.866 while that of UNet is 0.66. The experimental results show that the proposed model is a better one to be used for segmentation, detection and categorization of the rotten or fresh apples in real time.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00542-020-05123-x,springer
Article,doi:10.1007/s11740-021-01020-y,Modeling Fused Filament Fabrication using Artificial Neural Networks,Production Engineering,10.1007/s11740-021-01020-y,Springer,2021-06-01,2021-02-07,"With industries pushing towards digitalized production, adaption to expectations and increasing requirements for modern applications, has brought additive manufacturing (AM) to the forefront of Industry 4.0. In fact, AM is a main accelerator for digital production with its possibilities in structural design, such as topology optimization, production flexibility, customization, product development, to name a few. Fused Filament Fabrication (FFF) is a widespread and practical tool for rapid prototyping that also demonstrates the importance of AM technologies through its accessibility to the general public by creating cost effective desktop solutions. An increasing integration of systems in an intelligent production environment also enables the generation of large-scale data to be used for process monitoring and process control. Deep learning as a form of artificial intelligence (AI) and more specifically, a method of machine learning (ML) is ideal for handling big data. This study uses a trained artificial neural network (ANN) model as a digital shadow to predict the force within the nozzle of an FFF printer using filament speed and nozzle temperatures as input data. After the ANN model was tested using data from a theoretical model it was implemented to predict the behavior using real-time printer data. For this purpose, an FFF printer was equipped with sensors that collect real time printer data during the printing process. The ANN model reflected the kinematics of melting and flow predicted by models currently available for various speeds of printing. The model allows for a deeper understanding of the influencing process parameters which ultimately results in the determination of the optimum combination of process speed and print quality.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11740-021-01020-y,springer
Article,doi:10.1007/s12243-021-00856-w,Virtual sensors: an industrial application for illumination attributes based on machine learning techniques,Annals of Telecommunications,10.1007/s12243-021-00856-w,Springer,2021-08-01,2021-06-21,"Nowadays, the Internet of Things is a technology used in a wide range of applications, empowering fields such as the smart city, smart transportation, and the manufacturing industry. Their growing number increases the demand for robust and intelligent solutions providing relevant data, while relying on as few resources as possible. To this end, it is essential to search for techniques and solutions that can achieve a high level of quality of service, using the least hardware and cost. Machine learning can tackle the challenge by generating virtual data. It aims on replicating a sensor’s activity by utilizing real data from a subset of sensors. Such a task could be difficult with existing means, while the proposed approach might reduce it to a trivial calculation. In a similar fashion, it is possible to use simulation models for data analysis and model validation, by feeding the existing simulation models with varying conditions and comparing the results with the real ones. The current work aims to utilize the virtual IoT paradigm, in order to immerse and test everyday applications in realistic conditions and constraints. Finally, a prototype’s implementation in real-life use cases is discussed, such as the illumination in an industrial environment.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12243-021-00856-w,springer
Article,doi:10.1007/s00521-021-05726-z,Towards design and implementation of Industry 4.0 for food manufacturing,Neural Computing and Applications,10.1007/s00521-021-05726-z,Springer,2021-01-25,2021-01-25,"Today’s factories are considered as smart ecosystems with humans, machines and devices interacting with each other for efficient manufacturing of products. Industry 4.0 is a suite of enabler technologies for such smart ecosystems that allow transformation of industrial processes. When implemented, Industry 4.0 technologies have a huge impact on efficiency, productivity and profitability of businesses. The adoption and implementation of Industry 4.0, however, require to overcome a number of practical challenges, in most cases, due to the lack of modernisation and automation in place with traditional manufacturers. This paper presents a first of its kind case study for moving a traditional food manufacturer, still using the machinery more than one hundred years old, a common occurrence for small- and medium-sized businesses, to adopt the Industry 4.0 technologies. The paper reports the challenges we have encountered during the transformation process and in the development stage. The paper also presents a smart production control system that we have developed by utilising AI, machine learning, Internet of things, big data analytics, cyber-physical systems and cloud computing technologies. The system provides novel data collection, information extraction and intelligent monitoring services, enabling improved efficiency and consistency as well as reduced operational cost. The platform has been developed in real-world settings offered by an Innovate UK-funded project and has been integrated into the company’s existing production facilities. In this way, the company has not been required to replace old machinery outright, but rather adapted the existing machinery to an entirely new way of operating. The proposed approach and the lessons outlined can benefit similar food manufacturing industries and other SME industries.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00521-021-05726-z,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-51156-2_94,Enabling Big Data Analytics at Manufacturing Fields of Farplas Automotive,Intelligent and Fuzzy Techniques: Smart and Innovative Solutions,10.1007/978-3-030-51156-2_94,Springer,2021-01-01,2020-07-11,"Digitization and data-driven manufacturing process is needed for today’s industry. The term Industry 4.0 stands for the today industrial digitization which is defined as a new level of organization and control over the entire value chain of the life cycle of products; it is geared towards increasingly individualized customer’s high-quality expectations. However, due to the increase in the number of connected devices and the variety of data, it has become difficult to store and analyze data with conventional systems. The motivation of this paper is to provide an overview of understanding of the big data pipeline, providing a real-time on-premise data acquisition, data compression, data storage and processing with Apache Kafka and Apache Spark implementation on Apache Hadoop cluster, and identifying the challenges and issues occurring with implementation the Farplas manufacturing company, which is one of the biggest Tier 1 automotive suppliers in Turkey, to study the new trends and streams related to topics via Industry 4.0.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-51156-2_94,springer
