id,updated,published,title,summary,database
http://arxiv.org/abs/2001.05703v1,2020-01-16T09:13:31Z,2020-01-16T09:13:31Z,"A Markerless Deep Learning-based 6 Degrees of Freedom PoseEstimation for
  with Mobile Robots using RGB Data","Augmented Reality has been subject to various integration efforts within
industries due to its ability to enhance human machine interaction and
understanding. Neural networks have achieved remarkable results in areas of
computer vision, which bear great potential to assist and facilitate an
enhanced Augmented Reality experience. However, most neural networks are
computationally intensive and demand huge processing power thus, are not
suitable for deployment on Augmented Reality devices. In this work we propose a
method to deploy state of the art neural networks for real time 3D object
localization on augmented reality devices. As a result, we provide a more
automated method of calibrating the AR devices with mobile robotic systems. To
accelerate the calibration process and enhance user experience, we focus on
fast 2D detection approaches which are extracting the 3D pose of the object
fast and accurately by using only 2D input. The results are implemented into an
Augmented Reality application for intuitive robot control and sensor data
visualization. For the 6D annotation of 2D images, we developed an annotation
tool, which is, to our knowledge, the first open source tool to be available.
We achieve feasible results which are generally applicable to any AR device
thus making this work promising for further research in combining high
demanding neural networks with Internet of Things devices.",arxiv
http://arxiv.org/abs/1810.07829v1,2018-10-17T23:06:06Z,2018-10-17T23:06:06Z,"Quality 4.0: Let's Get Digital - The many ways the fourth industrial
  revolution is reshaping the way we think about quality","The technology landscape is richer and more promising than ever before. In
many ways, cloud computing, big data, virtual reality (VR), augmented reality
(AR), blockchain, additive manufacturing, artificial intelligence (AI), machine
learning (ML), Internet Protocol Version 6 (IPv6), cyber-physical systems and
the Internet of Things (IoT) all represent new frontiers. These technologies
can help improve product and service quality, and organizational performance.
In many regions, the internet is now as ubiquitous as electricity. Components
are relatively cheap. A robust ecosystem of open-source software libraries
means that engineers can solve problems 100 times faster than just two decades
ago. This digital transformation is leading us toward connected intelligent
automation: smart, hyperconnected agents deployed in environments where humans
and machines cooperate, and leverage data, to achieve shared goals. This is not
the worlds first industrial revolution. In fact, it is its fourth, and the
disruptive changes it will bring suggest we will need a fresh perspective on
quality to adapt to it.",arxiv
http://arxiv.org/abs/2012.05410v1,2020-12-10T02:08:47Z,2020-12-10T02:08:47Z,Artificial Intelligence at the Edge,"The Internet of Things (IoT) and edge computing applications aim to support a
variety of societal needs, including the global pandemic situation that the
entire world is currently experiencing and responses to natural disasters.
  The need for real-time interactive applications such as immersive video
conferencing, augmented/virtual reality, and autonomous vehicles, in education,
healthcare, disaster recovery and other domains, has never been higher. At the
same time, there have been recent technological breakthroughs in highly
relevant fields such as artificial intelligence (AI)/machine learning (ML),
advanced communication systems (5G and beyond), privacy-preserving
computations, and hardware accelerators. 5G mobile communication networks
increase communication capacity, reduce transmission latency and error, and
save energy -- capabilities that are essential for new applications. The
envisioned future 6G technology will integrate many more technologies,
including for example visible light communication, to support groundbreaking
applications, such as holographic communications and high precision
manufacturing. Many of these applications require computations and analytics
close to application end-points: that is, at the edge of the network, rather
than in a centralized cloud. AI techniques applied at the edge have tremendous
potential both to power new applications and to need more efficient operation
of edge infrastructure. However, it is critical to understand where to deploy
AI systems within complex ecosystems consisting of advanced applications and
the specific real-time requirements towards AI systems.",arxiv
http://arxiv.org/abs/2106.15021v1,2021-06-21T11:23:12Z,2021-06-21T11:23:12Z,"How to Reach Real-Time AI on Consumer Devices? Solutions for
  Programmable and Custom Architectures","The unprecedented performance of deep neural networks (DNNs) has led to large
strides in various Artificial Intelligence (AI) inference tasks, such as object
and speech recognition. Nevertheless, deploying such AI models across commodity
devices faces significant challenges: large computational cost, multiple
performance objectives, hardware heterogeneity and a common need for high
accuracy, together pose critical problems to the deployment of DNNs across the
various embedded and mobile devices in the wild. As such, we have yet to
witness the mainstream usage of state-of-the-art deep learning algorithms
across consumer devices. In this paper, we provide preliminary answers to this
potentially game-changing question by presenting an array of design techniques
for efficient AI systems. We start by examining the major roadblocks when
targeting both programmable processors and custom accelerators. Then, we
present diverse methods for achieving real-time performance following a
cross-stack approach. These span model-, system- and hardware-level techniques,
and their combination. Our findings provide illustrative examples of AI systems
that do not overburden mobile hardware, while also indicating how they can
improve inference accuracy. Moreover, we showcase how custom ASIC- and
FPGA-based accelerators can be an enabling factor for next-generation AI
applications, such as multi-DNN systems. Collectively, these results highlight
the critical need for further exploration as to how the various cross-stack
solutions can be best combined in order to bring the latest advances in deep
learning close to users, in a robust and efficient manner.",arxiv
http://arxiv.org/abs/2102.09360v1,2021-02-18T14:12:24Z,2021-02-18T14:12:24Z,"All-optical spiking neurosynaptic networks with self-learning
  capabilities","Software-implementation, via neural networks, of brain-inspired computing
approaches underlie many important modern-day computational tasks, from image
processing to speech recognition, artificial intelligence and deep learning
applications. Yet, differing from real neural tissue, traditional computing
architectures physically separate the core computing functions of memory and
processing, making fast, efficient and low-energy brain-like computing
difficult to achieve. To overcome such limitations, an attractive and
alternative goal is to design direct hardware mimics of brain neurons and
synapses which, when connected in appropriate networks (or neuromorphic
systems), process information in a way more fundamentally analogous to that of
real brains. Here we present an all-optical approach to achieving such a goal.
Specifically, we demonstrate an all-optical spiking neuron device and connect
it, via an integrated photonics network, to photonic synapses to deliver a
small-scale all-optical neurosynaptic system capable of supervised and
unsupervised learning. Moreover, we exploit wavelength division multiplexing
techniques to implement a scalable circuit architecture for photonic neural
networks, successfully demonstrating pattern recognition directly in the
optical domain using a photonic system comprising 140 elements. Such optical
implementations of neurosynaptic networks promise access to the high speed and
bandwidth inherent to optical systems, which would be very attractive for the
direct processing of telecommunication and visual data in the optical domain.",arxiv
http://arxiv.org/abs/2012.01913v1,2020-12-03T13:51:05Z,2020-12-03T13:51:05Z,Transfer Learning as an Enabler of the Intelligent Digital Twin,"Digital Twins have been described as beneficial in many areas, such as
virtual commissioning, fault prediction or reconfiguration planning. Equipping
Digital Twins with artificial intelligence functionalities can greatly expand
those beneficial applications or open up altogether new areas of application,
among them cross-phase industrial transfer learning. In the context of machine
learning, transfer learning represents a set of approaches that enhance
learning new tasks based upon previously acquired knowledge. Here, knowledge is
transferred from one lifecycle phase to another in order to reduce the amount
of data or time needed to train a machine learning algorithm. Looking at common
challenges in developing and deploying industrial machinery with deep learning
functionalities, embracing this concept would offer several advantages: Using
an intelligent Digital Twin, learning algorithms can be designed, configured
and tested in the design phase before the physical system exists and real data
can be collected. Once real data becomes available, the algorithms must merely
be fine-tuned, significantly speeding up commissioning and reducing the
probability of costly modifications. Furthermore, using the Digital Twin's
simulation capabilities virtually injecting rare faults in order to train an
algorithm's response or using reinforcement learning, e.g. to teach a robot,
become practically feasible. This article presents several cross-phase
industrial transfer learning use cases utilizing intelligent Digital Twins. A
real cyber physical production system consisting of an automated welding
machine and an automated guided vehicle equipped with a robot arm is used to
illustrate the respective benefits.",arxiv
http://arxiv.org/abs/1905.03418v2,2019-06-07T15:31:48Z,2019-05-09T02:39:37Z,"Deep Learning Acceleration Techniques for Real Time Mobile Vision
  Applications","Deep Learning (DL) has become a crucial technology for Artificial
Intelligence (AI). It is a powerful technique to automatically extract
high-level features from complex data which can be exploited for applications
such as computer vision, natural language processing, cybersecurity,
communications, and so on. For the particular case of computer vision, several
algorithms like object detection in real time videos have been proposed and
they work well on Desktop GPUs and distributed computing platforms. However
these algorithms are still heavy for mobile and embedded visual applications.
The rapid spreading of smart portable devices and the emerging 5G network are
introducing new smart multimedia applications in mobile environments. As a
consequence, the possibility of implementing deep neural networks to mobile
environments has attracted a lot of researchers. This paper presents emerging
deep learning acceleration techniques that can enable the delivery of real time
visual recognition into the hands of end users, anytime and anywhere.",arxiv
http://arxiv.org/abs/1808.02134v1,2018-08-06T22:13:33Z,2018-08-06T22:13:33Z,"Kerman: A Hybrid Lightweight Tracking Algorithm to Enable Smart
  Surveillance as an Edge Service","Edge computing pushes the cloud computing boundaries beyond uncertain network
resource by leveraging computational processes close to the source and target
of data. Time-sensitive and data-intensive video surveillance applications
benefit from on-site or near-site data mining. In recent years, many smart
video surveillance approaches are proposed for object detection and tracking by
using Artificial Intelligence (AI) and Machine Learning (ML) algorithms.
However, it is still hard to migrate those computing and data-intensive tasks
from Cloud to Edge due to the high computational requirement. In this paper, we
envision to achieve intelligent surveillance as an edge service by proposing a
hybrid lightweight tracking algorithm named Kerman (Kernelized Kalman filter).
Kerman is a decision tree based hybrid Kernelized Correlation Filter (KCF)
algorithm proposed for human object tracking, which is coupled with a
lightweight Convolutional Neural Network (L-CNN) for high performance. The
proposed Kerman algorithm has been implemented on a couple of single board
computers (SBC) as edge devices and validated using real-world surveillance
video streams. The experimental results are promising that the Kerman algorithm
is able to track the object of interest with a decent accuracy at a resource
consumption affordable by edge devices.",arxiv
http://arxiv.org/abs/2009.10679v1,2020-09-22T16:55:44Z,2020-09-22T16:55:44Z,"An embedded deep learning system for augmented reality in firefighting
  applications","Firefighting is a dynamic activity, in which numerous operations occur
simultaneously. Maintaining situational awareness (i.e., knowledge of current
conditions and activities at the scene) is critical to the accurate
decision-making necessary for the safe and successful navigation of a fire
environment by firefighters. Conversely, the disorientation caused by hazards
such as smoke and extreme heat can lead to injury or even fatality. This
research implements recent advancements in technology such as deep learning,
point cloud and thermal imaging, and augmented reality platforms to improve a
firefighter's situational awareness and scene navigation through improved
interpretation of that scene. We have designed and built a prototype embedded
system that can leverage data streamed from cameras built into a firefighter's
personal protective equipment (PPE) to capture thermal, RGB color, and depth
imagery and then deploy already developed deep learning models to analyze the
input data in real time. The embedded system analyzes and returns the processed
images via wireless streaming, where they can be viewed remotely and relayed
back to the firefighter using an augmented reality platform that visualizes the
results of the analyzed inputs and draws the firefighter's attention to objects
of interest, such as doors and windows otherwise invisible through smoke and
flames.",arxiv
http://arxiv.org/abs/2007.00641v1,2020-07-01T17:46:08Z,2020-07-01T17:46:08Z,Democratizing the Edge: A Pervasive Edge Computing Framework,"The needs of emerging applications, such as augmented and virtual reality,
federated machine learning, and autonomous driving, have motivated edge
computing--the push of computation capabilities to the edge. Various edge
computing architectures have emerged, including multi-access edge computing and
edge-cloud, all with the premise of reducing communication latency and
augmenting privacy. However, these architectures rely on static and
pre-deployed infrastructure, falling short in harnessing the abundant resources
at the network's edge. In this paper, we discuss the design of Pervasive Edge
Computing (PEC)--a democratized edge computing framework, which enables
end-user devices (e.g., smartphones, IoT devices, and vehicles) to dynamically
participate in a large-scale computing ecosystem. Our vision of the
democratized edge involves the real-time composition of services using
available edge resources like data, software, and compute-hardware from
multiple stakeholders. We discuss how the novel Named-Data Networking
architecture can facilitate service deployment, discovery, invocation, and
migration. We also discuss the economic models critical to the adoption of PEC
and the outstanding challenges for its full realization.",arxiv
