id,datePublished,description,title,downloadUrl,publisher,doi,journals,database
357234107,2020-03-05T00:00:00,"Abstract In this paper, we describe development of a mobile robot which does unsupervised learning for recognizing an environment from action sequences. We call this novel recognition approach action-based environment modeling (AEM). Most studies on recognizing an environment have tried to build precise geometric maps with high sensitive and global sensors. However such precise and global information may be hardly obtained in a real environment, and may be unnecessary to recognize an environment. Furthermore unsupervised-learning is necessary for recognition in an unknown environment without help of a teacher. Thus we attempt to build a mobile robot which does unsupervised-learning to recognize environments with low sensitive and local sensors. The mobile robot is behavior-based and does wall-following in enclosures (called rooms). Then the sequences of actions executed in each room are transformed into environment vectors for self-organizing maps. Learning without a teacher is done, and the robot becomes able to identify rooms. Moreover, we develop a method to identify environments independent of a start point using a partial sequence. We have fully implemented the system with a real mobile robot, and made experiments for evaluating the ability. As a result, we found out that the environment recognition was done well and our method was adaptive to noisy environments",Recognizing environments from action sequences using self-organizing maps,https://core.ac.uk/download/357234107.pdf,,,,core
323323388,2020-08-13T00:00:00,"The use of Reinforcement Learning (RL) is still restricted to simulation or
to enhance human-operated systems through recommendations. Real-world
environments (e.g. industrial robots or power grids) are generally designed
with safety constraints in mind implemented in the shape of valid actions masks
or contingency controllers. For example, the range of motion and the angles of
the motors of a robot can be limited to physical boundaries. Violating
constraints thus results in rejected actions or entering in a safe mode driven
by an external controller, making RL agents incapable of learning from their
mistakes. In this paper, we propose a simple modification of a state-of-the-art
deep RL algorithm (DQN), enabling learning from forbidden actions. To do so,
the standard Q-learning update is enhanced with an extra safety loss inspired
by structured classification. We empirically show that it reduces the number of
hit constraints during the learning phase and accelerates convergence to
near-optimal policies compared to using standard DQN. Experiments are done on a
Visual Grid World Environment and Text-World domain.Comment: Accepted at Internationnal Joint Conference on Neural Networks
  (IJCNN'2020","I'm sorry Dave, I'm afraid I can't do that, Deep Q-learning from
  forbidden action",http://arxiv.org/abs/1910.02078,,,,core
355105498,2020-11-16T00:00:00,"This paper discusses the creative and technical approaches in a performative robot project called Embodied Musicking Robots (2018 – present). The core approach of this project is Human-centred AI (HC-AI) which focuses on the design, development and deployment of intelligent systems that co-operate with humans in real-time in a ‘deep and meaningful way’. HC-AI is ‘defined by two goals: (1) the AI system must continually improve by learning from humans while (2) creating an effective and fulfilling human-robot interaction experience’ [1]. This project applies these core goals as a central philosophy from which the concepts of Creative AI and Experien-tial Learning in the context of performative robots are developed. At the centre of this discussion is the articulation of a shift in thinking of what constitutes Creative AI and new HC-AI forms of computational learning from inside the flow of the shared experience between robot and human. The central case study investigates the technical solutions and artistic po-tential of AI driven robots co-creating with an improvising human musician in real-time. This project is ongoing and is part of the Creative AI Research Group in the Institute of Creative Technologies at De Montfort Universit",Creative AI and Musicking Robots,https://core.ac.uk/download/355105498.pdf,,,,core
475608342,2021-01-01T00:00:00,"As deep learning for resource-constrained systems become more popular, we see an increased number of intelligent embedded systems such as IoT devices, robots, autonomous vehicles, and the plethora of portable, wearable, and mobile devices that are feature-packed with a wide variety of machine learning tasks. However, the performance of DNNs (deep neural networks) running on an embedded system is significantly limited by the platform's CPU, memory, and battery-size; and their scope is limited to simplistic inference tasks only.      This dissertation proposes on-device deep learning algorithms and supporting hardware designs, enabling embedded systems to efficiently perform deep intelligent tasks (i.e., deep neural networks) that are high-memory-footprint, compute-intensive, and energy-hungry beyond their limited computing resources. We name such on-device deep intelligence on embedded systems as Embedded Deep Intelligence. Specifically, we introduce resource-aware learning strategies devised to overcome the four fundamental constraints of embedded systems imposed on the way towards Embedded Deep Intelligence, i.e., in-memory multitask learning via introducing the concept of Neural Weight Virtualization, adaptive real-time learning via introducing the concept of SubFlow, opportunistic accelerated learning via introducing the concept of Neuro.ZERO, and energy-aware intermittent learning, which tackles the problems of the small size of memory, dynamic timing constraint, low-computing capability, and limited energy, respectively.       Once deployed in the field with the proposed resource-aware learning strategies, embedded systems are not only able to perform deep inference tasks on sensor data but also update and re-train their learning models at run-time without requiring any help from any external system. Such an on-device learning capability of Embedded Deep Intelligence makes an embedded intelligent system real-time, privacy-aware, secure, autonomous, untethered, responsive, and adaptive without concern for its limited resources.Doctor of Philosoph",Enabling Deep Intelligence on Embedded Systems,https://core.ac.uk/download/475608342.pdf,University of North Carolina at Chapel Hill Graduate School,10.17615/azw9-g349,,core
395661195,2020-01-01T00:00:00,"Comisión Europea. Joint Research Centre. 
Serie: JRC Science for Police ReportThis report reviews and classifies the current and near-future applications of Artificial Intelligence (AI) in Medicine and Healthcare according to their ethical and societal impact and the availability level of the various technological implementations. It provides conceptual foundations for well-informed policy-oriented work, research, and forward-looking activities that address the opportunities and challenges created in the field of AI in Medicine and Healthcare. This report is aimed for policy developers, but it also makes contributions that are of interest for researchers studying the impact and the future of AI on Healthcare, for scientific and technological stakeholders in this field and for the general public.This report is based on an analysis of the state of the art of research and technology, including software, personal monitoring devices, genetic tests and editing tools, personalized digital models, online platforms, augmented reality devices, and surgical and companion robotics. From this analysis, it is presented the concept of “extended personalized medicine”, and it is explored the public perception of medical AI systems, and how they show, simultaneously, extraordinary opportunities and drawbacks. In addition, this report addresses the transformation of the roles of doctors and patients in an age of ubiquitous information and identifies three main paradigms in AI-supported Medicine: “fake-based”, “patient-generated”, and “scientifically tailored” views.This Report presents:- An updated overview of the many aspects related to the social impact of Artificial Intelligence and its applications in Medicine and Health. A new ‘Technology Availability Scale’ is defined to evaluate and compare their current status.- Recent examples of the growing social concerns and debates in the general press, social media and other web-bases sources.- A ‘Visual Overview of AI and AI-mediated technologies in Medicine and Healthcare’, in which two figures show, respeComisión Europea. Joint Research Centr","Artificial Intelligence in Medicine and Healthcare: applications, availability and societal impact",https://core.ac.uk/download/395661195.pdf,'Wiley',,,core
334990296,2020-08-01T07:00:00,"The increasing number of spacefaring nations and agendas, miniaturization of subsystems, and trend toward integrated systems are no doubt influencing the evolution of space systems. The diversification of space architectures has surged at an unprecedented rate in recent history with initial deployments of planned mega-constellations. This paper explores HIVE-a reconfigurable small satellite system primed to revolutionize the concept of modular space systems and future space architectures.
Based on a mass producible functioning unit consisting of nested rings, HIVE is a comprehensive satellite design harnessing advancement in robotics, software and machine learning, precision scale manufacturing, and novel materials with multifunctional properties. HIVE is addressing solutions for detailed design of interconnected hardware, engineering analysis for multi-payload applications, and policy to accomplish modularized, in-space deployment and reconfiguration.
The HIVE unit design lends itself to the “infinite possibilities” of space mission architectures and presents a revolutionary way to design, integrate, and operate missions from space. This paper provides and overview of the HIVE concept development and provides examples of applications for HIVE to showcase the range of possible systems and architectural advantages; such as space domain awareness, large service structure, and planetary surface infrastructure. Finally, we will discuss technology transfer and possible pathways to making a resilient, adaptable, and continually upgradable space infrastructure a reality",HIVE: A Space Architecture Concept,https://core.ac.uk/download/334990296.pdf,DigitalCommons@USU,,,core
389431508,2020-10-16T00:00:00,"Intelligent assistive robots can potentially support elderly persons and caregivers in their everyday
lives and facilitate a closer man and machine collaboration as an essential part of the yet to come 5-th industrial revolution. In contrast to classical robotic applications where robots were mostly designed for repetitive tasks, assistive robots will face a variety of different tasks in close contact with everyday users. In particular, it is difficult to foresee the variety of applications beforehand since they depend on a person's individual needs and preferences. This renders preprogramming of all tasks for assistive robots difficult and gives need to explore methods of how robots can learn new tasks at hand during deployment time. Learning from and during direct interaction with humans provides hereby a potentially powerful tool for an assistive robot to acquire new skills and incorporate prior human knowledge during the exploration of novel tasks. Such an interactive learning process can not only help the robot to acquire new skills or profit from human prior knowledge but also facilitates the participation of inexperienced users or coworkers which can lead to a higher acceptance of the robot. However, while on the one hand human presence and assistance can be beneficial during the learning process, on the other hand, close contact with inexperienced users also imposes challenges. In shared workspaces or in close contact with everyday users a robot should be able to adapt learned skills to achieve as little disturbance of humans as possible. It becomes also important to evaluate human preferences about such adaptation strategies, their understanding of interactive learning processes and different ways for human input into learning. To come closer to the goal of intelligent assistive robots is therefore important to develop novel interactive learning methods and evaluate them in different robotic applications. 
This thesis focusses on three main challenges related to the development of assistive intelligent robots and their interaction with everyday users. The different parts of the thesis contribute not only novel theoretical methods but additionally also evaluations on different robotic tasks with users, that had zero or only little prior experience with robots. 
The first challenge is to enable robots to learn cooperative skills from a potentially open-ended stream of human demonstrations in an incremental fashion. While learning new skills from human demonstrations has already been exploited in the literature it remains challenging to learn skill libraries from incrementally incoming demonstrations and when the total number of skills is not known beforehand. Therefore, in the first part of the thesis, we introduce an approach for online and incremental learning of a library for collaborative skills. Here, we follow a Mixture of Experts based approach and incrementally learn a library of collaborative skills and a gating model from coupled human-robot trajectories. Once trained, the gating model can decide which skill to choose as an appropriate response to a human motion, based on prior demonstrations and activate the corresponding robot skill. In contrast to existing batch learning methods, our method does not require the total number of skills to be known a priori and can learn new skills as well as update existing skills from multiple human demonstrations. The cooperative skills are represented as Probabilistic Interaction Primitives which can capture variance and inherent correlations in the demonstrations. We evaluate our method with different human subjects in a task where a robot assists the subjects in making a salad. We also evaluate hereby how learned skills transfer between different subjects.
Second, intelligent assistive robots should be able to adapt learned skills to humans when working in close contact or shared workspaces. For Probabilistic Movement Primitives (ProMPs), which were chosen as a skill representation in this thesis, such methods for online adaptation were missing in the literature so far. Hereby, it is in particular important to also evaluate the perceived level of safety and comfort of humans according to different adaptation strategies. To this end, we present two methods for online adaptation of learned skills in a shared workspace setting. Here, we introduce two novel online adaptation methods for ProMPs, namely spatial deformation and temporal scaling. Spatial deformation avoids collisions by dynamically changing the shape of the movement primitive, while at the same time staying close to the demonstrated motions. In temporal scaling, we adapt the ProMP's velocity profile to avoid time-dependent collisions. To achieve intention aware adaptation in shared workspaces we combine both methods with a goal-directed prediction model for human motions. This prediction model can also be learned online from human motions. We conducted experiments for both novel adaptation methods in comparison to non-adaptive behavior with inexperienced users and evaluated influences on task performance as well as subjective metrics such as comfort and perceived level of safety.
The third challenge that we consider in this thesis is how a library of learned skills can be used in practice to solve sequential robotic tasks. While hereby reinforcement learning offers a powerful tool for reward-driven learning and self-improvement, in real robotic applications it often suffers from costly and time-consuming sample collection. Here, human input might be beneficial to speed up and guide the learning. Therefore, it is important to enable and compare different ways how human input can be incorporated in reinforcement learning algorithms. 
In this thesis, we present an approach, which incorporates multiple forms of human input into reinforcement learning for sequential tasks. Since depending on the task human input might not always be correct, we additionally introduce the concept of self-confidence for the robot, such that it becomes able to question human input. We evaluate which input channels humans prefer during interaction and how well they accept suggestions or rejections of the robot if the robot becomes confident in its own decisions.
To summarize, the different parts of the thesis contribute to the development of intelligent assistive robots that can learn from imitating humans, adapt the learned skills dynamically to humans in shared workspaces and profit and learn from human input during self-driven learning of how to sequence skills into more complex tasks. The three main contributions to the state of the art are hereby: First, a novel approach to incrementally learn a library for collaborative skills when the total number of skills is not known a priori. Second, two novel methods for online adaptation of ProMPs and their combination with a goal-directed prediction model to enable intention aware online adaptation in shared workspaces. And third, an approach that combines multiple forms of human input with a reinforcement learning algorithm and a novel concept of self-confidence to learn and improve the sequencing of skills into more complex tasks",Interactive Machine Learning for Assistive Robots,,,10.25534/tuprints-00014184,,core
441356408,2020-07-01T00:00:00,"Abstract Over the years, technology has changed the way we produce and have access to our food through the development of applications, robotics, data analysis, and processing techniques. The implementation of these approaches by the food industry ensure quality and affordability, reducing at the same time the costs of keeping the food fresh and increase productivity. A system, as the one presented herein, for raw food categorization is needed in future food industries to automate food classification according to type, the process of algorithm approaches that will be applied to every different food origin and also for serving disabled people. The purpose of this work was to develop a machine learning workflow based on supervised PLS regression and SVM classification, towards automated raw food categorization from FTIR. The system exhibited high efficiency in multi-class classification of 7 different types of raw food. The selected food samples, were diverse in terms of storage conditions (temperature, storage time and packaging), while the variability within each food was also taken into account by several different batches; leading in a classifier able to embed this variation towards increased robustness and efficiency, ready for real life applications targeting to the digital transformation of the food industry",A machine learning workflow for raw food spectroscopic classification in a future industry,,'Springer Science and Business Media LLC',10.1038/s41598-020-68156-2,"[{'title': 'Scientific Reports', 'identifiers': ['2045-2322', 'issn:2045-2322']}]",core
479489243,2021-11-01T00:00:00,"This paper introduces a novel proprioceptive state estimator for legged
robots based on a learned displacement measurement from IMU data. Recent
research in pedestrian tracking has shown that motion can be inferred from
inertial data using convolutional neural networks. A learned inertial
displacement measurement can improve state estimation in challenging scenarios
where leg odometry is unreliable, such as slipping and compressible terrains.
Our work learns to estimate a displacement measurement from IMU data which is
then fused with traditional leg odometry. Our approach greatly reduces the
drift of proprioceptive state estimation, which is critical for legged robots
deployed in vision and lidar denied environments such as foggy sewers or dusty
mines. We compared results from an EKF and an incremental fixed-lag factor
graph estimator using data from several real robot experiments crossing
challenging terrains. Our results show a reduction of relative pose error by
37% in challenging scenarios when compared to a traditional kinematic-inertial
estimator without learned measurement. We also demonstrate a 22% reduction in
error when used with vision systems in visually degraded environments such as
an underground mine.Comment: To be presented at 5th Annual Conference on Robot Learning (CoRL),
  202",Learning Inertial Odometry for Dynamic Legged Robot State Estimation,http://arxiv.org/abs/2111.00789,,,,core
186295629,2020-01-30T00:00:00,"We introduce Probabilistic Object Detection, the task of detecting objects in
images and accurately quantifying the spatial and semantic uncertainties of the
detections. Given the lack of methods capable of assessing such probabilistic
object detections, we present the new Probability-based Detection Quality
measure (PDQ).Unlike AP-based measures, PDQ has no arbitrary thresholds and
rewards spatial and label quality, and foreground/background separation quality
while explicitly penalising false positive and false negative detections. We
contrast PDQ with existing mAP and moLRP measures by evaluating
state-of-the-art detectors and a Bayesian object detector based on Monte Carlo
Dropout. Our experiments indicate that conventional object detectors tend to be
spatially overconfident and thus perform poorly on the task of probabilistic
object detection. Our paper aims to encourage the development of new object
detection approaches that provide detections with accurately estimated spatial
and label uncertainties and are of critical importance for deployment on robots
and embodied AI systems in the real world.Comment: 21 pages, 25 figures, to appear in the proceedings of the winter
  conference on applications of computer vision WACV 202",Probabilistic Object Detection: Definition and Evaluation,http://arxiv.org/abs/1811.10800,,,,core
387288691,2020-12-06T00:00:00,"Autonomous navigation is a long-standing field of robotics research, which
provides an essential capability for mobile robots to execute a series of tasks
on the same environments performed by human everyday. In this chapter, we
present a set of algorithms to train and deploy deep networks for autonomous
navigation of mobile robots using the Robot Operation System (ROS). We describe
three main steps to tackle this problem: i) collecting data in simulation
environments using ROS and Gazebo; ii) designing deep network for autonomous
navigation, and iii) deploying the learned policy on mobile robots in both
simulation and real-world. Theoretically, we present deep learning
architectures for robust navigation in normal environments (e.g., man-made
houses, roads) and complex environments (e.g., collapsed cities, or natural
caves). We further show that the use of visual modalities such as RGB, Lidar,
and point cloud is essential to improve the autonomy of mobile robots. Our
project website and demonstration video can be found at
https://sites.google.com/site/autonomousnavigationros.Comment: 18 pages. arXiv admin note: substantial text overlap with
  arXiv:2007.1594","Autonomous Navigation with Mobile Robots using Deep Learning and the
  Robot Operating System",http://arxiv.org/abs/2012.02417,,,,core
334935031,2020-04-21T00:00:00,"Universal grasping of a diverse range of previously unseen objects from heaps
is a grand challenge in e-commerce order fulfillment, manufacturing, and home
service robotics. Recently, deep learning based grasping approaches have
demonstrated results that make them increasingly interesting for industrial
deployments. This paper explores the problem from an automation systems
point-of-view. We develop a robotics grasping system using Dex-Net, which is
fully integrated at the controller level. Two neural networks are deployed on a
novel industrial AI hardware acceleration module close to a PLC with a power
footprint of less than 10 W for the overall system. The software is tightly
integrated with the hardware allowing for fast and efficient data processing
and real-time communication. The success rate of grasping an object form a bin
is up to 95 percent with more than 350 picks per hour, if object and receptive
bins are in close proximity. The system was presented at the Hannover Fair 2019
(world s largest industrial trade fair) and other events, where it performed
over 5,000 grasps per event","Industrial Robot Grasping with Deep Learning using a Programmable Logic
  Controller (PLC)",http://arxiv.org/abs/2004.10251,,,,core
323307956,2020-03-02T12:58:19,"Deep- and reinforcement-learning techniques have increasingly required large sets of real data to achieve stable convergence and generalization, in the context of image-recognition, object-detection or motion-control strategies. On this subject, the research community lacks robust approaches to overcome unavailable real-world extensive data by means of realistic synthetic-information and domain-adaptation techniques. In this work, synthetic-learning strategies have been used for the vision-based autonomous following of a noncooperative multirotor. The complete maneuver was learned with synthetic images and high-dimensional low-level continuous robot states, with deep- and reinforcement-learning techniques for object detection and motion control, respectively. A novel motion-control strategy for object following is introduced where the camera gimbal movement is coupled with the multirotor motion during the multirotor following. Results confirm that our present framework can be used to deploy a vision-based task in real flight using synthetic data. It was extensively validated in both simulated and real-flight scenarios, providing proper results (following a multirotor up to 1.3 m/s in simulation and 0.3 m/s in real flights). Keywords: multirotor; UAV; following; synthetic learning; reinforcement learning; deep learnin",Vision-based multirotor following using synthetic learning techniques,,'MDPI AG',10.3390/s19214794,"[{'title': 'Sensors', 'identifiers': ['issn:1424-8220', '1424-8220']}]",core
322706060,2020-03-12T00:00:00,"Machine and reinforcement learning (RL) are increasingly being applied to plan and control the behavior of autonomous systems interacting with the physical world. Examples include self-driving vehicles, distributed sensor networks, and agile robots. However, when machine learning is to be applied in these new settings, the algorithms had better come with the same type of reliability, robustness, and safety bounds that are hallmarks of control theory, or failures could be catastrophic. Thus, as learning algorithms are increasingly and more aggressively deployed in safety critical settings, it is imperative that control theorists join the conversation. The goal of this tutorial paper is to provide a starting point for control theorists wishing to work on learning related problems, by covering recent advances bridging learning and control theory, and by placing these results within an appropriate historical context of system identification and adaptive control",From self-tuning regulators to reinforcement learning and back again,,'Institute of Electrical and Electronics Engineers (IEEE)',10.1109/CDC40024.2019.9029916,,core
