contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Chapter,doi:10.1007/978-3-030-75123-4_10,IoT-Based Pervasive Sentiment Analysis: A Fine-Grained Text Normalization Framework for Context Aware Hybrid Applications,Information and Knowledge in Internet of Things,10.1007/978-3-030-75123-4_10,Springer,2022-01-01,2021-10-07,"The Internet of Things (IoT) integrates physical objects in a networked real-world environment utilizing sensor-based software technologies in order to connect, share and exchange data with other relevant devices or platforms over the Internet. The contemporary business intelligence solutions encourage the IoT industry to reap benefits of big data dependent pervasive semantic orientation of public moods and relevant information shared in textual form using context aware integrated information management, by means of opinion mining through social media-based pervasive hybrid applications. Opinion mining (OM), also referred as pervasive sentiment analysis, is a process of extracting user orientation regarding products, services, businesses and other entities. It aims to classify an opinionative clue into positive or negative based on the sense and semantic category, which remains hidden from the human eye and non-pervasive applications. The microblog and social media-based information is intrinsically hybrid in nature, which may comprise an ample amount of ubiquitous noise. The public opinions can be classified through supervised, semi-supervised, or unsupervised classifiers. Effective sentiment analysis is common to use in data science research, but unfortunately microblogging services like Twitter allows short text for communication, which compels online publishers to post unstructured and short form of opinions towards the target entities. Unstructured and short form of tweets makes it difficult to extract meaningful and accurate sentiment orientation. This limitation can be tackled through an effective preprocessing of text. Text normalization or preprocessing is the process of removing undesired symbols, tags and conversion of unstructured data into valuable information in order to make quality input for efficient sentiment analysis. It is observed that existing preprocessors and text normalizers ignored the informal nature of text especially slangs and subject tags due to scarcity of linguistic resources, which sometimes affects the sentiment accuracy. Therefore, this research proposes a framework for effective preprocessing of text in order to generate quality input. The proposed framework for an effective text preprocessing involves the following: (i). Extraction of text (ii). Removal of undesired tags (iii). Stop word removal (iv). Definition of slang terms (v). Stemming and lemmatization (vi). Part-of-speech tagging (vii). Coreference resolution (viii). Tag identification Informal text (a.k.a. slang) and tag identification are the major contributions of proposed framework. Slangs and Tags play a significant role in the semantic orientation of sentiments and emotions. The performance of proposed framework is evaluated over Twitter dataset using Python natural language toolkit. Experimental setup revealed that the proposed system achieved promising results with an average F1-Measure of 71% and accuracy of 72.4%.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-75123-4_10,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-3071-2_12,Predicting Prior Academic Failure of Students’ Using Machine Learning Approach,International Conference on Innovative Computing and Communications,10.1007/978-981-16-3071-2_12,Springer,2022-01-01,2021-08-29,"In the educational institutions, research on educational data is on demand due to its predictive power and decision-making process using machine learning approach. The present research work can be broadly categorized into two modules. Firstly, data pre-processing directed on real-time data of Government Polytechnic College Ambala, Haryana, India. Secondly, desired data collected along with exploratory data analysis and human-interpretable features is tested on six different classifier to predict student third-year performance as binary classification based on first- and second-year performance, and maximum accuracy of 98.7% was achieved. This generates a chance to identify low-performing students, and accordingly, early interventions can be deployed to prevent them from failing or dropping. This study also suggests a viable direction to use educational data for getting insights by using the machine learning approach.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-3071-2_12,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-4126-8_25,Toward a Social Media Emergency Events Detection Based on Supervised Learning,"Communication, Smart Technologies and Innovation for Society",10.1007/978-981-16-4126-8_25,Springer,2022-01-01,2021-09-28,"Urban emergency events affect many lives and property of people every day. They should be tackled in a fast, precise, and with an early detection goal. In recent years, social media has become popular, turning its users into proper “citizen sensors,” which means a person who, through devices, records incidents on these platforms. Therefore, they become real-time communicators of emergency events. This paper presents a preliminary study based on supervised learning toward social media emergency events detection. This approach has four phases: the first two correspond to data acquisition and preprocessing, where tweets available in a public repository about emergency and non-emergency were taken, filtered, and converted through a process of lemma feature extraction. In the third phase, four most commonly used supervised algorithms were implemented to detect tweets containing emergency events. Finally, using validation metrics and algorithms to detect emergency and non-emergency reported in the tweets was verified. Computational results showed that all evaluated algorithms achieved average rates of 85.38% of accuracy meanwhile that in execution time about 23 seconds, to detect a real emergency event. The best algorithm when trade-offs between execution time and emergency detection capability are considered was the SVM.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-4126-8_25,springer
Chapter,doi:10.1007/978-981-16-6210-2_3,Artificial Intelligence in Agri-Food Systems—An Introduction,"Internet of Things and Analytics for Agriculture, Volume 3",10.1007/978-981-16-6210-2_3,Springer,2022-01-01,2021-11-11,"Artificial intelligence (AI) is a replacement to human intelligence with expanded capabilities that has empowered the industries to handle and drive more complex systems. In agri-food industrial systems, an artificial intelligent system would drive a system towards the set objectives based on the information and knowledge gathered from the consumers, farmers, machines, and domain experts. Machine learning (ML) is the preferred tool to process the knowledge and information for identifying some underlying rules and patterns to support the implementation of the AI based solution. ML-based AI is preferred, because the heterogeneity in consumer preference, biological variability of material characteristics, and unpredictable system behavior presents a highly complex system to be handled by the rule based expert systems. This chapter gives an insight of the fundamentals of machine learning and deep learning with the emphasis on their application for AI implementation in the field of agri-food material handling. Popular ML algorithms viz., support vector machine (SVM), K-nearest neighbor (KNN), artificial neural networks (ANN), decision trees, and convolutional neural networks (CNN) are discussed as feature description methods for classification and recognition, based on the product images. Works from different researchers are cited to demonstrate the potential application of these techniques for solving real-life complex problems.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-6210-2_3,springer
Chapter ConferencePaper,doi:10.1007/978-981-16-3346-1_35,Efficacious Governance During Pandemics Like Covid-19 Using Intelligent Decision Support Framework for User Generated Content,Proceedings of Second Doctoral Symposium on Computational Intelligence,10.1007/978-981-16-3346-1_35,Springer,2022-01-01,2021-09-20,"Jindal, Rajni Malhotra, Anshu During the unprecedented global health emergency caused by the pandemic Covid-19, the governments and nationalized organizations of all countries are struggling to control its spread by enforcing various measures, and also manage its social economic impact through policy intervention. In such critical situation, it becomes imperative to take data driven decisions. User generated content over online social media is an untapped data source that can be leveraged to gain insights for effective governance and decision making; and can also serve as a first hand communication medium between the various government bodies and citizens. In this paper, we have proposed a novel governance framework that leverages user generated content on social media for effective decision making by the authorities. We have used topic modelling techniques to discover social-economic trends, and to understand the issues or concerns of public interest. We used information extraction techniques like noun and verb phrase extraction, and Named Entity Recognition to measure the geographical spread, identify Covid-19 hotspots, assist in contact tracing, and discovering new health conditions. From the available literature, we could not find any intelligent framework for effective governance during pandemics, where user generated content has been utilized for real time decision making. In this paper, we address this real world problem through our proposed decision support System, and demonstrate as a proof-of-concept of how it can be used for effective governance during the pandemics through its prototype implementation.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-3346-1_35,springer
Article,doi:10.1007/s12517-021-08936-w,Retraction Note: Research on artificial intelligence-based mountain mineral composition detection and big data chemistry education,Arabian Journal of Geosciences,10.1007/s12517-021-08936-w,Springer,2021-11-15,2021-11-15,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12517-021-08936-w,springer
Article,doi:10.1007/s11004-021-09982-6,Correction to: Surface Warping Incorporating Machine Learning Assisted Domain Likelihood Estimation: A New Paradigm in Mine Geology Modeling and Automation,Mathematical Geosciences,10.1007/s11004-021-09982-6,Springer,2021-11-11,2021-11-11,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11004-021-09982-6,springer
Article,doi:10.1038/s41592-021-01304-2,Author Correction: DOME: recommendations for supervised machine learning validation in biology,Nature Methods,10.1038/s41592-021-01304-2,Nature,2021-11-01,2021-09-23,,https://www.nature.com/articles/s41592-021-01304-2,springer
Article,doi:10.1007/s00603-021-02657-y,Prediction of Particle Size Distribution Curves of Dump Materials Using Convolutional Neural Networks,Rock Mechanics and Rock Engineering,10.1007/s00603-021-02657-y,Springer,2021-10-15,2021-10-15,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00603-021-02657-y,springer
Article,doi:10.1007/s42514-021-00077-6,Editorial for the special issue on large-scale AI in classical HPC environment and AI for science,CCF Transactions on High Performance Computing,10.1007/s42514-021-00077-6,Springer,2021-09-01,2021-09-20,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s42514-021-00077-6,springer
