id,updated,published,title,summary,database
http://arxiv.org/abs/1810.04107v1,2018-10-09T16:27:46Z,2018-10-09T16:27:46Z,"Enabling Cognitive Smart Cities Using Big Data and Machine Learning:
  Approaches and Challenges","The development of smart cities and their fast-paced deployment is resulting
in the generation of large quantities of data at unprecedented rates.
Unfortunately, most of the generated data is wasted without extracting
potentially useful information and knowledge because of the lack of established
mechanisms and standards that benefit from the availability of such data.
Moreover, the high dynamical nature of smart cities calls for new generation of
machine learning approaches that are flexible and adaptable to cope with the
dynamicity of data to perform analytics and learn from real-time data. In this
article, we shed the light on the challenge of under utilizing the big data
generated by smart cities from a machine learning perspective. Especially, we
present the phenomenon of wasting unlabeled data. We argue that
semi-supervision is a must for smart city to address this challenge. We also
propose a three-level learning framework for smart cities that matches the
hierarchical nature of big data generated by smart cities with a goal of
providing different levels of knowledge abstractions. The proposed framework is
scalable to meet the needs of smart city services. Fundamentally, the framework
benefits from semi-supervised deep reinforcement learning where a small amount
of data that has users' feedback serves as labeled data while a larger amount
is without such users' feedback serves as unlabeled data. This paper also
explores how deep reinforcement learning and its shift toward semi-supervision
can handle the cognitive side of smart city services and improve their
performance by providing several use cases spanning the different domains of
smart cities. We also highlight several challenges as well as promising future
research directions for incorporating machine learning and high-level
intelligence into smart city services.",arxiv
http://arxiv.org/abs/2007.13233v1,2020-07-26T22:39:33Z,2020-07-26T22:39:33Z,Cyber Threat Intelligence for Secure Smart City,"Smart city improved the quality of life for the citizens by implementing
information communication technology (ICT) such as the internet of things
(IoT). Nevertheless, the smart city is a critical environment that needs to
secure it is network and data from intrusions and attacks. This work proposes a
hybrid deep learning (DL) model for cyber threat intelligence (CTI) to improve
threats classification performance based on convolutional neural network (CNN)
and quasi-recurrent neural network (QRNN). We use QRNN to provide a real-time
threat classification model. The evaluation results of the proposed model
compared to the state-of-the-art models show that the proposed model
outperformed the other models. Therefore, it will help in classifying the smart
city threats in a reasonable time.",arxiv
http://arxiv.org/abs/2001.00269v2,2020-04-01T05:40:23Z,2020-01-01T21:21:21Z,"A Smart, Efficient, and Reliable Parking Surveillance System with Edge
  Artificial Intelligence on IoT Devices","Cloud computing has been a main-stream computing service for years. Recently,
with the rapid development in urbanization, massive video surveillance data are
produced at an unprecedented speed. A traditional solution to deal with the big
data would require a large amount of computing and storage resources. With the
advances in Internet of things (IoT), artificial intelligence, and
communication technologies, edge computing offers a new solution to the problem
by processing the data partially or wholly on the edge of a surveillance
system. In this study, we investigate the feasibility of using edge computing
for smart parking surveillance tasks, which is a key component of Smart City.
The system processing pipeline is carefully designed with the consideration of
flexibility, online surveillance, data transmission, detection accuracy, and
system reliability. It enables artificial intelligence at the edge by
implementing an enhanced single shot multibox detector (SSD). A few more
algorithms are developed on both the edge and the server targeting optimal
system efficiency and accuracy. Thorough field tests were conducted in the
Angle Lake parking garage for three months. The experimental results are
promising that the final detection method achieves over 95% accuracy in
real-world scenarios with high efficiency and reliability. The proposed smart
parking surveillance system can be a solid foundation for future applications
of intelligent transportation systems.",arxiv
http://arxiv.org/abs/1807.00464v1,2018-07-02T05:17:15Z,2018-07-02T05:17:15Z,"Leveraging the Channel as a Sensor: Real-time Vehicle Classification
  Using Multidimensional Radio-fingerprinting","Upcoming Intelligent Transportation Systems (ITSs) will transform roads from
static resources to dynamic Cyber Physical Systems (CPSs) in order to satisfy
the requirements of future vehicular traffic in smart city environments.
Up-to-date information serves as the basis for changing street directions as
well as guiding individual vehicles to a fitting parking slot. In this context,
not only abstract indicators like traffic flow and density are required, but
also data about mobility parameters and class information of individual
vehicles. Consequently, accurate and reliable systems that are capable of
providing these kinds of information in real-time are highly demanded. In this
paper, we present a system for classifying vehicles based on their
radio-fingerprints which applies cutting-edge machine learning models and can
be non-intrusively installed into the existing road infrastructure in an ad-hoc
manner. In contrast to other approaches, it is able to provide accurate
classification results without causing privacy-violations or being vulnerable
to challenging weather conditions. Moreover, it is a promising candidate for
large-scale city deployments due to its cost-efficient installation and
maintenance properties. The proposed system is evaluated in a comprehensive
field evaluation campaign within an experimental live deployment on a German
highway, where it is able to achieve a binary classification success ratio of
more than 99% and an overall accuracy of 89.15% for a fine-grained
classification task with nine different classes.",arxiv
http://arxiv.org/abs/1807.02098v2,2018-08-14T23:31:16Z,2018-07-05T17:35:33Z,"MAT-CNN-SOPC: Motionless Analysis of Traffic Using Convolutional Neural
  Networks on System-On-a-Programmable-Chip","Intelligent Transportation Systems (ITS) have become an important pillar in
modern ""smart city"" framework which demands intelligent involvement of
machines. Traffic load recognition can be categorized as an important and
challenging issue for such systems. Recently, Convolutional Neural Network
(CNN) models have drawn considerable amount of interest in many areas such as
weather classification, human rights violation detection through images, due to
its accurate prediction capabilities. This work tackles real-life traffic load
recognition problem on System-On-a-Programmable-Chip (SOPC) platform and coin
it as MAT-CNN- SOPC, which uses an intelligent re-training mechanism of the CNN
with known environments. The proposed methodology is capable of enhancing the
efficacy of the approach by 2.44x in comparison to the state-of-art and proven
through experimental analysis. We have also introduced a mathematical equation,
which is capable of quantifying the suitability of using different CNN models
over the other for a particular application based implementation.",arxiv
http://arxiv.org/abs/2001.05703v1,2020-01-16T09:13:31Z,2020-01-16T09:13:31Z,"A Markerless Deep Learning-based 6 Degrees of Freedom PoseEstimation for
  with Mobile Robots using RGB Data","Augmented Reality has been subject to various integration efforts within
industries due to its ability to enhance human machine interaction and
understanding. Neural networks have achieved remarkable results in areas of
computer vision, which bear great potential to assist and facilitate an
enhanced Augmented Reality experience. However, most neural networks are
computationally intensive and demand huge processing power thus, are not
suitable for deployment on Augmented Reality devices. In this work we propose a
method to deploy state of the art neural networks for real time 3D object
localization on augmented reality devices. As a result, we provide a more
automated method of calibrating the AR devices with mobile robotic systems. To
accelerate the calibration process and enhance user experience, we focus on
fast 2D detection approaches which are extracting the 3D pose of the object
fast and accurately by using only 2D input. The results are implemented into an
Augmented Reality application for intuitive robot control and sensor data
visualization. For the 6D annotation of 2D images, we developed an annotation
tool, which is, to our knowledge, the first open source tool to be available.
We achieve feasible results which are generally applicable to any AR device
thus making this work promising for further research in combining high
demanding neural networks with Internet of Things devices.",arxiv
http://arxiv.org/abs/1907.10323v1,2019-07-24T09:27:11Z,2019-07-24T09:27:11Z,Fairness in Reinforcement Learning,"Decision support systems (e.g., for ecological conservation) and autonomous
systems (e.g., adaptive controllers in smart cities) start to be deployed in
real applications. Although their operations often impact many users or
stakeholders, no fairness consideration is generally taken into account in
their design, which could lead to completely unfair outcomes for some users or
stakeholders. To tackle this issue, we advocate for the use of social welfare
functions that encode fairness and present this general novel problem in the
context of (deep) reinforcement learning, although it could possibly be
extended to other machine learning tasks.",arxiv
http://arxiv.org/abs/2111.02845v1,2021-11-04T13:10:33Z,2021-11-04T13:10:33Z,"Attacking Deep Reinforcement Learning-Based Traffic Signal Control
  Systems with Colluding Vehicles","The rapid advancements of Internet of Things (IoT) and artificial
intelligence (AI) have catalyzed the development of adaptive traffic signal
control systems (ATCS) for smart cities. In particular, deep reinforcement
learning (DRL) methods produce the state-of-the-art performance and have great
potentials for practical applications. In the existing DRL-based ATCS, the
controlled signals collect traffic state information from nearby vehicles, and
then optimal actions (e.g., switching phases) can be determined based on the
collected information. The DRL models fully ""trust"" that vehicles are sending
the true information to the signals, making the ATCS vulnerable to adversarial
attacks with falsified information. In view of this, this paper first time
formulates a novel task in which a group of vehicles can cooperatively send
falsified information to ""cheat"" DRL-based ATCS in order to save their total
travel time. To solve the proposed task, we develop CollusionVeh, a generic and
effective vehicle-colluding framework composed of a road situation encoder, a
vehicle interpreter, and a communication mechanism. We employ our method to
attack established DRL-based ATCS and demonstrate that the total travel time
for the colluding vehicles can be significantly reduced with a reasonable
number of learning episodes, and the colluding effect will decrease if the
number of colluding vehicles increases. Additionally, insights and suggestions
for the real-world deployment of DRL-based ATCS are provided. The research
outcomes could help improve the reliability and robustness of the ATCS and
better protect the smart mobility systems.",arxiv
http://arxiv.org/abs/1711.10941v1,2017-11-29T16:23:38Z,2017-11-29T16:23:38Z,"Intelligent Traffic Light Control Using Distributed Multi-agent Q
  Learning","The combination of Artificial Intelligence (AI) and Internet-of-Things (IoT),
which is denoted as AI-powered Internet-of-Things (AIoT), is capable of
processing huge amount of data generated from a large number of devices and
handling complex problems in social infrastructures. As AI and IoT technologies
are becoming mature, in this paper, we propose to apply AIoT technologies for
traffic light control, which is an essential component for intelligent
transportation system, to improve the efficiency of smart city's road system.
Specifically, various sensors such as surveillance cameras provide real-time
information for intelligent traffic light control system to observe the states
of both motorized traffic and non-motorized traffic. In this paper, we propose
an intelligent traffic light control solution by using distributed multi-agent
Q learning, considering the traffic information at the neighboring
intersections as well as local motorized and non-motorized traffic, to improve
the overall performance of the entire control system. By using the proposed
multi-agent Q learning algorithm, our solution is targeting to optimize both
the motorized and non-motorized traffic. In addition, we considered many
constraints/rules for traffic light control in the real world, and integrate
these constraints in the learning algorithm, which can facilitate the proposed
solution to be deployed in real operational scenarios. We conducted numerical
simulations for a real-world map with real-world traffic data. The simulation
results show that our proposed solution outperforms existing solutions in terms
of vehicle and pedestrian queue lengths, waiting time at intersections, and
many other key performance metrics.",arxiv
http://arxiv.org/abs/1902.05377v1,2019-02-06T08:22:18Z,2019-02-06T08:22:18Z,UrbanFM: Inferring Fine-Grained Urban Flows,"Urban flow monitoring systems play important roles in smart city efforts
around the world. However, the ubiquitous deployment of monitoring devices,
such as CCTVs, induces a long-lasting and enormous cost for maintenance and
operation. This suggests the need for a technology that can reduce the number
of deployed devices, while preventing the degeneration of data accuracy and
granularity. In this paper, we aim to infer the real-time and fine-grained
crowd flows throughout a city based on coarse-grained observations. This task
is challenging due to two reasons: the spatial correlations between coarse- and
fine-grained urban flows, and the complexities of external impacts. To tackle
these issues, we develop a method entitled UrbanFM based on deep neural
networks. Our model consists of two major parts: 1) an inference network to
generate fine-grained flow distributions from coarse-grained inputs by using a
feature extraction module and a novel distributional upsampling module; 2) a
general fusion subnet to further boost the performance by considering the
influences of different external factors. Extensive experiments on two
real-world datasets, namely TaxiBJ and HappyValley, validate the effectiveness
and efficiency of our method compared to seven baselines, demonstrating the
state-of-the-art performance of our approach on the fine-grained urban flow
inference problem.",arxiv
