id,datePublished,description,title,downloadUrl,publisher,doi,journals,database
334908525,2021-01-23T00:00:00,"With the development of deep representation learning, the domain of
reinforcement learning (RL) has become a powerful learning framework now
capable of learning complex policies in high dimensional environments. This
review summarises deep reinforcement learning (DRL) algorithms and provides a
taxonomy of automated driving tasks where (D)RL methods have been employed,
while addressing key computational challenges in real world deployment of
autonomous driving agents. It also delineates adjacent domains such as behavior
cloning, imitation learning, inverse reinforcement learning that are related
but are not classical RL algorithms. The role of simulators in training agents,
methods to validate, test and robustify existing solutions in RL are discussed.Comment: Accepted for publication at IEEE Transactions on Intelligent
  Transportation System",Deep Reinforcement Learning for Autonomous Driving: A Survey,http://arxiv.org/abs/2002.00444,,,,core
334903784,2020-01-17T00:00:00,"Visual object detection is a computer vision-based artificial intelligence
(AI) technique which has many practical applications (e.g., fire hazard
monitoring). However, due to privacy concerns and the high cost of transmitting
video data, it is highly challenging to build object detection models on
centrally stored large training datasets following the current approach.
Federated learning (FL) is a promising approach to resolve this challenge.
Nevertheless, there currently lacks an easy to use tool to enable computer
vision application developers who are not experts in federated learning to
conveniently leverage this technology and apply it in their systems. In this
paper, we report FedVision - a machine learning engineering platform to support
the development of federated learning powered computer vision applications. The
platform has been deployed through a collaboration between WeBank and Extreme
Vision to help customers develop computer vision-based safety monitoring
solutions in smart city applications. Over four months of usage, it has
achieved significant efficiency improvement and cost reduction while removing
the need to transmit sensitive data for three major corporate customers. To the
best of our knowledge, this is the first real application of FL in computer
vision-based tasks","FedVision: An Online Visual Object Detection Platform Powered by
  Federated Learning",http://arxiv.org/abs/2001.06202,,,,core
480043809,2021-01-01T00:00:00,"What we did This report assesses the potential of data-driven approaches to improving transport infrastructure maintenance. It looks at trends in maintenance strategies, explores how the targeted use of data could make them more effective for different types of transport infrastructure, and looks into implications for policy. The report builds on discussions held during workshops with members of the International Transport Forum’s Corporate Partnership Board. What we found Maintenance constitutes an inevitable, albeit often invisible, part of countries’ transport policies. Increased demand for transport infrastructure accelerates infrastructure’s ageing. The effects of climate change further aggravate this. Unsurprisingly, many governments look for transport infrastructure maintenance policies that provide better value for money than current practices offer. Infrastructure maintenance strategies are gradually shifting towards data-driven approaches. They exploit the power of digital technologies, Big Data analytics and advanced forecasting methodologies. Data-driven approaches have gained momentum in transport infrastructure maintenance as a result of four simultaneous technological innovations. First, the development of digital technologies has resulted in the digitalisation of society, industry and transport, which facilitates data sharing. Second, computing technologies have provided the necessary horsepower for running the digital infrastructure. Third, the Internet of Things and sensor technology have increased the potential for automating reporting from sensors that capture and measure new phenomena and provide data sets that flow through digital infrastructures. Fourth, artificial intelligence (AI) has helped to extract information from vast amounts of data, recognising patterns beyond the capacity of individual observation and exploiting digital infrastructure and computing power. Policy makers are beginning to leverage these developments in various ways. Data-driven maintenance is becoming common in many parts of the transport industry. Railroads collect massive amounts of inspection data from different sources using various methods, such as track inspection cars and drones that gather data to model track degradation. However, the rail sector faces numerous challenges for applying Big Data analysis: a lack of specific data analysis tools, high cost of involving stakeholders and heterogeneous data sources. Also, the algorithms currently used to predict the wear of rail infrastructure only work under lab conditions. For road infrastructure, various automated inspection methods exist. These include vision-based methods, laser scanning, ground penetration radar and a combination of these. All are accurate and effective but usually costly. As a result, the coverage and collection frequency can prove insufficient for detectingchanging road conditions. Several pilot studies have tried to use smartphones to collect data on the state of roads to reduce deployment costs for data-driven maintenance. At airports, the demand for accurate real-time data has spawned systems that automatically acquire and process infrastructure data. Advanced technologies now register when deformities develop on runways. They accurately measure moisture levels, temperature, strain and other factors relevant to wear and degradation. Several airports have built, or plan to build, concrete pavements with embedded strain gauges and other sensors to monitor the stress in the material caused by aircraft. Overall, data-driven approaches to infrastructure maintenance promise to enhance fact-based decision making and capabilities to predict the remaining useful life of assets. They can also improve cost efficiency and environmental sustainability. However, some new challenges need to be addressed, notably for the use of AI. AI predicts future behaviour based on historical data. Yet all predictions can prove incorrect where events do not follow past trends. What we recommendScale up and speed up the deployment of data-driven approaches to transport infrastructure maintenance Transport infrastructure maintenance could benefit from a broader and accelerated roll-out of data-driven approaches. These could improve the quality of assets, enhance the life cycles and save costs - especially when the relevant technologies are well-known, such as sensor technologies. In some cases, more tests and pilot projects will be useful, notably where leveraging data technologies for more effective maintenance policies poses specific challenges, as is the case of artificial intelligence in the railway sector. Update regulation and guidelines for transport infrastructure maintenance to facilitate the introduction of more data-driven approaches Current regulations and guidelines apply to condition-based maintenance strategies. These may set requirements that are ill-adapted to data-driven approaches to maintenance and may hamper their roll-out. Policy makers should ensure that the policies applied to data-driven approaches do not stifle their potential benefits. Ensure data-driven infrastructure maintenance approaches follow good practices in data governance The use of data in infrastructure maintenance must be in line with privacy protection laws and regulations. All data should be anonymised and encrypted. Location and trajectory data should be covered by the most robust protection methods, as they create the severest vulnerabilities for citizens. Tools to limit privacy risks include non-disclosure agreements between data users and providers, the involvement of trusted third parties to conduct the data collection and the development of “safe answers” approaches, in which only query results are exchanged instead of raw data. Governments could also broker data-sharing partnerships for the purpose of data-driven maintenance, for instance, between data providers and infrastructure managers. However, it may want to limit such partnerships to data of public interest and require purpose specificity and data minimisation",Data-driven Transport Infrastructure Maintenance,,,,,core
475649405,2020-09-23T00:00:00,"Self-driving cars and autonomous vehicles are revolutionizing the automotive sector, shaping the future of mobility altogether. Although the integration of novel technologies such as Artificial Intelligence (AI) and Cloud/Edge computing provides golden opportunities to improve autonomous driving applications, there is the need to modernize accordingly the whole prototyping and deployment cycle of AI components. This paper proposes a novel framework for developing so-called AI Inference Engines for autonomous driving applications based on deep learning modules, where training tasks are deployed elastically over both Cloud and Edge resources, with the purpose of reducing the required network bandwidth, as well as mitigating privacy issues. Based on our proposed data driven V-Model, we introduce a simple yet elegant solution for the AI components development cycle, where prototyping takes place in the cloud according to the Software-in-the-Loop (SiL) paradigm, while deployment and evaluation on the target ECUs (Electronic Control Units) is performed as Hardware-in-the-Loop (HiL) testing. The effectiveness of the proposed framework is demonstrated using two real-world use-cases of AI inference engines for autonomous vehicles, that is environment perception and most probable path prediction.</p",Cloud2Edge elastic AI framework for prototyping and deployment of AI inference engines in autonomous vehicles,,'MDPI AG',10.3390/s20195450,,core
237183624,2020-01-01T00:00:00,"Parking vehicle is a daunting task and a common problem in many cities around the globe. The search for parking space leads to congestion, frustration and increased air pollution. Information of a vacant parking space would facilitate to reduce congestion and subsequent air pollution. Therefore, aim of the paper is to acquire vehicle occupancy in an open parking lot using deep learning. Thermal camera was used to collect the data during varying environmental conditions such as; sunny, dusk, dawn, dark and snowy conditions. Vehicle detection with deep learning was implemented where image classification and object localization were performed for multi object detection. The dataset consists of 527 images which were manually labelled as there were no pre-labelled thermal images available. Multiple deep learning networks such as Yolo, ReNet18, ResNet50 and GoogleNet with varying layers and architectures were evaluated on vehicle detection. Yolo, GoogleNet and ResNet18 are computationally efficient detectors which took less processing time while Resnet50 produced better detection results compared to other detectors. However, ResNet18 also produced minimal miss rates and is suitable for real time vehicle detection. The detected results were compared with a template of parking spaces and IoU value is used to identify vehicle occupancy information",Deep learning-based vehicle occupancy detection in an open parking lot using thermal camera,,'Institution of Engineering and Technology (IET)',10.1049/iet-its.2019.0468,,core
479510128,2021-04-23T00:00:00,"Federated Learning (FL) is one of the leading learning paradigms for enabling a more significant presence of intelligent applications in networked and Internet of Things (IoT) systems. It consists of individual user devices performing machine learning (ML) models training locally, so that only trained models due to privacy concerns, but not raw data, is transferred through the network for aggregation at the edge or cloud data centers [Li et al. 2019]. Due to the pervasive presence of connected devices such as smart phones and IoT devices in peoples lives, there is a growing concern about how we can preserve and secure users’ information. FL reduces the risk of exposing user information to attackers during transmission over networks or information leakages at the central data centers. Another advantage of FL is scalability and maintainability of intelligent applications in networked and IoT systems. Considering highly distributed environments in which such systems are deployed, collecting and transmitting raw user data for training of ML models at central data centers is a challenging task as it imposes huge workload on the networks and consumes high bandwidth. Training of ML models is distributed over locations and transmitting the trained models for aggregation alleviates these challenges.



Among others, distributed and federated learning have applications in smart healthcare systems, where very sensitive user data is involved, and industrial IoT applications, where the amount of data for training may be too large and cumbersome to transport to central data centers. However, FL has the significant shortcoming of requiring user data to be Independent Identically Distributed (IID) (i.e., users which have similar data statistical distributions and are not mutually dependent) and make reliable predictions for a given group of users aggregated into a single model. IID users have similar statistical features, and thus can be aggregated into the same ML models. Since raw data is not available at the model aggregator, it is necessary to find IID users based solely on their trained machine learning models.



We present a Neural Network-based Federated Clustering mechanism capable of clustering IID with no access to their raw data called Neural-network SIMilarity estimator, NSIM. Such mechanism performs significantly better than competing techniques for neural-network clustering [Pacheco et al. 2021]. We also present an alternative to the FedAvg aggregation algorithm used in traditional FL, which significantly increases the aggregated models’ reliability in terms of Mean Square Error by creating several training models over IID users in a real-world mobility prediction dataset. We observe improvements of up to 97.52% in terms of Pearson correlation between the similarity estimation by NSIM and ground truth based on the LCSS (Longest Common Sub-Sequence) similarity metric, in comparison with other state-of-the-art approaches. Federated Clustering of IID data in different geographical locations can improve performance of early warning applications such as flood prediction [Samikwa et al. 2020], where the data for some locations may have more statistical similarities. We further present a technique for accelerating ML inference in resource-constrained devices through distributed computation of ML models over IoT networks, while preserving privacy. This has the potential to improve the performance of time sensitive ML applications",Distributed and Federated Learning Optimization with Federated Clustering of IID-users,https://core.ac.uk/download/479510128.pdf,,,,core
387288691,2020-12-06T00:00:00,"Autonomous navigation is a long-standing field of robotics research, which
provides an essential capability for mobile robots to execute a series of tasks
on the same environments performed by human everyday. In this chapter, we
present a set of algorithms to train and deploy deep networks for autonomous
navigation of mobile robots using the Robot Operation System (ROS). We describe
three main steps to tackle this problem: i) collecting data in simulation
environments using ROS and Gazebo; ii) designing deep network for autonomous
navigation, and iii) deploying the learned policy on mobile robots in both
simulation and real-world. Theoretically, we present deep learning
architectures for robust navigation in normal environments (e.g., man-made
houses, roads) and complex environments (e.g., collapsed cities, or natural
caves). We further show that the use of visual modalities such as RGB, Lidar,
and point cloud is essential to improve the autonomy of mobile robots. Our
project website and demonstration video can be found at
https://sites.google.com/site/autonomousnavigationros.Comment: 18 pages. arXiv admin note: substantial text overlap with
  arXiv:2007.1594","Autonomous Navigation with Mobile Robots using Deep Learning and the
  Robot Operating System",http://arxiv.org/abs/2012.02417,,,,core
334928216,2020-04-01T00:00:00,"Machine learning models are omnipresent for predictions on big data. One
challenge of deployed models is the change of the data over time, a phenomenon
called concept drift. If not handled correctly, a concept drift can lead to
significant mispredictions. We explore a novel approach for concept drift
handling, which depicts a strategy to switch between the application of simple
and complex machine learning models for regression tasks. We assume that the
approach plays out the individual strengths of each model, switching to the
simpler model if a drift occurs and switching back to the complex model for
typical situations. We instantiate the approach on a real-world data set of
taxi demand in New York City, which is prone to multiple drifts, e.g. the
weather phenomena of blizzards, resulting in a sudden decrease of taxi demand.
We are able to show that our suggested approach outperforms all regarded
baselines significantly","Handling Concept Drifts in Regression Problems -- the Error Intersection
  Approach",http://arxiv.org/abs/2004.00438,'GITO mbH Verlag',10.30844/wi_2020_c1-baier,,core
357337238,2020-04-03T00:00:00,"This paper investigates the use of an automatic system for preparation of gas mixtures in a multivariate calibration problem involving near-infrared (NIR) spectrometric analysis of natural gas. The automatic system is used to prepare calibration mixtures according to a Brereton experimental design, in order to exploit a suitable range of gas concentrations and thus avoid extrapolations in the predictions. These mixtures were employed to build partial-least-squares models for NIR determination of methane, ethane and propane, which are the major components of natural gas. Prediction performance was evaluated by using a separate set of prepared mixtures and natural gas samples with composition analyzed by gas chromatography, as well as a group of certified mixtures. The resulting root-mean-square errors of prediction (RMSEP) values for methane, ethane and propane (3.0, 0.9 and 1.2% mol mol -1 , respectively) were approximately 10 times smaller than the corresponding calibration ranges, with correlations of 0.91, 0.96 and 0.86 between the predicted and reference values. Keywords: natural gas analysis, automatic system for preparation of gas mixtures, multivariate calibration, NIR spectrometry, gas chromatography Introduction The analysis of chemical composition of gas samples is usually carried out by using gas chromatography (GC), which allows accurate determinations of individual gas components even in complex matrices. The widespread use of GC is motivated by the minimization of interference effects as the result of the separation in the chromatographic column. 1 However, the operational costs related to the use of consumables and the low sample throughput associated to the time required by the separation process are inconveniences that should be taken into account. In this context, spectrometric techniques have been proposed as a faster and less costly alternative for gas analysis, 2-4 provided that multivariate calibration is used to compensate for the absence of a separation process. 5 Multivariate calibration methods are aimed at obtaining a mathematical model that relates the instrumental measurements with the chemical composition of the sample. For this purpose, the analyst must gather a representative set of calibration samples with known composition. In the case of gas analysis, calibration mixtures with certified composition can be acquired from specialized suppliers. However, the acquisition of these mixtures can be expensive, which escapes the purpose of using a less costly alternative to GC. Alternatively, real samples with composition determined by GC can be used to build the multivariate calibration model, but the variability in the composition of these samples may not be large enough to build an appropriate model.  In this context, the present work investigates the use of an automatic system for accurate preparation of gas mixtures, which was proposed in a recent paper 7 as an improvement on a simpler architecture which had been developed for non-quantitative screening applications.  Use of an Automatic System in the Preparation of Gas Mixtures for Multivariate Calibration J. Braz. Chem. Soc.  2030    system comprises a set of gas admission valves which are controlled in an automatic manner to achieve the desired partial pressures for each component of the mixture. A piston-driven diaphragm pump is used to circulate the mixture within the system in order to obtain an appropriate homogenization. In Dantas et al.,   7 the operation of the system was validated by preparing binary mixtures of nitrogen with methane, ethane or propane. As a result, the programmed molar fractions of the component gases in the prepared mixtures were found to be in good agreement with the results of GC analysis. However, the system was not tested in an actual application involving the preparation of gas mixtures for multivariate calibration. Within this scope, the present investigation is aimed at demonstrating the applicability of this automatic system in an actual analytical problem involving the simultaneous determination of the major components in natural gas samples by using nearinfrared (NIR) spectrometry and multivariate calibration. Natural gas (NG) is mainly composed by methane (CH 4 ) and heavier hydrocarbons, especially ethane (C 2 H 6 ) and propane (C 3 H 8 ). 9 The development of analytical methods for quality control of this fuel has become an important issue, 10 in view of the growing demand for domestic, commercial, industrial, utility and vehicular use of NG, motivated by both economic gains and environmental impact. 11,12 Within this scope, NIR spectrometry has been proposed as an attractive alternative to the use of GC, with advantages including reduced analysis time and little sample preparation 2,13 in addition to the possibility of deploying portable field instruments. 5 More specifically, the use of NIR spectrometry has been reported for screening analysis 8 and determination of the calorific value of NG. 14 In a broader scope, applications have also been reported in the context of screening analysis of liquefied petroleum gas 15    and quantitative analysis of gases in hydrocarbon mixtures.  18 The prediction performance of the resulting model was evaluated by using a separate set of prepared mixtures, as well as three gas mixtures with certified composition and eight actual NG samples for vehicular use. Experimental Samples Methane (99.9%), ethane (99.0%), propane (99.5%), nitrogen (99.9%) and three mixtures of these gases, with certified composition, were acquired from Linde Gas. The certified mixtures were designed in order to simulate the composition of natural gas samples. All gas contents indicated herein are expressed in % mol mol -1 . In addition, eight real NG samples were acquired at 220 bar from vehicle fuelling stations in the city of João Pessoa (Paraíba, Brazil). These samples were collected by using a lab-made sampling cylinder described elsewhere.  After the NIR spectra of the 67 prepared mixtures were recorded, the Kennard-Stone algorithm 21 was employed to select 45 of these mixtures for use in the calibration of the PLS model. This algorithm is aimed at choosing a representative subset of samples in a near-uniform manner in the space of spectral variables, by avoiding the selection of samples with similar spectra. The remaining 22 mixtures were used as a separate prediction set, together with the 3 mixtures of certified composition and the 8 real NG samples. The composition of these 33 prediction samples was analyzed by GC, in order to evaluate the predictive ability of the PLS model.  Apparatus 8 In addition, the system was connected to a gas chromatograph for the analysis of the prediction samples. The NIR spectra of the samples were acquired by using an FTIR Analyzer (AIT, Analect Diamond 20) in the range 4,000-12,000 cm -1 as the average of 16 scans with a resolution of 2.0 cm -1 . The samples were introduced in Barbosa et al.   2031  Vol. 26, No. 10, 2015 the NIR flow cell at a pressure of 1.5 bar. The overall time required by the NIR analysis was one minute per sample. The experimental procedures were carried out in a laboratory environment with air conditioning (split configuration) and dehumidifier units for temperature and humidity control. The temperature and relative humidity were controlled during the analyses in order to remain within the ranges of 23 ± 1 °C and 55 ± 1%, respectively. The gas mixing system is not fitted with internal temperature sensors. However, the internal pressure is controlled by using a digital manometer with precision of ± 0.001 bar. The pressure measurements provided by the digital manometer are employed by the system software to control the admission of the components of the gas mixture, in order to achieve partial pressures corresponding to the desired molar fractions (% mol mol -1 ). Changes in the internal temperature of the system will not affect the results in a significant manner, because the preparation of the gas mixtures is based on the actual pressure values. The GC analyses were carried out by using a gas chromatograph (GC-2014, Shimadzu) using a 30-meter capillary column (GC-GASPRO) with internal diameter of 0.32 mm. The GC injections were performed in split mode (1:100) at a temperature of 240 °C by using a sampling valve (Valco E60) with a 25 microliter loop. Helium was used as carrier gas with a flow rate of 1.4 mL min -1 . All analyses were carried out in isothermal mode with the column temperature at 90 °C. A flame ionization detector (FID) was employed with temperature set at 250 °C. The total analysis time per run was 10 min. Software Spectral preprocessing, principal component analysis and PLS modelling were carried out by using The Unscrambler 9.7 (CAMO S.A.). The optimal number of factors for each PLS model was determined by using cross-validation with the default settings of the software package. The Kennard-Stone algorithm was implemented in Matlab R2010b. Results and Discussion After a preliminary inspection of the NIR spectra, the range 4,000-6,500 cm -1 was selected in view of its large signal-to-noise ratio compared to other spectral regions. The intervals 4,000-4,600 cm -1 and 5,500-6,500 cm -1 correspond to combination bands and first overtones of CH, CH 2 , CH 3 related to the main hydrocarbons (methane, ethane, propane) of the gas samples. 22,23 Figure 2a presents the NIR spectra of three mixtures prepared in this study. In order to remove the baseline features, first-derivative spectra were obtained by using the Savitzky-Golay method with a 2 nd order polynomial and a 3-point window.  An exploratory analysis of the spectral data was carried out by using principal component analysis (PCA). As can be seen in  The PLS models for methane, ethane and propane were built by using 1, 4 and 5 factors, respectively. The three elliptical joint confidence regions (EJCRs) (obtained on the basis of a linear regression between the reference and predicted gas concentrations) are presented in  As can be seen in  Conclusions This paper investigated the use of an automatic system for preparation of gas mixtures in a multivariate calibration problem involving NIR spectrometric analysis of natural gas. The use of prepared calibration mixtures is of value to form an adequate envelope around the samples to be analyzed, which is convenient to avoid extrapolations in the model predictions. For this purpose, the automatic system is convenient to reduce the manual workload in the preparation of the mixtures and to minimize the possibility of human errors. The NIR spectra of 45 prepared mixtures in the range 4,000-6,500 cm -1 was employed to build PLS models for determination of methane, ethane and propane, which are the major components of natural gas. The prediction performance of the resulting models was evaluated by using a separate set of 22 prepared mixtures and 8 natural gas samples, with composition analyzed by gas chromatography, as well as 3 certified mixtures. Only the results associated to reference values larger than the limit of quantification were considered.The resulting RMSEP values for methane, ethane and propane (3.0, 0.9 and 1.2% mol mol -1 , respectively) were approximately 10 times smaller than the corresponding calibration ranges, with correlations of 0.91, 0.96 and 0.86 between the predicted and reference values. No systematic error was observed. In addition, the prediction errors for the certified mixtures and real NG samples were comparable to the errors obtained for the prepared mixtures. The results of this investigation reveal that the automatic system for preparation of gas mixtures is indeed of value for use in multivariate calibration applications. Supplementary Information Supplementary data (tables of concentrations of the components in the mixtures) are available free of charge at http://jbcs.sbq.org.br as PDF file",Use of an Automatic System in the Preparation of Gas Mixtures for Multivariate Calibration: A Case Study Involving NIR Analysis of Natural Gas,,,,,core
416677994,2021-01-01T00:00:00,"The railway transport system is critical infrastructure that is exposed to numerous manmade and natural threats, thus protecting this physical asset is imperative. Cyber security, privacy, and dependability (SPD) are also important, as the railway operation relies on cyber-physical systems (CPS) systems. This work presents SPD-Safe—an administration framework for railway CPS, leveraging artificial intelligence for monitoring and managing the system in real-time. The network layer protections integrated provide the core security properties of confidentiality, integrity, and authentication, along with energy-aware secure routing and authorization. The effectiveness in mitigating attacks and the efficiency under normal operation are assessed through simulations with the average delay in real equipment being 0.2–0.6 s. SPD metrics are incorporated together with safety semantics for the application environment. Considering an intelligent transportation scenario, SPD-Safe is deployed on railway critical infrastructure, safeguarding one outdoor setting on the railway’s tracks and one in-carriage setting on a freight train that contains dangerous cargo. As demonstrated, SPD-Safe provides higher security and scalability, while enhancing safety response procedures. Nonetheless, emergence response operations require a seamless interoperation of the railway system with emergency authorities’ equipment (e.g., drones). Therefore, a secure integration with external systems is considered as future work",SPD-safe: Secure administration of railway intelligent transportation systems,https://core.ac.uk/download/416677994.pdf,'MDPI AG',10.3390/electronics10010092,,core
