doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/SBESC49506.2019.9046078,A Linked Data-Based Semantic Information Model for Smart Cities,IEEE,Conferences,"Smart cities typically involve a myriad of inter-connected systems intended to promote better management of urban and natural resources of cities, thereby contributing to the improve the quality of life of citizens. The heterogeneity of domains, systems, data, and relationships among them requires defining a data model able to express information in a flexible, extensible way while promoting interoperability between systems and applications. Furthermore, smart city systems can benefit from georeferenced information to allow for more effective actions over the real-world urban space. Aiming at tackling challenges related to data heterogeneity while considering georeferenced information, this work introduces LGeoSIM, a semantic-based information model for smart cities as means of fostering interoperability and powerful automated reasoning upon unambiguous information. LGeoSIM relies on the recent NGSI-LD Specification, thereby encompassing the principles of Linked Data to allow semantically defining information through ontologies and their interconnection. This paper also presents an implementation of LGeoSIM within Smart Geo Layers, a geographic-layered data middleware platform conceived to integrate data provided by heterogeneous sources in a smart city environment.",https://ieeexplore.ieee.org/document/9046078/,2019 IX Brazilian Symposium on Computing Systems Engineering (SBESC),19-22 Nov. 2019,ieeexplore
10.1109/MSM49833.2020.9201644,A Preliminary Investigation of an Autonomous Vehicle Validation Infrastructure for Smart Cities,IEEE,Conferences,"The research and development of autonomous vehicle has entered the era of commercialization. While the vehicle self-driving technology has been growing rapidly, the validation for autonomous vehicle in terms of driving model, human factor model and traffic model is still maturing. Most of previous infrastructures are mainly focused on validation of those three models separately resorting either on real driving test at physical infrastructure or software simulation in virtualized infrastructure. However, neither the real driving test can cover all possible scenarios of autonomous driving and human factors, nor the virtualized software simulation can generate a feasible model for practical on/off-road driving. Furthermore, future autonomous transport in smart cities requires comprehensive validation. In order for autonomous vehicles to meet the autonomous transport in such complex traffic environment, an integrated testing and simulation infrastructure has been built targeting the systematic validation for autonomous vehicles: the Multi-User Environment for Autonomous Vehicle Innovation (MUEAVI). A preliminary investigation of a new autonomous vehicle validation infrastructure that can serve a multitude of research projects for smart city is presented.",https://ieeexplore.ieee.org/document/9201644/,2020 International Conference Mechatronic Systems and Materials (MSM),1-3 July 2020,ieeexplore
10.1109/ISC2.2017.8090817,A predictive policing application to support patrol planning in smart cities,IEEE,Conferences,"Recently, patrol planning and other predictive policing strategies were improved for Smart Cities applications. In such public safety context, some police departments have been recording crime events in their databases to compose better strategies to understand and predict crime incidence. This work presents the ROTA-Analytics, a web-based application which aims to provide crime incidence forecasting as outputs. This crime incident forecasting helps patrol supervisors to elaborate the list of predefined locations (points) and staying time at which each police vehicle must patrol. ROTA-Analytics supports multiple machine and statistical learning methods selection to create an environment of crime prediction in different areas of the city. All the phases from time series creation to the automatic machine selection are discussed and exemplified with real data from Natal City in Brazil. Finally, we evaluated our architecture by using two regression strategies for different spatial granularity levels.",https://ieeexplore.ieee.org/document/8090817/,2017 International Smart Cities Conference (ISC2),14-17 Sept. 2017,ieeexplore
10.1109/HONET.2019.8907997,AR-IoMT Mental Health Rehabilitation Applications for Smart Cities,IEEE,Conferences,"Augmented Reality (AR) applications provide major opportunities for healthcare. Mental health rehabilitation in particular is an area that stands to gain from innovations in this field. Debilitating medical conditions related to traumatic brain injuries, aging, and drug abuse, can take advantage from the benefits that these applications provide. Coupled with IoMT (Internet of Medical Things) sensors and machine learning, effective system implementations that predict mental rehabilitation outcomes can be built. This can help in administering better treatment protocols. The collective use of these technologies for therapeutic approaches to alter patient behaviour at a physiological level falls in the emerging field of Digital Therapeutics (DT). In this paper, the current state of AR for mental health rehabilitation is described and used to motivate the implementation of a proof of concept mental DT rehabilitation system developed by us. Similar AR-IoMT systems can reduce inpatient counts in smart cities where an increase in aging populations is already a concern, and existing healthcare resources may be clogged up due to minor inpatient health checkups. In addition, the paper discusses the deployment challenges of the implemented system, which include the lack and need thereof of a standardized protocol for IoMT data collection and analysis for cross interoperability across different healthcare providers and vendors.",https://ieeexplore.ieee.org/document/8907997/,2019 IEEE 16th International Conference on Smart Cities: Improving Quality of Life Using ICT & IoT and AI (HONET-ICT),6-9 Oct. 2019,ieeexplore
10.1109/icABCD49160.2020.9183832,Adaptation of Smart Cities in the South African Internet of Things Context,IEEE,Conferences,"Towards the end of 2030, the global population is estimated to be around 8.5 billion. Half of the human population live today in cities and these cities continues to grow exponential growth as people migrate to urban areas in search of a better life. As a result, urban resources are being stretched to their limits to accommodate the population growth. Smart city is a paradigm to manage the difficulty of urban living, upsurge competence, decrease expenditures and advance the worth of its inhabitant's daily life. Countries across the world are adapting to smart cities as it becomes highly critical to explore innovative solutions available to make cities more efficient and smarter. South Africa (SA) needs to leapfrog in terms of the competition through smart cities. SA cities have unique challenges stemming from years of apartheid and neglect of infrastructure. When compared to established cities such as Amsterdam, Barcelona, Copenhagen, London and New York, SA cities are lagging far behind the competitive curve. However, can be mitigated as SA cities through innovative adoption of smart cities can become globally competitive. Furthermore, through the implementation of advanced technologies and lessons learned from established cities that the anticipated growth need not be incremental, but rather will be exponential in many aspects. In light of the above facts, this paper looks into the adaptation of smart cities from a SA perspective by leveraging on the Internet of Things (IoT) technologies for different feasible use cases. The smart city initiatives in SA are laid out and the priority use cases are stream lined in lieu of the national priorities as stipulated in the National Development Plan (NDP). A smart city framework for SA is further proposed and the vitally important use cases in the SA context are identified and elaborated. The use cases are then evaluated based on the national Key Performance Indicators (KPIs). The scope for future directions and conclusions are sketched towards the end, with an optimism that the current work will be an eye-opener and adaptable to other developing countries.",https://ieeexplore.ieee.org/document/9183832/,"2020 International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems (icABCD)",6-7 Aug. 2020,ieeexplore
10.1109/BMSB53066.2021.9547185,An Optimal and Lightweight Convolutional Neural Network for Performance Evaluation in Smart Cities based on CAPTCHA Solving,IEEE,Conferences,"Multimedia Internet of Things (IoT) devices, especially, the smartphones are embedded with sensors including Global Positioning System (GPS), barometer, microphone, accelerometer, etc. These sensors working together, present a fairly complete picture of the citizens' daily activities, with implications for their privacy. With the internet, Citizens in Smart Cities are able to perform their daily life activities online with their connected electronic devices. But, unfortunately, computer hackers tend to write automated malicious applications to attack websites on which these citizens perform their activities. These security threats sometime put their private information at risk. In order to prevent these security threats on websites, Completely Automated Public Turing test to tell Computers and Humans Apart (CAPTCHAs) are generated, as a form of security mechanism to protect the citizens' private information. But with the advancement of deep learning, text-based CAPTCHAs can sometimes be vulnerable. As a result, it is essential to conduct performance evaluation on the CAPTCHAs that are generated before they are deployed on multimedia web applications. Therefore, this work proposed an optimal and light-weight Convolutional Neural Network (CNN) to solve both numerical and alpha-numerical complex text-based CAPTCHAs simultaneously. The accuracy of the proposed CNN model has been accelerated based on Cyclical Learning Rates (CLRs) policy. The proposed CLR-CNN model achieved a high accuracy to solve both numerical and alpha-numerical text-based CAPTCHAs of 99.87% and 99.66%, respectively. In real-time, we observed that the speed of the model has increased, the model is lightweight, stable, and flexible as compared to other CAPTCHA solving techniques. The result of this current work will increase awareness and will assist multimedia security Researchers to continue and develop more robust text-based CAPTCHAs with their security mechanisms capable of protecting the private information of citizens in Smart Cities.",https://ieeexplore.ieee.org/document/9547185/,2021 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),4-6 Aug. 2021,ieeexplore
10.1109/MIUCC52538.2021.9447632,Edge/Fog-based Architecture Design for Intelligent Surveillance Systems in Smart Cities: A Software Perspective,IEEE,Conferences,"Surveillance systems are critical for the growth of smart cities. These systems can be thought of as the cities' vision organs. It is anticipated that smart cities will produce a massive amount of data. Thus, to ensure the safety of its people, it is essential to conduct an efficient and real-time analysis of these data in order to receive timely responses in the event of catastrophic incidents. As a result, the process of transferring this vast data to the cloud for processing is relatively slow. In this paper, we present the software perspective to design and implement EFISS, a multilayer computing-based architecture for an intelligent, resource-efficient, and real-time surveillance system for smart cities. The framework, which is comprised of edge-fog computational layers, would help in the prevention of crime and the prediction of criminal incidents in smart cities. The EFISS can identify and validate crimes in real-time, using artificial intelligence (AI) and an event-driven method to transmit crime data to protective services and police units, allowing rapid intervention while conserving resources.",https://ieeexplore.ieee.org/document/9447632/,"2021 International Mobile, Intelligent, and Ubiquitous Computing Conference (MIUCC)",26-27 May 2021,ieeexplore
10.1109/ICAIS50930.2021.9395970,Garbage Zero (Garb0): An IoT Framework for Effective Garbage Management in Smart Cities,IEEE,Conferences,"Today, there is a significant trend of blending optimized waste management strategies with low power, low-cost Internet of Things (IoT) solutions. This paper discusses and investigates Garbage Zero (Garb0), an indigenous product developed for outdoor garbage bins. Garb0 aims at developing a power efficient IoT based real-time solid waste monitoring solution that helps cities to optimize their waste collection and maintain clean and green environment. The Garb0 sensor module can be installed within public garbage bins to provide real time fill level data. The related information regarding the current fill level of the garbage bin will be transmitted to a cloud using the Low Power Wide Area Networks (LPWAN) based Long Range (LoRa) technology [1][2], which will be further processed and forwarded to garbage collector's mobile application and to the municipal dashboard for updating the status. Optimized schedule and route for collecting the garbage from the garbage bins will be generated on the garbage collector's app and accordingly directs the driver to follow the most efficient route. The main focus of this paper is on the hardware and software architecture implemented to achieve low cost, low power consumption and long battery life.",https://ieeexplore.ieee.org/document/9395970/,2021 International Conference on Artificial Intelligence and Smart Systems (ICAIS),25-27 March 2021,ieeexplore
10.1109/GLOBECOM42002.2020.9348202,Image Download and Rate Allocation of Internet-of-Things Analytics at Gateways in Smart Cities,IEEE,Conferences,"Internet-of-Things (IoT) devices are connected to the Internet through a gateway, which can host IoT analytics encapsulated in containers to convert raw sensor data into more condensed processed data. In this paper, we study two research problems to maximize the overall Quality-of-Service (QoS) level of all IoT analytics that run on both data center servers and gateways. The first problem is to select additional IoT analytics to deploy on a gateway to save upload bandwidth due to transmitting raw sensor data. The second problem is to allocate the residue upload bandwidth among all IoT analytics to maximize the overall QoS level. We propose several algorithms to solve these two research problems. We have implemented real testbeds to evaluate our proposed system and algorithms. Our experiment results reveal that the proposed algorithms: (i) capitalize the download bandwidth and storage space of the gateway for saving the upload bandwidth consumption and (ii) achieve high QoS levels without overloading the network and gateway.",https://ieeexplore.ieee.org/document/9348202/,GLOBECOM 2020 - 2020 IEEE Global Communications Conference,7-11 Dec. 2020,ieeexplore
10.1109/NOF.2016.7810114,InterSCity: Addressing Future Internet research challenges for Smart Cities,IEEE,Conferences,"The Future Internet will integrate large-scale systems constructed from the composition of thousands of distributed services, while interacting directly with the physical world via sensors and actuators, which compose the Internet of Things. This Future Internet will enable the realization of the Smart Cities vision, in which the urban infrastructure will be used to its fullest extent to offer a better quality of life for its citizens. Key to the efficient and effective realization of Smart Cities is the scientific and technological research covering the multiple layers that make up the Internet. This paper discusses the research challenges and initiatives related to Future Internet and Smart Cities in the scope of the InterSCity project. The challenges and initiatives are organized in three fronts: (1) Networking and High-Performance Distributed Computing; (2) Software Engineering for the Future Internet; and (3) Analysis and Mathematical Modeling for the Future Internet and Smart Cities. InterSCity aims at developing an integrated open-source platform containing all the major building blocks for the development of robust, integrated, sophisticated applications for the smart cities of the future.",https://ieeexplore.ieee.org/document/7810114/,2016 7th International Conference on the Network of the Future (NOF),16-18 Nov. 2016,ieeexplore
