contentType,identifier,title,publicationName,doi,publisher,publicationDate,onlineDate,abstract,url,database
Article,doi:10.1038/s43588-021-00080-5,Large-scale transport simulation by deep learning,Nature Computational Science,10.1038/s43588-021-00080-5,Nature,2021-05-01,2021-05-14,,https://www.nature.com/articles/s43588-021-00080-5,springer
Article,doi:10.1007/s11036-020-01702-4,Editorial: Machine Learning and Big Data Analytics for IoT-Enabled Smart Cities,Mobile Networks and Applications,10.1007/s11036-020-01702-4,Springer,2021-02-01,2021-01-07,,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11036-020-01702-4,springer
Article,doi:10.1038/s41566-020-00736-0,Weighing in on photonic-based machine learning for automotive mobility,Nature Photonics,10.1038/s41566-020-00736-0,Nature,2021-02-01,2021-01-29,,https://www.nature.com/articles/s41566-020-00736-0,springer
Article,doi:10.1007/s11042-021-11146-x,Monitoring and surveillance of urban road traffic using low altitude drone images: a deep learning approach,Multimedia Tools and Applications,10.1007/s11042-021-11146-x,Springer,2021-06-16,2021-06-16,"In the contemporary era, the global explosion of traffic has created many eye-catching concerns for policymakers. This not only enhances pollution but also leads to several road accident fatalities which may be greatly reduced by proper monitoring and surveillance. Further, with the advent of UAV technology and due to the incompatibility of traditional techniques, surveillance has become one of UAVs prominent application domains. However, it requires algorithmic analysis of aerial images which becomes extremely challenging due to multi-scale rotating objects with large aspect ratios, extremely imbalanced categories, cluttered background, and birds-eye view. Therefore, this article presents the novel aerial image traffic monitoring and surveillance algorithms based on the most advanced and popular DL object detection models (Faster-RCNN, SSD, YOLOv3, and YOLOv4) using the AU-AIR dataset. This dataset is exceedingly imbalanced and to resolve this issue, another 500 images have been grabbed by web-mining techniques. The novel contribution of this work is two-fold. First, this article scientifically distinguishes the inappropriateness of ground-view images for aerial object detection. Second, a regress comparison of these algorithms has been made to investigate their effectiveness. Extensive experimental analysis endorses the efficiency of YOLOv4 as it outperforms the other developed models by a minimum mAP margin of 88%. Also, more than 6 times high detection speed and greater adaptability with stronger detection robustness ensure its real-time practical implementation.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11042-021-11146-x,springer
Article,doi:10.1007/s12517-021-07463-y,RETRACTED ARTICLE: Neural network-based urban green vegetation coverage detection and smart home system optimization,Arabian Journal of Geosciences,10.1007/s12517-021-07463-y,Springer,2021-06-24,2021-06-24,"Artificial neural networks are usually simplified to neural networks in a broad sense, and have been a hot topic in the field of intelligence applications since 1980. Neural network is a non-linear system that simulates the brain information processing algorithm. It has the functions of energy distributed information storage, parallel processing, and adaptive learning. Its structure is to connect and construct specific models through simple neural processing devices to form a network of multiple connection methods. In the past 10 years, the development speed of neural networks has been in-depth and extensively developed through intelligent application software and innovative technologies. It has been able to solve many practical projects in the fields of crustal learning, pattern recognition, signal processing, modeling technology, and system control. Since the reform and opening up, the area of urban green space has continued to increase, which has become one of the characteristics of major changes in the urban land structure of modern China. The ratio of green space in construction areas is one of the Chinese government’s benchmarking indicators for the level of urban green space construction, and it is an important data expression of the urban human settlement level and living environment. In China’s new urbanization process, increasing the ratio of green space in construction areas is an important requirement. At the same time, with the rapid development of modern science and technology, mankind has entered the information age from the industrial age. People who are pursuing a better living environment and quality life have appeared in smart home systems. The smart home system is a comprehensive management system that can connect various sensors, electronic and electrical equipment through the network to realize home environment monitoring, home equipment automation, and residential safety early warning.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/s12517-021-07463-y,springer
Chapter,doi:10.1007/978-3-030-60922-1_5,An Overview of the Machine Learning Applied in Smart Cities,Smart Cities: A Data Analytics Perspective,10.1007/978-3-030-60922-1_5,Springer,2021-01-01,2020-12-12,"Smart cities are a rapidly evolving reality that is emerging as a path to be followed in the development of urban centers outline at the sustainability and quality of life of its inhabitants worldwide. They surprise us with the creativity of the solutions for more efficient use of available resources, reducing the impact of our lives on the environment through digital transformation. Machine Learning is a technology that allows models to be trained on data sets before they are implemented, it is a type of algorithm that improves automatically and gradually with the number of experiments in which it is placed to train. Where computers can learn according to the expected responses through associations of different data, which can be images, numbers, and everything that this technology can identify. This artificial intelligence can also stimulate changes in utility business models, which means that users can benefit from better services resulting in greater mobility and comfort. Solving connected problems related to the optimization of urban planning and integrating city services for personalized results, concerning the use of specific services by the inhabitants. In this context, this chapter is motivated to provide a scientific contribution related to the discussion and overview of Smart Cities and Machine Learning, addressing their key points and their importance, their interconnection, and use, with a precise bibliographic background, singularizing and stereotyping the competence of technologies.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-60922-1_5,springer
Chapter,doi:10.1007/978-3-030-76387-9_2,Cyber-Physical-Social Systems: An Overview,Smart Connected World,10.1007/978-3-030-76387-9_2,Springer,2021-01-01,2021-09-28,"For the past few years, devices or systems have been transformed into smart connected devices or systems, which are widely named as Internet of Things (IoT) and cyber-physical systems (CPSs). Integrating social networks to CPSs results in a new paradigm called cyber-physical-social systems (CPSSs). CPSSs include the human-to-device communications and device-to-device communications and create continuous interaction of human-device relationships. The fifth-generation (5G) wireless communication networks, wireless sensor networks, big data, artificial intelligence (AI), virtual reality (VR), and augmented reality (AR) are the supporting technologies of CPSSs. This chapter discusses the concept of the CPSSs, their supporting technologies, and the implementation of CPSSs in different domains. It also observes current challenges such as privacy concerns, ethical issues, safety, security, interdependence, and compatibility.",http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-76387-9_2,springer
Chapter ConferencePaper,doi:10.1007/978-3-030-86271-8_39,Hybrid Deep Learning Approach for Efficient Outdoor Parking Monitoring in Smart Cities,Hybrid Artificial Intelligent Systems,10.1007/978-3-030-86271-8_39,Springer,2021-01-01,2021-09-15,"The problem of transport is one of the fundamental problems in today's large cities and one of the fundamental pillars on which work is being done under the paradigm of smart cities. Although the use of public transport is encouraged in cities, there are always problems related to private transport parking availability. This work focuses on the development of an algorithm for monitoring parking spaces in open-air car parks, which is effective and simple from the point of view of the costs required for its deployment and robust in detecting the state of the car park. To this end, an algorithm based on Deep Learning has been developed for processing the status images of different car parks, obtaining real-time information on the real status of the car park, without the need for extensive deployment of devices in the car park. The proposed solution has been shown to outperform other image-based solutions for the same problem.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-86271-8_39,springer
Chapter,doi:10.1007/978-3-030-72065-0_18,Artificial Intelligence Techniques in Smart Cities Surveillance Using UAVs: A Survey,Machine Intelligence and Data Analytics for Sustainable Future Smart Cities,10.1007/978-3-030-72065-0_18,Springer,2021-01-01,2021-06-01,"The security and urbanization challenge is expected to rise to 90% by 2050, and to leverage existing resources, technology is the solitary means to cope with this anticipated raise in entail. The Smart City is focused on the smooth convergence of Information and Communication Technology with the most technological innovations like well-connected home and equipment. Smart city augments the lifestyle of its residents by providing efficacious infrastructure and enhanced security. Surveillance is a recurring and monotonous assignment that descends the performance of human guards when continued for a longer period of time. Unmanned Aerial Vehicles (UAVs) or Drones can be deployed as security cameras to augment human guards. It can be deployed to track intruders, monitor unusual activities such as theft, violence and unprecedented corona-virus pandemic scenarios. UAV based visual surveillance in Smart cities, produces a huge amount of multimedia data. The need to process and analyze the data automatically in real-time is critical. Artificial Intelligence and Deep learning imitates human intelligence and provides excellent analytical capabilities to learn about complex data obtained in real environments. The integrated solution of Deep learning technology with the UAVs an electronic eye-in-the-sky has leveraged the capability of detection, recognition and deterrence in a scalable surveillance system. A comprehensive review on the potential benefits of UAVs and its applications for surveillance in smart cities has been presented. This chapter elaborates seamless integration of UAVs and Deep Learning technologies solutions for smart city surveillance. The paper concludes with a description of main challenges for the application of UAVs in deep learning solutions.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-72065-0_18,springer
Chapter,doi:10.1007/978-3-030-59897-6_11,Internet of Things and Artificial Intelligence-Enabled Secure Autonomous Vehicles for Smart Cities,Automotive Embedded Systems,10.1007/978-3-030-59897-6_11,Springer,2021-01-01,2021-04-25,"The ever-increasing count of vehicles wrecks several cities in the global scenario. Smart cities have evolved as a winning strategy that helps to cope up with this issue and overcome the urban problems such as pollution, traffic, waste management, optimization of energy consumption, and so on. Technologies such as machine learning (ML), Internet of Things (IoT), artificial intelligence (AI), big data analytics, cloud computing, and smart sensors serve as tools that provide enormous possibilities in the smart revolution. Several researchers are working on developing a complete system that performs information gathering, alternate identification, smart predictions, review of choices, decision-making, and taking suitable actions. These systems impose various challenges in terms of governance, economy, mobility, environment, people, and living. This chapter provides an in-depth analysis of these challenges in smart cities with respect to autonomous vehicles and also offers real-time solutions to overcome these challenges. A comparative analysis of the existing algorithms is done, and the optimal algorithms that can help in implementation of the system with a user-friendly approach and linguistic flexibility are proposed. Factors such as use of unmanned aerial vehicles (UAV), vehicle-to-vehicle and vehicle-to-infrastructure communication, deployment of location and path planning, data routing, dynamic coordination, data transmission, privacy, and cybersecurity are also considered while designing the system.",http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-59897-6_11,springer
