paperId,url,title,abstract,venue,year,id,type
7f4d129454480cea7683c5ed610c128876b6e12f,https://www.semanticscholar.org/paper/7f4d129454480cea7683c5ed610c128876b6e12f,Technology enablers for the implementation of Industry 4.0 to traditional manufacturing sectors: A review,"The traditional manufacturing sectors (footwear, textiles and clothing, furniture and toys, among others) are based on small and medium enterprises with limited capacity on investing in modern production technologies. Although these sectors rely heavily on product customization and short manufacturing cycles, they are still not able to take full advantage of the fourth industrial revolution. Industry 4.0 surfaced to address the current challenges of shorter product life-cycles, highly customized products and stiff global competition. The new manufacturing paradigm supports the development of modular factory structures within a computerized Internet of Things environment. With Industry 4.0, rigid planning and production processes can be revolutionized. However, the computerization of manufacturing has a high degree of complexity and its implementation tends to be expensive, which goes against the reality of SMEs that power the traditional sectors. This paper reviews the main scientific-technological advances that have been developed in recent years in traditional sectors with the aim of facilitating the transition to the new industry standard.",Comput. Ind.,2021,1,filtered
f93f4b617bc453a8c7d0891c3c6599a653541f2c,https://www.semanticscholar.org/paper/f93f4b617bc453a8c7d0891c3c6599a653541f2c,"Crop-planning, making smarter agriculture with climate data","Agriculture has an important tradition in Latin America and large areas have maintained stable conditions for decades with constant practices and yield. Planning processes in those areas have not suffered any change for years and some countries like Colombia have not modified its rural policies in the last three of four decades; on the other hand, natural and environmental conditions have changed dramatically in the last years as a consequence of climate change and climate variability modifying established practices for traditional crops. Since farmers have suffered several effects on its production process they have realized the importance of supporting future actions on reliable climate data, scientific development have also grown in last decades and planning offices are looking for better practices, today' scientists and planning offices are trying to link all this reality in a new paradigm called “Climate Smart Agriculture”. The Research program on Climate Change, Agriculture and Food Security - CCAFS follows this interest of linking its research results with open data sources, software developers and Latin American problems therefore in 2014 they performed a hackathon in Lima to develop new applications that help farmers to support their decision on scientific information. “Crop-planning” is one product designed and developed at CCAFS's hackathon conceived as a worldwide platform for sharing and sowing crop calendars and agro-climate data, it compiles open dataset like historical production, land cover, local climate conditions and integrates an interface for crowdsourced collection of dates of agricultural activities, it is designed to offer easy access to relevant data and updated crop calendars from farmers and also share management practices from local authorities. Although it is farmer oriented, principal users are technical assistants that deal with the application and share knowledge with farmers, they will use their experience to warranty knowledge management and overcome technical difficulties of web and mobile platforms in rural areas.",2015 Fourth International Conference on Agro-Geoinformatics (Agro-geoinformatics),2015,2,filtered
b9471a96b47736fcf142c1da53f927b51e59706f,https://www.semanticscholar.org/paper/b9471a96b47736fcf142c1da53f927b51e59706f,3D camera-based markerless navigation system for robotic osteotomies,"Abstract A markerless system for the registration of a bone’s pose is presented which reduces the setup time and the damage to the bone to a minimum. For the registration, a particle filter is implemented which is able to estimate a bone’s pose using depth images. In a phantom study, the pose of 3D-printed bones has been estimated at a rate of 90 Hz and with a precision of a few millimeters. The particle filter is stable under partial occlusions and only diverges when the bone is fully occluded. During a cadaver study, the preoperatively planned cutting edges have been projected as augmented reality (AR) templates onto the hip bones of five cadavers. By cutting manually along the AR templates, surgeons were able to extract ten transplants in the same time as with conventional osteotomy templates. Using the presented navigation system can save hours spent on the construction and production of conventional templates. In conclusion, this work represents one step towards a broader acceptance of robotic osteotomies.",Autom.,2020,3,filtered
26cfc16bcbb7ec8dce6a3dc410d14cd2cf383623,https://www.semanticscholar.org/paper/26cfc16bcbb7ec8dce6a3dc410d14cd2cf383623,Contextual Reinforcement Learning of Visuo-tactile Multi-fingered Grasping Policies,"Using simulation to train robot manipulation policies holds the promise of an almost unlimited amount of training data, generated safely out of harm's way. One of the key challenges of using simulation, to date, has been to bridge the reality gap, so that policies trained in simulation can be deployed in the real world. We explore the reality gap in the context of learning a contextual policy for multi-fingered robotic grasping. We propose a Grasping Objects Approach for Tactile (GOAT) robotic hands, learning to overcome the reality gap problem. In our approach we use human hand motion demonstration to initialize and reduce the search space for learning. We contextualize our policy with the bounding cuboid dimensions of the object of interest, which allows the policy to work on a more flexible representation than directly using an image or point cloud. Leveraging fingertip touch sensors in the hand allows the policy to overcome the reduction in geometric information introduced by the coarse bounding box, as well as pose estimation uncertainty. We show our learned policy successfully runs on a real robot without any fine tuning, thus bridging the reality gap.",ArXiv,2019,4,filtered
c138133577e40f56f64be95ab493a678bc6ee325,https://www.semanticscholar.org/paper/c138133577e40f56f64be95ab493a678bc6ee325,"Measuring User Experience, Usability and Interactivity of a Personalized Mobile Augmented Reality Training System","Innovative technology has been an important part of firefighting, as it advances firefighters’ safety and effectiveness. Prior research has examined the implementation of training systems using augmented reality (AR) in other domains, such as welding, aviation, army, and mathematics, offering significant pedagogical affordances. Nevertheless, firefighting training systems using AR are still an under-researched area. The increasing penetration of AR for training is the driving force behind this study, and the scope is to analyze the main aspects affecting the acceptance of AR by firefighters. The current research uses a technology acceptance model, extended by the external constructs of perceived interactivity and personalization, to consider both the system and individual level. The proposed model was evaluated by a sample of 200 users, and the results show that both the external variables of perceived interactivity and perceived personalization are prerequisite factors in extending the TAM model. The findings reveal that the usability is the strongest predictor of firefighters’ behavioral intentions to use the AR system, followed by the ease of use with smaller, yet meaningful, direct and indirect effects on firefighters’ intentions. The identified acceptance factors help AR developers enhance the firefighters’ experience in training operations.",Sensors,2021,5,filtered
d325aa9305ec92a75511dff3c5b2cdcc8b6c3953,https://www.semanticscholar.org/paper/d325aa9305ec92a75511dff3c5b2cdcc8b6c3953,Deep Reinforcement Learning with Shallow Controllers: An Experimental Application to PID Tuning,"Deep reinforcement learning (RL) is an optimization-driven framework for producing control strategies for general dynamical systems without explicit reliance on process models. Good results have been reported in simulation. Here we demonstrate the challenges in implementing a state of the art deep RL algorithm on a real physical system. Aspects include the interplay between software and existing hardware; experiment design and sample efficiency; training subject to input constraints; and interpretability of the algorithm and control law. At the core of our approach is the use of a PID controller as the trainable RL policy. In addition to its simplicity, this approach has several appealing features: No additional hardware needs to be added to the control system, since a PID controller can easily be implemented through a standard programmable logic controller; the control law can easily be initialized in a “safe” region of the parameter space; and the final product—a well-tuned PID controller—has a form that practitioners can reason about and deploy with confidence.",ArXiv,2021,6,filtered
24f9cec3c63d0a37a709bbccdf55c55a7770614d,https://www.semanticscholar.org/paper/24f9cec3c63d0a37a709bbccdf55c55a7770614d,Double Q-PID algorithm for mobile robot control,"Abstract Many expert systems have been developed for self-adaptive PID controllers of mobile robots. However, the high computational requirements of the expert systems layers, developed for the tuning of the PID controllers, still require previous expert knowledge and high efficiency in algorithmic and software execution for real-time applications. To address these problems, in this paper we propose an expert agent-based system, based on a reinforcement learning agent, for self-adapting multiple low-level PID controllers in mobile robots. For the formulation of the artificial expert agent, we develop an incremental model-free algorithm version of the double Q -Learning algorithm for fast on-line adaptation of multiple low-level PID controllers. Fast learning and high on-line adaptability of the artificial expert agent is achieved by means of a proposed incremental active-learning exploration-exploitation procedure, for a non-uniform state space exploration, along with an experience replay mechanism for multiple value functions updates in the double Q -learning algorithm. A comprehensive comparative simulation study and experiments in a real mobile robot demonstrate the high performance of the proposed algorithm for a real-time simultaneous tuning of multiple adaptive low-level PID controllers of mobile robots in real world conditions.",Expert Syst. Appl.,2019,7,filtered
5b6220c4f7d20a43fa80821a69c7eb2524f03133,https://www.semanticscholar.org/paper/5b6220c4f7d20a43fa80821a69c7eb2524f03133,Perceptual Generalization and Context in a Network Memory Inspired Long-Term Memory for Artificial Cognition,"In the framework of open-ended learning cognitive architectures for robots, this paper deals with the design of a Long-Term Memory (LTM) structure that can accommodate the progressive acquisition of experience-based decision capabilities, or what different authors call ""automation"" of what is learnt, as a complementary system to more common prospective functions. The LTM proposed here provides for a relational storage of knowledge nuggets given the form of artificial neural networks (ANNs) that is representative of the contexts in which they are relevant in a configural associative structure. It also addresses the problem of continuous perceptual spaces and the task- and context-related generalization or categorization of perceptions in an autonomous manner within the embodied sensorimotor apparatus of the robot. These issues are analyzed and a solution is proposed through the introduction of two new types of knowledge nuggets: P-nodes representing perceptual classes and C-nodes representing contexts. The approach is studied and its performance evaluated through its implementation and application to a real robotic experiment.",Int. J. Neural Syst.,2019,8,filtered
31d1df842f56f0eb592886aac0a93ec93128a505,https://www.semanticscholar.org/paper/31d1df842f56f0eb592886aac0a93ec93128a505,CIT: Integrated cognitive computing and cognitive agent technologies based cognitive architecture for human-like functionality in artificial systems,"Abstract The paper proposes a novel cognitive architecture that combines cognitive computing and cognitive agent technologies for performing human-like functionality. The system architecture is known as CIT (Cognitive Information Technology). This design takes advantage of cognitive computing to handle Experiential Information (EI) using audio processing, computer vision, natural language processing, text mining, and data mining techniques. The CIT architecture includes human like cognitive agent functionality comprising attention, learning, memory, action selection, and action to handle human like individual and distributed knowledge bases to create rational decisions. The work shows CIT architecture practical implementation through “CIT framework” developed in C# and python language. For validating the system performance, the paper shows CIT based Object Recognition and Question Answering System. This framework is anticipated to advance the quality of artificial intelligent agent based decision-making using human like perception, comprehend and action skills, reducing real world business errors and assuring the correct, accurate, knowledgeable and well-timed human like decisions.",Biologically Inspired Cognitive Architectures,2018,9,filtered
76f958640687b379aec44e5293c5b40d1cc39ece,https://www.semanticscholar.org/paper/76f958640687b379aec44e5293c5b40d1cc39ece,Utility Model Re-description within a Motivational System for Cognitive Robotics,"This paper describes a re-descriptive approach to the efficient acquisition of ever higher level and more precise utility models within the motivational system (MotivEn) of a cognitive architecture. The approach is based on a two-step process whereby, as a first step, simple imprecise sensor correlation related utility models are obtained from the interaction traces of the robot. These utility models allow the robot to increase the frequency of achieving goals, and thus, provide lots of traces that can be used to try to train precise value functions implemented as artificial neural networks. The approach is tested experimentally on a real robotic setup that involves the coordination of two robots.",2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),2018,10,filtered
