doi,type,publication,publisher,publication_date,database,title,url,abstract,domain
10.1109/TITS.2019.2962338,filtered,IEEE Transactions on Intelligent Transportation Systems,IEEE,2021-02-01 00:00:00,ieeexplore,A Survey of Deep Learning Applications to Autonomous Vehicle Control,https://ieeexplore.ieee.org/document/8951131/,"Designing a controller for autonomous vehicles capable of providing adequate performance in all driving scenarios is challenging due to the highly complex environment and inability to test the system in the wide variety of scenarios which it may encounter after deployment. However, deep learning methods have shown great promise in not only providing excellent performance for complex and non-linear control problems, but also in generalising previously learned rules to new scenarios. For these reasons, the use of deep learning for vehicle control is becoming increasingly popular. Although important advancements have been achieved in this field, these works have not been fully summarised. This paper surveys a wide range of research works reported in the literature which aim to control a vehicle through deep learning methods. Although there exists overlap between control and perception, the focus of this paper is on vehicle control, rather than the wider perception problem which includes tasks such as semantic segmentation and object detection. The paper identifies the strengths and limitations of available deep learning methods through comparative analysis and discusses the research challenges in terms of computation, architecture selection, goal specification, generalisation, verification and validation, as well as safety. Overall, this survey brings timely and topical information to a rapidly evolving field relevant to intelligent transportation systems.",autonomous vehicle
10.1109/DSN-W.2018.00027,filtered,2018 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W),IEEE,2018-06-28 00:00:00,ieeexplore,AVFI: Fault Injection for Autonomous Vehicles,https://ieeexplore.ieee.org/document/8416212/,"Autonomous vehicle (AV) technology is rapidly becoming a reality on U.S. roads, offering the promise of improvements in traffic management, safety, and the comfort and efficiency of vehicular travel. With this increasing popularity and ubiquitous deployment, resilience has become a critical requirement for public acceptance and adoption. Recent studies into the resilience of AVs have shown that though the AV systems are improving over time, they have not reached human levels of automation. Prior work in this area has studied the safety and resilience of individual components of the AV system (e.g., testing of neural networks powering the perception function). However, methods for holistic end-to-end resilience assessment of AV systems are still non-existent.",autonomous vehicle
10.1109/GlobalSIP45357.2019.8969382,filtered,2019 IEEE Global Conference on Signal and Information Processing (GlobalSIP),IEEE,2019-11-14 00:00:00,ieeexplore,Machine Learning-Based Roadside Vehicular Traffic Localization via Opportunistic Wireless Sensing,https://ieeexplore.ieee.org/document/8969382/,"Comprehensive Situational Awareness (SA) in mixed traffic environments (i.e., both autonomous and human-operated platforms) is a critical requirement in addressing some of the challenges that hinder the deployment of autonomous vehicle (AV) systems onto roadways. In this paper, a novel framework that leverages machine learning techniques for utilizing Signals of Opportunity (SoO) for robust localization of all vehicles operating along a stretch of roadway is presented. By making use of ubiquitous wireless emissions from vehicles, the presented approach performs vehicle localization without any active participation/assistance from vehicles thus making it a suitable candidate for SA in mixed traffic environments. Our simulation results show that given the road shape and number of vehicles present, observed 2D localization estimates generated by an arbitrary algorithm whose error is described by a Gaussian bivariate distribution with 10 meters covariance yields unbiased vehicle centroid estimates with less than one meter mean squared error by eight Kalman Filter (KF) iterations. A set of KFs for each vehicle are used to leverage the filtering of multiple estimates per vehicle per filter step to reduce measurement noise by averaging, while a clustering algorithm performs the dual role of forming KF set priors and classifying location estimates to their correct vehicle.",autonomous vehicle
10.1109/ITSC.2019.8917085,filtered,2019 IEEE Intelligent Transportation Systems Conference (ITSC),IEEE,2019-10-30 00:00:00,ieeexplore,Machine learning method to ensure robust decision-making of AVs,https://ieeexplore.ieee.org/document/8917085/,"Replacing the human driver to perform the Dynamic Driving Task (DDT)[1] will require perception, complex analysis and assessment of traffic situation. The path leading to success the deployment of fully Autonomous Vehicle (AV) depends on the resolution of a lot of challenges. Both the safety and the security aspects of AV constitute the core of regulatory compliance and technical research. The Autonomous Driving System (ADS) should be designed to ensure a safe manoeuvre and a stable behaviour despite the technological limitations, the uncertainties and hazards which characterize the real traffic conditions. In fully Autonomous Driving situation, detecting all relevant objects and agents should be sufficient to generate a warning, however the ADS requires further complex data analysis steps to quantify and improve the safety of decision making. This paper aims to improve the robustness of decision-making in order to mimic human-like decision ability. The approach is based on machine learning to identify the criticality of the dynamic situation and enabling ADS to make appropriate decision and fulfil safe manoeuvre.",autonomous vehicle
10.1109/ITSC48978.2021.9564712,filtered,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),IEEE,2021-09-22 00:00:00,ieeexplore,OdoViz: A 3D Odometry Visualization and Processing Tool,https://ieeexplore.ieee.org/document/9564712/,"OdoViz is a reactive web-based tool for 3D visualization and processing of autonomous vehicle datasets designed to support common tasks in visual place recognition research. The system includes functionality for loading, inspecting, visualizing, and processing GPS/INS poses, point clouds and camera images. It supports a number of commonly used driving datasets and can be adapted to load custom datasets with minimal effort. OdoViz's design consists of a slim server to serve the datasets coupled with a rich client frontend. This design supports multiple deployment configurations including single user stand-alone installations, research group installations serving datasets internally across a lab, or publicly accessible web-frontends for providing online interfaces for exploring and interacting with datasets. The tool allows viewing complete vehicle trajectories traversed at multiple different time periods simultaneously, facilitating tasks such as sub-sampling, comparing and finding pose correspondences both across and within sequences. This significantly reduces the effort required in creating subsets of data from existing datasets for machine learning tasks. Further to the above, the system also supports adding custom extensions and plugins to extend the capabilities of the software for other potential data management, visualization and processing tasks. The platform has been open-sourced to promote its use and encourage further contributions from the research community.",autonomous vehicle
10.1109/IROS45743.2020.9341738,filtered,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),IEEE,2021-01-24 00:00:00,ieeexplore,Probabilistic Semantic Mapping for Urban Autonomous Driving Applications,https://ieeexplore.ieee.org/document/9341738/,"Recent advancements in statistical learning and computational abilities have enabled autonomous vehicle technology to develop at a much faster rate. While many of the architectures previously introduced are capable of operating under highly dynamic environments, many of these are constrained to smaller-scale deployments, require constant maintenance due to the associated scalability cost with high-definition (HD) maps, and involve tedious manual labeling. As an attempt to tackle this problem, we propose to fuse image and pre-built point cloud map information to perform automatic and accurate labeling of static landmarks such as roads, sidewalks, crosswalks, and lanes. The method performs semantic segmentation on 2D images, associates the semantic labels with point cloud maps to accurately localize them in the world, and leverages the confusion matrix formulation to construct a probabilistic semantic map in bird's eye view from semantic point clouds. Experiments from data collected in an urban environment show that this model is able to predict most road features and can be extended for automatically incorporating road features into HD maps with potential future work directions.",autonomous vehicle
10.1109/CAC51589.2020.9326504,filtered,2020 Chinese Automation Congress (CAC),IEEE,2020-11-08 00:00:00,ieeexplore,The Multi-sensor Fusion Automatic Driving Test Scene Algorithm based on Cloud Platform,https://ieeexplore.ieee.org/document/9326504/,"The production of autonomous vehicles needs to accumulate a large amount of mileage experience while the researching, development and testing methods of the traditional vehicle terminals cannot meet the requirements. The industry generally adopts the new Cloud Platform to research and develop iterative mode, which collects massive road environment data through the test fleet, and conducts model and algorithm development and simulation verification, so as to meet the product safety standards. Based on collaboration capability of the Cloud, Pipe and Terminal, this paper supports to carry out data collection, storage, processing and analysis through high-performance basic platform, application platform and AI development platform and other methods. Through cloud training and deployment of the autonomous vehicle , it is completed for scenario development to improve model training speed and development efficiency.",autonomous vehicle
10.1109/IVS.1994.639471,filtered,Proceedings of the Intelligent Vehicles '94 Symposium,IEEE,1994-10-26 00:00:00,ieeexplore,The development of a fully autonomous ground vehicle (FAGV),https://ieeexplore.ieee.org/document/639471/,"As a first step toward the creation of a fully autonomous vehicle that operates in a real world environment, we are currently developing a prototype autonomous ground vehicle (AGV) for use in factories and other industrial/business sites based on behavior-based artificial intelligence (AI) control. This flexible and fully autonomous AGV (FAGV) is expected to operate efficiently in a normal industrial environment without any external guidance. The crucial technique employed is a non-Cartesian way of organizing software agents for the creation of a highly responsive control program. The resulting software is considerably reduced in size. Through numerous experiments using mobile robots we confirmed that these new control programs excel in functionality, efficiency, flexibility and robustness. The second key technique in the planning stage is evolutionary computation, of which genetic algorithms are a principal technique. An online, real-time evolution of the control program will be incorporated in later phases of the project to make FAGVs adaptable to any given operational environment after deployment. The first prototype FAGV has an active vision and behaviour-based control system.",autonomous vehicle
10.1109/CVPR42600.2020.01164,filtered,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),IEEE,2020-06-19 00:00:00,ieeexplore,nuScenes: A Multimodal Dataset for Autonomous Driving,https://ieeexplore.ieee.org/document/9156412/,"Robust detection and tracking of objects is crucial for the deployment of autonomous vehicle technology. Image based benchmark datasets have driven development in computer vision tasks such as object detection, tracking and segmentation of agents in the environment. Most autonomous vehicles, however, carry a combination of cameras and range sensors such as lidar and radar. As machine learning based methods for detection and tracking become more prevalent, there is a need to train and evaluate such methods on datasets containing range sensor data along with images. In this work we present nuTonomy scenes (nuScenes), the first dataset to carry the full autonomous vehicle sensor suite: 6 cameras, 5 radars and 1 lidar, all with full 360 degree field of view. nuScenes comprises 1000 scenes, each 20s long and fully annotated with 3D bounding boxes for 23 classes and 8 attributes. It has 7x as many annotations and 100x as many images as the pioneering KITTI dataset. We define novel 3D detection and tracking metrics. We also provide careful dataset analysis as well as baselines for lidar and image based detection and tracking. Data, development kit and more information are available online.",autonomous vehicle
10.1109/ISOCC50952.2020.9333071,filtered,2020 International SoC Design Conference (ISOCC),IEEE,2020-10-24 00:00:00,ieeexplore,A Distance-Aware Technique for Object Detection Used in Self-Driving Vehicles,https://ieeexplore.ieee.org/document/9333071/,"Object detection obtains huge improvement after adopting deep learning technique. However, deep learning technique requires extremely high computation complexity and heavy DRAM (Dynamic Random Access Memory) bandwidth requirements, which blocks the deployment over various kinds of platforms. This paper provides a distance-aware technique for object detection that can adjust the required computation complexity and DRAM access amount according to several different searching distances. According to our analysis, the perception system can save up to 34.2% and 21.5% of computation complexity and DRAM access amount, respectively, for detecting near field objects when compared to the full range detection, without sacrificing any detection accuracy.",autonomous vehicle
