paperId,url,title,abstract,venue,year
1c8fad213b92997e6f92e16e919be031986eb9c7,https://www.semanticscholar.org/paper/1c8fad213b92997e6f92e16e919be031986eb9c7,Sliding mode heading control for AUV based on continuous hybrid model-free and model-based reinforcement learning,,Applied Ocean Research,2022
1cbebbaa1747460e72d0a44e3af2f8b469a99757,https://www.semanticscholar.org/paper/1cbebbaa1747460e72d0a44e3af2f8b469a99757,The adaptive sliding mode control using improved genetic algorithm tuning PID controller for the planetary rover,"The purpose of this paper is to resolve the problem of the dynamic response performance of the driving control system for a six-wheeled planetary rover. An adaptive sliding mode controller based on an improved genetic algorithm (IGA) to tune PID sliding surface parameters was used in the driving control system of the planetary rover.,First, the mathematical model of planetary rover driving control is established. Second, according to sliding mode variable structure control, an equivalent controller and a disturbance controller are constructed to solve the problem of a multi-disturbance nonlinear driving control system of planetary rovers and an IGA is used to tune PID parameters.,Simulation results show that the proposed control algorithm improves the accuracy of the driving control system and optimizes the smoothness of rover motion control.,The controller based on the IGA to tune PID sliding surface parameters has good self-adaptability and real-time controllability for the control object which is difficult to present a precise mathematical model.,The advanced control method is adopted to solve the uncertainty and external interference of planetary rovers in a complex environment. The mathematical model of the six-wheeled rover is established as the control object and the uncertainty and external disturbance of the model are considered. The controller based on IGA has good adaptability and real-time performance and the control algorithm can be used to drive robots in complex environments.",,2021
52c5dc4f6fcfa6f15077972d47cbc784a1446672,https://www.semanticscholar.org/paper/52c5dc4f6fcfa6f15077972d47cbc784a1446672,A Self-adaptive SAC-PID Control Approach based on Reinforcement Learning for Mobile Robots,"Present Address College of Information Engineering, Zhejiang University of Technology, Hangzhou, Zhejiang, China Abstract Proportional-integral-derivative (PID) control is the most widely used in industrial control, robot control and other fields. However, traditional PID control is not competent when the system cannot be accurately modeled and the operating environment is variable in real time. To tackle these problems, we propose a self-adaptivemodel-free SAC-PID control approach based on reinforcement learning for automatic control of mobile robots. A new hierarchical structure is developed, which includes the upper controller based on soft actor-critic (SAC), one of the most competitive continuous control algorithms, and the lower controller based on incremental PID controller. Soft actor-critic receives the dynamic information of the mobile robot as input, and simultaneously outputs the optimal parameters of incremental PID controllers to compensate for the error between the path and the mobile robot in real time. In addition, the combination of 24-neighborhood method and polynomial fitting is developed to improve the adaptability of SAC-PID control method to complex environments. The effectiveness of the SAC-PID control method is verified with several different difficulty paths both on Gazebo and real mecanum mobile robot. Futhermore, compared with fuzzy PID control, the SAC-PID method has merits of strong robustness, generalization and real-time performance.",International Journal of Robust and Nonlinear Control,2021
bc950b2e4a5c8611afb493bbc9cf6c92c8b87f86,https://www.semanticscholar.org/paper/bc950b2e4a5c8611afb493bbc9cf6c92c8b87f86,Multi-robot exploration in task allocation problem,"Task allocation is an important problem in multi-robot system which can be defined with different setup for different application, i.e. coverage, surveillance and mining mission in static or dynamic scenarios. Our focus in this paper is exploring environment to accomplish tasks distributed over the environment by minimizing overall cost of the system. This problem is defined as a NP-Hard problem, thus will be more challenging in larger environments containing many robots and tasks. To solve multi-robot task allocation in very large environment we propose a new deployment-based framework. Our proposal divided the problem into two sub-problems: region partitioning and routing problem. This decomposition eases considering our problem specification in multi-robot system which are not easily considerable in other approaches, i.e distribution of the tasks or robots’ initial position. Load balancing is done globally by deploying robots in a proper location of the environment and assigning sub-regions among them. Sub-regions contains set of points, where the goal is visiting all the points individually by one of the robots. On the other hand, after deploying the robots, routing techniques can be simply applied to find shortest and safest paths for every robots. To search for solutions in this NP-hard problem, two methods are built on a tailor-made multi-objective scheme of Genetic Algorithm (GA) with a different setup and search operators, and a reinforcement learning approach. Simulation results testify the performance of our methods in comparison to existing ones.",,2021
c0e4fe2f6945cbe3e3cf99c9ba93ef8144fc548c,https://www.semanticscholar.org/paper/c0e4fe2f6945cbe3e3cf99c9ba93ef8144fc548c,A Self-adaptive LSAC-PID Approach based on Lyapunov Reward Shaping for Mobile Robots,"To solve the coupling problem of control loops and the adaptive parameter tuning problem in the multi-input multi-output (MIMO) PID control system, a self-adaptive LSAC-PID algorithm is proposed based on deep reinforcement learning (RL) and Lyapunovbased reward shaping in this paper. For complex and unknown mobile robot control environment, an RL-based MIMO PID hybrid control strategy is firstly presented. According to the dynamic information and environmental feedback of the mobile robot, the RL agent can output the optimal MIMO PID parameters in real time, without knowing mathematical model and decoupling multiple control loops. Then, to improve the convergence speed of RL and the stability of mobile robots, a Lyapunov-based reward shaping soft actor-critic (LSAC) algorithm is proposed based on Lyapunov theory and potential-based reward shaping method. The convergence and optimality of the algorithm are proved in terms of the policy evaluation and improvement step of soft policy iteration. In addition, for line-following robots, the region growing method is improved to adapt to the influence of forks and environmental interference. Through comparison, test and cross-validation, the simulation and real-environment experimental results all show good performance of the proposed LSAC-PID tuning algorithm.",ArXiv,2021
d325aa9305ec92a75511dff3c5b2cdcc8b6c3953,https://www.semanticscholar.org/paper/d325aa9305ec92a75511dff3c5b2cdcc8b6c3953,Deep Reinforcement Learning with Shallow Controllers: An Experimental Application to PID Tuning,"Deep reinforcement learning (RL) is an optimization-driven framework for producing control strategies for general dynamical systems without explicit reliance on process models. Good results have been reported in simulation. Here we demonstrate the challenges in implementing a state of the art deep RL algorithm on a real physical system. Aspects include the interplay between software and existing hardware; experiment design and sample efficiency; training subject to input constraints; and interpretability of the algorithm and control law. At the core of our approach is the use of a PID controller as the trainable RL policy. In addition to its simplicity, this approach has several appealing features: No additional hardware needs to be added to the control system, since a PID controller can easily be implemented through a standard programmable logic controller; the control law can easily be initialized in a “safe” region of the parameter space; and the final product—a well-tuned PID controller—has a form that practitioners can reason about and deploy with confidence.",ArXiv,2021
e0642272d01afd867c090c7beddd37218616fcfd,https://www.semanticscholar.org/paper/e0642272d01afd867c090c7beddd37218616fcfd,Reinforcement learning in robotic applications: a comprehensive survey,"In recent trends, artificial intelligence (AI) is used for the creation of complex automated control systems. Still, researchers are trying to make a completely autonomous system that resembles human beings. Researchers working in AI think that there is a strong connection present between the learning pattern of human and AI. They have analyzed that machine learning (ML) algorithms can effectively make self-learning systems. ML algorithms are a sub-field of AI in which reinforcement learning (RL) is the only available methodology that resembles the learning mechanism of the human brain. Therefore, RL must take a key role in the creation of autonomous robotic systems. In recent years, RL has been applied on many platforms of the robotic systems like an air-based, under-water, land-based, etc., and got a lot of success in solving complex tasks. In this paper, a brief overview of the application of reinforcement algorithms in robotic science is presented. This survey offered a comprehensive review based on segments as (1) development of RL (2) types of RL algorithm like; Actor-Critic, DeepRL, multi-agent RL and Human-centered algorithm (3) various applications of RL in robotics based on their usage platforms such as land-based, water-based and air-based, (4) RL algorithms/mechanism used in robotic applications. Finally, an open discussion is provided that potentially raises a range of future research directions in robotics. The objective of this survey is to present a guidance point for future research in a more meaningful direction.",,2021
f3ec88fe7378977d33520989f481559d865b8939,https://www.semanticscholar.org/paper/f3ec88fe7378977d33520989f481559d865b8939,Proximal Policy Optimization for Tracking Control Exploiting Future Reference Information,"In recent years, reinforcement learning (RL) has gained increasing attention in control engineering. Especially, policy gradient methods are widely used. In this work, we improve the tracking performance of proximal policy optimization (PPO) for arbitrary reference signals by incorporating information about future reference values. Two variants of extending the argument of the actor and the critic taking future reference values into account are presented. In the first variant, global future reference values are added to the argument. For the second variant, a novel kind of residual space with future reference values applicable to model-free reinforcement learning is introduced. Our approach is evaluated against a PI controller on a simple drive train model. We expect our method to generalize to arbitrary references better than previous approaches, pointing towards the applicability of RL to control real systems.",ArXiv,2021
211535e93ccaed8c3ff116d451dd1e888752780e,https://www.semanticscholar.org/paper/211535e93ccaed8c3ff116d451dd1e888752780e,An adaptive deep reinforcement learning approach for MIMO PID control of mobile robots.,"Intelligent control systems are being developed for the control of plants with complex dynamics. However, the simplicity of the PID (proportional-integrative-derivative) controller makes it still widely used in industrial applications and robotics. This paper proposes an intelligent control system based on a deep reinforcement learning approach for self-adaptive multiple PID controllers for mobile robots. The proposed hybrid control strategy uses an actor-critic structure and it only receives low-level dynamic information as input and simultaneously estimates the multiple parameters or gains of the PID controllers. The proposed approach was tested in several simulated environments and in a real time robotic platform showing the feasibility of the approach for the low-level control of mobile robots. From the simulation and experimental results, our proposed approach demonstrated that it can be of aid by providing with behavior that can compensate or even adapt to changes in the uncertain environments providing a model free unsupervised solution. Also, a comparative study against other adaptive methods for multiple PIDs tuning is presented, showing a successful performance of the approach.",ISA transactions,2020
2fc629622efb2827aa65888ea21dde65bd7a07da,https://www.semanticscholar.org/paper/2fc629622efb2827aa65888ea21dde65bd7a07da,A reinforcement learning control approach for underwater manipulation under position and torque constraints,"In marine operations underwater manipulators play a primordial role. However, due to uncertainties in the dynamic model and disturbances caused by the environment, low-level control methods require great capabilities to adapt to change. Furthermore, under position and torque constraints the requirements for the control system are greatly increased. Reinforcement learning is a data driven control technique that can learn complex control policies without the need of a model. The learning capabilities of these type of agents allow for great adaptability to changes in the operative conditions. In this article we present a novel reinforcement learning low-level controller for the position control of an underwater manipulator under torque and position constraints. The reinforcement learning agent is based on an actor-critic architecture using sensor readings as state information. Simulation results using the Reach Alpha 5 underwater manipulator show the advantages of the proposed control strategy.",Global Oceans 2020: Singapore – U.S. Gulf Coast,2020
