@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,pii,pubmed-id,prism:isbn
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122261194', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122261194?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122261194&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122261194&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0141029621018940'}",https://api.elsevier.com/content/abstract/scopus_id/85122261194,SCOPUS_ID:85122261194,2-s2.0-85122261194,"Explainable machine learning using real, synthetic and augmented fire tests to predict fire resistance and spalling of RC columns",Naser M.Z.,Engineering Structures,01410296,18737323,253,,,2022-02-15,15 February 2022,10.1016/j.engstruct.2021.113824,1,"[{'@_fa': 'true', 'affilname': 'Clemson University', 'affiliation-city': 'Clemson', 'affiliation-country': 'United States'}]",Journal,ar,Article,113824,15652,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",S0141029621018940,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85112506465', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85112506465?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112506465&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112506465&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0888327021006506'}",https://api.elsevier.com/content/abstract/scopus_id/85112506465,SCOPUS_ID:85112506465,2-s2.0-85112506465,Real-time model calibration with deep reinforcement learning,Tian Y.,Mechanical Systems and Signal Processing,08883270,10961216,165,,,2022-02-15,15 February 2022,10.1016/j.ymssp.2021.108284,0,"[{'@_fa': 'true', 'affilname': 'ETH Zürich', 'affiliation-city': 'Zurich ZH,', 'affiliation-country': 'Switzerland'}]",Journal,ar,Article,108284,21080,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",S0888327021006506,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85118896502', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85118896502?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118896502&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118896502&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0009250921007703'}",https://api.elsevier.com/content/abstract/scopus_id/85118896502,SCOPUS_ID:85118896502,2-s2.0-85118896502,"Developments of leak detection, diagnostics, and prediction algorithms in multiphase flows",Kumar Vandrangi S.,Chemical Engineering Science,00092509,,248,,,2022-02-02,2 February 2022,10.1016/j.ces.2021.117205,1,"[{'@_fa': 'true', 'affilname': 'Universiti Teknologi PETRONAS', 'affiliation-city': 'Seri Iskandar', 'affiliation-country': 'Malaysia'}]",Journal,ar,Article,117205,16413,0,False,,,S0009250921007703,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124517698', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124517698?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124517698&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124517698&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2096579622000043'}",https://api.elsevier.com/content/abstract/scopus_id/85124517698,SCOPUS_ID:85124517698,2-s2.0-85124517698,Virtual-reality-based digital twin of office spaces with social distance measurement feature,Mukhopadhyay A.,Virtual Reality and Intelligent Hardware,20965796,26661209,4,1,55-75,2022-02-01,February 2022,10.1016/j.vrih.2022.01.004,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Science', 'affiliation-city': 'Bengaluru', 'affiliation-country': 'India'}]",Journal,ar,Article,,21101060163,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",S2096579622000043,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124466260', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124466260?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124466260&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124466260&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124466260,SCOPUS_ID:85124466260,2-s2.0-85124466260,IoT-Based Human Fall Detection System,Ribeiro O.,Electronics (Switzerland),,20799292,11,4,,2022-02-01,February-2 2022,10.3390/electronics11040592,0,"[{'@_fa': 'true', 'affilname': 'Grupo de Investigação em Engenharia e Computação Inteligente para a Inovação e o Desenvolvimento', 'affiliation-city': 'Porto', 'affiliation-country': 'Portugal'}]",Journal,ar,Article,592,21100829272,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123848416', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123848416?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123848416&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123848416&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123848416,SCOPUS_ID:85123848416,2-s2.0-85123848416,Smart Energy Management System: Design of a Monitoring and Peak Load Forecasting System for an Experimental Open-Pit Mine,Laayati O.,Applied System Innovation,,25715577,5,1,,2022-02-01,February 2022,10.3390/asi5010018,0,"[{'@_fa': 'true', 'affilname': 'Mohammed VI Polytechnic University', 'affiliation-city': 'Ben Guerir', 'affiliation-country': 'Morocco'}, {'@_fa': 'true', 'affilname': 'Université Hassan 1er', 'affiliation-city': 'Settat', 'affiliation-country': 'Morocco'}]",Journal,ar,Article,18,21101024218,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123508350', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123508350?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123508350&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123508350&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123508350,SCOPUS_ID:85123508350,2-s2.0-85123508350,"Chatbot, as Educational and Inclusive Tool for People with Intellectual Disabilities",Mateos-Sanchez M.,Sustainability (Switzerland),,20711050,14,3,,2022-02-01,February-1 2022,10.3390/su14031520,0,"[{'@_fa': 'true', 'affilname': 'Universidad Pontificia de Salamanca', 'affiliation-city': 'Salamanca', 'affiliation-country': 'Spain'}]",Journal,ar,Article,1520,21100240100,1,True,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123051607', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123051607?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123051607&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123051607&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123051607,SCOPUS_ID:85123051607,2-s2.0-85123051607,Looking at COVID-19 from a Systems Biology Perspective,Turilli E.S.,Biomolecules,,2218273X,12,2,,2022-02-01,February 2022,10.3390/biom12020188,0,"[{'@_fa': 'true', 'affilname': ""Università degli Studi dell'Insubria"", 'affiliation-city': 'Varese', 'affiliation-country': 'Italy'}]",Journal,re,Review,188,21100394188,1,True,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85121264505', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85121264505?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121264505&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121264505&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85121264505,SCOPUS_ID:85121264505,2-s2.0-85121264505,Digital Transformation in Personalized Medicine with Artificial Intelligence and the Internet of Medical Things,Lin B.,OMICS A Journal of Integrative Biology,15362310,15578100,26,2,77-81,2022-02-01,February 2022,10.1089/omi.2021.0037,3,"[{'@_fa': 'true', 'affilname': 'The First Affiliated Hospital, Zhejiang University School of Medicine', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'University of Washington School of Medicine', 'affiliation-city': 'Seattle', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Zhejiang University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",Journal,re,Review,,19001,0,False,,,,33887155,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85120657977', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85120657977?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120657977&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120657977&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0140366421004400'}",https://api.elsevier.com/content/abstract/scopus_id/85120657977,SCOPUS_ID:85120657977,2-s2.0-85120657977,RAN energy efficiency and failure rate through ANN traffic predictions processing,Vallero G.,Computer Communications,01403664,1873703X,183,,51-63,2022-02-01,1 February 2022,10.1016/j.comcom.2021.11.011,0,"[{'@_fa': 'true', 'affilname': 'Politecnico di Torino', 'affiliation-city': 'Turin', 'affiliation-country': 'Italy'}]",Journal,ar,Article,,13681,0,False,,,S0140366421004400,,
