@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,prism:eIssn,freetoread,freetoreadLabel,prism:issueIdentifier,pubmed-id,prism:isbn
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85121903251', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85121903251?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121903251&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121903251&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1389128621005405'}",https://api.elsevier.com/content/abstract/scopus_id/85121903251,SCOPUS_ID:85121903251,2-s2.0-85121903251,Evaluating Federated Learning for intrusion detection in Internet of Things: Review and challenges,Campos E.M.,Computer Networks,13891286,203,,2022-02-11,11 February 2022,10.1016/j.comnet.2021.108661,S1389128621005405,0,"[{'@_fa': 'true', 'affilname': 'Universidad de Murcia', 'affiliation-city': 'Murcia', 'affiliation-country': 'Spain'}]",Journal,ar,Article,108661,26811,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124648273', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124648273?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124648273&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124648273&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124648273,SCOPUS_ID:85124648273,2-s2.0-85124648273,Spatial Positioning Token (SPToken) for Smart Mobility,Overko R.,IEEE Transactions on Intelligent Transportation Systems,15249050,23,1529-1542,2022-02-01,1 February 2022,10.1109/TITS.2020.3029537,,0,"[{'@_fa': 'true', 'affilname': 'University College Dublin', 'affiliation-city': 'Dublin', 'affiliation-country': 'Ireland'}]",Journal,ar,Article,,18378,0,False,15580016,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",2,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124514854', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124514854?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124514854&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124514854&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124514854,SCOPUS_ID:85124514854,2-s2.0-85124514854,Spatial Determinants of Real Estate Appraisals in The Netherlands: A Machine Learning Approach,Guliker E.,ISPRS International Journal of Geo-Information,,11,,2022-02-01,February 2022,10.3390/ijgi11020125,,0,"[{'@_fa': 'true', 'affilname': 'Universiteit Twente', 'affiliation-city': 'Enschede', 'affiliation-country': 'Netherlands'}, {'@_fa': 'true', 'affilname': 'Stater N.V', 'affiliation-city': 'Amersfoort', 'affiliation-country': 'Netherlands'}]",Journal,ar,Article,125,21100427639,1,True,22209964,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",2,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85124038873', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85124038873?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124038873&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124038873&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85124038873,SCOPUS_ID:85124038873,2-s2.0-85124038873,"Digital Twins in Built Environments: An Investigation of the Characteristics, Applications, and Challenges",Shahzad M.,Buildings,,12,,2022-02-01,February 2022,10.3390/buildings12020120,,0,"[{'@_fa': 'true', 'affilname': 'Foundation Property Management (FPM)', 'affiliation-city': 'Abu Dhabi', 'affiliation-country': 'United Arab Emirates'}]",Journal,ar,Article,120,26980,1,True,20755309,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",2,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123966321', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123966321?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123966321&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123966321&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123966321,SCOPUS_ID:85123966321,2-s2.0-85123966321,Real-world indoor mobility with simulated prosthetic vision: The benefits and feasibility of contour-based scene simplification at different phosphene resolutions,de Ruyter van Steveninck J.,Journal of vision,,22,1,2022-02-01,1 February 2022,10.1167/jov.22.2.1,,0,"[{'@_fa': 'true', 'affilname': 'Donders Institute for Brain, Cognition and Behaviour', 'affiliation-city': 'Nijmegen', 'affiliation-country': 'Netherlands'}]",Journal,ar,Article,,14509,1,True,15347362,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",2,35103758,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85123575661', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85123575661?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123575661&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123575661&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85123575661,SCOPUS_ID:85123575661,2-s2.0-85123575661,Incorporating Multi-Source Urban Data for Personalized and Context-Aware Multi-Modal Transportation Recommendation,Liu H.,IEEE Transactions on Knowledge and Data Engineering,10414347,34,723-735,2022-02-01,1 February 2022,10.1109/TKDE.2020.2985954,,0,"[{'@_fa': 'true', 'affilname': 'Baidu, Inc.', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,,17362,0,False,15582191,,,2,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85122864056', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85122864056?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122864056&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122864056&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85122864056,SCOPUS_ID:85122864056,2-s2.0-85122864056,"Recent Studies Utilizing Artificial Intelligence Techniques for Solving Data Collection, Aggregation and Dissemination Challenges in Wireless Sensor Networks: A Review",Osamy W.,Electronics (Switzerland),,11,,2022-02-01,February-1 2022,10.3390/electronics11030313,,0,"[{'@_fa': 'true', 'affilname': 'Benha University', 'affiliation-city': 'Benha', 'affiliation-country': 'Egypt'}]",Journal,ar,Article,313,21100829272,1,True,20799292,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",3,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85120521703', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85120521703?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120521703&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120521703&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0034425721005290'}",https://api.elsevier.com/content/abstract/scopus_id/85120521703,SCOPUS_ID:85120521703,2-s2.0-85120521703,MethaNet – An AI-driven approach to quantifying methane point-source emission from high-resolution 2-D plume imagery,Jongaramrungruang S.,Remote Sensing of Environment,00344257,269,,2022-02-01,February 2022,10.1016/j.rse.2021.112809,S0034425721005290,0,"[{'@_fa': 'true', 'affilname': 'Division of Geological and Planetary Sciences', 'affiliation-city': 'Pasadena', 'affiliation-country': 'United States'}]",Journal,ar,Article,112809,12503,0,False,,,,,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85120435814', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85120435814?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120435814&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120435814&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0098300421002934'}",https://api.elsevier.com/content/abstract/scopus_id/85120435814,SCOPUS_ID:85120435814,2-s2.0-85120435814,GeospatialVR: A web-based virtual reality framework for collaborative environmental simulations,Sermet Y.,Computers and Geosciences,00983004,159,,2022-02-01,February 2022,10.1016/j.cageo.2021.105010,S0098300421002934,1,"[{'@_fa': 'true', 'affilname': 'University of Iowa', 'affiliation-city': 'Iowa City', 'affiliation-country': 'United States'}]",Journal,ar,Article,105010,110327,0,False,,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,,
true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85120052266', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85120052266?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120052266&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120052266&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2210670721008258'}",https://api.elsevier.com/content/abstract/scopus_id/85120052266,SCOPUS_ID:85120052266,2-s2.0-85120052266,Assessment of sustainable development objectives in Smart Labs: technology and sustainability at the service of society,Verdejo Á.,Sustainable Cities and Society,22106707,77,,2022-02-01,February 2022,10.1016/j.scs.2021.103559,S2210670721008258,0,"[{'@_fa': 'true', 'affilname': 'Universidad de Jaén', 'affiliation-city': 'Jaen', 'affiliation-country': 'Spain'}]",Journal,ar,Article,103559,19700194105,0,False,,,,,,
