id,updated,published,title,summary,database
http://arxiv.org/abs/2202.10565v1,2022-02-21T22:46:49Z,2022-02-21T22:46:49Z,"T-METASET: Task-Aware Generation of Metamaterial Datasets by
  Diversity-Based Active Learning","Inspired by the recent success of deep learning in diverse domains,
data-driven metamaterials design has emerged as a compelling design paradigm to
unlock the potential of multiscale architecture. However, existing
model-centric approaches lack principled methodologies dedicated to
high-quality data generation. Resorting to space-filling design in shape
descriptor space, existing metamaterial datasets suffer from property
distributions that are either highly imbalanced or at odds with design tasks of
interest. To this end, we propose t-METASET: an intelligent data acquisition
framework for task-aware dataset generation. We seek a solution to a
commonplace yet frequently overlooked scenario at early design stages: when a
massive ($~\sim O(10^4)$) shape library has been prepared with no properties
evaluated. The key idea is to exploit a data-driven shape descriptor learned
from generative models, fit a sparse regressor as the start-up agent, and
leverage diversity-related metrics to drive data acquisition to areas that help
designers fulfill design goals. We validate the proposed framework in three
hypothetical deployment scenarios, which encompass general use, task-aware use,
and tailorable use. Two large-scale shape-only mechanical metamaterial datasets
are used as test datasets. The results demonstrate that t-METASET can
incrementally grow task-aware datasets. Applicable to general design
representations, t-METASET can boost future advancements of not only
metamaterials but data-driven design in other domains.",arxiv
http://arxiv.org/abs/2202.07448v1,2022-02-04T02:01:02Z,2022-02-04T02:01:02Z,"Towards a Unified Pandemic Management Architecture: Survey, Challenges
  and Future Directions","The pandemic caused by SARS-CoV-2 has left an unprecedented impact on health,
economy and society worldwide. Emerging strains are making pandemic management
increasingly challenging. There is an urge to collect epidemiological,
clinical, and physiological data to make an informed decision on mitigation
measures. Advances in the Internet of Things (IoT) and edge computing provide
solutions for pandemic management through data collection and intelligent
computation. While existing data-driven architectures attempt to automate
decision-making, they do not capture the multifaceted interaction among
computational models, communication infrastructure, and the generated data. In
this paper, we perform a survey of the existing approaches for pandemic
management, including online data repositories and contact-tracing
applications. We then envision a unified pandemic management architecture that
leverages the IoT and edge computing to automate recommendations on vaccine
distribution, dynamic lockdown, mobility scheduling and pandemic prediction. We
elucidate the flow of data among the layers of the architecture, namely, cloud,
edge and end device layers. Moreover, we address the privacy implications,
threats, regulations, and existing solutions that may be adapted to optimize
the utility of health data with security guarantees. The paper ends with a
lowdown on the limitations of the architecture and research directions to
enhance its practicality.",arxiv
http://arxiv.org/abs/2201.11289v1,2022-01-27T02:53:02Z,2022-01-27T02:53:02Z,"High throughput data-driven design of laser crystallized 2D MoS2
  chemical sensors","High throughput characterization and processing techniques are becoming
increasingly necessary to navigate multivariable, data-driven design challenges
for sensors and electronic devices. For two-dimensional materials, device
performance is highly dependent upon a vast array of material properties
including number of layers, lattice strain, carrier concentration, defect
density, and grain structure. In this work, laser-crystallization was used to
locally pattern and transform hundreds of regions of amorphous MoS2 thin films
into 2D 2H-MoS2. A high throughput Raman spectroscopy approach was subsequently
used to assess the process-dependent structural and compositional variations
for each illuminated region, yielding over 5500 distinct non-resonant,
resonant, and polarized Raman spectra. The rapid generation of a comprehensive
library of structural and compositional data elucidated important trends
between structure-property-processing relationships involving
laser-crystallized MoS2, including the relationships between grain size, grain
orientation, and intrinsic strain. Moreover, extensive analysis of
structure/property relationships allowed for intelligent design, and evaluation
of major contributions to, device performance in MoS2 chemical sensors. In
particular, it is found that sensor performance is strongly dependent on the
orientation of the MoS2 grains relative to the crystal plane.",arxiv
http://arxiv.org/abs/2201.10459v1,2022-01-25T17:02:07Z,2022-01-25T17:02:07Z,"FRAMED: Data-Driven Structural Performance Analysis of
  Community-Designed Bicycle Frames","This paper presents a data-driven analysis of the structural performance of
4500 community-designed bicycle frames. We present FRAMED -- a parametric
dataset of bicycle frames based on bicycles designed by bicycle practitioners
from across the world. To support our data-driven approach, we also provide a
dataset of structural performance values such as weight, displacements under
load, and safety factors for all the bicycle frame designs. By exploring a
diverse design space of frame design parameters and a set of ten competing
design objectives, we present an automated way to analyze the structural
performance of bicycle frames. Our structural simulations are validated against
physical experimentation on bicycle frames. Through our analysis, we highlight
overall trends in bicycle frame designs created by community members, study
several bicycle frames under different loading conditions, identify
non-dominated design candidates that perform well on multiple objectives, and
explore correlations between structural objectives. Our analysis shows that
over 75\% of bicycle frames created by community members are infeasible,
motivating the need for AI agents to support humans in designing bicycles. This
work aims to simultaneously serve researchers focusing on bicycle design as
well as researchers focusing on the development of data-driven design
algorithms, such as surrogate models and Deep Generative Methods. The dataset
and code are provided at http://decode.mit.edu/projects/framed/.",arxiv
http://arxiv.org/abs/2112.12664v1,2021-12-23T15:58:38Z,2021-12-23T15:58:38Z,Data-driven design of safe control for polynomial systems,"We consider the problem of designing an invariant set using only a finite set
of input-state data collected from an unknown polynomial system in continuous
time. We consider noisy data, i.e., corrupted by an unknown-but-bounded
disturbance. We derive a data-dependent sum-of-squares program that enforces
invariance of a set and also optimizes the size of the invariant set while
keeping it within a set of user-defined safety constraints; the solution of
this program directly provides a polynomial invariant set and a state-feedback
controller. We numerically test the design on a system of two platooning cars.",arxiv
http://arxiv.org/abs/2202.03578v1,2021-12-21T16:44:13Z,2021-12-21T16:44:13Z,Data driven design of optical resonators,"Optical devices lie at the heart of most of the technology we see around us.
When one actually wants to make such an optical device, one can predict its
optical behavior using computational simulations of Maxwell's equations. If one
then asks what the optimal design would be in order to obtain a certain optical
behavior, the only way to go further would be to try out all of the possible
designs and compute the electromagnetic spectrum they produce. When there are
many design parameters, this brute force approach quickly becomes too
computationally expensive. We therefore need other methods to create optimal
optical devices. An alternative to the brute force approach is inverse design.
In this paradigm, one starts from the desired optical response of a material
and then determines the design parameters that are needed to obtain this
optical response. There are many algorithms known in the literature that
implement this inverse design. Some of the best performing, recent approaches
are based on Deep Learning. The central idea is to train a neural network to
predict the optical response for given design parameters. Since neural networks
are completely differentiable, we can compute gradients of the response with
respect to the design parameters. We can use these gradients to update the
design parameters and get an optical response closer to the one we want. This
allows us to obtain an optimal design much faster compared to the brute force
approach. In my thesis, I use Deep Learning for the inverse design of the
Fabry-P\'erot resonator. This system can be described fully analytically and is
therefore ideal to study.",arxiv
http://arxiv.org/abs/2112.08268v1,2021-12-15T17:02:07Z,2021-12-15T17:02:07Z,"Prescriptive Machine Learning for Automated Decision Making: Challenges
  and Opportunities","Recent applications of machine learning (ML) reveal a noticeable shift from
its use for predictive modeling in the sense of a data-driven construction of
models mainly used for the purpose of prediction (of ground-truth facts) to its
use for prescriptive modeling. What is meant by this is the task of learning a
model that stipulates appropriate decisions about the right course of action in
real-world scenarios: Which medical therapy should be applied? Should this
person be hired for the job? As argued in this article, prescriptive modeling
comes with new technical conditions for learning and new demands regarding
reliability, responsibility, and the ethics of decision making. Therefore, to
support the data-driven design of decision-making agents that act in a rational
but at the same time responsible manner, a rigorous methodological foundation
of prescriptive ML is needed. The purpose of this short paper is to elaborate
on specific characteristics of prescriptive ML and to highlight some key
challenges it implies. Besides, drawing connections to other branches of
contemporary AI research, the grounding of prescriptive ML in a (generalized)
decision-theoretic framework is advocated.",arxiv
http://arxiv.org/abs/2110.09005v1,2021-10-18T04:04:09Z,2021-10-18T04:04:09Z,Unsupervised Learned Kalman Filtering,"In this paper we adapt KalmanNet, which is a recently pro-posed deep neural
network (DNN)-aided system whose architecture follows the operation of the
model-based Kalman filter (KF), to learn its mapping in an unsupervised manner,
i.e., without requiring ground-truth states. The unsupervised adaptation is
achieved by exploiting the hybrid model-based/data-driven architecture of
KalmanNet, which internally predicts the next observation as the KF does. These
internal features are then used to compute the loss rather than the state
estimate at the output of the system. With the capability of unsupervised
learning, one can use KalmanNet not only to track the hidden state, but also to
adapt to variations in the state space (SS) model. We numerically demonstrate
that when the noise statistics are unknown, unsupervised KalmanNet achieves a
similar performance to KalmanNet with supervised learning. We also show that we
can adapt a pre-trained KalmanNet to changing SS models without providing
additional data thanks to the unsupervised capabilities.",arxiv
http://arxiv.org/abs/2109.11658v1,2021-09-23T21:42:07Z,2021-09-23T21:42:07Z,"Relaxation approach for learning regularizers by neural networks for a
  class of optimal control problems","The present paper deals with the data-driven design of regularizers in the
form of artificial nerual networks, for solving inverse problems formulated as
optimal control problems. These regularizers aim at improving accuracy,
wellposedness or compensating uncertainties for a class of optimal control
problems (inner-problems). Parameterized as neural networks, their weights are
chosen in order to reduce a misfit between data and observations of the state
solution of the inner-optimal control problems. Learning these weights
constitutes the outer-problem. Based on necessary first-order optimality
conditions for the inner-problems, a relaxation approach is proposed in order
to implement efficient solving of the inner-problems, namely the forward
operator of the outer-problem. Optimality conditions are derived for the
latter, and numerical illustrations show the feasibility of the relaxation
approach, first for rediscovering standard $L^2$-regularizers, and next for
designing regularizers that compensate unknown noise on the observed state of
the inner-problem.",arxiv
http://arxiv.org/abs/2109.10798v1,2021-09-22T15:40:11Z,2021-09-22T15:40:11Z,Data-Driven Design of Novel Halide Perovskite Alloys,"The great tunability of the properties of halide perovskites presents new
opportunities for optoelectronic applications as well as significant challenges
associated with exploring combinatorial chemical spaces. In this work, we
develop a framework powered by high-throughput computations and machine
learning for the design and prediction of mixed cation halide perovskite
alloys. In a chemical space of ABX$_{3}$ perovskites with a selected set of
options for A, B, and X atoms, pseudo-cubic structures of compounds with B-site
mixing are simulated using density functional theory (DFT) and several
properties are computed, including stability, lattice constant, band gap,
vacancy formation energy, refractive index, and optical absorption spectrum,
using both semi-local and hybrid functionals. Neural networks (NN) are used to
train predictive models for every property using tabulated elemental properties
of A, B, and X site atoms as descriptors. Starting from the DFT dataset of 229
points, we use the trained NN models to predict the structural, energetic,
electronic and optical properties of a complete dataset of 17,955 compounds,
and perform high-throughput screening in terms of stability, band gap and
defect tolerance, to obtain 574 promising compounds that are ranked as
potential absorbers according to their photovoltaic figure of merit.
Compositional trends in the screened set of attractive mixed cation halide
perovskites are revealed and additional computations are performed on selected
compounds. The data-driven design framework developed here is promising for
designing novel mixed compositions and can be extended to a wider perovskite
chemical space in terms of A, B, and X atoms, different kinds of mixing at the
A, B, or X sites, non-cubic phases, and other properties of interest.",arxiv
