id,datePublished,description,journals,publisher,title,downloadUrl,doi,database
199639160,2008-10-01T00:00:00,"ITC/USA 2008 Conference Proceedings / The Forty-Fourth Annual International Telemetering Conference and Technical Exhibition / October 27-30, 2008 / Town and Country Resort & Convention Center, San Diego, CaliforniaBuilding modern telemetry systems is fraught with challenges involving subsystem integration, the role and management of data, scalability issues, disparate technologies, concerns about cost-effectiveness and more. This article addresses today's challenges with a solution based on adopting a data-oriented architecture and relying on a standards-based, integrated high-performance middleware platform with standards-based programmable components. Key to the solution is integrating around the system information model instead of the application or technology infrastructure. A standards-based middleware infrastructure that breaks away from traditional assumptions is at the core of this approach. The article also presents successful applications of data-oriented architecture using standards-based middleware.International Foundation for TelemeteringProceedings from the International Telemetering Conference are made available by the International Foundation for Telemetering and the University of Arizona Libraries. Visit http://www.telemetry.org/index.php/contact-us if you have questions about items in this collection","[{'title': None, 'identifiers': ['0884-5123', 'issn:0884-5123', 'issn:0074-9079', '0074-9079']}]",International Foundation for Telemetering,A Data-Oriented Software Architecture for Telemetry,,,core
24298460,1994,"We report on an implemented grapheme-to-phoneme conversion architecture. Given a set of examples (spelling words with their associated phonetic representation) in a language, a grapheme-to-phoneme conversion system is automatically produced for that language which takes as its input the spelling of words, and produces as its output the phonetic transcription according to the rules implicit in the training data. This paper describes the architecture and focuses on our solution to the alignment problem: given the spelling and the phonetic trancription of a word (often differing in length), these two representations have to be aligned in such a way that grapheme symbols or strings of grapheme symbols are consistently associated with the same phonetic symbol. If this alignment has to be done by hand, it is extremely labour-intensive. 1 Introduction  Grapheme-to-phoneme conversion is an essential module in any text-to-speech system. Various language-specific sources of linguistic knowledge ..",,,"A Language-Independent, Data-Oriented Architecture for Grapheme-to-Phoneme Conversion",,,core
490710719,2021-01-01T00:00:00,"Research on data-driven bearing fault diagnosis techniques has recently drawn more and more attention due to the availability of massive condition monitoring data. The research work presented in this paper aims to develop an architecture for the detection and diagnosis of bearing faults in the induction machines. The developed data-oriented architecture uses vibration signals collected by sensors placed on the machine, which is based, in the first place, on the extraction of fault indicators based on the harmonics-to-noise ratio envelope. Normalisation is then applied to the extracted indicators to create a well-processed data set. The evolution of these indicators will be studied afterwards according to the type and severity of defects using sequential backward selection technique. Supervised machine learning classification methods are developed to classify the measurements described by the feature vector with respect to the known modes of operation. In the last phase concerning decision making, ten classifiers are tested and applied based on the selected and combined indicators. The developed classification methods allow classifying the observations, with respect to the different modes of bearing condition (outer race, inner race fault or healthy condition). The proposed method is validated on data collected using an experimental bearing test bench. The experimental results indicate that the proposed architecture achieves high accuracy in bearing fault detection under all operational conditions. The results show that, compared to some proposed approaches, our proposed architecture can achieve better performance overall in terms of the number of optimal features and the accuracy of the tests","[{'title': 'Advances in Electrical and Electronic Engineering', 'identifiers': ['1336-1376', 'issn:1336-1376', '1804-3119', 'issn:1804-3119']}]","'VSB Technical University of Ostrava, Faculty of Electrical Engineering and Computer Sciences'",Intelligent Bearing Fault Diagnosis Method Based on HNR Envelope and Classification Using Supervised Machine Learning Algorithms,https://core.ac.uk/download/490710719.pdf,10.15598/aeee.v19i4.4183,core
479632286,2021-07-01T00:00:00,"For connected vehicles, as well as generally for the transportation sector, data are now seen as a precious resource. They can be used to make right decisions, improve road safety, reduce CO2 emissions, or optimize processes. However, analyzing these data is not so much a question of which technologies to use, but rather about where these data are analyzed. Thereby, the emerging vehicle architecture has to become a data-oriented architecture based on embedded computing platforms and take into account new applications, artificial intelligence elements, advanced analytics, and operating systems. Accordingly, in this paper, we introduce the concept of data management to the vehicle by proposing an on-board data management layer, so that the vehicle can play the role of data platform capable of storing, processing, and diffusing data. Our proposed layer supports analytics and data science to deliver additional value from the connected vehicle data and stimulate the development of new services. In addition, our data platform can also form or contribute to shaping the backbone of data-driven transport. An on-board platform was built where the dataset size was reduced 80% and a rate of 99% accuracy was achieved in a 5 min traffic flow prediction using artificial neural networks (ANNs)","[{'title': 'Electronics', 'identifiers': ['issn:2079-9292', '2079-9292']}]",'MDPI AG',On-Board Data Management Layer: Connected Vehicle as Data Platform,,10.3390/electronics10151810,core
22706371,2007,"“Data dominates. If you&apos;ve chosen the right data structures and organized things well, the algorithms will almost always be self-evident. Data structures, not algorithms, are central to programming. (See Brooks p.102).",,,Data-Oriented Architecture: A Loosely-Coupled Real-Time SOA,,,core
460572151,,,,'Association for Computing Machinery (ACM)',Data Centric Discovery with a Data-Oriented Architecture,,10.1145/2753524.2753532,core
25810838,2014-01-01T00:00:00Z,"Subscriber/User&rsquo;s data in a Communication Service Provider&rsquo;s (CSP) Environment spread across different &ldquo;silo type&rdquo; Network Elements (subscriber data sources) and systems such as Customer Relationship Management System (CRM), Home Location Register/Visitor Location Register (HLR/VLR), Home Subscriber Server (HSS), Policy Charging Rules Function (PCRF), Business Support System/Operation Support System (BSS/OSS). The proliferation of convergent telecom applications and value added services necessitates CSPs to be equipped with unified subscriber data management systems to enable Application Service Providers and Enterprises to build and offer subscriber oriented applications and services. Rapid service development warrants the need for general inter-faces for subscriber data access rather than multiple traditional data access interfaces and associated complexities. The Proposed Aggregated Subscriber Profile Architectural Framework abstracts the Network Elements and integration complexities by providing aggregated profile to 3rd party applications. The proposed Architectural Framework is based on Data Oriented Architecture (DOA), Service Oriented Architecture principles. Proof of concept implementation details along with performance results for a typical aggregated data model defined based on previous experiences, discussed","[{'title': None, 'identifiers': ['1549-3636', 'issn:1549-3636']}]",Science Publications,A NOVEL ARCHITECTURAL FRAMEWORK FOR AGGREGATED SUBSCRIBER PROFILE,https://core.ac.uk/download/pdf/25810838.pdf,10.3844/jcssp.2014.469.476,core
23741004,2014-01-16,,,,Optimizing Data-Oriented Architecture for Generating Random Numbers Uniform with Stack Machines Indeterminate Structure,,,core
92659160,2002,,,,Formal Reasoning about Real-time Components on a Data-oriented Architecture,,,core
20904904,2007,"“Data dominates. If you&apos;ve chosen the right data structures and organized things well, the algorithms will almost always be self-evident. Data structures, not algorithms, are central to programming. (See Brooks p.102).",,,Data-Oriented Architecture,,,core
