doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/IEEM.2018.8607399,A Chatbot-supported Smart Wireless Interactive Healthcare System for Weight Control and Health Promotion,IEEE,Conferences,"People who are overweight and obese have a greater risk of developing serious diseases and health conditions. A steadily increasing trend of obesity is not only limited to developed countries, but to developing nations as well. As smartphones have rapidly gained mainstream popularity, mobile applications (apps) are used in public health as intervention to keep track of diets, activity as well as weight, which is deemed more accurate than relying on user's self-report measure, for the sake of weight management. A solution called “Smart Wireless Interactive Healthcare System” (SWITCHes) is developed to facilitate objective data reception and transmission in a real-time manner. Based on the user data acquired from SWITCHes app and the auxiliary data from medical instruments, not only SWITCHes app can engage user with tailored feedback in an interactive way, in terms of artificial intelligence-powered health chatbot, but the healthcare professional can provide the more accurate medical advice to user also. This paper presents an overview of development and implementation of SWITCHes.",https://ieeexplore.ieee.org/document/8607399/,2018 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),16-19 Dec. 2018,ieeexplore
10.1109/MeMeA49120.2020.9137356,A Content Based Image Retrieval Approach based on Multiple Multimedia Features Descriptors in E-health Environment,IEEE,Conferences,"The extensive digitalization of biomedical images and the implementation of ad hoc digital infrastructures as Picture Archiving and Communication Systems (PACS) need of novel techniques to improve their effectiveness in different e-health tasks. The improvement of processing capabilities of the computer systems allows the use of more accurate techniques to analyze biomedical images. In this context, the image retrieval process represents a key activity. For this purpose, the use of Content Based Image Retrieval (CBIR) techniques on biomedical images repository could improve the effectiveness in specific biomedical image retrieval and support the human decision making process. The aim of our paper is to implement a CBIR system based on local, global and novel deep descriptors extracted from images and compared to prove their efficiency in a real e-health scenario. Several experiments have been carried out using a real dataset and standard measures to show the effectiveness of our approach.",https://ieeexplore.ieee.org/document/9137356/,2020 IEEE International Symposium on Medical Measurements and Applications (MeMeA),1 June-1 July 2020,ieeexplore
10.1109/I2MTC43012.2020.9128840,A Health 4.0 Integrated System for Monitoring and Predicting Patient’s Health During Surgical Procedures,IEEE,Conferences,"In this work, an innovative system architecture for enhancing patient's health monitoring during surgical procedure is proposed. The proposed integrated system consists of a video see-through (VST) headset (worn by anesthetist or nurses or other member of the surgical team involved in the procedure), which shows in real-time a comprehensive set of information on the patient's health status.In particular, the operator can visualize in real-time the patient's vitals acquired from the operating room (OR) equipment and access the electronic medical records. The proposed system was designed in view of robotic surgery; therefore, an additional function is that the VST will display the real-time view of what the surgeon is looking at on his console. Finally, the system will also include a machine-learning algorithm which, starting from the medical records and from the monitored vitals, will predict possible aggravating conditions of the patient's health and provide a timely alert.The present work focuses on creating the implementation framework of the whole system, and on real-time monitoring of the patient's vitals.",https://ieeexplore.ieee.org/document/9128840/,2020 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),25-28 May 2020,ieeexplore
10.1109/ISMCR47492.2019.8955729,A Novel Architecture for Condition Based Machinery Health Monitoring on Marine Vessels Using Deep Learning and Edge Computing,IEEE,Conferences,"Condition based machinery health monitoring on marine vessels involves collecting operational sensor data on the vessel using a robust data acquisition system and determining asset health using anomaly detection analytics. Automation and digitalization of marine vessels involve smart digital technologies such as the Internet of Things (IoT) to collect ships' health data and send it over to a central processing location where this data is analyzed. However, it is difficult to apply this to the shipping industry due to offshore data transmission bandwidth challenges. Deep Learning, a technology that can be used to conduct Machinery Health Monitoring (MHM) holds the key to solve the bandwidth problems. In this paper, we investigate the use of Convolutional Neural Networks (CNN) as a practical solution for deploying Smart Health Monitoring on Marine Vessels using the example of electric induction motors. We show a mechanism to develop data-driven deep learning model that can classify if the motor is in a healthy or faulty condition, and propose an architecture to deploy this model on the Marine vessel in real time on an edge computing hardware. While in operation, sensor data from the motor will be fed into the DL Model, and the resulting predictions will be presented in the Vessel Alarm Monitoring System.",https://ieeexplore.ieee.org/document/8955729/,2019 IEEE International Symposium on Measurement and Control in Robotics (ISMCR),19-21 Sept. 2019,ieeexplore
10.1109/JCPC.2009.5420200,A Radial Basis Function Neural Network approach to detect novelties: Applications on health datasets,IEEE,Conferences,"In this paper we propose a novelty detection approach based on radial basis function neural networks (RBFNN), Markov chains and entropy. We employed it to model novel states and temporal relationships of health datasets.We conduct experiments with one synthetic dataset and three real-world ones available at the UCI repository. For every experiment we present accuracy, precision, recall, specificity, false positive rate, false negative rate and f-measure. Results are promising and confirm the benefits of the proposed approach.",https://ieeexplore.ieee.org/document/5420200/,2009 Joint Conferences on Pervasive Computing (JCPC),3-5 Dec. 2009,ieeexplore
10.1109/ICTAI.2008.50,A Tool for Training Primary Health Care Medical Students: The Virtual Simulated Patient,IEEE,Conferences,"In this paper we present an embodied conversational agent (ECA) that simulates a real human patient presenting several symptoms for training medical students in the field of primary health care. Students interview the ECA to diagnose his diseases as a doctor would do in a real situation. This virtual patient can communicate using natural language and express different moods that depend on the diseases he suffers from and the studentpsilas behavior. The ECApsilas behavior is done by means of the coordination of several modules devoted to different tasks: natural language understanding, dialogue management, emotional state control and natural language generation. An ontology that gathers the domain knowledge of the agent specifies a semantic language that the modules use to communicate themselves. The system has two kinds of advantages. First, it offers a way to put in practice the theoretical knowledge acquired by the students in their degree courses and to improve the diagnostic and communicative skills decreasing the learning curve of these abilities, setting them for an interview process like the one they are going to face in their real job. Second, the system is ready to use at any time without needing special or expensive equipment, only a standard PC.",https://ieeexplore.ieee.org/document/4669774/,2008 20th IEEE International Conference on Tools with Artificial Intelligence,3-5 Nov. 2008,ieeexplore
10.1109/PHM.2017.8079223,A model learning strategy adapted to health assessment of multi-component systems,IEEE,Conferences,"For the issue of multi-component system health assessment, an approach of steady algebraic system model learning from the condition data collected over the system serving period was discussed. Faced with the problem of measurement deficiency and inter-component coupling in system working process modeling and drift evaluation, an inclusive data-driven framework supported with corresponding domain knowledge was proposed, aimed at building up appropriate component-level surrogate models and having them organized in agreement with conservation laws and other real-in-world physical constraints. The comparison between component performance curves before and after degradation was achieved by feeding the learning model with corresponding condition data. The efficacy and interpretability of the proposed methodology was validated by implementation on health assessment process of a type of commercial aircraft turbofan-engine, and provided detailed degradation status which is in accordance with real degradation modes of engine components.",https://ieeexplore.ieee.org/document/8079223/,2017 Prognostics and System Health Management Conference (PHM-Harbin),9-12 July 2017,ieeexplore
10.1109/ISIE.2010.5636862,A versatile context-aware pervasive monitoring system: Validation and characterization in the health-care domain,IEEE,Conferences,"This paper presents a proposal for a context-aware framework for alert generation. The framework is organized according to a general purpose agent-based architecture, centered around an ontological context representation. The ontology provides the vocabulary upon which software agents interoperate and perform rule-based reasoning. The system components and their coordinated operations are described and a challenging application in the home-care scenario is presented. Customization efforts and validation numerical results are provided in such real-life scenario, thus demonstrating the effectiveness of the implemented framework.",https://ieeexplore.ieee.org/document/5636862/,2010 IEEE International Symposium on Industrial Electronics,4-7 July 2010,ieeexplore
10.1109/ITAB.2010.5687801,A web 2.0 telemedicine system integrating TV-centric services and Personal Health Records,IEEE,Conferences,"In this paper we propose a novel telemedicine system capable of medical data acquisition, transmission, integration and analysis. In detail, the proposed system consists of: 1) a wearable acquisition system for ECG (electrocardiogram), EEG (electroencephalogram), body temperature and blood pressure, 2) a storage/analysis center where the acquired medical data are integrated into a Personal Health Record (PHR) system that also provides data analysis tools that can assist medical doctors in their diagnosis, and 3) a TV-centric set-top-box that manages both patient-medical doctor communication and interactive services, such as customized TV channels promoting individual adoption of healthy lifestyles and self-care. The proposed system uses standard semantic web technologies, such as RDF, and common ontologies, such as FOAF and CCR, for data description and integration. This makes the system a “Medicine 2.0” application, interoperable with existing medical data storage/analysis systems.",https://ieeexplore.ieee.org/document/5687801/,Proceedings of the 10th IEEE International Conference on Information Technology and Applications in Biomedicine,3-5 Nov. 2010,ieeexplore
10.1109/HONET.2019.8907997,AR-IoMT Mental Health Rehabilitation Applications for Smart Cities,IEEE,Conferences,"Augmented Reality (AR) applications provide major opportunities for healthcare. Mental health rehabilitation in particular is an area that stands to gain from innovations in this field. Debilitating medical conditions related to traumatic brain injuries, aging, and drug abuse, can take advantage from the benefits that these applications provide. Coupled with IoMT (Internet of Medical Things) sensors and machine learning, effective system implementations that predict mental rehabilitation outcomes can be built. This can help in administering better treatment protocols. The collective use of these technologies for therapeutic approaches to alter patient behaviour at a physiological level falls in the emerging field of Digital Therapeutics (DT). In this paper, the current state of AR for mental health rehabilitation is described and used to motivate the implementation of a proof of concept mental DT rehabilitation system developed by us. Similar AR-IoMT systems can reduce inpatient counts in smart cities where an increase in aging populations is already a concern, and existing healthcare resources may be clogged up due to minor inpatient health checkups. In addition, the paper discusses the deployment challenges of the implemented system, which include the lack and need thereof of a standardized protocol for IoMT data collection and analysis for cross interoperability across different healthcare providers and vendors.",https://ieeexplore.ieee.org/document/8907997/,2019 IEEE 16th International Conference on Smart Cities: Improving Quality of Life Using ICT & IoT and AI (HONET-ICT),6-9 Oct. 2019,ieeexplore
