id,datePublished,description,title,downloadUrl,publisher,journals,doi,database
24277257,1995,"Operation of an autonomous vehicle in a real-world environment requires capabilities for real-time processing of uncertain, incomplete, and approximate information. We report progress in the development of methods for robust autonomous navigation of autonomous vehicles in unstructured environments. We focus in particular on those issues where the use of techniques based on fuzzy logic has proved to be particularly helpful with emphasis on the representation and execution of complex navigation plans. We illustrate our discussion with examples taken from experimental implementation of these techniques on Flakey, the mobile robot of the Artificial Intelligence Center of SRI International.    On leave from Iridia, Universit&apos;e Libre de Bruxelles, Brussels, Belgium.  1 Introduction  The development of techniques to plan and execute autonomous-vehicle actions in a real-world unstructured environment requires consideration of multiple issues. First, knowledge about the environment is, in gene..",Progress in Research on Autonomous Vehicle Motion Planning,,,,,core
323052297,2019-07-01T00:00:00,"In this work, a real-time unobtrusive heart rate monitoring system is proposed and implemented. The proposed system aims to monitor the heart rate of the passengers by using a low-cost camera, which can be readily embedded in the car's rear-view mirror. Additionally, we integrate this system with the main system of our test driverless car, and we propose how driverless cars should act in response to serious medical emergency situations. Moreover, we investigate how this system can benefit from the promising features of Google I/O and Google AI. Our approach is based on Remote Photoplethysmography (rPPG), in which the heart rate is extracted from the subtle tiny changes occurring in the skin color of the face during every pulsation. The face is automatically detected and tracked, then the raw signal is calculated from each frame over a 10-seconds sliding window. After that, a series of signal processing techniques are implemented on the raw signals to recover the heart rate frequency. Finally, the resultant heart rate measurements are processed and stored, then we compare it with ground truth measurements values obtained using pulse oximeter","Improvement of Driverless Cars' Passengers on Board Health and Safety, using Low-Cost Real-Time Heart Rate Monitoring System",,,,,core
363919914,2020-12-01T08:00:00,"The modern world is constantly in a state of technological revolution. Everyday some new technological idea, invention, or threat emerges. With modern computer software and hardware advancements, we have the emergence of more internet-enabled devices - or, Internet of Things (IoT) devices. We can now create large networks with any device to gather real-time information about an environment. In conjunction, modern car companies across the board have a push from public demand for a fully-autonomous car. In order to accomplish autonomy safely and effectively, Vehicular Ad-Hoc Networks (VANETs) must be established for a local group of cars and their environment to ensure all correct and relevant information is communicated throughout the network. The data collected in a VANET can be passed to machine learning models in order to predict possible conditions and detect anomalies. This thesis explores different ways of clustering local groups of vehicles along with machine learning algorithms to predict where vehicles are likely to be and detect false or impossible information",Clustering algorithms to further enhance predictable situational data in vehicular ad-hoc networks,https://core.ac.uk/download/363919914.pdf,UTC Scholar,,,core
268924452,2019-01-01T00:00:00,"Актуальность исследования обусловлена необходимостью создания современных компьютерных систем для мониторинга опасных технологических объектов предприятий нефтегазовой отрасли. Цель: создание интеллектуальной системы компьютерного зрения беспилотных летательных аппаратов, позволяющей вести мониторинг опасных технологических объектов и анализ данных мониторинга в режиме реального времени на борту беспилотных летательных аппаратов. Объекты: концепция построения интеллектуальной системы компьютерного зрения; новые архитектуры свёрточных нейронных сетей, аппаратно-реализованные на программируемых логических интегральных схемах; метод унификации вычислительных блоков и способы параллельных вычислений в аппаратных свёрточных нейронных сетях; алгоритмы помехоустойчивого кодирования/декодирования данных при обменах сообщениями между наземной и бортовой компонентами интеллектуальной системы компьютерного зрения. Методы: методы классификации и детектирования объектов на изображениях с помощью свёрточных нейронных сетей; методы глубокого обучения свёрточных нейронных сетей; методы проектирования программно-аппаратных систем. Результаты. Проведён анализ современного состояния исследований в области систем мониторинга опасных технологических объектов предприятий нефтегазовой отрасли; разработана концепция создания интеллектуальной системы компьютерного зрения на основе беспилотных летательных аппаратов для мониторинга опасных объектов. Базовой в концепции является идея анализа изображений, полученных при мониторинге технологических объектов и прилегающих к ним территорий, непосредственно на борту беспилотных летательных аппаратов в режиме реального времени. Более того, показано, что для обеспечения такого анализа в реальном времени необходимо применять аппаратно-реализованные свёрточные нейронные сети. Для интеллектуальной системы компьютерного зрения разработаны архитектуры свёрточных нейронных сетей из перспективных подклассов LeNet5 и YOLO; предложены алгоритмы помехоустойчивого кодирования/декодирования данных при обмене сообщениями между наземной и бортовой компонентами системы компьютерного зрения; разработан оригинальный метод организации вычислений в аппаратных свёрточных нейронных сетях на программируемых логических интегральных схемах, отличающийся от известных использованием унифицированных вычислительных блоков; предложены новые способы параллельных вычислений в слоях таких свёрточных нейронных сетей. Разработана архитектура вычислительного устройства беспилотных летательных аппаратов, включающего блоки аппаратной свёрточной нейронной сети и кодер/декодер данных. Устройство создано на основе системы на кристалле Cyclone V SX компании Altera; получены первые результаты исследования эффективности этого устройства; разработано программное обеспечение наземной компоненты системы компьютерного зрения.The relevance of the research is caused by the necessity to develop modern computer vision systems for monitoring hazardous techno- logical objects of oil and gas industry. The main aim of the research is to develop the intelligent computer vision system for unmanned aerial vehicles, which allows monitoring dangerous technological objects and analyzing the monitoring data in real-time on the board of the unmanned aerial vehicle. Objects: the concept of construction of intelligent computer vision system; new architectures of convolutional neural networks hardware- based using field programmable gate array; the method of unification of computing blocks and ways of parallel calculation in hardware-based convolutional neural networks; algorithms of error-correction encoding and decoding data for exchanging message between ground and airborne components of the intelligent computer vision system. Methods: methods of detection and classification objects in images using convolutional neural networks; convolutional neural network deep learning methods; methods of designing software and hardware systems. Results. We have been analyzed the current state of research in the field of monitoring hazardous technological objects of the oil and gas industry and developed the concept of construction of intelligent computer vision system for unmanned aerial vehicles for monitoring dangerous objects. The idea of analyzing the images, obtained at monitoring of technological objects and surrounding areas, directly onboard of the unmanned aerial vehicle in real time was the base in this concept. Moreover, it is shown that the use of hardware- based convolutional neural networks for providing such analysis in real time is required. The authors developed the convolutional neural networks architectures for computer vision system from promising subclasses LeNet5 and YOLO and proposed the algorithms of error- correction data encoding/decoding for messages exchanging between these components, considering the specifics of ground and air- borne components. The authors developed the original method of organizing calculation in hardware-based convolutional neural net- works using field programmable gate array, which differs from the known ones by using the unified computing blocks and new ways of parallel calculation in layers in these convolutional neural networks. They proposed the architecture of computing device of the unmanned aerial vehicle which includes the blocks of the hardware-based convolutional neural networks and the data encoder/decoder. This device is based on the Altera Cyclone V SX system-on-a-chip. The paper demonstrates the first results of studying the device efficiency. The authors developed the software for the ground component of the computer vision system",Intelligent computer vision system for unmanned aerial vehicles for monitoring technological objects of oil and gas industry,,'National Research Tomsk Polytechnic University',"[{'title': 'Izvestiya Tomskogo Politekhnicheskogo Universiteta Inziniring Georesursov', 'identifiers': ['issn:2413-1830', '2413-1830']}]",10.18799/24131830/2019/11/2346,core
479176085,2021-10-27T00:00:00,"Behavior prediction remains one of the most challenging tasks in the
autonomous vehicle (AV) software stack. Forecasting the future trajectories of
nearby agents plays a critical role in ensuring road safety, as it equips AVs
with the necessary information to plan safe routes of travel. However, these
prediction models are data-driven and trained on data collected in real life
that may not represent the full range of scenarios an AV can encounter. Hence,
it is important that these prediction models are extensively tested in various
test scenarios involving interactive behaviors prior to deployment. To support
this need, we present a simulation-based testing platform which supports (1)
intuitive scenario modeling with a probabilistic programming language called
Scenic, (2) specifying a multi-objective evaluation metric with a partial
priority ordering, (3) falsification of the provided metric, and (4)
parallelization of simulations for scalable testing. As a part of the platform,
we provide a library of 25 Scenic programs that model challenging test
scenarios involving interactive traffic participant behaviors. We demonstrate
the effectiveness and the scalability of our platform by testing a trained
behavior prediction model and searching for failure scenarios.Comment: Accepted to the NeurIPS 2021 Workshop on Machine Learning for
  Autonomous Drivin","A Scenario-Based Platform for Testing Autonomous Vehicle Behavior
  Prediction Models in Simulation",http://arxiv.org/abs/2110.14870,,,,core
427549556,2021-01-01T08:00:00,"With the widespread deployment of sensors and the Internet-of-Things, multi-view data have become more common and publicly available. For example, a self-driving car uses radar, lidar, and camera sensors to collect real-time 3D information to drive safely on the road; disease diagnosis models utilize multiple modalities of neuroimage data, clinical scores, and genetics measurements for disease prediction; object detection techniques prefer object images from different views for high-fidelity recognition. The presence of multiple information sources provides an opportunity of learning better representations to improve performance by analyzing multiple views simultaneously and also poses great challenges for the existing data representation algorithms. First, different views tend to be treated as different domains from different distributions due to the view discrepancy. Second, they often require large-scale labeled data to sufficiently learn such representations, which significantly hinders their adaption into unsupervised learning tasks, and limits their applications into critical domains where obtaining massive labeled data is prohibitively expensive. To enable learning on those domains, this dissertation focuses on robust representation learning-based algorithms to alleviate the view discrepancy of the multi-view data in an unsupervised manner.
Specially, we explore two scenarios upon data association for robust representation learning of multi-view data: First, the samples across different views have a sample-wise association in multi-view data, falling in the multi-view clustering scenario; Second, the samples across different views have a class-wise association, falling in the unsupervised domain adaption scenario, where the discriminant knowledge (representations) of views with labeled data samples are transferred to the views with unlabeled data samples",MULTI-VIEW ROBUST REPRESENTATION LEARNING,https://core.ac.uk/download/427549556.pdf,DigitalCommons@URI,,,core
188391480,2018-01-01T00:00:00,"PreCrash problem of Intelligent Control of autonomous vehicles robot is a very complex problem, especially vehicle pre-crash scenarios and at points of intersections in real-time environments. The goal of this research is to develop a new artificial intelligent adaptive controller for autonomous vehicle Pre-Crash system along with vehicle recognition module and tested in MATLAB including some detailed modules. Following tasks were set: finding Objects in sensor Data (LiDAR. RADAR), Speed and Steering control, vehicle Recognition using convolution neural network and Alexnet. In this research paper, we implemented a real-time image/Lidar processing. At the beginning, we presented a real-time system which is composed of comprehensive modules, these modules are 3d object detection, object clustering and search, ground removal, deep learning using convolutional neural networks. Starting with nearest vehicle module our target is to find the nearest ahead car and consider it as our primary obstacle. This paper presents an Adaptive cruise pre-crash system and vehicle recognition. The Adaptive cruise pre-crash system module depends on Deep Learning and LiDAR sensor data, which meant to control the driver reckless behavior on the road by adjusting the vehicle speed to maintain a safe distance from objects ahead (such as cars, humans, bicycle or whatever the object) when the driver tries to raise speed. At the very moment the vehicle recognition module, detects and recognizes the vehicles surrounding to the car",A hybrid liar/radar-based deep learning and vehicle recognition engine for autonomous vehicle Precrash control,https://core.ac.uk/download/188391480.pdf,'Private Company Technology Center',,10.15587/1729-4061.2018.141298,core
387296980,2021-03-25T00:00:00,"In the domain of visual tracking, most deep learning-based trackers highlight
the accuracy but casting aside efficiency. Therefore, their real-world
deployment on mobile platforms like the unmanned aerial vehicle (UAV) is
impeded. In this work, a novel two-stage Siamese network-based method is
proposed for aerial tracking, i.e., stage-1 for high-quality anchor proposal
generation, stage-2 for refining the anchor proposal. Different from
anchor-based methods with numerous pre-defined fixed-sized anchors, our
no-prior method can 1) increase the robustness and generalization to different
objects with various sizes, especially to small, occluded, and fast-moving
objects, under complex scenarios in light of the adaptive anchor generation, 2)
make calculation feasible due to the substantial decrease of anchor numbers. In
addition, compared to anchor-free methods, our framework has better performance
owing to refinement at stage-2. Comprehensive experiments on three benchmarks
have proven the superior performance of our approach, with a speed of around
200 frames/s",Siamese Anchor Proposal Network for High-Speed Aerial Tracking,http://arxiv.org/abs/2012.10706,,,,core
105437653,2016-09-02,"The Experimental Autonomous Vehicle- West (EAVE-West) submersible testbed has been configured for demonstrating a distributable software architecture for Autonomous Undersea Vehicle (AUV) plan execution. Instead of using a machine planner aboard the AUV, plans are represented and then downloaded to the vehicle. This technique obviates the problems associated with planning and, as a result, the real-time response of the AUV can potentially be improved. A review of the architecture is given and the EAVE-West demonstration system is discussed. r.cL0 L- ~  ~  ~  / /A IntroduAtion To potentially reduce costs, reduce personnel risks, and increase overall system performance, undersea vehicle tasks are being automated. Remotely Operated Vehicles (ROVs) have already exploited a certain limited aucomation capability through the use of embeddable microprocessors, real-time software, and Artificial Intelligence techniques [Doeling and Harding 87]. In particular, supervisory controlled or &quot;telerobotic &quot; ROVs have progressively automated vehicle control tasks which previously required the attention of a human operator. By developing structured methodologies that will accelerate and advance the degree of ROV task automation, more flexible autonomous capability can be made possible for future vehicle systems. Underwater ROVs developed from the need to perform such generic missions as undersea search, recovery, and inspection operations. Originally, such unmanned undersea vehicles were basically teleoperators or controlled via a master-slave configuration, and therefore, none of the vehicle tasks were automated. Dr. Tom Sheridan developed a system architecture he called supervisory control, whereafter NOSC demonstrated this supervisory control architecture on an undersea manipulator [Yoerger and Sheridan 831. This means of control was adopted fordeveloping advanced untethered submersibles, as well. Using this system architecture, tasks previously performed manually, couldbe automated. Because a microprocessor could be embedded into a vehicle, a vehicle could be configured to perform well define",EAVE-West: A Testbed For Plan Execution,,,,,core
201126353,2019-06-01T00:00:00,"Airborne Gamma Ray Spectrometry (AGRS) with its important applications such as gathering radiation information of ground surface, geochemistry measuring of the abundance of Potassium, Thorium and Uranium in outer earth layer, environmental and nuclear site surveillance has a key role in the field of nuclear science and human life. The Broyden–Fletcher–Goldfarb–Shanno (BFGS), with its advanced numerical unconstrained nonlinear optimization in collaboration with Artificial Neural Networks (ANNs) provides a noteworthy opportunity for modern AGRS. In this study a new AGRS system empowered by ANN-BFGS has been proposed and evaluated on available empirical AGRS data. To that effect different architectures of adaptive ANN-BFGS were implemented for a sort of published experimental AGRS outputs. The selected approach among of various training methods, with its low iteration cost and non-diagonal scaling allocation is a new powerful algorithm for AGRS data due to its inherent stochastic properties. Experiments were performed by different architectures and trainings, the selected scheme achieved the smallest number of epochs, the minimum Mean Square Error (MSE) and the maximum performance in compare with different types of optimization strategies and algorithms. The proposed method is capable to be implemented on a cost effective and minimum electronic equipment to present its real-time process, which will let it to be used on board a light Unmanned Aerial Vehicle (UAV). The advanced adaptation properties and models of neural network, the training of stochastic process and its implementation on DSP outstands an affordable, reliable and low cost AGRS design. The main outcome of the study shows this method increases the quality of curvature information of AGRS data while cost of the algorithm is reduced in each iteration so the proposed ANN-BFGS is a trustworthy appropriate model for Gamma-ray data reconstruction and analysis based on advanced novel artificial intelligence systems. Keywords: Artificial neural networks, BFGS training algorithm, Airborne gamma ray spectrometry, Nuclear site surveillanc",Numerical evaluation of gamma radiation monitoring,,'Elsevier BV',"[{'title': 'Nuclear Engineering and Technology', 'identifiers': ['issn:1738-5733', '1738-5733']}]",10.1016/j.net.2018.12.020,core
