paperId,url,title,abstract,venue,year,externalIds.DOI,externalIds.CorpusId,database
d1a54ff8464a2b832c297ff9255965ade150a0c7,https://www.semanticscholar.org/paper/d1a54ff8464a2b832c297ff9255965ade150a0c7,Meta-learning Spiking Neural Networks with Surrogate Gradient Descent,"Adaptive “life-long” learning at the edge and during online task performance is an aspirational goal of AI research. Neuromorphic hardware implementing Spiking Neural Networks (SNNs) are particularly attractive in this regard, as their real-time, event-based, local computing paradigm makes them suitable for edge implementations and fast learning. However, the long and iterative learning that characterizes state-of-the-art SNN training is incompatible with the physical nature and real-time operation of neuromorphic hardware. Bi-level learning, such as meta-learning is increasingly used in deep learning to overcome these limitations. In this work, we demonstrate gradient-based meta-learning in SNNs using the surrogate gradient method that approximates the spiking threshold function for gradient estimations. Because surrogate gradients can be made twice differentiable, well-established, and effective second-order gradient meta-learning methods such as Model Agnostic Meta Learning (MAML) can be used. We show that SNNs meta-trained using MAML match or exceed the performance of conventional Artificial Neural Networks (ANNs) meta-trained with MAML on event-based meta-datasets. Furthermore, we demonstrate the specific advantages that accrue from meta-learning: fast learning without the requirement of high precision weights or gradients. Our results emphasize how meta-learning techniques can become instrumental for deploying neuromorphic learning technologies on real-world problems. ar X iv :2 20 1. 10 77 7v 1 [ cs .N E ] 2 6 Ja n 20 22 Meta-learning Spiking Neural Networks with Surrogate Gradient Descent 2",ArXiv,2022.0,,246285316,semantic_scholar
5adc8c5ee72d9bfba627323baab2e600e492ad3b,https://www.semanticscholar.org/paper/5adc8c5ee72d9bfba627323baab2e600e492ad3b,"Design, Development, and Validation of an Augmented Reality-Enabled Production Strategy Process","The Production Strategy Process (PSP) is an integral part of production planning and control as it defines how production processes are structured and designed and outlines how production will be executed. PSP involves massive information transfer and communication among project participants. While BIM can improve the flow of information, the paradox of designing 3D models in 2D space remains. This paradox indicates that new visualization technologies are needed to leverage the use of information in the PSP. As Industry 4.0, the fourth industrial revolution, continues to evolve, it is imperative that construction firms seek, find, and adopt new technologies. This research employed Augmented Reality (AR) as a new user interface in the PSP. The current state of practice of PSP was investigated and current challenges are identified. The opportunities to integrate AR were defined, and an AR-enabled future state was proposed. Next, an AR-enabled PSP prototype using the Microsoft HoloLens was implemented and validated on a real-world healthcare project. Usability testing was then conducted using a one-on-one protocol to validate the prototype with 20 participants. Surveys were the deployed to qualitatively assess the impact of integrating AR into PSP. The difference between the traditional PSP and the AR-enabled PSP was tested through a series of hypotheses comparing both processes. The results demonstrate that the AR-enabled PSP offers significant benefits over the Traditional PSP: improved collaboration, reduced miscommunication, increased quality and detection of errors, enhanced decision-making, better documentation, better information access, improved information flow, increased input accuracy, and increased integration of safety considerations. Additionally, the technology, software, and hardware were also evaluated, and, on average, the findings demonstrated the potential of AR in production planning.",Frontiers in Built Environment,2022.0,10.3389/fbuil.2022.730098,246491609,semantic_scholar
d1a54ff8464a2b832c297ff9255965ade150a0c7,https://www.semanticscholar.org/paper/d1a54ff8464a2b832c297ff9255965ade150a0c7,Meta-learning Spiking Neural Networks with Surrogate Gradient Descent,"Adaptive “life-long” learning at the edge and during online task performance is an aspirational goal of AI research. Neuromorphic hardware implementing Spiking Neural Networks (SNNs) are particularly attractive in this regard, as their real-time, event-based, local computing paradigm makes them suitable for edge implementations and fast learning. However, the long and iterative learning that characterizes state-of-the-art SNN training is incompatible with the physical nature and real-time operation of neuromorphic hardware. Bi-level learning, such as meta-learning is increasingly used in deep learning to overcome these limitations. In this work, we demonstrate gradient-based meta-learning in SNNs using the surrogate gradient method that approximates the spiking threshold function for gradient estimations. Because surrogate gradients can be made twice differentiable, well-established, and effective second-order gradient meta-learning methods such as Model Agnostic Meta Learning (MAML) can be used. We show that SNNs meta-trained using MAML match or exceed the performance of conventional Artificial Neural Networks (ANNs) meta-trained with MAML on event-based meta-datasets. Furthermore, we demonstrate the specific advantages that accrue from meta-learning: fast learning without the requirement of high precision weights or gradients. Our results emphasize how meta-learning techniques can become instrumental for deploying neuromorphic learning technologies on real-world problems. ar X iv :2 20 1. 10 77 7v 1 [ cs .N E ] 2 6 Ja n 20 22 Meta-learning Spiking Neural Networks with Surrogate Gradient Descent 2",ArXiv,2022.0,,246285316,semantic_scholar
5adc8c5ee72d9bfba627323baab2e600e492ad3b,https://www.semanticscholar.org/paper/5adc8c5ee72d9bfba627323baab2e600e492ad3b,"Design, Development, and Validation of an Augmented Reality-Enabled Production Strategy Process","The Production Strategy Process (PSP) is an integral part of production planning and control as it defines how production processes are structured and designed and outlines how production will be executed. PSP involves massive information transfer and communication among project participants. While BIM can improve the flow of information, the paradox of designing 3D models in 2D space remains. This paradox indicates that new visualization technologies are needed to leverage the use of information in the PSP. As Industry 4.0, the fourth industrial revolution, continues to evolve, it is imperative that construction firms seek, find, and adopt new technologies. This research employed Augmented Reality (AR) as a new user interface in the PSP. The current state of practice of PSP was investigated and current challenges are identified. The opportunities to integrate AR were defined, and an AR-enabled future state was proposed. Next, an AR-enabled PSP prototype using the Microsoft HoloLens was implemented and validated on a real-world healthcare project. Usability testing was then conducted using a one-on-one protocol to validate the prototype with 20 participants. Surveys were the deployed to qualitatively assess the impact of integrating AR into PSP. The difference between the traditional PSP and the AR-enabled PSP was tested through a series of hypotheses comparing both processes. The results demonstrate that the AR-enabled PSP offers significant benefits over the Traditional PSP: improved collaboration, reduced miscommunication, increased quality and detection of errors, enhanced decision-making, better documentation, better information access, improved information flow, increased input accuracy, and increased integration of safety considerations. Additionally, the technology, software, and hardware were also evaluated, and, on average, the findings demonstrated the potential of AR in production planning.",Frontiers in Built Environment,2022.0,10.3389/fbuil.2022.730098,246491609,semantic_scholar
5adc8c5ee72d9bfba627323baab2e600e492ad3b,https://www.semanticscholar.org/paper/5adc8c5ee72d9bfba627323baab2e600e492ad3b,"Design, Development, and Validation of an Augmented Reality-Enabled Production Strategy Process","The Production Strategy Process (PSP) is an integral part of production planning and control as it defines how production processes are structured and designed and outlines how production will be executed. PSP involves massive information transfer and communication among project participants. While BIM can improve the flow of information, the paradox of designing 3D models in 2D space remains. This paradox indicates that new visualization technologies are needed to leverage the use of information in the PSP. As Industry 4.0, the fourth industrial revolution, continues to evolve, it is imperative that construction firms seek, find, and adopt new technologies. This research employed Augmented Reality (AR) as a new user interface in the PSP. The current state of practice of PSP was investigated and current challenges are identified. The opportunities to integrate AR were defined, and an AR-enabled future state was proposed. Next, an AR-enabled PSP prototype using the Microsoft HoloLens was implemented and validated on a real-world healthcare project. Usability testing was then conducted using a one-on-one protocol to validate the prototype with 20 participants. Surveys were the deployed to qualitatively assess the impact of integrating AR into PSP. The difference between the traditional PSP and the AR-enabled PSP was tested through a series of hypotheses comparing both processes. The results demonstrate that the AR-enabled PSP offers significant benefits over the Traditional PSP: improved collaboration, reduced miscommunication, increased quality and detection of errors, enhanced decision-making, better documentation, better information access, improved information flow, increased input accuracy, and increased integration of safety considerations. Additionally, the technology, software, and hardware were also evaluated, and, on average, the findings demonstrated the potential of AR in production planning.",Frontiers in Built Environment,2022,10.3389/fbuil.2022.730098,246491609,semantic_scholar
d1a54ff8464a2b832c297ff9255965ade150a0c7,https://www.semanticscholar.org/paper/d1a54ff8464a2b832c297ff9255965ade150a0c7,Meta-learning Spiking Neural Networks with Surrogate Gradient Descent,"Adaptive “life-long” learning at the edge and during online task performance is an aspirational goal of AI research. Neuromorphic hardware implementing Spiking Neural Networks (SNNs) are particularly attractive in this regard, as their real-time, event-based, local computing paradigm makes them suitable for edge implementations and fast learning. However, the long and iterative learning that characterizes state-of-the-art SNN training is incompatible with the physical nature and real-time operation of neuromorphic hardware. Bi-level learning, such as meta-learning is increasingly used in deep learning to overcome these limitations. In this work, we demonstrate gradient-based meta-learning in SNNs using the surrogate gradient method that approximates the spiking threshold function for gradient estimations. Because surrogate gradients can be made twice differentiable, well-established, and effective second-order gradient meta-learning methods such as Model Agnostic Meta Learning (MAML) can be used. We show that SNNs meta-trained using MAML match or exceed the performance of conventional Artificial Neural Networks (ANNs) meta-trained with MAML on event-based meta-datasets. Furthermore, we demonstrate the specific advantages that accrue from meta-learning: fast learning without the requirement of high precision weights or gradients. Our results emphasize how meta-learning techniques can become instrumental for deploying neuromorphic learning technologies on real-world problems. ar X iv :2 20 1. 10 77 7v 1 [ cs .N E ] 2 6 Ja n 20 22 Meta-learning Spiking Neural Networks with Surrogate Gradient Descent 2",ArXiv,2022.0,,246285316,semantic_scholar
5adc8c5ee72d9bfba627323baab2e600e492ad3b,https://www.semanticscholar.org/paper/5adc8c5ee72d9bfba627323baab2e600e492ad3b,"Design, Development, and Validation of an Augmented Reality-Enabled Production Strategy Process","The Production Strategy Process (PSP) is an integral part of production planning and control as it defines how production processes are structured and designed and outlines how production will be executed. PSP involves massive information transfer and communication among project participants. While BIM can improve the flow of information, the paradox of designing 3D models in 2D space remains. This paradox indicates that new visualization technologies are needed to leverage the use of information in the PSP. As Industry 4.0, the fourth industrial revolution, continues to evolve, it is imperative that construction firms seek, find, and adopt new technologies. This research employed Augmented Reality (AR) as a new user interface in the PSP. The current state of practice of PSP was investigated and current challenges are identified. The opportunities to integrate AR were defined, and an AR-enabled future state was proposed. Next, an AR-enabled PSP prototype using the Microsoft HoloLens was implemented and validated on a real-world healthcare project. Usability testing was then conducted using a one-on-one protocol to validate the prototype with 20 participants. Surveys were the deployed to qualitatively assess the impact of integrating AR into PSP. The difference between the traditional PSP and the AR-enabled PSP was tested through a series of hypotheses comparing both processes. The results demonstrate that the AR-enabled PSP offers significant benefits over the Traditional PSP: improved collaboration, reduced miscommunication, increased quality and detection of errors, enhanced decision-making, better documentation, better information access, improved information flow, increased input accuracy, and increased integration of safety considerations. Additionally, the technology, software, and hardware were also evaluated, and, on average, the findings demonstrated the potential of AR in production planning.",Frontiers in Built Environment,2022.0,10.3389/fbuil.2022.730098,246491609,semantic_scholar
d1a54ff8464a2b832c297ff9255965ade150a0c7,https://www.semanticscholar.org/paper/d1a54ff8464a2b832c297ff9255965ade150a0c7,Meta-learning Spiking Neural Networks with Surrogate Gradient Descent,"Adaptive “life-long” learning at the edge and during online task performance is an aspirational goal of AI research. Neuromorphic hardware implementing Spiking Neural Networks (SNNs) are particularly attractive in this regard, as their real-time, event-based, local computing paradigm makes them suitable for edge implementations and fast learning. However, the long and iterative learning that characterizes state-of-the-art SNN training is incompatible with the physical nature and real-time operation of neuromorphic hardware. Bi-level learning, such as meta-learning is increasingly used in deep learning to overcome these limitations. In this work, we demonstrate gradient-based meta-learning in SNNs using the surrogate gradient method that approximates the spiking threshold function for gradient estimations. Because surrogate gradients can be made twice differentiable, well-established, and effective second-order gradient meta-learning methods such as Model Agnostic Meta Learning (MAML) can be used. We show that SNNs meta-trained using MAML match or exceed the performance of conventional Artificial Neural Networks (ANNs) meta-trained with MAML on event-based meta-datasets. Furthermore, we demonstrate the specific advantages that accrue from meta-learning: fast learning without the requirement of high precision weights or gradients. Our results emphasize how meta-learning techniques can become instrumental for deploying neuromorphic learning technologies on real-world problems. ar X iv :2 20 1. 10 77 7v 1 [ cs .N E ] 2 6 Ja n 20 22 Meta-learning Spiking Neural Networks with Surrogate Gradient Descent 2",ArXiv,2022.0,,246285316,semantic_scholar
5adc8c5ee72d9bfba627323baab2e600e492ad3b,https://www.semanticscholar.org/paper/5adc8c5ee72d9bfba627323baab2e600e492ad3b,"Design, Development, and Validation of an Augmented Reality-Enabled Production Strategy Process","The Production Strategy Process (PSP) is an integral part of production planning and control as it defines how production processes are structured and designed and outlines how production will be executed. PSP involves massive information transfer and communication among project participants. While BIM can improve the flow of information, the paradox of designing 3D models in 2D space remains. This paradox indicates that new visualization technologies are needed to leverage the use of information in the PSP. As Industry 4.0, the fourth industrial revolution, continues to evolve, it is imperative that construction firms seek, find, and adopt new technologies. This research employed Augmented Reality (AR) as a new user interface in the PSP. The current state of practice of PSP was investigated and current challenges are identified. The opportunities to integrate AR were defined, and an AR-enabled future state was proposed. Next, an AR-enabled PSP prototype using the Microsoft HoloLens was implemented and validated on a real-world healthcare project. Usability testing was then conducted using a one-on-one protocol to validate the prototype with 20 participants. Surveys were the deployed to qualitatively assess the impact of integrating AR into PSP. The difference between the traditional PSP and the AR-enabled PSP was tested through a series of hypotheses comparing both processes. The results demonstrate that the AR-enabled PSP offers significant benefits over the Traditional PSP: improved collaboration, reduced miscommunication, increased quality and detection of errors, enhanced decision-making, better documentation, better information access, improved information flow, increased input accuracy, and increased integration of safety considerations. Additionally, the technology, software, and hardware were also evaluated, and, on average, the findings demonstrated the potential of AR in production planning.",Frontiers in Built Environment,2022.0,10.3389/fbuil.2022.730098,246491609,semantic_scholar
d1a54ff8464a2b832c297ff9255965ade150a0c7,https://www.semanticscholar.org/paper/d1a54ff8464a2b832c297ff9255965ade150a0c7,Meta-learning Spiking Neural Networks with Surrogate Gradient Descent,"Adaptive “life-long” learning at the edge and during online task performance is an aspirational goal of AI research. Neuromorphic hardware implementing Spiking Neural Networks (SNNs) are particularly attractive in this regard, as their real-time, event-based, local computing paradigm makes them suitable for edge implementations and fast learning. However, the long and iterative learning that characterizes state-of-the-art SNN training is incompatible with the physical nature and real-time operation of neuromorphic hardware. Bi-level learning, such as meta-learning is increasingly used in deep learning to overcome these limitations. In this work, we demonstrate gradient-based meta-learning in SNNs using the surrogate gradient method that approximates the spiking threshold function for gradient estimations. Because surrogate gradients can be made twice differentiable, well-established, and effective second-order gradient meta-learning methods such as Model Agnostic Meta Learning (MAML) can be used. We show that SNNs meta-trained using MAML match or exceed the performance of conventional Artificial Neural Networks (ANNs) meta-trained with MAML on event-based meta-datasets. Furthermore, we demonstrate the specific advantages that accrue from meta-learning: fast learning without the requirement of high precision weights or gradients. Our results emphasize how meta-learning techniques can become instrumental for deploying neuromorphic learning technologies on real-world problems. ar X iv :2 20 1. 10 77 7v 1 [ cs .N E ] 2 6 Ja n 20 22 Meta-learning Spiking Neural Networks with Surrogate Gradient Descent 2",ArXiv,2022.0,,246285316,semantic_scholar
