doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/EI2.2018.8582404,A Data-Driven Architecture Design of Stream Computing for the Dispatch and Control System of the Power Grid,IEEE,Conferences,"Physical distribution and logical unification are the crucial features of the future power grid dispatch system, which requires transmitting, processing and storing massive amounts of information. However, the traditional centralized system cannot meet these requirements. Therefore, this paper introduces the big data distribution stream processing technology, and proposes a stream computing framework suitable for the dispatch and control system of the power grid, including task definition, communication queue management, task assignment, task monitoring and task migration. Aiming at solving the problem of poor system extensibility caused by the high coupling of model data and real-time data in current SCADA system, a data decoupling method based on the separation of the dynamic date and static data is proposed, and the task decomposition of real-time data processing is adopted as a case study of the stream computing framework for the dispatch system. The stream computing framework can continuously process the borderless acquired data, and meet the requirements of real-time data distribution storage and interaction for the wide-area dispatch system of the power system.",https://ieeexplore.ieee.org/document/8582404/,2018 2nd IEEE Conference on Energy Internet and Energy System Integration (EI2),20-22 Oct. 2018,ieeexplore
10.1109/I-SPAN.2009.67,A Data-Driven Architecture for Remote Control of Sensors over a Wireless Sensor Network and the Internet,IEEE,Conferences,"This study revealed an applicable architecture in which a data-driven mechanism was designed to bridge a wireless sensor network (WSN) and the Internet. The system was divided into two independent parts. The first part is the data communication between the sensor network and the database. The other part is the data communication between the database and the user interface (UI). These two parts are connected by the database server. Asynchronous interoperation was introduced while exchanging data between these two parts. Users were not allowed to control the sensors through direct connection to the sensors and can only use the Web service to update the sensor profile built in the database. The sensors were triggered to start the action through a data-update event from the database. A sensor profile built in the database collected all sensor information and all user control command. For the information to be centralized and triggered by the database, regardless of whether sensors were measured in a periodic sampling or an event-driven environment, all sensor actions were triggered through a data-update event in the database. For the sake of improving user experience, a Web-based UI was implemented using scalable vector graphics (SVG) and Ajax technologies. All operations by users were conducted through the Hypertext Transfer Protocol (HTTP) standard method. Therefore, this system can be used via a browser and easily deployed. The proposed architecture is suitable for a healthcare system, a personal body area network, and the Infranet for control.",https://ieeexplore.ieee.org/document/5381871/,"2009 10th International Symposium on Pervasive Systems, Algorithms, and Networks",14-16 Dec. 2009,ieeexplore
10.1109/SENSORS47125.2020.9278616,A Data-Driven Architecture for Sensor Validation Based on Neural Networks,IEEE,Conferences,"In this paper, we propose a novel sensor validation architecture, which performs sensor fault detection, isolation and accommodation (SFDIA). More specifically, a machine-learning based architecture is presented to detect faults in sensors measurements within the system, identify the faulty ones and replace them with estimated values. In our proposed architecture, sensor estimators based on neural networks are constructed for each sensor node in order to accommodate faulty measurements along with a classifier to determine the failure detection and isolation. Finally, numerical results are presented to confirm the effectiveness of the proposed architecture on a publicly-available air quality (AQ) chemical multi-sensor data-set.",https://ieeexplore.ieee.org/document/9278616/,2020 IEEE SENSORS,25-28 Oct. 2020,ieeexplore
10.1109/VLSISP.1992.641055,A Data-driven Architecture For Rapid Prototyping Of High Throughput Dsp Algorithms,IEEE,Conferences,,https://ieeexplore.ieee.org/document/641055/,Workshop on VLSI Signal Processing,28-30 Oct. 1992,ieeexplore
10.1109/BigComp51126.2021.00080,A Modular Data-Driven Architecture for Empathetic Conversational Agents,IEEE,Conferences,"Empathy is a fundamental mechanism of human interactions. As such, it should be an integral part of Human-Computer Interaction systems to make them more relatable. With this work, we focused on conversational scenarios where integrating empathy is crucial to perceive the computer like a human. As a result, we derived the high-level architecture of an Empathetic Conversational Agent we are willing to implement. We relied on theories about artificial empathy to derive the function approximating this mechanism and selected the conversational aspects to control for an empathetic interaction. In particular, we designed a core empathetic controller manages the empathetic responses, predicting, at each turn, the high-level content of the response. The derived architecture integrates empathy in a task-agnostic manner; hence we can employ it in multiple scenarios by changing the objective of the controller.",https://ieeexplore.ieee.org/document/9373265/,2021 IEEE International Conference on Big Data and Smart Computing (BigComp),17-20 Jan. 2021,ieeexplore
10.1109/ICCD.1991.139885,A data-driven architecture for distributed parallel processing,IEEE,Conferences,"A single-chip data-driven microprocessor with special functions for distributed parallel processing is described. The implemented functions necessary for parallel processing are: relative addressing mode for program memory; efficient test and set operation of arbitrary data in data memory; transparent access of distributed shared memory; and dynamic load distribution among multiprocessors. With this microprocessor, practical parallel processing systems which exploit a wide area of scientific applications can be constructed.&lt;<ETX>&gt;</ETX>",https://ieeexplore.ieee.org/document/139885/,[1991 Proceedings] IEEE International Conference on Computer Design: VLSI in Computers and Processors,14-16 Oct. 1991,ieeexplore
10.1109/NOMS.2004.1317788,A distributed data driven architecture for operations support systems,IEEE,Conferences,"This paper proposes a distributed data driven architecture (D3A), devised for application to an operations support system (OSS). By applying this architecture to an OSS, it is possible to reduce OSS hardware and middleware costs, and to change OSS application programs rapidly and flexibly. To assure alarm reception processing performance at low cost, D3A is comprised of a lot of IA servers. With D3A, OSS application programs are divided into a lot of elements similar to UNIX processes. These elements are called processing elements (PEs). A PE is mounted on each IA server. Data that represents the execution sequence and execution condition of PEs is called processing configuration data (PCD). The PCD moves about among IA servers comprising an OSS. The PCD driver (PCDD) is a function to analyze the PCD, and determines the PE to be executed next and controls the route of the PCD. A commercial OSS is being developed by using D3A and will start running in June 2004.",https://ieeexplore.ieee.org/document/1317788/,2004 IEEE/IFIP Network Operations and Management Symposium (IEEE Cat. No.04CH37507),23-23 April 2004,ieeexplore
10.1109/ICCIC.2015.7435772,Data driven architecture based automated test generation for Android mobile,IEEE,Conferences,"Test generation automation using Data Driven Architecture (DDA) is a challenging task. It involves an external database to feed test inputs to a test case sequentially. Same test case is executed repeatedly in a loop, to handle different test inputs. In this paper, a method is proposed to generate DDA based tests for Android mobiles. A tool called Virtual Test Engineer (VTE), which generates tests from Sequence diagram, is extended to incorporate DDA based test generation. Sqlite database is used to store test inputs. Test driver is generated automatically from Sequence diagram in the form of XML file. An Android application package (APK) is generated automatically to handle this XML file and Sqlite database file and subsequently execute the test cases. The effectiveness of this method is discussed from experimental results. Comparison has been made of the proposed method with others and the proposed method has been found to be more effective.",https://ieeexplore.ieee.org/document/7435772/,2015 IEEE International Conference on Computational Intelligence and Computing Research (ICCIC),10-12 Dec. 2015,ieeexplore
10.1109/IMTC.1994.352173,Data driven architecture for mixed signal ATE to improve CAD connectivity,IEEE,Conferences,"This paper describes outlines of a tester architecture designed to simplify test designs of mixed signal devices. It also describes the results of integration the test environment to the CAD environment by application of the object oriented technology to controls of the test systems. It also describes the fact that, as a secondary effect of this architecture, the throughput of tests has been improved more than double the previous figures.&lt;<ETX>&gt;</ETX>",https://ieeexplore.ieee.org/document/352173/,Conference Proceedings. 10th Anniversary. IMTC/94. Advanced Technologies in I & M. 1994 IEEE Instrumentation and Measurement Technolgy Conference (Cat. No.94CH3424-9),10-12 May 1994,ieeexplore
10.1109/ISMSIT50672.2020.9254863,Personalized Quality of Experience (QOE) Management using Data Driven Architecture in 5G Wireless Networks,IEEE,Conferences,"the aim of this paper is to Personalized Quality of Experience (QOE) Management using Data driven Architecture in 5G Wireless Networks that consume less resources. The proposed research will be the part of the overall research project, which focuses on addressing a problem that many organizations experience that introduce an Enterprise Architecture to support the integration of different services across the enterprise. With the rapid growth in mobile network usage and video streaming being the most popular service, Quality of Experience of video in mobile networks is of extreme importance to both service providers and their customers. The ability to effectively predict Quality of Experience of video is key for QoE adaptation and higher levels of customer satisfaction. In this work machine learning algorithms were used to create models that predict QoE with network QoS parameters, including wireless-specific and 5Gspecific parameters. An 5G simulation that reflects the current mobile traffic landscape was created to obtain the data set for training. An objective tool for video QoE evaluation was used to gather QoE data necessary to train the prediction models. Support Vector Machines, Random Forest, Gradient Boosted Trees and Neural Networks were chosen as the machine learning algorithms for Quality of Experience prediction, and it was shown that they achieve high accuracy. Influence of wireless-specific parameters on QoE prediction was also investigated, and it was discovered that they are suitable for use in Quality of Experience prediction models.The problem is that; organizations do not know where they either have or may encounter weaknesses in their Enterprise Architecture with Data Driven Architecture (DDA). The framework presented is based on concepts from Wireless Networks with Driven Architecture will be designed to support both Transitional Gap Analysis (TGA) and Comparative Gap Analysis (CGA). TGA is supported by comparing a baseline Data Driven Architecture (DDA) to a target QoE where both DDA have been defined from the management perspective. DDA is facilitated by mapping a QoE to two or more 5G networks. The research methodology used in the paper is design science research for the QoE management based 5G network. The QOE for implementation of 5th generation network and apply it in many different real-world organizations. The goal of the paper is to present a framework in the form an implementation and management model, called QOE, that visualizes the gaps (weaknesses) in proposed or existing enterprise architectures and to support a comparative analysis process for different a5Grnative solution approaches. a set of requirements on the QOE management can be presented and the frameworks are applied on Matlab for implementation.",https://ieeexplore.ieee.org/document/9254863/,2020 4th International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT),22-24 Oct. 2020,ieeexplore
10.1109/LRA.2019.2896485,Learning From Humans How to Grasp: A Data-Driven Architecture for Autonomous Grasping With Anthropomorphic Soft Hands,IEEE,Journals,"Soft hands are robotic systems that embed compliant elements in their mechanical design. This enables an effective adaptation with the items and the environment, and ultimately, an increase in their grasping performance. These hands come with clear advantages in terms of ease-to-use and robustness if compared with classic rigid hands, when operated by a human. However, their potential for autonomous grasping is still largely unexplored, due to the lack of suitable control strategies. To address this issue, in this letter, we propose an approach to enable soft hands to autonomously grasp objects, starting from the observations of human strategies. A classifier realized through a deep neural network takes as input the visual information on the object to be grasped, and predicts which action a human would perform to achieve the goal. This information is hence used to select one among a set of human-inspired primitives, which define the evolution of the soft hand posture as a combination of anticipatory action and touch-based reactive grasp. The architecture is completed by the hardware component, which consists of an RGB camera to look at the scene, a 7-DoF manipulator, and a soft hand. The latter is equipped with inertial measurement units at the fingernails for detecting contact with the object. We extensively tested the proposed architecture with 20 objects, achieving a success rate of 81.1% over 111 grasps.",https://ieeexplore.ieee.org/document/8629968/,IEEE Robotics and Automation Letters,April 2019,ieeexplore
10.1109/TMC.2020.2999852,Machine Learning at the Edge: A Data-Driven Architecture With Applications to 5G Cellular Networks,IEEE,Journals,"The fifth generation of cellular networks (5G) will rely on edge cloud deployments to satisfy the ultra-low latency demand of future applications. In this paper, we argue that such deployments can also be used to enable advanced data-driven and Machine Learning (ML) applications in mobile networks. We propose an edge-controller-based architecture for cellular networks and evaluate its performance with real data from hundreds of base stations of a major U.S. operator. In this regard, we will provide insights on how to dynamically cluster and associate base stations and controllers, according to the global mobility patterns of the users. Then, we will describe how the controllers can be used to run ML algorithms to predict the number of users in each base station, and a use case in which these predictions are exploited by a higher-layer application to route vehicular traffic according to network Key Performance Indicators (KPIs). We show that the prediction accuracy improves when based on machine learning algorithms that rely on the controllers’ view and, consequently, on the spatial correlation introduced by the user mobility, with respect to when the prediction is based only on the local data of each single base station.",https://ieeexplore.ieee.org/document/9107476/,IEEE Transactions on Mobile Computing,1 Dec. 2021,ieeexplore
10.1109/JSEN.2020.3029459,"Sensor-Fault Detection, Isolation and Accommodation for Digital Twins via Modular Data-Driven Architecture",IEEE,Journals,"Sensor technologies empower Industry 4.0 by enabling integration of in-field and real-time raw data into digital twins. However, sensors might be unreliable due to inherent issues and/or environmental conditions. This article aims at detecting anomalies in measurements from sensors, identifying the faulty ones and accommodating them with appropriate estimated data, thus paving the way to reliable digital twins. More specifically, we propose a general machine-learning-based architecture for sensor validation built upon a series of neural-network estimators and a classifier. Estimators correspond to virtual sensors of all unreliable sensors (to reconstruct normal behaviour and replace the isolated faulty sensor within the system), whereas the classifier is used for detection and isolation tasks. A comprehensive statistical analysis on three different real-world data-sets is conducted and the performance of the proposed architecture validated under hard and soft synthetically-generated faults.",https://ieeexplore.ieee.org/document/9216114/,IEEE Sensors Journal,"15 Feb.15, 2021",ieeexplore
10.1109/NSSMIC.1998.775181,A 16-channel digital TDC chip,IEEE,Conferences,"A 16-channel digital TDC chip has been built for the DIRC Cerenkov counter of the BaBar experiment at the SLAC B-factory (Stanford, USA). The binning is 0.5 ns and the full-scale 32 microseconds. The data driven architecture integrates channel buffering and selective readout of data falling within a programmable time window. The linearity is better than 80 ps rms on 90% of the production parts.",https://ieeexplore.ieee.org/document/775181/,1998 IEEE Nuclear Science Symposium Conference Record. 1998 IEEE Nuclear Science Symposium and Medical Imaging Conference (Cat. No.98CH36255),8-14 Nov. 1998,ieeexplore
10.1109/NOMS.2004.1317788,A distributed data driven architecture for operations support systems,IEEE,Conferences,"This paper proposes a distributed data driven architecture (D3A), devised for application to an operations support system (OSS). By applying this architecture to an OSS, it is possible to reduce OSS hardware and middleware costs, and to change OSS application programs rapidly and flexibly. To assure alarm reception processing performance at low cost, D3A is comprised of a lot of IA servers. With D3A, OSS application programs are divided into a lot of elements similar to UNIX processes. These elements are called processing elements (PEs). A PE is mounted on each IA server. Data that represents the execution sequence and execution condition of PEs is called processing configuration data (PCD). The PCD moves about among IA servers comprising an OSS. The PCD driver (PCDD) is a function to analyze the PCD, and determines the PE to be executed next and controls the route of the PCD. A commercial OSS is being developed by using D3A and will start running in June 2004.",https://ieeexplore.ieee.org/document/1317788/,2004 IEEE/IFIP Network Operations and Management Symposium (IEEE Cat. No.04CH37507),23-23 April 2004,ieeexplore
