doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database
10.1109/ICCDA.2010.5540715,Data-oriented architecture for double and single bits error correction using Cycle Redundancy Code,IEEE,Conferences,"Error occurs during transferring, storing and retrieving data. Thus error detection and correction is a necessary technique in information technology. Cycle Redundancy Code, CRC, is a common method in error detection. A new method based on data-oriented theory for single and double bit errors correction by using CRC is presented. The conceptual model of presented method as data-oriented architecture is designed to implement it with hardware. This method is able to determine the exact place of one and two bits in error and correct them. In a way, nonzero calculated remainder on receiver is compared with remainder field of the content of Problem Solution Data Structure, PSDS, to find the error location, as a solution.",https://ieeexplore.ieee.org/document/5540715/,2010 International Conference On Computer Design and Applications,25-27 June 2010,ieeexplore
10.1109/ICACC.2010.5487131,Data-oriented architecture of Ln function,IEEE,Conferences,"In this paper a new architecture to calculate Ln function based on data-oriented theory is introduced. Because of using proper and huge amount of data in modeling, implementing of this type of models causes less calculation complexity. Data-oriented architecture is made of considering memory and small calculation unit together. Proposed method calculates Ln function faster than common methods.",https://ieeexplore.ieee.org/document/5487131/,2010 2nd International Conference on Advanced Computer Control,27-29 March 2010,ieeexplore
10.1109/ICETC.2010.5529337,Data-oriented architecture of sine,IEEE,Conferences,"A data-oriented architecture is introduced to calculate Sine function by using sine data-oriented model as a data structure and a small calculation unit. The main contribution of this paper is to use a content-accessed memory to handle and manage data-oriented model of sine in this architecture. Using this architecture, sine function calculation will be fast.",https://ieeexplore.ieee.org/document/5529337/,2010 2nd International Conference on Education Technology and Computer,22-24 June 2010,ieeexplore
10.1109/ICACTE.2010.5579358,Data-oriented architecture of sine and Cosine Functions,IEEE,Conferences,"In this paper a new architecture to calculate Sine and Cosine Function based on data-oriented theory is introduced. To compute sine and cosine by this model less mathematical operations are needed comparing to common methods. Therefore, hardware implementation of this architecture provides faster module.",https://ieeexplore.ieee.org/document/5579358/,2010 3rd International Conference on Advanced Computer Theory and Engineering(ICACTE),20-22 Aug. 2010,ieeexplore
10.1109/ICCDA.2010.5540715,Data-oriented architecture for double and single bits error correction using Cycle Redundancy Code,IEEE,Conferences,"Error occurs during transferring, storing and retrieving data. Thus error detection and correction is a necessary technique in information technology. Cycle Redundancy Code, CRC, is a common method in error detection. A new method based on data-oriented theory for single and double bit errors correction by using CRC is presented. The conceptual model of presented method as data-oriented architecture is designed to implement it with hardware. This method is able to determine the exact place of one and two bits in error and correct them. In a way, nonzero calculated remainder on receiver is compared with remainder field of the content of Problem Solution Data Structure, PSDS, to find the error location, as a solution.",https://ieeexplore.ieee.org/document/5540715/,2010 International Conference On Computer Design and Applications,25-27 June 2010,ieeexplore
10.1109/ICACC.2010.5487131,Data-oriented architecture of Ln function,IEEE,Conferences,"In this paper a new architecture to calculate Ln function based on data-oriented theory is introduced. Because of using proper and huge amount of data in modeling, implementing of this type of models causes less calculation complexity. Data-oriented architecture is made of considering memory and small calculation unit together. Proposed method calculates Ln function faster than common methods.",https://ieeexplore.ieee.org/document/5487131/,2010 2nd International Conference on Advanced Computer Control,27-29 March 2010,ieeexplore
10.1109/ICETC.2010.5529337,Data-oriented architecture of sine,IEEE,Conferences,"A data-oriented architecture is introduced to calculate Sine function by using sine data-oriented model as a data structure and a small calculation unit. The main contribution of this paper is to use a content-accessed memory to handle and manage data-oriented model of sine in this architecture. Using this architecture, sine function calculation will be fast.",https://ieeexplore.ieee.org/document/5529337/,2010 2nd International Conference on Education Technology and Computer,22-24 June 2010,ieeexplore
10.1109/ICEPE.2014.6970070,Domain specific languages in power systems engineering,IEEE,Conferences,"This paper proposes an information system for data mining that allows the specification of ad-hoc queries on a data warehouse, which contain historical information relative to exceptions (i.e., operating faults) recorded by a SCADA system in a power distribution network. The proposed application can be used by the power system engineers to explore the existent historical data, with no need for any “low level” programming expertise. The data-oriented architecture of the system provides important advantages related to application development and system maintainability.",https://ieeexplore.ieee.org/document/6970070/,2014 International Conference and Exposition on Electrical and Power Engineering (EPE),16-18 Oct. 2014,ieeexplore
10.1109/CSE.2014.128,Exploring the Benefits of Introducing Network Coding into Named Data Networking,IEEE,Conferences,"In recent years, the focus to optimize network transmission efficiency has evolved to adopt methods that let those intermediate data transferring nodes get involved with routing, forwarding and caching. In other words, the new network architecture designs become in favor of hop-to-hop model, instead of traditional TCP-like end-to-end model. Named data networking is a promising future internet data oriented architecture which uses names instead of addresses and exchanges or forwards interest/data pair packets at each node along the path to route data for delivery. And meanwhile Network coding (NC) is a content oriented and effective method to reduce redundancy, increase network throughput and improve robustness. Nonetheless, due to NDN's current preliminary research, less research has combined these two technologies together. This paper presents some new thoughts to study on the benefits brought by integrating network coding to NDN, which can effectively improve network utilization, strengthen caching privacy, and also promote development of the NDN architecture itself.",https://ieeexplore.ieee.org/document/7023638/,2014 IEEE 17th International Conference on Computational Science and Engineering,19-21 Dec. 2014,ieeexplore
10.1109/ICMSS.2010.5577074,Research of SOA-Based CRM in Telecommunications Industry,IEEE,Conferences,"This paper first analyzes the architecture of the existing CRM in operators and its disadvantages. When operators integrate the 3G services into their business, it is necessary to propel their business support system shift from DOA (data-oriented architecture) to SOA (service-oriented architecture).Then an architecture of the CRM system based on SOA is presented. The paper finally takes an example of how to integrate the CRM and SFS based on SOA.",https://ieeexplore.ieee.org/document/5577074/,2010 International Conference on Management and Service Science,24-26 Aug. 2010,ieeexplore
