abstract,doi,downloadUrl,id,title,publishedDate,publisher,journals,database,query_name,query_value
"Much American electoral and policy debate now centers on how best to reignite the nation’s economic dynamism and rebuild its competitive strength. Any such undertaking presents an extraordinary challenge, demanding a correspondingly extraordinary institutional response. This Article proposes precisely such a response. It designs and advocates a new public instrumentality--a National Investment Authority (“NIA”)--charged with the critical task of devising and implementing a comprehensive long-term development strategy for the United States.
Patterned in part after the New Deal-era Reconstruction Finance Corporation, in part after modern sovereign wealth funds, and in part after private equity and venture capital firms, the NIA is an inherently hybrid, public-private entity that combines the unique strengths of public instrumentalities--their vast scale, lengthy investment horizons, and explicit backing by the public’s full faith and credit--with the micro-informational advantages of private market actors. By creatively adapting familiar tools of financial and legal engineering, the NIA overcomes obstacles that ordinarily impede or discourage private investment in critically necessary and even transformative public infrastructure goods. By channeling presently speculative private capital back into the real economy, moreover, the NIA plays an important role in enhancing the resilience and stability of the U.S. and global financial systems.
The Article makes original contributions not only to contemporary policy debates over how to revive America’s productive prowess and bring its financial system back into the service of the real economy, but also to current theoretical understandings of “public goods,” “market failures,” and how to provide or address them. It offers an account of what it calls “collective goods”--a broader category than orthodox public goods--as solutions to collective action problems that pervade decentralized markets, hence as goods that can be supplied only through exercises of collective agency. Our NIA proposal operationalizes this theoretical insight by elaborating a specific institutional form that such collective agency can take",,https://core.ac.uk/download/223116034.pdf,64090410,private wealth and public goods: a case for a national investment authority,2018-04-01T08:00:00,Scholarship@Cornell Law: A Digital Repository,[],core,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value'
"Treball desenvolupat en el marc del programa ""European Project Semester"".Traffic congestion is a significant problem which affects smoothness in transportation in many cities around the world. It is unavoidable due to increasing numbers of vehicles and overuse of roads in large and growing metropolises. Although, there are several policies that are implemented to reduce traffic congestion, such as improvement of public transport, car and motorcycle restriction on several roads, and an even-odd license plate policy, the major problem involves getting data in order to predict and avoid traffic. Information can be collected from many sources such as: city sensors, GPS, as well as, from many application programming interfaces (API) provided by different companies. The project involves gathering sources and information about traffic congestion in order to create guidelines which can be essential in creating a traffic map of Vilanova i la Geltrú in the future. Eventually, the guidelines to the city of Vilanova i la Geltrú are provided, consisting of analysis of traffic inside the city, IoT management, choices of APIs, effective selection of sensors, and cost analysis to vastly improve traffic flow.Incomin",,https://core.ac.uk/download/512036021.pdf,133478829,fuzz sensoring,2021-06-08T01:00:00,Universitat Politècnica de Catalunya,[],core,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value'
"Infrastructure is all around us: under, above, even inside our built and natural landscapes. Sometimes hidden, sometimes visible. The flows that course through them make our cities, economies, and lives possible. Cities could not even exist without infrastructure. Life is endowed with more possibilities by infrastructure. The centrality of infrastructure is pervasive. Worldwide, cities embrace infrastructure for economic competitiveness, well-being, access, environmental protection and knowledge creation. As cities are crucibles that concentrate the human condition, infrastructures are conduits that enable that concentration and empower human achievement. As infrastructures shape almost every aspect of daily life, this article assays the various ways it currently makes places both less sustainable and resilient, as well as more so, and how we can minimise the former and optimise the latter",10.3390/su12208308,https://core.ac.uk/download/334952622.pdf,8388042,infrastructure is key to make cities sustainable,2020-01-01T00:00:00,'MDPI AG',[],core,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value'
"This dissertation is a study of four 21st century Arabic novels translated to English, each of which narrates a regionally specific process of state-sanctioned property theft. I argue that the authors of these novels use and subvert conventions from genres of fiction such as the Gothic, detective fiction, and science fiction to counter the logics of state power represented in each novel. The first chapter studies Abdo Khal's Tarmi bi Sharar (Throwing Sparks 2009), which uses Gothic conventions such as monstrosity and narrative frames to challenge the logic of authoritarian impunity that drives property theft in Jeddah, Saudi Arabia. The second chapter analyzes Raja Alem's Tawq al-Hamam (The Dove's Necklace 2010), which counters the elitist individualism at the root of conventional detective fiction with a community of detective-like characters who investigate gentrification in Mecca, Saudi Arabia. The third chapter examines Ahmed Naji's Istikhdam al-Haya (Using Life 2014) for how science fiction tropes of utopia and dystopia offer imaginative tools to rethink the logics of progress and sustainability used to justify green gentrification in Cairo, Egypt. And the fourth chapter reads Ahmed Saadawi's Frankenstein in Baghdad (2014) for how orality and polyphonic narration counter the logics of security and exceptionalism that drive the U.S. occupation of Baghdad and the Iraqi state's theft of property left behind by the displaced and the deceased.Includes bibliographical references",10.32469/10355/93961,https://core.ac.uk/download/568399392.pdf,145434131,spatial politics and genre in the 21st century arabic novel in english,,'University of Missouri Libraries',[],core,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value'
"La creciente exponencial de datos está afectando profundamente el entorno físico, y su proliferación descontrolada continuará reconfigurando y alterando el paisaje. Sin embargo, estas afectaciones pueden no ser inmediatamente aparentes.
Este proyecto tiene como objetivo explorar y representar visualmente el impacto de la producción masiva de datos en el paisaje físico, diseñando una ciudad especulativa para que los datos la habiten para ilustrar las posibles implicaciones de esta posibilidad en el futuro. El objetivo es estudiar el estado actual de la producción de datos, comprender sus efectos en el medio ambiente y crear una representación visual que resalte las posibles consecuencias del crecimiento de los datos.
A través de la investigación, el análisis y el diseño, este proyecto pretende contribuir al discurso sobre las implicaciones ambientales de la producción de datos y ofrecer ideas sobre los posibles escenarios futuros que esperan a nuestro entorno construido. Se invita a realizar un examen crítico de nuestras prácticas digitales y se fomenta un enfoque responsable y sostenible en la producción y consumo de datos.The exponential rise in data is profoundly affecting the physical environment, and its uncontrolled proliferation will continue to reshape and alter the landscape. However, these impacts may not be immediately apparent.
This project aims to explore and visually represent the impact of massive data production on the physical landscape by designing a speculative city for data to inhabit, illustrating the potential implications of this impact in the future. The objective is to study the current state of data production, understand its effects on the environment, and create a compelling visual representation that highlights the potential consequences of data growth.
Through research, analysis, and design, this project aims to contribute to the discourse on the environmental implications of data production and offer insights into potential future scenarios that await our built environment. It calls for a critical examination of our digital practices and encourages responsible and sustainable approaches to data production and consumption",,https://core.ac.uk/download/576867671.pdf,150044761,datascape: speculative city for data to inhabit,2023-07-11T01:00:00,Universitat Politècnica de Catalunya,[],core,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value'
"Modern technology has excelled at an unprecedented rate. The rise of artificial intelligence raises many ethical questions and concerns for humanity, as it has incited many pressing debates between philosophers, computer scientists, and social critics who share concerns for the future of humanity but conflict with one another regarding whether or not we should rely on technology to govern human affairs and control society\u27s infrastructures. Drawing from Martin Heidegger, Jacques Ellul, Hubert Dreyfus, and others, this project weighs out the probabilities and problems of the technological singularity posited by Ray Kurzweil, confronting our habits of addressing technology and the way we model ourselves off of computational AI. And then, finally, what it means to regain human agency and remain spiritually and ethically accountable for the roles we play",,https://core.ac.uk/download/586157606.pdf,149015401,cutting the puppet strings: confronting the singularity,2023-01-01T08:00:00,Bard Digital Commons,[],core,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value'
"This paper is the first work to perform spatio-temporal mapping of human
activity using the visual content of geo-tagged videos. We utilize a recent
deep-learning based video analysis framework, termed hidden two-stream
networks, to recognize a range of activities in YouTube videos. This framework
is efficient and can run in real time or faster which is important for
recognizing events as they occur in streaming video or for reducing latency in
analyzing already captured video. This is, in turn, important for using video
in smart-city applications. We perform a series of experiments to show our
approach is able to accurately map activities both spatially and temporally. We
also demonstrate the advantages of using the visual content over the
tags/titles.Comment: Accepted at ACM SIGSPATIAL 201",10.1145/3139958.3140055,http://arxiv.org/abs/1706.07911,42965922,large-scale mapping of human activity using geo-tagged videos,2017-11-28T00:00:00,,[],core,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value'
"Laws of Settlement revives, updates and refreshes the ’54 Laws of Settlements’ outlined in Constantinos Apostolou Doxiadis’ seminal books Ekistics: An Introduction to the Science of Human Settlements, making them relevant to the problems we face in the 21st century.This PDF is a representation of the book as it was on January 1, 2018. The online version may have been updated. For the most recent version, please visit the book url",,https://core.ac.uk/download/395450646.pdf,109537731,the laws of settlement: 54 laws underlining settlements across scale and culture,2018-01-01T00:00:00,Kwantlen Polytechnic University,[],core,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value'
"This report describes the process and results of futures clinique Surprising Energy Futures: Anticipating Discontinuities and Testing Resilience of Renewable Energy World with Black Swans, held on 17 May 2017 at Sitra, Helsinki. The event was the fifth futures clinique within the foresight part of the research project Neo-Carbon Enabling Neo-Growth Society – Transformative Scenarios 2050, conducted by Finland Futures Research Centre. The aim of the event was to contribute to the four transformative societal scenarios of Neo-Carbon Energy project. The event consisted of presentations and intermittent working sessions. Dr. Karlheinz Steinmüller discussed the topic of Black Swans and VUCA World, with comments by Prof. Jarno Limnéll",,https://core.ac.uk/download/200332681.pdf,58926968,surprising energy futures : neo-carbon energy futures clinique v,2019-05-21T01:00:00,"fi=Turun yliopisto. Turun kauppakorkeakoulu|en=University of Turku, Turku School of Economics|",[],core,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value'
The objective of this project is to strengthen the impact of existing actions aimed at further developing start-up and scale-up support. It aims at fostering collaboration across the European Entrepreneurial Regions (EER) and developing and implementing concrete collaborative action plans that will foster scale-ups and entrepreneurs along common thematic priorities,10.2826/236627,https://core.ac.uk/download/481436147.pdf,46011213,"fostering collaboration through mapping, analysing and interlinking of european entrepreneurial regions. phase ii : regional ecosystem in-depth mapping for the region of navarra",2021-01-01T00:00:00,Luxembourg: Publications Office of the European Union,[],core,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value'
