doi,type,query_name,query_value,publication,publisher,publication_date,database,title,url,abstract,status,semantic_score,id
http://arxiv.org/abs/1609.08765v1,preprocessed,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',arxiv,arxiv,2016-09-28 00:00:00,arxiv,"irescu - data for social good saving lives bridging the gaps in sudden
  cardiac arrest survival",http://arxiv.org/abs/1609.08765v1,"Currently every day in the USA 1000 people die of sudden cardiac arrest (SCA)
outside of hospitals or ambulances - before emergency medical help arrives - in
the streets, workplaces, schools and homes of our cities, adults and children.
Brain death commences in 3 minutes, and often the ambulance just can't be there
in time. Citizen cardiopulmonary resuscitation (CPR) and automated external
defibrillator (AED) use can save precious minutes and lives. Using public
access AED's saves lives in SCA- however AEDs are used in <2% of cardiac
arrests, though could save lives in 80% if available, findable, functioning,
and used. The systems problem to solve is that there is no comprehensive or
real time accessible database of the AED locations, and also it is not known
that they are actually being positioned where they are needed. The iRescU
project is designed to bridge this gap in SCA survival, by substantially
augmenting the AED database. Utilizing a combination of AED crowd sourcing and
geolocation integrated with existing 911 services and SCA events and projected
events based on machine learning data information to help make the nearest AED
accessible and available in the setting of a SCA emergency and to identify the
areas of greatest need for AEDs to be positioned in the community. Helping to
save lives and address preventable death with a social good approach and
applied big data.",not included,0.8043087244033813,1
10.2196/28858,preprocessed,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',semantic_scholar,Journal of Medical Internet Research,2021-01-01 00:00:00,semantic_scholar,harnessing artificial intelligence for health message generation: the folic acid message engine,https://www.semanticscholar.org/paper/8e260e06c73f27f7a477021ce1b068099c2064bf,"Background Communication campaigns using social media can raise public awareness; however, they are difficult to sustain. A barrier is the need to generate and constantly post novel but on-topic messages, which creates a resource-intensive bottleneck. Objective In this study, we aim to harness the latest advances in artificial intelligence (AI) to build a pilot system that can generate many candidate messages, which could be used for a campaign to suggest novel, on-topic candidate messages. The issue of folic acid, a B-vitamin that helps prevent major birth defects, serves as an example; however, the system can work with other issues that could benefit from higher levels of public awareness. Methods We used the Generative Pretrained Transformer-2 architecture, a machine learning model trained on a large natural language corpus, and fine-tuned it using a data set of autodownloaded tweets about #folicacid. The fine-tuned model was then used as a message engine, that is, to create new messages about this topic. We conducted a web-based study to gauge how human raters evaluate AI-generated tweet messages compared with original, human-crafted messages. Results We found that the Folic Acid Message Engine can easily create several hundreds of new messages that appear natural to humans. Web-based raters evaluated the clarity and quality of a human-curated sample of AI-generated messages as on par with human-generated ones. Overall, these results showed that it is feasible to use such a message engine to suggest messages for web-based campaigns that focus on promoting awareness. Conclusions The message engine can serve as a starting point for more sophisticated AI-guided message creation systems for health communication. Beyond the practical potential of such systems for campaigns in the age of social media, they also hold great scientific potential for the quantitative analysis of message characteristics that promote successful communication. We discuss future developments and obvious ethical challenges that need to be addressed as AI technologies for health persuasion enter the stage.",not included,0.8351606994867324,2
10.3390/electronics10111223,preprocessed,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',semantic_scholar,Electronics,2021-01-01 00:00:00,semantic_scholar,ai-enabled efficient and safe food supply chain,https://www.semanticscholar.org/paper/dad22e1cbdb21876ff1b4c10bb32f19fcc4a2a6a,"This paper provides a review of an emerging field in the food processing sector, referring to efficient and safe food supply chains, ’from farm to fork’, as enabled by Artificial Intelligence (AI). The field is of great significance from economic, food safety and public health points of views. The paper focuses on effective food production, food maintenance energy management and food retail packaging labeling control, using recent advances in machine learning. Appropriate deep neural architectures are adopted and used for this purpose, including Fully Convolutional Networks, Long Short-Term Memories and Recurrent Neural Networks, Auto-Encoders and Attention mechanisms, Latent Variable extraction and clustering, as well as Domain Adaptation. Three experimental studies are presented, illustrating the ability of these AI methodologies to produce state-of-the-art performance in the whole food supply chain. In particular, these concern: (i) predicting plant growth and tomato yield in greenhouses, thus matching food production to market needs and reducing food waste or food unavailability; (ii) optimizing energy consumption across large networks of food retail refrigeration systems, through optimal selection of systems that can be shut-down and through prediction of the respective food de-freezing times, during peaks of power demand load; (iii) optical recognition and verification of food consumption expiry date in automatic inspection of retail packaged food, thus ensuring safety of food and people’s health.",not included,0.838510024547577,3
10.1108/cr-09-2022-0137,preprocessed,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',semantic_scholar,Competitiveness Review: An International Business Journal,2000-01-01 00:00:00,semantic_scholar,factors influencing artificial intelligence adoption in the accounting profession: the case of public sector in kuwait,https://www.semanticscholar.org/paper/c484ebb51b1b762867cb8367c9daf401d3db3e38,"
Purpose
This study aims to investigate the organizational and individual factors that influence the adoption of artificial intelligence (AI) in Kuwait's public accounting sector.


Design/methodology/approach
The methodology of this study is a cross-sectional survey of 393 experienced accounting professionals, using partial least square structural equation modeling to analyze the data.


Findings
The findings show that organizational culture, regulatory support, perceived usefulness and ease of use have a direct positive effect on AI adoption, while perceived usefulness and ease of use also have an indirect positive effect through accounting profit and behavioral intention. However, the availability of resources, effective communication channels and competition pressure have an insignificant impact on AI adoption.


Originality/value
This study pioneers a structural framework to elucidate the perceived enhancement of accounting quality through AI system integration. Further, this research adds to the literature on AI adoption in accounting. This study also offers empirical evidence regarding how organizations in Kuwait's public accounting sector view AI systems in accounting.
",not included,0.819400179386139,4
10.3390/knowledge3030032,preprocessed,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',semantic_scholar,Knowledge,2000-01-01 00:00:00,semantic_scholar,chatgpt and the generation of digitally born “knowledge”: how does a generative ai language model interpret cultural heritage values?,https://www.semanticscholar.org/paper/c2b6f0cf3c76d314a8c1f46cd8c831e67f2e16bb,"The public release of ChatGPT, a generative artificial intelligence language model, caused wide-spread public interest in its abilities but also concern about the implications of the application on academia, depending on whether it was deemed benevolent (e.g., supporting analysis and simplification of tasks) or malevolent (e.g., assignment writing and academic misconduct). While ChatGPT has been shown to provide answers of sufficient quality to pass some university exams, its capacity to write essays that require an exploration of value concepts is unknown. This paper presents the results of a study where ChatGPT-4 (released May 2023) was tasked with writing a 1500-word essay to discuss the nature of values used in the assessment of cultural heritage significance. Based on an analysis of 36 iterations, ChatGPT wrote essays of limited length with about 50% of the stipulated word count being primarily descriptive and without any depth or complexity. The concepts, which are often flawed and suffer from inverted logic, are presented in an arbitrary sequence with limited coherence and without any defined line of argument. Given that it is a generative language model, ChatGPT often splits concepts and uses one or more words to develop tangential arguments. While ChatGPT provides references as tasked, many are fictitious, albeit with plausible authors and titles. At present, ChatGPT has the ability to critique its own work but seems unable to incorporate that critique in a meaningful way to improve a previous draft. Setting aside conceptual flaws such as inverted logic, several of the essays could possibly pass as a junior high school assignment but fall short of what would be expected in senior school, let alone at a college or university level.",not included,0.8052007794380188,5
10.1097/cin.0000000000001044,preprocessed,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',semantic_scholar,"Computers, Informatics, Nursing",2000-01-01 00:00:00,semantic_scholar,the disruptive impacts of next generation generative artificial intelligence,https://www.semanticscholar.org/paper/b35e3ff63756648bf2b68f959f2f6e76b80a0290,"T he growing influence of generative artificial intelligence (GAI) on our personal and professional lives continues to give it the appearance of a truly disruptive innovation. Kivimaa et al noted the characteristics of disruptive innovations to include high-intensity disruption or deletion of entire job markets, resetting of process or business models, and a “technological substitution process.” Artificial intelligence (AI) applications have already been shown to be quite capable of acting as technological substitutions for human processes. Generative AI, though, moves beyond just the automation facets of AI into something more complex and curious that has captured the public's imagination. The impacts of GAI are continuing to unfold within healthcare delivery and education, with both value and cautions yet to be fully realized. Active engagement on the part of all nurses, particularly nurse informaticists, is required in order to shape the technology moving forward and to alleviate potential negative impacts and misuse.",not included,0.8033411532640458,6
10.1145/3582515.3609555,preprocessed,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',semantic_scholar,Conference on Information Technology for Social Good,2000-01-01 00:00:00,semantic_scholar,the social impact of generative ai: an analysis on chatgpt,https://www.semanticscholar.org/paper/cea012c01f09ac382fe67ede5215a85175753487,"In recent months, the impact of Artificial Intelligence (AI) on citizens’ lives has gained considerable public interest, driven by the emergence of Generative AI models, ChatGPT in particular. The rapid development of these models has sparked heated discussions regarding their benefits, limitations, and associated risks. Generative models hold immense promise across multiple domains, such as healthcare, finance, and education, to cite a few, presenting diverse practical applications. Nevertheless, concerns about potential adverse effects have elicited divergent perspectives, ranging from privacy risks to escalating social inequality. This paper adopts a methodology to delve into the societal implications of Generative AI tools, focusing primarily on the case of ChatGPT. It evaluates the potential impact on several social sectors and illustrates the findings of a comprehensive literature review of both positive and negative effects, emerging trends, and areas of opportunity of Generative AI models. This analysis aims to facilitate an in-depth discussion by providing insights that can inspire policy, regulation, and responsible development practices to foster a citizen-centric AI.",not included,0.8294077664613724,7
10.14201/adcaij.31704,preprocessed,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',semantic_scholar,Advances in Distributed Computing and Artificial Intelligence Journal,2000-01-01 00:00:00,semantic_scholar,generative artificial intelligence: fundamentals,https://www.semanticscholar.org/paper/75f37c5bd7c9c6389e7544807fbc45fd478d4242,"

Generative language models have witnessed substantial traction, notably with the introduction of refined models aimed at more coherent user-AI interactions—principally conversational models. The epitome of this public attention has arguably been the refinement of the GPT-3 model into ChatGPT and its subsequent integration with auxiliary capabilities such as search features in Microsoft Bing. Despite voluminous prior research devoted to its developmental trajectory, the model’s performance, and applicability to a myriad of quotidian tasks remained nebulous and task specific. In terms of technological implementation, the advent of models such as LLMv2 and ChatGPT-4 has elevated the discourse beyond mere textual coherence to nuanced contextual understanding and real-world task completion. Concurrently, emerging architectures that focus on interpreting latent spaces have offered more granular control over text generation, thereby amplifying the model’s applicability across various verticals. Within the purview of cyber defense, especially in the Swiss operational ecosystem, these models pose both unprecedented opportunities and challenges. Their capabilities in data analytics, intrusion detection, and even misinformation combatting is laudable; yet the ethical and security implications concerning data privacy, surveillance, and potential misuse warrant judicious scrutiny.
",not included,0.8252925395965576,8
10.1080/10790268.2023.2198926,preprocessed,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',semantic_scholar,Journal of Spinal Cord Medicine (JSCM),2000-01-01 00:00:00,semantic_scholar,generative ai in spinal cord injury research and care: opportunities and challenges ahead,https://www.semanticscholar.org/paper/6afbce4fbf374b3b565ff1ea64354d57c7fe630c,"Generative artificial intelligence (AI) with its limitless potential is here to stay. Not since the advent of the digital age has the world faced a transformation of such magnitude. With the widely available user-friendly free and low-cost products of Open AI, the US AI research laboratory, the effects are being felt throughout multiple sectors, including scientific research and clinical care. Anyone with internet access can sign up at OpenAI.com to access a free research version of ChatGPT, a generative AI large-language model that interacts with the user in a natural language format (1). Powered by the world’s fifth largest supercomputer (2), ChatGPT gathers information using artificial neural network technology (3). Trained using large databases, it has an enormous vocabulary and is capable of understanding language and context, retrieving knowledge, generating new content in the forms of text and code, carrying on a conversation, and personalizing communications. While trained primarily in English, this chatbot supports 95 languages. While this tool became only recently available, ChatGPT gained traction immediately and gained followers at an unprecedented pace, attracting more than 100 million users in the two months following its public release in November 2022 (3). In March 2023, OpenAI released a more advanced multi-modal version, GPT-4, available through the paid service, ChatGPT Plus (4,5). To explore these new tools, we posed general queries to GPT-4 about the potential for generative AI to influence spinal cord research and clinical care. Selected responses are excerpted below: • Generative AI can be used to create virtual models of the human body, including the spinal cord, the musculoskeletal system, and the nervous system. These models can then be used to simulate spinal cord injury and test the effectiveness of different treatments in a more controlled and accurate environment. • AI algorithms can help researchers optimize the design of spinal stimulation protocols by analyzing large amounts of data, simulating the effects of stimulation, developing personalized treatment plans, and predicting outcomes. • Generative AI can be used to design new drugs that enhance the survival and integration of stem cells into the spinal cord. AI algorithms can analyze large amounts of data to identify potential drug candidates and simulate their effects • By optimizing the design and control algorithms of robotic exoskeletons, analyzing large amounts of data, and simulating different types of injuries, generative AI can help researchers improve the effectiveness of these devices. By analyzing medical history and imaging data, AI algorithms can recommend the most effective exoskeleton design and treatment protocol for that individual’s specific injury and needs. When asked about its potential role in recruiting research participants, it responded: • AI algorithms can analyze electronic medical records, patient data, and social media activity to identify potential candidates for spinal cord injury studies. Once potential candidates have been identified, AI algorithms can be used to create personalized messages and content tailored to individual patients. Generative AI can be used to develop predictive models that identify factors associated with patient enrollment and retention. Generative AI can be used to engage with patients, using chatbots, virtual assistants, or other AI-powered tools to provide patients with updates, answer questions, and address concerns. ChatGPT offered these potential applications when queried about clinical care: • In acute spinal cord injury care, generative AI can analyze vital signs, lab results, and other patient data to predict the likelihood of pressure sores, urinary tract infections, or other complications. This can help clinicians intervene early, which can improve patient outcomes and reduce healthcare costs,",not included,0.8133152216672898,9
10.21202/jdtl.2023.38,preprocessed,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',semantic_scholar,Journal of Digital Technologies and Law,2000-01-01 00:00:00,semantic_scholar,towards legal regulations of generative ai in the creative industry,https://www.semanticscholar.org/paper/6f0329dfd1e45dbfbdfd95cd0b3e9f40752c984f,"Objective: this article aims to answer the following questions: 1. Can generative artificial intelligence be a subject of copyright law? 2. What risks the unregulated use of generative artificial intelligence systems can cause? 3. What legal gaps should be filled in to minimize such risks?Methods: comparative legal analysis, sociological method, concrete sociological method, quantitative data analysis, qualitative data analysis, statistical analysis, case study, induction, deduction.Results: the authors identified several risks of the unregulated usage of generative artificial intelligence in the creative industry, among which are: violation of copyright and labor law, violation of consumers rights and the rise of public distrust in government. They suggest that a prompt development of new legal norms can minimize these risks. In conclusion, the article constants that states have already begun to realize that the negative impact of generative artificial intelligence on the creative industry must not be ignored, hence the development of similar legal regulations in states with completely different regimes.Scientific novelty: the article provides a comprehensive study of the impact of generative artificial intelligence on the creative industry from two perspectives: the perspective of law and the perspective of the industry. The empirical basis of it consists of two international surveys and an expert opinion of a representative of the industry. This approach allowed the authors to improve the objectivity of their research and to obtain results that can be used for finding a practical solution for the identified risks. The problem of the ongoing development and popularization of generative artificial intelligence systems goes beyond the question “who is the author?” therefore, it needs to be solved by introduction of other than the already existing mechanisms and regulations - this point of view is supported not only by the results of the surveys but also by the analysis of current lawsuits against developers of generative artificial intelligence systems.Practical significance: the obtained results can be used to fasten the development of universal legal rules, regulations, instruments and standards, the current lack of which poses a threat not only to human rights, but also to several sectors within the creative industry and beyond.",not included,0.8154128462076187,10
