doi,type,query_name,query_value,publication,publisher,publication_date,database,title,url,abstract,status,id,semantic_score
10.1109/ms.2020.2993662,to_check,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),semantic_scholar,IEEE Software,2020-01-01 00:00:00,semantic_scholar,what is really different in engineering ai-enabled systems?,https://www.semanticscholar.org/paper/05086329135fdb15049a5ac8edd7f980762f2097,"Advances in machine learning (ML) algorithms and increasing availability of computational power have resulted in huge investments in systems that aspire to exploit artificial intelligence (AI), in particular ML. AIenabled systems, software-reliant systems that include data and components that implement algorithms mimicking learning and problem solving, have inherently different characteristics than software systems alone.1 However, the development and sustainment of such systems also have many parallels with building, deploying, and sustaining software systems. A common observation is that although software systems are deterministic and you can build and test to a specification, AI-enabled systems, in particular those that include ML components, are generally probabilistic. Systems with ML components can have a high margin of error due to the uncertainty that often follows predictive algorithms. The margin of error can be related to the inability to predict the result in advance or the same result cannot be reproduced. This characteristic makes AI-enabled systems hard to test and verify.2 Consequently, it is easy to assume that what we know about designing and reasoning about software systems does not immediately apply in AI engineering. AI-enabled systems are software systems. The sneaky part about engineering AI systems is they are ""just like"" conventional software systems we can design and reason about until they?re not.",included,765,0.9178138971328736
10.1515/auto-2022-0020,to_check,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),semantic_scholar,at - Automatisierungstechnik,2022-01-01 00:00:00,semantic_scholar,paise® – process model for ai systems engineering,https://www.semanticscholar.org/paper/20e4fac51b5a8ced6e66f9fe11cddad7d87c6d6e,"Abstract The application of artificial-intelligence-(AI)-based methods within the context of complex systems poses new challenges within the product life cycle. The process model for AI systems engineering, PAISE®, addresses these challenges by combining approaches from the disciplines of systems engineering, software development and data science. The general approach builds on a component-wise development of the overall system including an AI component. This allows domain specific development processes to be parallelized. At the same time, component dependencies are tested within interdisciplinary checkpoints, thus resulting in a refinement of component specifications.",included,1111,0.9021071195602416
http://arxiv.org/abs/2001.07522v2,to_check,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),arxiv,arxiv,2020-01-16 00:00:00,arxiv,engineering ai systems: a research agenda,http://arxiv.org/abs/2001.07522v2,"Artificial intelligence (AI) and machine learning (ML) are increasingly
broadly adopted in industry, However, based on well over a dozen case studies,
we have learned that deploying industry-strength, production quality ML models
in systems proves to be challenging. Companies experience challenges related to
data quality, design methods and processes, performance of models as well as
deployment and compliance. We learned that a new, structured engineering
approach is required to construct and evolve systems that contain ML/DL
components. In this paper, we provide a conceptualization of the typical
evolution patterns that companies experience when employing ML as well as an
overview of the key problems experienced by the companies that we have studied.
The main contribution of the paper is a research agenda for AI engineering that
provides an overview of the key engineering challenges surrounding ML solutions
and an overview of open items that need to be addressed by the research
community at large.",not included,71,0.8996371030807495
http://arxiv.org/abs/1707.09095v2,to_check,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),arxiv,arxiv,2017-07-28 00:00:00,arxiv,toward the starting line: a systems engineering approach to strong ai,http://arxiv.org/abs/1707.09095v2,"Artificial General Intelligence (AGI) or Strong AI aims to create machines
with human-like or human-level intelligence, which is still a very ambitious
goal when compared to the existing computing and AI systems. After many hype
cycles and lessons from AI history, it is clear that a big conceptual leap is
needed for crossing the starting line to kick-start mainstream AGI research.
This position paper aims to make a small conceptual contribution toward
reaching that starting line. After a broad analysis of the AGI problem from
different perspectives, a system-theoretic and engineering-based research
approach is introduced, which builds upon the existing mainstream AI and
systems foundations. Several promising cross-fertilization opportunities
between systems disciplines and AI research are identified. Specific potential
research directions are discussed.",included,79,0.8995599150657654
10.1109/bigdata55660.2022.10021121,to_check,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),semantic_scholar,2022 IEEE International Conference on Big Data (Big Data),2022-01-01 00:00:00,semantic_scholar,towards implementing responsible ai,https://www.semanticscholar.org/paper/6035386cbdadfd80ccae0b103bda9d04f65b44fb,"As the deployment of artificial intelligence (AI) is changing many fields and industries, there are concerns about AI systems making decisions and recommendations without adequately considering various ethical aspects, such as accountability, reliability, transparency, explainability, contestability, privacy, and fairness. While many sets of AI ethics principles have been recently proposed that acknowledge these concerns, such principles are high-level and do not provide tangible advice on how to develop ethical and responsible AI systems. To gain insight on the possible implementation of the principles, we conducted an empirical investigation involving semi-structured interviews with a cohort of AI practitioners. The salient findings cover four aspects of AI system design and development, adapting processes used in software engineering: (i) high-level view, (ii) requirements engineering, (iii) design and implementation, (iv) deployment and operation.",not included,1196,0.894280195236206
10.1109/wain52551.2021.00015,to_check,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),semantic_scholar,Workshop on AI Engineering - Software Engineering for AI,2021-01-01 00:00:00,semantic_scholar,understanding and modeling ai-intensive system development,https://www.semanticscholar.org/paper/854aa07af911d493de2c465c5748b9453cee6a4d,"Developers of AI-Intensive Systems—i.e., systems that involve both “traditional” software and Artificial Intelligence—are recognizing the need to organize development systematically and use engineered methods and tools. Since an AI-Intensive System (AIIS) relies heavily on software, it is expected that Software Engineering (SE) methods and tools can help. However, AIIS development differs from the development of “traditional” software systems in a few substantial aspects. Hence, traditional SE methods and tools are not suitable or sufficient by themselves and need to be adapted and extended.A quest for “SE for AI” methods and tools has started. We believe that, in this effort, we should learn from experience and avoid repeating some of the mistakes made in the quest for SE in past years. To this end, a fundamental instrument is a set of concepts and a notation to deal with AIIS and the problems that characterize their development processes.In this paper, we propose to describe AIIS via a notation that was proposed for SE and embeds a set of concepts that are suitable to represent AIIS as well. We demonstrate the usage of the notation by modeling some characteristics that are particularly relevant for AIIS.",included,960,0.8918479681015015
10.1109/wain52551.2021.00020,to_check,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),semantic_scholar,Workshop on AI Engineering - Software Engineering for AI,2021-01-01 00:00:00,semantic_scholar,requirement engineering challenges for ai-intense systems development,https://www.semanticscholar.org/paper/e4189dca82737cbaf9b56d1e6f58e9e1dddd8151,"Availability of powerful computation and communication technology as well as advances in artificial intelligence enable a new generation of complex, AI-intense systems and applications. Such systems and applications promise exciting improvements on a societal level, yet they also bring with them new challenges for their development. In this paper we argue that significant challenges relate to defining and ensuring behaviour and quality attributes of such systems and applications. We specifically derive four challenge areas from relevant use cases of complex, AI-intense systems and applications related to industry, transportation, and home automation: understanding, determining, and specifying (i) contextual definitions and requirements, (ii) data attributes and requirements, (iii) performance definition and monitoring, and (iv) the impact of human factors on system acceptance and success. Solving these challenges will imply process support that integrates new requirements engineering methods into development approaches for complex, AI-intense systems and applications. We present these challenges in detail and propose a research roadmap.",not included,910,0.8906081318855286
10.1145/3452383.3453718,to_check,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),semantic_scholar,International Symposium on Electronic Commerce,2021-01-01 00:00:00,semantic_scholar,a report on the second international workshop on software engineering for artificial intelligence (se4ai 2021),https://www.semanticscholar.org/paper/b4a45aaa71fb7d32c25bc7b17ebe255ab7ff2abd,"Computers control increasing numbers of objects in our daily life: phones, aircraft, cars, buildings, manufacturing machines, musical instruments, etc. In these so-called cyber-physical systems (CPSs), computers interact directly with the physical world through sensors and actuators. Those systems are becoming the key infrastructure and backbone of our society and are at the heart of revolutionary changes in our daily lives and economy. The sophistication and complexity of CPSs keep increasing since they must realize more functions with limited resources, which makes them increasingly difficult to build and manage. In particular, the cyber (software) part of these systems is growing rapidly and has become a key part of CPS, as they are the basis of operation for these systems. Artificial intelligence (AI) has a fundamental influence on the economy, administration, and society. AI is now also affecting software engineering, providing robust approaches for software development to analyze and evaluate complex software and its development processes. Repository mining, machine learning, big data analytics, and software visualization enable targeted insights and powerful predictions for software quality, software development, and software project management. The research community has shown a keen interest in this emerging field. This report presents a summary of the workshop held on February 2021 at KIT Bhubaneswar, co-located with the 14th Innovations in Software Engineering Conference (ISEC 2021).",not included,994,0.8878777623176575
10.48550/arxiv.2212.11854,to_check,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),semantic_scholar,Business &amp; Information Systems Engineering,2022-01-01 00:00:00,semantic_scholar,data-centric artificial intelligence,https://www.semanticscholar.org/paper/70df7fec4224c0d98252a6c61ee5f835be6f9e0b,"Data-centric artificial intelligence (data-centric AI) represents an emerging paradigm that emphasizes the importance of enhancing data systematically and at scale to  build effective and efficient AI-based systems. The novel paradigm complements recent model-centric AI, which focuses on improving the performance of AI-based systems based on changes in the model using a fixed set of data. The objective of this article is to introduce practitioners and researchers from the field of Business and Information Systems Engineering (BISE) to data-centric AI. The paper defines relevant terms, provides key characteristics to contrast the paradigm of data-centric AI with the model-centric one, and introduces a framework to illustrate the different dimensions of data-centric AI. In addition, an overview of available tools for data-centric AI is presented and this novel paradigm is differenciated from related concepts. Finally, the paper discusses the longer-term implications of data-centric AI for the BISE community.",included,1263,0.8859785795211792
10.1109/rew.2019.00051,to_check,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),semantic_scholar,2019 IEEE 27th International Requirements Engineering Conference Workshops (REW),2019-01-01 00:00:00,semantic_scholar,requirements engineering challenges in building ai-based complex systems,https://www.semanticscholar.org/paper/58090cdbb7526f4e22c09387814ee060dab1de54,"This paper identifies and tackles the challenges of the requirements engineering discipline when applied to development of AI-based complex systems. Due to their complex behaviour, there is an immanent need for a tailored development process for such systems. However, there is still no widely used and specifically tailored process in place to effectively and efficiently deal with requirements suitable for specifying a software solution that uses machine learning. By analysing the related work from software engineering and artificial intelligence fields, potential contributions have been recognized from agent-based software engineering and goal-oriented requirements engineering research, as well as examples from large product development companies. The challenges have been discussed, with proposals given how and when to tackle them. RE4AI taxonomy has also been outlined, to inform the tailoring of development process.",included,651,0.8855636715888977
