id,status,doi,publisher,database,query_name,query_value,url,publication_date,title,abstract,semantic_score
1,excluded,10.1145/3075564.3076259,Conf. Computing Frontiers,semantic_scholar,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://www.semanticscholar.org/paper/250f130fadcec134088be094b230489286dadf8e,2017-01-01 00:00:00,bonseyes: platform for open development of systems of artificial intelligence: invited paper,"The Bonseyes EU H2020 collaborative project aims to develop a platform consisting of a Data Marketplace, a Deep Learning Toolbox, and Developer Reference Platforms for organizations wanting to adopt Artificial Intelligence. The project will be focused on using artificial intelligence in low power Internet of Things (IoT) devices (""edge computing""), embedded computing systems, and data center servers (""cloud computing""). It will bring about orders of magnitude improvements in efficiency, performance, reliability, security, and productivity in the design and programming of systems of artificial intelligence that incorporate Smart Cyber-Physical Systems (CPS). In addition, it will solve a causality problem for organizations who lack access to Data and Models. Its open software architecture will facilitate adoption of the whole concept on a wider scale. To evaluate the effectiveness, technical feasibility, and to quantify the real-world improvements in efficiency, security, performance, effort and cost of adding AI to products and services using the Bonseyes platform, four complementary demonstrators will be built. Bonseyes platform capabilities are aimed at being aligned with the European FI-PPP activities and take advantage of its flagship project FIWARE. This paper provides a description of the project motivation, goals and preliminary work.",0.8214880228042603
2,excluded,http://arxiv.org/abs/1911.02912v1,arxiv,arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),http://arxiv.org/abs/1911.02912v1,2019-10-15 00:00:00,priority quality attributes for engineering ai-enabled systems,"Deploying successful software-reliant systems that address their mission
goals and user needs within cost, resource, and expected quality constraints
require design trade-offs. These trade-offs dictate how systems are structured
and how they behave and consequently can effectively be evolved and sustained.
Software engineering practices address this challenge by centering system
design and evolution around delivering key quality attributes, such as
security, privacy, data centricity, sustainability, and explainability. These
concerns are more urgent requirements for software-reliant systems that also
include AI components due to the uncertainty introduced by data elements.
Moreover, systems employed by the public sector exhibit unique design time and
runtime challenges due to the regulatory nature of the domains. We assert that
the quality attributes of security, privacy, data centricity, sustainability,
and explainability pose new challenges to AI engineering and will drive the
success of AI-enabled systems in the public sector. In this position paper, we
enumerate with examples from healthcare domain concerns related to these
requirements to mitigate barriers to architecting and fielding AI-enabled
systems in the public sector.",0.8663809895515442
3,excluded,10.1109/jas.2020.1003432,IEEE/CAA Journal of Automatica Sinica,semantic_scholar,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://www.semanticscholar.org/paper/7bb320e281f16a476255a5c654c48e4644a6c3ed,2021-01-01 00:00:00,towards a theoretical framework of autonomous systems underpinned by intelligence and systems sciences,"Autonomous systems are an emerging AI technology functioning without human intervention underpinned by the latest advances in intelligence, cognition, computer, and systems sciences. This paper explores the intelligent and mathematical foundations of autonomous systems. It focuses on structural and behavioral properties that constitute the intelligent power of autonomous systems. It explains how system intelligence aggregates from reflexive, imperative, adaptive intelligence to autonomous and cognitive intelligence. A hierarchical intelligence model ( HIM ) is introduced to elaborate the evolution of human and system intelligence as an inductive process. The properties of system autonomy are formally analyzed towards a wide range of applications in computational intelligence and systems engineering. Emerging paradigms of autonomous systems including brain-inspired systems, cognitive robots, and autonomous knowledge learning systems are described. Advances in autonomous systems will pave a way towards highly intelligent machines for augmenting human capabilities.",0.8254063129425049
4,excluded,10.1080/14606925.2019.1594979,core,core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://core.ac.uk/download/196591310.pdf,2019-04-01 01:00:00,"forget the singularity, its mundane artificial intelligence that should be our immediate concern","Fuelled by Science Fiction and the pronouncements of Silicon Valley gurus such as Elon Musk, the ‘Singularity’ is arguably the biggest geek myth of our time and is distracting us from addressing the numerous problems emerging with the increasing use of Artificial intelligence (AI). Artificial General Intelligence (AGI) is often perceived to mean super human like intelligence such as the ones depicted in movies like Her (2013) and Ex Machina (2014). These anthropomorphic representations of AI besiege our attention away from the very real threat of biases introduced through Machine Learning (ML). In this paper we will consider whether current practices within Human-Centred Design (HCD) permit designers to consider interactions and services in which non-human algorithms play a significant role and consider how approaches inspired by Object Oriented Ontology (OOO) may offer newperspectives for framing design activities concerning AI",0.8563174605369568
5,included,10.1515/auto-2022-0076,at - Automatisierungstechnik,semantic_scholar,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://www.semanticscholar.org/paper/f8492b9265e21f7db13c71214b68d640c6bf3903,2022-01-01 00:00:00,ki-engineering – ai systems engineering,Abstract KI-Engineering – translated as AI Systems Engineering – aims at the development of a new engineering practice in the intersection of Systems Engineering and Artificial Intelligence. Its goal is to professionalize the use of AI methods in a systems engineering context. The article defines KI-Engineering and compares it with historical examples of research disciplines that founded engineering disciplines. It furthermore discusses the long-term challenges where further development is needed and which results were already achieved in the context of the Competence Center for KI-Engineering (CC-KING).,0.8826118111610413
6,excluded,10.1109/cain58948.2023.00019,IEEE,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://ieeexplore.ieee.org/document/10164777/,2023-05-16 00:00:00,conceptualising software development lifecycle for engineering ai planning systems,"Given the prominence of AI planning in research and industry, the development of AI planning software and its integration into production architectures are becoming important. However, building and managing planning software is a complex and expertise-dependent process without methodological support that would ensure AI planning applications have high quality and industrial strength. To that end, we propose a lifecycle for developing AI planning systems that consists of ten phases related to the design, development, and operation of planning systems.",0.8290835022926331
7,included,10.1109/sose55472.2022.9812672,International Symposium on Service Oriented Software Engineering,semantic_scholar,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://www.semanticscholar.org/paper/5a19c398c2b4738f5eb473a175807bb9b59e6d71,2022-01-01 00:00:00,engineering dependable ai systems,"If AI algorithms are now pervasive in our daily life, they essentially deliver non critical services, i.e., services which failures remain socially and economically acceptable. In order to introduce those algorithms in critical systems, new engineering practices must be defined to give a justified trust in the capability of the system to deliver the intended services. In this paper, we give an overview of the approach that we have put in place to reach this goal in the framework of the French Confiance.ai program. Based on the needs of the industrial partners of the program, we propose a model-based analysis framework capturing the two dimensions of the problem: the one related to the development and operation of the system and the one related to the trust in the system.",0.8794834017753601
8,excluded,10.1109/cesser-ip.2019.00008,IEEE,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://ieeexplore.ieee.org/document/8836177/,2019-05-28 00:00:00,best practices for engineering ai-infused applications: lessons learned from microsoft teams,"Artificial intelligence and machine learning (AI/ML) are some of the newest trends to hit the software industry, compelling organizations to evolve their development processes to deliver novel products to their customers. In this talk, I describe a study in which we learned how Microsoft software teams develop AI/ML-based applications using a nine-stage AI workflow process informed by prior experiences developing early AI applications (e.g. search and NLP) and data science tools (e.g. application telemetry and bug reporting). Adapting this workflow into their pre-existing, well-evolved, Agile-like software engineering processes and job roles has resulted in a number of engineering challenges unique to the AI/ML domain, some universal to all teams, but others related to the amount of prior AI/ML experience and education the teams have. I tell you about some challenges and the solutions that teams have come up with. The lessons that Microsoft has learned can help other organizations embarking on their own path towards AI and ML.",0.8530495762825012
9,excluded,10.23919/istafrica.2017.8101981,IEEE,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://ieeexplore.ieee.org/document/8101981/,2017-06-02 00:00:00,managing diseases thru' asclepios: an agile information exploitation framework,"This paper describes the development of an open-source information system, called Asclepios, which manages a plethora of information on communicable diseases in an agile manner. Asclepios exploits information from multiple databases from both open sources (Third Party) and Second party sources. A variety of tools are available in Asclepios to perform extensive processing of numeric and texts (along with some image and video processing) so that trend information can be gleaned on various communicable diseases. The Asclepios architecture draws together a confluence of technologies and industrial standards such as: cloud computing, metadata, ontology generation and management, artificial intelligence, pattern recognition, decision support system, data mining and systems engineering. Because of the use of Component Based Software Engineering (CBSE) methodology for its design, the architecture is scalable, its components replaceable dynamically and configured for the requirements of a given application. The underlying architecture of Asclepios is therefore horizontal, but it has an ability to support several verticals as epidemiology, pharmacology and other fields easily. The application of Asclepios is wide ranging - from military to Government through to medical and tourism and pharmaceuticals. Further, Asclepios-like applications are very much needed in most Third world countries, including all countries in Africa, as it can significantly enhance the health, safety and well-being of people.",0.8005644679069519
10,excluded,http://arxiv.org/abs/1707.09095v2,arxiv,arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),http://arxiv.org/abs/1707.09095v2,2017-07-28 00:00:00,toward the starting line: a systems engineering approach to strong ai,"Artificial General Intelligence (AGI) or Strong AI aims to create machines
with human-like or human-level intelligence, which is still a very ambitious
goal when compared to the existing computing and AI systems. After many hype
cycles and lessons from AI history, it is clear that a big conceptual leap is
needed for crossing the starting line to kick-start mainstream AGI research.
This position paper aims to make a small conceptual contribution toward
reaching that starting line. After a broad analysis of the AGI problem from
different perspectives, a system-theoretic and engineering-based research
approach is introduced, which builds upon the existing mainstream AI and
systems foundations. Several promising cross-fertilization opportunities
between systems disciplines and AI research are identified. Specific potential
research directions are discussed.",0.8995599150657654
