id,status,doi,publisher,database,query_name,query_value,url,publication_date,title,abstract,semantic_score
1,included,10.1007/s43681-023-00289-2,Springer,springer,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),http://dx.doi.org/10.1007/s43681-023-00289-2,2023-05-30 00:00:00,auditing large language models: a three-layered approach,"Large language models (LLMs) represent a major advance in artificial intelligence (AI) research. However, the widespread use of LLMs is also coupled with significant ethical and social challenges. Previous research has pointed towards auditing as a promising governance mechanism to help ensure that AI systems are designed and deployed in ways that are ethical, legal, and technically robust. However, existing auditing procedures fail to address the governance challenges posed by LLMs, which display emergent capabilities and are adaptable to a wide range of downstream tasks. In this article, we address that gap by outlining a novel blueprint for how to audit LLMs. Specifically, we propose a three-layered approach, whereby governance audits (of technology providers that design and disseminate LLMs), model audits (of LLMs after pre-training but prior to their release), and application audits (of applications based on LLMs) complement and inform each other. We show how audits, when conducted in a structured and coordinated manner on all three levels, can be a feasible and effective mechanism for identifying and managing some of the ethical and social risks posed by LLMs. However, it is important to remain realistic about what auditing can reasonably be expected to achieve. Therefore, we discuss the limitations not only of our three-layered approach but also of the prospect of auditing LLMs at all. Ultimately, this article seeks to expand the methodological toolkit available to technology providers and policymakers who wish to analyse and evaluate LLMs from technical, ethical, and legal perspectives.",0.8081768155097961
2,included,10.1109/raise.2019.00015,RAISE@ICSE,semantic_scholar,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://www.semanticscholar.org/paper/4167fbb4c9d3e4d0ab4982d4d102edc5c935ae1e,2019-01-01 00:00:00,towards concept based software engineering for intelligent agents,"The development of AI and machine learning applications at an industry mature level while maintaining quality and productivity goals is one of today's major challenges. Research in the field of intelligent agents has achieved many successes in recent years, especially due to various reinforcement learning techniques, and promises a high benefit in times of automation and autonomous systems. Bringing them into production, however, requires optimization against many other criteria than just accuracy. This leads to the emerging field of machine teaching. We already know many of the objectives used there from software engineering research, which has led to many well-established principles in recent decades. One of them is the component-based development whose idea finds an interesting counterpart in hierarchical reinforcement learning. We show that both areas can benefit from each other and introduce our approach of concept based software engineering, which is focused on supporting productivity and quality goals during the development of such systems.",0.8317070007324219
3,included,http://arxiv.org/abs/2302.07872v1,arxiv,arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),http://arxiv.org/abs/2302.07872v1,2023-02-14 00:00:00,data-centric governance,"Artificial intelligence (AI) governance is the body of standards and
practices used to ensure that AI systems are deployed responsibly. Current AI
governance approaches consist mainly of manual review and documentation
processes. While such reviews are necessary for many systems, they are not
sufficient to systematically address all potential harms, as they do not
operationalize governance requirements for system engineering, behavior, and
outcomes in a way that facilitates rigorous and reproducible evaluation. Modern
AI systems are data-centric: they act on data, produce data, and are built
through data engineering. The assurance of governance requirements must also be
carried out in terms of data. This work explores the systematization of
governance requirements via datasets and algorithmic evaluations. When applied
throughout the product lifecycle, data-centric governance decreases time to
deployment, increases solution quality, decreases deployment risks, and places
the system in a continuous state of assured compliance with governance
requirements.",0.8804633617401123
4,included,10.1007/978-3-030-60117-1_32,scopus,scopus,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094144617&origin=inward,2020-01-01 00:00:00,safety analytics for ai systems,"
AbstractView references

Growing AI technologies are a threat to safety and security in systems due to its obscurity and uncertainty. This study introduces a prevailing Deep Learning model, Convolutional Neural Network (CNN) and it’s deep weaknesses through a simple case study of the CNN model based on Keras for handwriting recognition. It reveals that CNN algorithms don’t adapt well to changes. Adding new cases to the training data may improve accuracy, but not to the same level as before. Synthetic training data may improve the accuracy superficially because of the similarity of data distributions between generated data and original data. Prevailing ML models such as Generative Adversarial Networks (GAN) have their limitations such as similarity-addiction and modality collapse. They could be toxic to safety engineering without domain expertise. The study proposed four test strategies: 1) AI systems should be tested by the third parties, not the developers; 2) test datasets should be categorically different from training datasets; the test data should not be a part of the training data; the test data should be collected from independent sources to increase the “diversity” of data modality; 3) avoid fake data, or simulated data; and 4) don’t collect the data that are conveniently available, but actively collect disastrous event data, unexpected, or the worst scenarios that may destroy the model. The study also introduces a multidimensional checklist for AI safety analysis, including sensors, data and environments, default and recovery mode, system architectures, and human-system interaction. © 2020, Springer Nature Switzerland AG.
",0.8118554949760437
5,included,10.1145/3375627.3375872,core,core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),http://arxiv.org/abs/2002.05672,2020-11-09 00:00:00,steps towards value-aligned systems,"Algorithmic (including AI/ML) decision-making artifacts are an established
and growing part of our decision-making ecosystem. They are indispensable tools
for managing the flood of information needed to make effective decisions in a
complex world. The current literature is full of examples of how individual
artifacts violate societal norms and expectations (e.g. violations of fairness,
privacy, or safety norms). Against this backdrop, this discussion highlights an
under-emphasized perspective in the literature on assessing value misalignment
in AI-equipped sociotechnical systems. The research on value misalignment has a
strong focus on the behavior of individual tech artifacts. This discussion
argues for a more structured systems-level approach for assessing
value-alignment in sociotechnical systems. We rely primarily on the research on
fairness to make our arguments more concrete. And we use the opportunity to
highlight how adopting a system perspective improves our ability to explain and
address value misalignments better. Our discussion ends with an exploration of
priority questions that demand attention if we are to assure the value
alignment of whole systems, not just individual artifacts.Comment: Original version appeared in Proceedings of the 2020 AAAI ACM
  Conference on AI, Ethics, and Society (AIES '20), February 7-8, 2020, New
  York, NY, USA. 5 pages, 2 figures. Corrected some typos in this versio",0.8055118918418884
6,included,10.1109/ictc55196.2022.9952989,Information and Communication Technology Convergence,semantic_scholar,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://www.semanticscholar.org/paper/f4b42bdd510b993177c578830e89e58776060aab,2022-01-01 00:00:00,trustops: a risk-based ai engineering process,"We live in an era of artificial intelligence (AI) technology, which enables traditional HW/SW systems to help humans make wise decisions and even operate in intelligent ways. However, due to its inductive behaviors, this data-driven technology creates problems differ from those of conventional deductive systems. Therefore, the more AI is used in a wider range of industries and societies, the more problems and issues unseen before arise in human society. That's why most international organizations and nations released principles, and are struggling to find a technical methodology for assuring trustworthiness of AI. In many studies and papers, technical requirements are being presented individually and risk management is raised as the one of those. This paper intends to present an integrated and systematic engineering process that implements technical requirements in aspect of risk management.",0.8350556492805481
7,included,10.1515/auto-2022-0020,at - Automatisierungstechnik,semantic_scholar,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://www.semanticscholar.org/paper/20e4fac51b5a8ced6e66f9fe11cddad7d87c6d6e,2022-01-01 00:00:00,paise® – process model for ai systems engineering,"Abstract The application of artificial-intelligence-(AI)-based methods within the context of complex systems poses new challenges within the product life cycle. The process model for AI systems engineering, PAISE®, addresses these challenges by combining approaches from the disciplines of systems engineering, software development and data science. The general approach builds on a component-wise development of the overall system including an AI component. This allows domain specific development processes to be parallelized. At the same time, component dependencies are tested within interdisciplinary checkpoints, thus resulting in a refinement of component specifications.",0.9021071195602416
8,included,10.1109/isse54508.2022.10005383,IEEE,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://ieeexplore.ieee.org/document/10005383/,2022-10-26 00:00:00,patients’ perceptions of integrating ai into healthcare: systems thinking approach,"Artificial intelligence (AI) has become more integrated into healthcare with a promising future. The expansion and application of Artificial Intelligence depend on technologies, policymakers, healthcare providers, as well as patients. Nevertheless, how to systematically understand AI interventions from the patients' perspectives should be further explored. In this paper, we first outline patients' perceptions of integrating AI into healthcare systems through a brief survey-based case study. Next, we emphasized the challenges and concerns of applying AI to complex healthcare systems while considering the components' interactions. Then a three-layer structure was proposed to highlight the complexity of Human-AI-Technology interactions linked to the governance system. Moreover, a causal loop diagram (CLD) is established to analyze the dynamic and causality of the adoption of AI in healthcare inspired by the systems thinking approach to help understand the patients' attitudes and perceptions of the whole picture.",0.811959445476532
9,included,10.1109/transai60598.2023.00015,IEEE,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://ieeexplore.ieee.org/document/10387654/,2023-09-27 00:00:00,ai engineering to deploy reliable ai in industry,"To bring competitive advantage to industry through a sound AI deployment, we need an end-to-end “AI systems engineering” process covering the overall lifecycle of an AI system, both at component level and at system level, regardless of whether the specifications come from regulation and reliability concerns.",0.8573559522628784
10,included,10.1093/jamia/ocac006,J. Am. Medical Informatics Assoc.,semantic_scholar,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),https://www.semanticscholar.org/paper/a2736b7a0f7a0002e912c665b1dc99fd40b469c4,2021-01-01 00:00:00,defining amia's artificial intelligence principles,"Recent advances in the science and technology of artificial intelligence (AI) and growing numbers of deployed AI systems in healthcare and other services have called attention to the need for ethical principles and governance. We define and provide a rationale for principles that should guide the commission, creation, implementation, maintenance, and retirement of AI systems as a foundation for governance throughout the lifecycle. Some principles are derived from the familiar requirements of practice and research in medicine and healthcare: beneficence, nonmaleficence, autonomy, and justice come first. A set of principles follow from the creation and engineering of AI systems: explainability of the technology in plain terms; interpretability, that is, plausible reasoning for decisions; fairness and absence of bias; dependability, including ""safe failure""; provision of an audit trail for decisions; and active management of the knowledge base to remain up to date and sensitive to any changes in the environment. In organizational terms, the principles require benevolence-aiming to do good through the use of AI; transparency, ensuring that all assumptions and potential conflicts of interest are declared; and accountability, including active oversight of AI systems and management of any risks that may arise. Particular attention is drawn to the case of vulnerable populations, where extreme care must be exercised. Finally, the principles emphasize the need for user education at all levels of engagement with AI and for continuing research into AI and its biomedical and healthcare applications.",0.826555073261261
