doi,type,query_name,query_value,publication,publisher,publication_date,database,title,url,abstract,status,semantic_score,id
http://arxiv.org/abs/2311.12755v1,preprocessed,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),arxiv,arxiv,2023-11-21 00:00:00,arxiv,"digital twin framework for optimal and autonomous decision-making in
  cyber-physical systems: enhancing reliability and adaptability in the oil and
  gas industry",http://arxiv.org/abs/2311.12755v1,"The concept of creating a virtual copy of a complete Cyber-Physical System
opens up numerous possibilities, including real-time assessments of the
physical environment and continuous learning from the system to provide
reliable and precise information. This process, known as the twinning process
or the development of a digital twin (DT), has been widely adopted across
various industries. However, challenges arise when considering the
computational demands of implementing AI models, such as those employed in
digital twins, in real-time information exchange scenarios. This work proposes
a digital twin framework for optimal and autonomous decision-making applied to
a gas-lift process in the oil and gas industry, focusing on enhancing the
robustness and adaptability of the DT. The framework combines Bayesian
inference, Monte Carlo simulations, transfer learning, online learning, and
novel strategies to confer cognition to the DT, including model
hyperdimensional reduction and cognitive tack. Consequently, creating a
framework for efficient, reliable, and trustworthy DT identification was
possible. The proposed approach addresses the current gap in the literature
regarding integrating various learning techniques and uncertainty management in
digital twin strategies. This digital twin framework aims to provide a reliable
and efficient system capable of adapting to changing environments and
incorporating prediction uncertainty, thus enhancing the overall
decision-making process in complex, real-world scenarios. Additionally, this
work lays the foundation for further developments in digital twins for process
systems engineering, potentially fostering new advancements and applications
across various industrial sectors.",not included,0.8155604390537038,1
http://arxiv.org/abs/2311.00903v1,preprocessed,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),arxiv,arxiv,2023-11-02 00:00:00,arxiv,"artificial intelligence ethics education in cybersecurity: challenges
  and opportunities: a focus group report",http://arxiv.org/abs/2311.00903v1,"The emergence of AI tools in cybersecurity creates many opportunities and
uncertainties. A focus group with advanced graduate students in cybersecurity
revealed the potential depth and breadth of the challenges and opportunities.
The salient issues are access to open source or free tools, documentation,
curricular diversity, and clear articulation of ethical principles for AI
cybersecurity education. Confronting the ""black box"" mentality in AI
cybersecurity work is also of the greatest importance, doubled by deeper and
prior education in foundational AI work. Systems thinking and effective
communication were considered relevant areas of educational improvement. Future
AI educators and practitioners need to address these issues by implementing
rigorous technical training curricula, clear documentation, and frameworks for
ethically monitoring AI combined with critical and system's thinking and
communication skills.",not included,0.8036815471508924,2
http://arxiv.org/abs/2307.02867v1,preprocessed,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),arxiv,arxiv,2023-07-06 00:00:00,arxiv,"towards a safe mlops process for the continuous development and safety
  assurance of ml-based systems in the railway domain",http://arxiv.org/abs/2307.02867v1,"Traditional automation technologies alone are not sufficient to enable
driverless operation of trains (called Grade of Automation (GoA) 4) on
non-restricted infrastructure. The required perception tasks are nowadays
realized using Machine Learning (ML) and thus need to be developed and deployed
reliably and efficiently. One important aspect to achieve this is to use an
MLOps process for tackling improved reproducibility, traceability,
collaboration, and continuous adaptation of a driverless operation to changing
conditions. MLOps mixes ML application development and operation (Ops) and
enables high frequency software releases and continuous innovation based on the
feedback from operations. In this paper, we outline a safe MLOps process for
the continuous development and safety assurance of ML-based systems in the
railway domain. It integrates system engineering, safety assurance, and the ML
life-cycle in a comprehensive workflow. We present the individual stages of the
process and their interactions. Moreover, we describe relevant challenges to
automate the different stages of the safe MLOps process.",included,0.8090653699987075,3
http://arxiv.org/abs/2205.01070v1,preprocessed,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),arxiv,arxiv,2022-04-20 00:00:00,arxiv,five ps: leverage zones towards responsible ai,http://arxiv.org/abs/2205.01070v1,"There is a growing debate amongst academics and practitioners on whether
interventions made, thus far, towards Responsible AI would have been enough to
engage with root causes of AI problems. Failure to effect meaningful changes in
this system could see these initiatives to not reach their potential and lead
to the concept becoming another buzzword for companies to use in their
marketing campaigns. We propose that there is an opportunity to improve the
extent to which interventions are understood to be effective in their
contribution to the change required for Responsible AI. Using the notions of
leverage zones adapted from the 'Systems Thinking' literature, we suggest a
novel approach to evaluate the effectiveness of interventions, to focus on
those that may bring about the real change that is needed. In this paper we
argue that insights from using this perspective demonstrate that the majority
of current initiatives taken by various actors in the field, focus on low-order
interventions, such as short-term fixes, tweaking algorithms and updating
parameters, absent from higher-order interventions, such as redefining the
system's foundational structures that govern those parameters, or challenging
the underlying purpose upon which those structures are built and developed in
the first place(high-leverage). This paper presents a conceptual framework
called the Five Ps to identify interventions towards Responsible AI and
provides a scaffold for transdisciplinary question asking to improve outcomes
towards Responsible AI.",included,0.8183542332228493,4
http://arxiv.org/abs/2003.11816v1,preprocessed,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),arxiv,arxiv,2020-03-26 00:00:00,arxiv,"do deep minds think alike? selective adversarial attacks for
  fine-grained manipulation of multiple deep neural networks",http://arxiv.org/abs/2003.11816v1,"Recent works have demonstrated the existence of {\it adversarial examples}
targeting a single machine learning system. In this paper we ask a simple but
fundamental question of ""selective fooling"": given {\it multiple} machine
learning systems assigned to solve the same classification problem and taking
the same input signal, is it possible to construct a perturbation to the input
signal that manipulates the outputs of these {\it multiple} machine learning
systems {\it simultaneously} in arbitrary pre-defined ways? For example, is it
possible to selectively fool a set of ""enemy"" machine learning systems but does
not fool the other ""friend"" machine learning systems? The answer to this
question depends on the extent to which these different machine learning
systems ""think alike"". We formulate the problem of ""selective fooling"" as a
novel optimization problem, and report on a series of experiments on the MNIST
dataset. Our preliminary findings from these experiments show that it is in
fact very easy to selectively manipulate multiple MNIST classifiers
simultaneously, even when the classifiers are identical in their architectures,
training algorithms and training datasets except for random initialization
during training. This suggests that two nominally equivalent machine learning
systems do not in fact ""think alike"" at all, and opens the possibility for many
novel applications and deeper understandings of the working principles of deep
neural networks.",not included,0.8075019261416267,5
http://arxiv.org/abs/2001.09734v1,preprocessed,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),arxiv,arxiv,2020-01-27 00:00:00,arxiv,"one explanation does not fit all: the promise of interactive
  explanations for machine learning transparency",http://arxiv.org/abs/2001.09734v1,"The need for transparency of predictive systems based on Machine Learning
algorithms arises as a consequence of their ever-increasing proliferation in
the industry. Whenever black-box algorithmic predictions influence human
affairs, the inner workings of these algorithms should be scrutinised and their
decisions explained to the relevant stakeholders, including the system
engineers, the system's operators and the individuals whose case is being
decided. While a variety of interpretability and explainability methods is
available, none of them is a panacea that can satisfy all diverse expectations
and competing objectives that might be required by the parties involved. We
address this challenge in this paper by discussing the promises of Interactive
Machine Learning for improved transparency of black-box systems using the
example of contrastive explanations -- a state-of-the-art approach to
Interpretable Machine Learning.
  Specifically, we show how to personalise counterfactual explanations by
interactively adjusting their conditional statements and extract additional
explanations by asking follow-up ""What if?"" questions. Our experience in
building, deploying and presenting this type of system allowed us to list
desired properties as well as potential limitations, which can be used to guide
the development of interactive explainers. While customising the medium of
interaction, i.e., the user interface comprising of various communication
channels, may give an impression of personalisation, we argue that adjusting
the explanation itself and its content is more important. To this end,
properties such as breadth, scope, context, purpose and target of the
explanation have to be considered, in addition to explicitly informing the
explainee about its limitations and caveats...",included,0.8003887919818654,6
10.1109/iccw.2018.8403664,preprocessed,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence'),semantic_scholar,2018 IEEE International Conference on Communications Workshops (ICC Workshops),2018-01-01 00:00:00,semantic_scholar,collaborative artificial intelligence (ai) for user-cell association in ultra-dense cellular systems,https://www.semanticscholar.org/paper/558d80a1fc4077090c3ff20d4fff582376fc477f,"In this paper, the problem of cell association between small base stations (SBSs) and users in dense wireless networks is studied using artificial intelligence (AI) techniques. The problem is formulated as a mean-field game in which the users' goal is to maximize their data rate by exploiting local data and the data available at neighboring users via an imitation process. Such a collaborative learning process prevents the users from exchanging their data directly via the cellular network's limited backhaul links and, thus, allows them to improve their cell association policy collaboratively with minimum computing. To solve this problem, a neural Q-learning learning algorithm is proposed that enables the users to predict their reward function using a neural network whose input is the SBSs selected by neighboring users and the local data of the considered user. Simulation results show that the proposed imitation-based mechanism for cell association converges faster to the optimal solution, compared with conventional cell association mechanisms without imitation.",not included,0.815056125907337,7
0fe809899a3c367f02afb271756962302c457718,preprocessed,citation,citation,semantic_scholar,arXiv.org,2024.0,semantic_scholar,envisioning the applications and implications of generative ai for news media,https://www.semanticscholar.org/paper/0fe809899a3c367f02afb271756962302c457718,"This article considers the increasing use of algorithmic decision-support systems and synthetic media in the newsroom, and explores how generative models can help reporters and editors across a range of tasks from the conception of a news story to its distribution. Specifically, we draw from a taxonomy of tasks associated with news production, and discuss where generative models could appropriately support reporters, the journalistic and ethical values that must be preserved within these interactions, and the resulting implications for design contributions in this area in the future. Our essay is relevant to practitioners and researchers as they consider using generative AI systems to support different tasks and workflows.",not included,0.8155604390537038,8
e53412b4f0f15330f8efa84e3c8f649bbe5e26f7,preprocessed,citation,citation,semantic_scholar,arXiv.org,2024.0,semantic_scholar,an empirical categorization of prompting techniques for large language models: a practitioner's guide,https://www.semanticscholar.org/paper/e53412b4f0f15330f8efa84e3c8f649bbe5e26f7,"Due to rapid advancements in the development of Large Language Models (LLMs), programming these models with prompts has recently gained significant attention. However, the sheer number of available prompt engineering techniques creates an overwhelming landscape for practitioners looking to utilize these tools. For the most efficient and effective use of LLMs, it is important to compile a comprehensive list of prompting techniques and establish a standardized, interdisciplinary categorization framework. In this survey, we examine some of the most well-known prompting techniques from both academic and practical viewpoints and classify them into seven distinct categories. We present an overview of each category, aiming to clarify their unique contributions and showcase their practical applications in real-world examples in order to equip fellow practitioners with a structured framework for understanding and categorizing prompting techniques tailored to their specific domains. We believe that this approach will help simplify the complex landscape of prompt engineering and enable more effective utilization of LLMs in various applications. By providing practitioners with a systematic approach to prompt categorization, we aim to assist in navigating the intricacies of effective prompt design for conversational pre-trained LLMs and inspire new possibilities in their respective fields.",not included,0.8036815471508924,9
0547d6069527ab26c9a587d4997b9760aa84811d,preprocessed,citation,citation,semantic_scholar,Journal of Global Information Management,2024.0,semantic_scholar,exploring the potential of large language models in supply chain management: a study using big data,https://www.semanticscholar.org/paper/0547d6069527ab26c9a587d4997b9760aa84811d,"This study aims to identify emerging topics, themes, and potential areas for applying large language models (LLMs) in supply chain management through data triangulation. This study involved the synthesis of 33 published articles and a total of 3421 social media documents, including tweets, posts, expert opinions, and industry reports on utilizing LLMs in supply chain management. By employing BERT models, four core themes were derived: Supply chain optimization, supply chain risk and security management, supply chain knowledge management, and automated contract intelligence, which provides the present status of LLM in the supply chain. The results of this study will empower managers to identify prospective applications and areas for improvement, affording them a comprehensive understanding of the antecedents, decisions, and outcomes detailed in the framework. The insights garnered from this study are highly valuable to both researchers and managers, equipping them to harness the latest advancements in LLM technology and its role within supply chain management.",not included,0.8090653699987075,10
