id,updated,published,title,summary,database,query_name,query_value
http://arxiv.org/abs/2404.00869v1,2024-04-01T02:34:53Z,2024-04-01,"towards automated generation of smart grid cyber range for cybersecurity
  experiments and training","Assurance of cybersecurity is crucial to ensure dependability and resilience
of smart power grid systems. In order to evaluate the impact of potential cyber
attacks, to assess deployability and effectiveness of cybersecurity measures,
and to enable hands-on exercise and training of personals, an interactive,
virtual environment that emulates the behaviour of a smart grid system, namely
smart grid cyber range, has been demanded by industry players as well as
academia. A smart grid cyber range is typically implemented as a combination of
cyber system emulation, which allows interactivity, and physical system (i.e.,
power grid) simulation that are tightly coupled for consistent cyber and
physical behaviours. However, its design and implementation require intensive
expertise and efforts in cyber and physical aspects of smart power systems as
well as software/system engineering. While many industry players, including
power grid operators, device vendors, research and education sectors are
interested, availability of the smart grid cyber range is limited to a small
number of research labs. To address this challenge, we have developed a
framework for modelling a smart grid cyber range using an XML-based language,
called SG-ML, and for ""compiling"" the model into an operational cyber range
with minimal engineering efforts. The modelling language includes standardized
schema from IEC 61850 and IEC 61131, which allows industry players to utilize
their existing configurations. The SG-ML framework aims at making a smart grid
cyber range available to broader user bases to facilitate cybersecurity R\&D
and hands-on exercises.",arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
http://arxiv.org/abs/2403.13309v1,2024-03-20T05:17:22Z,2024-03-20,"mapping llm security landscapes: a comprehensive stakeholder risk
  assessment proposal","The rapid integration of Large Language Models (LLMs) across diverse sectors
has marked a transformative era, showcasing remarkable capabilities in text
generation and problem-solving tasks. However, this technological advancement
is accompanied by significant risks and vulnerabilities. Despite ongoing
security enhancements, attackers persistently exploit these weaknesses, casting
doubts on the overall trustworthiness of LLMs. Compounding the issue,
organisations are deploying LLM-integrated systems without understanding the
severity of potential consequences. Existing studies by OWASP and MITRE offer a
general overview of threats and vulnerabilities but lack a method for directly
and succinctly analysing the risks for security practitioners, developers, and
key decision-makers who are working with this novel technology. To address this
gap, we propose a risk assessment process using tools like the OWASP risk
rating methodology which is used for traditional systems. We conduct scenario
analysis to identify potential threat agents and map the dependent system
components against vulnerability factors. Through this analysis, we assess the
likelihood of a cyberattack. Subsequently, we conduct a thorough impact
analysis to derive a comprehensive threat matrix. We also map threats against
three key stakeholder groups: developers engaged in model fine-tuning,
application developers utilizing third-party APIs, and end users. The proposed
threat matrix provides a holistic evaluation of LLM-related risks, enabling
stakeholders to make informed decisions for effective mitigation strategies.
Our outlined process serves as an actionable and comprehensive tool for
security practitioners, offering insights for resource management and enhancing
the overall system security.",arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
http://arxiv.org/abs/2403.14697v1,2024-03-15T20:30:02Z,2024-03-15,"an aic-based approach for articulating unpredictable problems in open
  complex environments","This research paper presents an approach to enhancing the predictive
capability of architects in the design and assurance of systems, focusing on
systems operating in dynamic and unpredictable environments. By adopting a
systems approach, we aim to improve architects' predictive capabilities in
designing dependable systems (for example, ML-based systems). An aerospace case
study is used to illustrate the approach. Multiple factors (challenges)
influencing aircraft detection are identified, demonstrating the effectiveness
of our approach in a complex operational setting. Our approach primarily aimed
to enhance the architect's predictive capability.",arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
http://arxiv.org/abs/2403.09509v1,2024-03-14T15:56:02Z,2024-03-14,"on stpa for distributed development of safe autonomous driving: an
  interview study","Safety analysis is used to identify hazards and build knowledge during the
design phase of safety-relevant functions. This is especially true for complex
AI-enabled and software intensive systems such as Autonomous Drive (AD).
System-Theoretic Process Analysis (STPA) is a novel method applied in
safety-related fields like defense and aerospace, which is also becoming
popular in the automotive industry. However, STPA assumes prerequisites that
are not fully valid in the automotive system engineering with distributed
system development and multi-abstraction design levels. This would inhibit
software developers from using STPA to analyze their software as part of a
bigger system, resulting in a lack of traceability. This can be seen as a
maintainability challenge in continuous development and deployment (DevOps). In
this paper, STPA's different guidelines for the automotive industry, e.g.
J31887/ISO21448/STPA handbook, are firstly compared to assess their
applicability to the distributed development of complex AI-enabled systems like
AD. Further, an approach to overcome the challenges of using STPA in a
multi-level design context is proposed. By conducting an interview study with
automotive industry experts for the development of AD, the challenges are
validated and the effectiveness of the proposed approach is evaluated.",arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
http://arxiv.org/abs/2402.12111v1,2024-02-19T13:04:05Z,2024-02-19,"evaluating versal ai engines for option price discovery in market risk
  analysis","Whilst Field-Programmable Gate Arrays (FPGAs) have been popular in
accelerating high-frequency financial workload for many years, their
application in quantitative finance, the utilisation of mathematical models to
analyse financial markets and securities, is less mature. Nevertheless, recent
work has demonstrated the benefits that FPGAs can deliver to quantitative
workloads, and in this paper, we study whether the Versal ACAP and its AI
Engines (AIEs) can also deliver improved performance. We focus specifically on
the industry standard Strategic Technology Analysis Center's (STAC) derivatives
risk analysis benchmark STAC-A2. Porting a purely FPGA-based accelerator
STAC-A2 inspired market risk (SIMR) benchmark to the Versal ACAP device by
combining Programmable Logic (PL) and AIEs, we explore the development approach
and techniques, before comparing performance across PL and AIEs. Ultimately, we
found that our AIE approach is slower than a highly optimised existing PL-only
version due to limits on both the AIE and PL that we explore and describe.",arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
http://arxiv.org/abs/2402.10977v1,2024-02-15T18:20:42Z,2024-02-15,generative ai and process systems engineering: the next frontier,"This article explores how emerging generative artificial intelligence (GenAI)
models, such as large language models (LLMs), can enhance solution
methodologies within process systems engineering (PSE). These cutting-edge
GenAI models, particularly foundation models (FMs), which are pre-trained on
extensive, general-purpose datasets, offer versatile adaptability for a broad
range of tasks, including responding to queries, image generation, and complex
decision-making. Given the close relationship between advancements in PSE and
developments in computing and systems technologies, exploring the synergy
between GenAI and PSE is essential. We begin our discussion with a compact
overview of both classic and emerging GenAI models, including FMs, and then
dive into their applications within key PSE domains: synthesis and design,
optimization and integration, and process monitoring and control. In each
domain, we explore how GenAI models could potentially advance PSE
methodologies, providing insights and prospects for each area. Furthermore, the
article identifies and discusses potential challenges in fully leveraging GenAI
within PSE, including multiscale modeling, data requirements, evaluation
metrics and benchmarks, and trust and safety, thereby deepening the discourse
on effective GenAI integration into systems analysis, design, optimization,
operations, monitoring, and control. This paper provides a guide for future
research focused on the applications of emerging GenAI in PSE.",arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
http://arxiv.org/abs/2401.16792v1,2024-01-30T07:11:03Z,2024-01-30,"widesa: a high array utilization mapping scheme for uniform recurrences
  on the versal acap architecture","The Versal Adaptive Compute Acceleration Platform (ACAP) is a new
architecture that combines AI Engines (AIEs) with reconfigurable fabric. This
architecture offers significant acceleration potential for uniform recurrences
in various domains, such as deep learning, high-performance computation, and
signal processing. However, efficiently mapping these computations onto the
Versal ACAP architecture while achieving high utilization of AIEs poses a
challenge.
  To address this issue, we propose a mapping scheme called \fname, which aims
to accelerate uniform recurrences on the Versal ACAP architecture by leveraging
the features of both the hardware and the computations. Considering the array
architecture of AIEs, our approach utilizes space-time transformations based on
the polyhedral model to generate legally optimized systolic array mappings.
Concurrently, we have developed a routing-aware PLIO assignment algorithm
tailored for communication on the AIE array, and the algorithm aims at
successful compilation while maximizing array utilization. Furthermore, we
introduce an automatic mapping framework. This framework is designed to
generate the corresponding executable code for uniform recurrences, which
encompasses the AIE kernel program, programmable logic bitstreams, and the host
program. The experimental results validate the effectiveness of our mapping
scheme. Specifically, when applying our scheme to matrix multiplication
computations on the VCK5000 board, we achieve a throughput of 4.15TOPS on float
data type, which is 1.11$\times$ higher compared to the state-of-the-art
accelerator on the Versal ACAP architecture.",arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
http://arxiv.org/abs/2401.11013v1,2024-01-19T20:21:46Z,2024-01-19,custom developer gpt for ethical ai solutions,"The main goal of this project is to create a new software artefact: a custom
Generative Pre-trained Transformer (GPT) for developers to discuss and solve
ethical issues through AI engineering. This conversational agent will provide
developers with practical application on (1) how to comply with legal
frameworks which regard AI systems (like the EU AI Act~\cite{aiact} and
GDPR~\cite{gdpr}) and (2) present alternate ethical perspectives to allow
developers to understand and incorporate alternate moral positions. In this
paper, we provide motivation for the need of such an agent, detail our idea and
demonstrate a use case. The use of such a tool can allow practitioners to
engineer AI solutions which meet legal requirements and satisfy diverse ethical
perspectives.",arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
http://arxiv.org/abs/2401.05618v1,2024-01-11T01:52:25Z,2024-01-11,"the benefits of a concise chain of thought on problem-solving in large
  language models","In this paper, we introduce Concise Chain-of-Thought (CCoT) prompting. We
compared standard CoT and CCoT prompts to see how conciseness impacts response
length and correct-answer accuracy. We evaluated this using GPT-3.5 and GPT-4
with a multiple-choice question-and-answer (MCQA) benchmark. CCoT reduced
average response length by 48.70% for both GPT-3.5 and GPT-4 while having a
negligible impact on problem-solving performance. However, on math problems,
GPT-3.5 with CCoT incurs a performance penalty of 27.69%. Overall, CCoT leads
to an average per-token cost reduction of 22.67%. These results have practical
implications for AI systems engineers using LLMs to solve real-world problems
with CoT prompt-engineering techniques. In addition, these results provide more
general insight for AI researchers studying the emergent behavior of
step-by-step reasoning in LLMs.",arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
http://arxiv.org/abs/2401.03223v2,2024-01-12T02:14:56Z,2024-01-06,"an intelligent sociotechnical systems (ists) framework: toward a
  sociotechnically-based hierarchical human-centered ai approach","Insights: - The human-centered AI (HCAI) approach and the sociotechnical
systems (STS) theory share the same goal: ensuring that new technologies such
as AI best serve humans in a sociotechnical environment. - HCAI practice needs
to fully embrace sociotechnical systems thinking, while traditional STS needs
to evolve to address the emerging characteristics of AI technology. - We
propose a conceptual framework for intelligent sociotechnical systems (iSTS) to
enhance traditional STS theory in the AI era. - Based on iSTS, we further
propose a sociotechnical-based hierarchical HCAI approach as a paradigmatic
extension to existing HCAI practice, further advancing HCAI practice.",arxiv,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
