abstract,doi,downloadUrl,id,title,publishedDate,publisher,journals,database,query_name,query_value
"This paper presents a comparative analysis of human and AI performance on a sentiment analysis task involving the coding of qualitative data from community program transcripts. The results demonstrate promising but imperfect agreement between two AI models, Claude and Bing, versus three human annotators and one expert annotator using the Community Capitals framework categories. While both models achieved fair alignment with human judgment, confusion patterns emerged involving metaphorical language and text overlapping multiple categories. The findings provide a case study for benchmarking conversational AI systems against human baselines to reveal limitations and target improvements. Key gaps center around distinguishing between social and human elements and handling cultural references. Expanded testing on more diverse datasets could further quantify differences in classification capabilities. Overall, the analysis exposes definable areas where machines still struggle compared to humans, highlighting productive research directions to eventually achieve a similar threshold to humans across diverse language inputs. As AI systems enter real-world applications, human-AI comparative studies can help define boundaries between robust statistics-based learning and adaptive human cognition",,https://core.ac.uk/download/599439372.pdf,153851243,evaluating ai sentiment analysis,2023-01-01T08:00:00,Rollins Scholarship Online,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"This paper explores educational interactions involving humans and artificial
intelligences not as sequences of prompts and responses, but as a social
process of conversation and exploration. In this conception, learners
continually converse with AI language models within a dynamic computational
medium of internet tools and resources. Learning happens when this distributed
system sets goals, builds meaning from data, consolidates understanding,
reconciles differences, and transfers knowledge to new domains. Building social
generative AI for education will require development of powerful AI systems
that can converse with each other as well as humans, construct external
representations such as knowledge maps, access and contribute to internet
resources, and act as teachers, learners, guides and mentors. This raises
fundamental problems of ethics. Such systems should be aware of their
limitations, their responsibility to learners and the integrity of the
internet, and their respect for human teachers and experts. We need to consider
how to design and constrain social generative AI for education.Comment: 8 pages, 4 figures, 1 tabl",,http://arxiv.org/abs/2306.10063,143477920,"towards social generative ai for education: theory, practices and ethics",2023-06-14T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"In the digital transformation era, when flexibility and know-how in manufacturing complex products become a critical competitive advantage, artificial intelligence (AI) is one of the technologies driving the digital transformation of industry and industrial products. These products with high complexity based on multi-dimensional requirements need flexible and adaptive manufacturing lines and novel components, e.g., dedicated CPUs, GPUs, FPGAs, TPUs and neuromorphic architectures that support AI operations at the edge with reliable sensors and specialised AI capabilities. 

The change towards AI-driven applications in industrial sectors enables new innovative industrial and manufacturing models. New process management approaches appear and become part of the core competence in the organizations and the network of manufacturing sites. 

In this context, bringing AI from the cloud to the edge and promoting the silicon-born AI components by advancing Moore’s law and accelerating edge processing adoption in different industries through reference implementations becomes a priority for digitising industry.

This article gives an overview of the ECSEL AI4DI project that aims to apply at the edge AI-based technologies, methods, algorithms, and integration with Industrial Internet of Things (IIoT) and robotics to enhance industrial processes based on repetitive tasks, focusing on replacing process identification and validation methods with intelligent technologies across automotive, semiconductor, machinery, food and beverage, and transportation industries.publishedVersio",10.13052/rp-9788770226103,https://core.ac.uk/download/588316362.pdf,150396703,artificial intelligence advancements for digitising industry,2022-01-01T00:00:00,River Publishers,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"Both, Lean Construction (LC) techniques and Artificial Intelligence (AI) methods strive for the continuous improvement of production systems in projects and organizations. A combined implementation of both approaches is an ongoing research area. Therefore, the question arises as to whether the added value generated by implementing both approaches jointly is greater than the added value generated by implementing them independently and what is the significance of people in their combined use. This paper explores theoretically the potential of synergies between LC and AI in the AEC sector with exemplary use cases as well as their resulting effects. Humans play a crucial role as interface between a combined use of both of them. As a result, a framework containing LC, AI and people is formed as basis for further combined developments. Therefore, change management, an area in which Lean has spent several years developing, can help both approaches gain traction. With the results, targeted applications can be developed, and practice can be supported",10.5445/ir/1000162384,https://core.ac.uk/download/588864916.pdf,150942971,synergies between lean construction and artificial intelligence: ai driven continuous improvement process,2023-09-20T01:00:00,International Group for Lean Construction,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"The recent sale of an artificial intelligence (AI)-generated portrait for $432,000 at Christie's art auction has raised questions about how credit and responsibility should be allocated to individuals involved and how the anthropomorphic perception of the AI system contributed to the artwork's success. Here, we identify natural heterogeneity in the extent to which different people perceive AI as anthropomorphic. We find that differences in the perception of AI anthropomorphicity are associated with different allocations of responsibility to the AI system and credit to different stakeholders involved in art production. We then show that perceptions of AI anthropomorphicity can be manipulated by changing the language used to talk about AI—as a tool versus agent—with consequences for artists and AI practitioners. Our findings shed light on what is at stake when we anthropomorphize AI systems and offer an empirical lens to reason about how to allocate credit and responsibility to human stakeholders",10.1016/j.isci.2020.101515,,89383704,who gets credit for ai-generated art?,2020-01-01T00:00:00,'Elsevier BV',"[{'title': 'iScience', 'identifiers': ['issn:2589-0042', '2589-0042']}]",core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"The research publication, “Generative Agents: Interactive Simulacra of Human Behavior,” by Stanford and Google in 2023 established that large language models (LLMs) such as GPT-4 can generate interactive agents with credible and emergent human-like behaviors. However, their application in simulating human responses in cybersecurity scenarios, particularly in social engineering attacks, remains unexplored. In addressing that gap, this study explores the potential of LLMs, specifically the Open AI GPT-4 model, to simulate a broad spectrum of human responses to social engineering attacks that exploit human social behaviors, framing our primary research question: How does the simulated behavior of human targets, based on the Big Five personality traits, responds to social engineering attacks? . This study aims to provide valuable insights for organizations and researchers striving to systematically analyze human behavior and identify prevalent human qualities, as defined by the Big Five personality traits, that are susceptible to social engineering attacks, specifically phishing emails. Also, it intends to offer recommendations for the cybersecurity industry and policymakers on mitigating these risks. The findings indicate that LLMs can provide realistic simulations of human responses to social engineering attacks, highlighting certain personality traits as more susceptible",,https://core.ac.uk/download/588636158.pdf,150722801,harnessing large language models to simulate realistic human responses to social engineering attacks: a case study,2023-08-30T08:00:00,Virtual Commons - Bridgewater State University,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"What should our ethical concerns be in a future with ‘Artificially Intelligent’ agents?  The zeitgeist of AI agents often envisions a future encompassing a hyper intelligent singularity. In this worldview, AI “monsters” appear very separate from us as, abstracted, ethically ungrounded omnipotent overlords. A world of superintelligences that have moved beyond our comprehension, with no ethical restraint.  In this polemic, I explore a different future. I examine how realistic digital humans pose a very real ethical dilemma, as we assume intelligence based on their appearance, leading to an abdication of responsibility.  I explore the future of realistic digital agents and avatars, and ask: what does this human-like form say about us? How will we judge ourselves when the computer, looks like us? I argue that the singularity is unlikely and thus the primary ethical concern is not some superhuman AI intelligence, but in how we, ourselves, treat these digital humans",10.5130/acis2018.db,https://core.ac.uk/download/301386524.pdf,17828861,artificial intelligence is no match for human stupidity: ethical reflections on avatars and agents,2018-01-01T00:00:00,AIS Electronic Library (AISeL),[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"We introduce Jais and Jais-chat, new state-of-the-art Arabic-centric
foundation and instruction-tuned open generative large language models (LLMs).
The models are based on the GPT-3 decoder-only architecture and are pretrained
on a mixture of Arabic and English texts, including source code in various
programming languages. With 13 billion parameters, they demonstrate better
knowledge and reasoning capabilities in Arabic than any existing open Arabic
and multilingual models by a sizable margin, based on extensive evaluation.
Moreover, the models are competitive in English compared to English-centric
open models of similar size, despite being trained on much less English data.
We provide a detailed description of the training, the tuning, the safety
alignment, and the evaluation of the models. We release two open versions of
the model -- the foundation Jais model, and an instruction-tuned Jais-chat
variant -- with the aim of promoting research on Arabic LLMs. Available at
https://huggingface.co/inception-mbzuai/jais-13b-chatComment: Arabic-centric, foundation model, large-language model, LLM,
  generative model, instruction-tuned, Jais, Jais-cha",,http://arxiv.org/abs/2308.16149,151805587,"jais and jais-chat: arabic-centric foundation and instruction-tuned open
  generative large language models",2023-09-29T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"Artificial intelligence is rapidly and radically changing our lives and world. This book is a multidisciplinary engagement with the present and future impacts of AI from the standpoint of Christian faith. It provides technological, philosophical, and theological foundations for thinking about AI, as well as a series of reflections on the impact of AI on relationships, behavior, education, work, and moral action. The book serves as an accessible introduction to AI as well as a guide to wise consideration, design, and use of AI by examining foundational understandings and beliefs from a Christian perspective.https://digitalcommons.spu.edu/open_books/1002/thumbnail.jp",,https://core.ac.uk/download/544082988.pdf,132386051,"ai, faith, and the future",2022-01-01T08:00:00,Digital Commons @ SPU,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
"Large language models (LLMs) have emerged as powerful machine-learning
systems capable of handling a myriad of tasks. Tuned versions of these systems
have been turned into chatbots that can respond to user queries on a vast
diversity of topics, providing informative and creative replies. However, their
application to physical science research remains limited owing to their
incomplete knowledge in these areas, contrasted with the needs of rigor and
sourcing in science domains. Here, we demonstrate how existing methods and
software tools can be easily combined to yield a domain-specific chatbot. The
system ingests scientific documents in existing formats, and uses text
embedding lookup to provide the LLM with domain-specific contextual information
when composing its reply. We similarly demonstrate that existing image
embedding methods can be used for search and retrieval across publication
figures. These results confirm that LLMs are already suitable for use by
physical scientists in accelerating their research efforts.Comment: 12 pages, 5 figure",,http://arxiv.org/abs/2306.10067,143477933,domain-specific chatbots for science using embeddings,2023-06-15T01:00:00,,[],core,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
