doi,title,publisher,content_type,abstract,html_url,publication_title,publication_date,database,query_name,query_value
10.1109/SPICSCON54707.2021.9885722,a framework of metaverse for systems engineering,IEEE,Conferences,"Recently the Metaverse has received enormous attention around the world. The advanced metaverse will be a more realistic environment with greater specific and subtle interconnections, with less race, gender, and even physical impairment, all of which would be immensely helpful to society. However, metaverse is still in its infancy, with a lot of room for improvement. The industry has already begun to prepare for the metaverse’s enormous potential, supported by frenzied investment, yet there are few talks on metaverse in academia to scientifically lead its growth. In this paper, we present a metaverse design that adopts a global approach to technology, communication, and the environment. We propose an AI-driven metaverse model that might be deployed to realize the promise of model-based systems engineering in the near future. Finally, we offer research questions that should be taken up by academia to further the metaverse.",https://ieeexplore.ieee.org/document/9885722/,"2021 IEEE International Conference on Signal Processing, Information, Communication & Systems (SPICSCON)",3-4 Dec. 2021,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/ICAA52185.2022.00013,a mapping of assurance techniques for learning enabled autonomous systems to the systems engineering lifecycle,IEEE,Conferences,"Learning enabled autonomous systems provide increased capabilities compared to traditional systems. However, the complexity of and probabilistic nature in the underlying methods enabling such capabilities present challenges for current systems engineering processes for assurance, and test, evaluation, verification, and validation (TEVV). This paper provides a preliminary attempt to map recently developed technical approaches in the assurance and TEVV of learning enabled autonomous systems (LEAS) literature to a traditional systems engineering v-model. This mapping categorizes such techniques into three main approaches: development, acquisition, and sustainment. This mapping reviews the latest techniques to develop safe, reliable, and resilient learning enabled autonomous systems, without recommending radical and impractical changes to existing systems engineering processes. By performing this mapping, we seek to assist acquisition professionals by (i) informing comprehensive test and evaluation planning, and (ii) objectively communicating risk to leaders.",https://ieeexplore.ieee.org/document/9763657/,2022 IEEE International Conference on Assured Autonomy (ICAA),22-24 March 2022,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/CISCE55963.2022.9851028,a model-based systems engineering methodology for aircraft air-ground status management,IEEE,Conferences,"A modern civil aircraft is a mega system that includes complicated sub-systems with intricate wire connections and signal exchanges. Air-ground status as a crucial operating parameter for various on-board systems is long discovered to have lacked consistency and incurred a series of coordination problems. In aviation industry, Model-Based Systems Engineering (MBSE) method has been extensively applied so as to manage comprehensive projects, but little research has targeted on using MBSE to improve air-ground status management. This article introduces air-ground status concept, provides air-ground signal design guidelines and proposes a novel MBSE air-ground status management method. Using SysML, the approach is capable of depicting signal propagation and system composition, setting up a universal standard for system designers to follow, rendering easy access to error tracing and problem solving and spurring reliability and stability of signal related aircraft architecture design.",https://ieeexplore.ieee.org/document/9851028/,"2022 4th International Conference on Communications, Information System and Computer Engineering (CISCE)",27-29 May 2022,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/ICNSURV.2019.8735376,a systems engineering approach to appraise cybersecurity risks of cns/atm and avionics systems,IEEE,Conferences,"The aggregate use of complex cyber-physical systems, incorporation of artificial intelligence and autonomy in flight operations has reconceptualised the aerospace cybersecurity paradigm to a new era. Cybersecurity is about the prevention or mitigation of malicious acts undertaken to either compromise systems directly or access valuable information that could be subject to criminal misuse. The cybersecurity of Communication, Navigation, and surveillance / Air Traffic Management (CNS/ATM) systems is aimed at controlling the effects of such threats and enhancing the safety of flying passengers. Besides, the cybers resilience of state-of-the-art CNS/ATM and avionics systems have been impacted by convoluted risk management issues. The security of legacy aviation and airport infrastructure has been curtailed owing to their annexure to public networks, which constitute a significant risk to the aviation industry and the general public as a whole. The existing control mechanisms in place, with the aim of assuring Confidentiality, Integrity, and Availability (CIA) of information, have a multitude of deficiencies in deciding the extent of vulnerability of systems, the severity of impact and subsequently overall risk rating. Weaknesses in some of the security controls which are intended to mitigate the impact of cyber-attacks also contribute towards this issue. A risk-based system engineering solution is envisioned in managing today's cyber-physical systems which may comprise of interwound Systems of Systems (SoS). This paper aims to investigate threats to aviation assets, vulnerabilities of aviation systems and to adopt a holistic approach to mitigate possible risks. The article also recommends a novel methodology to manage risks by enhancing the consistency and accuracy of risk attributes of CNS/ATM systems, avionics and airport systems.",https://ieeexplore.ieee.org/document/8735376/,"2019 Integrated Communications, Navigation and Surveillance Conference (ICNS)",9-11 April 2019,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/ICMLC.2010.5581000,a knowledge-based systems engineering approach for confirming emergent strategy-making quality,IEEE,Conferences,"Systems engineering is an interdisciplinary engineering management approach that evolves and verifies an integrated set of system solutions to satisfy mission objectives in many areas. But literatures less focused the approach to confirm a strategic consistency and quality on enterprise strategy for engineering background managers. Hence, we explore strategy formulation process from organization hierarchy view through systems engineering methods while emergent strategy is being developed. The whole practice experiences would be extended for shared at knowledge management platform in their organization. Finally, we use an example illustrate strategic quality with a stage-gate analyzer through the above method and focus process reengineering on the ongoing NPD process. We believe that a strong linkage would be well constructed between strategy-makers and executors to improve their great foresight toward a business goal.",https://ieeexplore.ieee.org/document/5581000/,2010 International Conference on Machine Learning and Cybernetics,11-14 July 2010,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/AIHAS.1993.410603,a knowledge-based systems engineering tool for global design tradeoffs,IEEE,Conferences,"Exploring tradeoffs is the main activity in design. Therefore, a design environment must assist designers in building software models that can be used in tradeoff studies. The importance of integrating models, providing communication among sets of models, and verifying the correctness and scope of the models are described. The VEHICLES design environment, which is built to support the design of space systems and exemplifies a knowledge-based approach to satisfying these requirements on a design environment, is presented.<>",https://ieeexplore.ieee.org/document/410603/,"1993 4th Annual Conference on AI, Simulation and Planning in High Autonomy Systems",20-22 Sept. 1993,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/SYSOSE.2019.8753880,a systems engineering approach applied to u-space drones: concepts and challenges,IEEE,Conferences,"The last few years, the concept of Unmanned Traffic Management (UTM), adopted in Europe as U-Space by the Warsaw Declaration, has triggered numerous research and development projects on new technologies and procedures enabling Remote Piloted Aircraft Systems (RPAS) flights at low altitudes while respecting other airspace users' safety. As a new field, this U-Space concept can defined as a set of innovative services based on latest technologies such as Artificial Intelligence, or Internet of Things and thus opening up a new range of domain of applications. This emerging field of research requires different approaches in order to design a safe and efficient U-Space. We believe that a Systems of Systems Engineering approach could be suitable to design a functional architecture of U-Space. This paper outlines how a framework of Systems Engineering could be suitable for designing a U-Space for Spain while considering requirements from SESAR Joint Undertaking projects for Single European Sky (SES).",https://ieeexplore.ieee.org/document/8753880/,2019 14th Annual Conference System of Systems Engineering (SoSE),19-22 May 2019,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/CISS56502.2023.10089781,ai/ml systems engineering workbench framework,IEEE,Conferences,"This paper presents the framework of a cloud-based Artificial Intelligence (AI) and Machine Learning (ML) workbench that provides services utilization and performance benchmarking. The framework promotes convenience by enabling a centralized platform for software developers and data scientists to perform federated search across various dataset repositories, choose problem domains, like Natural Language Processing, Speech and Computer Vision, and build/validate models. The benchmarking functionality of this framework helps users evaluate and compare performances of various solutions from multiple cloud service providers. The workbench framework consists of two primary layers. The Services layer which is rendered as an AI as a service (AIaaS) model, providing interfaces that connect users to vision, speech and natural language processing (NLP) services from various AI service providers. The Platform layer is an ML as a Service (MLaaS) model providing access to ML model training, tuning, inference and transfer learning tasks that are fulfillable on multiple cloud ML platforms with preset cloud-based compute instances. Benchmarking is provided on the workbench by comparing accuracy metrics on prediction and detection counts, F1 scores and ML training instances setup and completion time. By utilizing these performance benchmarking features, this framework can assist AI and ML practitioners in making informed judgments when selecting a cloud provider for specific activities. Additionally, it will increase the effectiveness and efficiency of data science training for both teachers and students.",https://ieeexplore.ieee.org/document/10089781/,2023 57th Annual Conference on Information Sciences and Systems (CISS),22-24 March 2023,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/RAMS51492.2024.10457626,arcs-r: mission critical combined reliability and cybersecurity systems engineering analysis,IEEE,Conferences,"This paper explores how reliability analysis and cyber-security analysis can be combined using Artificial Intelligence and Machine Learning (AI/ML), and Large Language Models (LLM) to produce a continuously updated resilience analysis. This is achieved by modeling both the hardware and software of the system, and employing LLMs and AI/ML to continuously search for new software vulnerabilities and feed that information into continuously updating resilience models. A case study of a drone is presented that demonstrates the promise of the proposed method. It is expected that using the proposed method, named Assessment for Risk in Cybersecurity and Safety - Resilience (ARCS-R), will reduce failure rate of mission-critical cyber-physical systems by reducing the likelihood of a potential initiating event causing a prolonged degradation in system performance that impacts system resilience.",https://ieeexplore.ieee.org/document/10457626/,2024 Annual Reliability and Maintainability Symposium (RAMS),22-25 Jan. 2024,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/DASC.1991.177200,artificial expertise in systems engineering (aerospace systems),IEEE,Conferences,"The authors present some conceptual applications and examples for implementing artificial expertise in system development. Systems engineering optimization of computer technology applications can eliminate or redesign engineering processes such that the unified system function focuses on innovation, flexibility, speed, and quality. Artificial expertise for system engineering refers to the application of artificial intelligence expert systems and shared databases to promote the integration of cross-functional engineering groups through technical interchange and control mechanisms. Artificial expertise concepts have been combined with human information processing to develop real-time expert systems providing a foundation for requirements definition, system integration, and requirement verification. Through knowledge and processing function descriptions in terms of abstraction hierarchy, a system state of knowledge and organization has been achieved for specific domains.<>",https://ieeexplore.ieee.org/document/177200/,IEEE/AIAA 10th Digital Avionics Systems Conference,14-17 Oct. 1991,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
,artificial intelligence support for systems engineering,IET,Conferences,"Artificial intelligence provides the means to represent and model domain concepts and provides an associated reasoning mechanism for use in decision making. Systems concepts are useful in dealing with complexity and have provided the means by which models and methodologies can be formalised and used in the solution of problems existing within industry and commerce. A methodology for product and process modelling is outlined, as a prerequisite to specific product configuration and production planning. The methodology is based on an object-based decomposition of component hierarchies, with each identifiable sub-component represented as semantic objects within a systems framework.<>",https://ieeexplore.ieee.org/document/191332/,IEE Colloquium on IT Support for Systems Engineers,28-28 Nov. 1990,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/INES49302.2020.9147168,autoencoder alignment approach to run-time interoperability for system of systems engineering,IEEE,Conferences,"We formulate the challenging problem to establish information interoperability within a system of systems (SoS) as a machine-learning task, where autoencoder embeddings are aligned using message data and metadata to automate message translation. An SoS requires communication and collaboration between otherwise independently operating systems, which are subject to different standards, changing conditions, and hidden assumptions. Thus, interoperability approaches that are based on standardization and symbolic inference will have limited generalization and scalability in the SoS engineering domain. We present simulation experiments performed with message data generated using heating and ventilation system simulations. While the unsupervised learning approach proposed here remains unsolved in general, we obtained up to 75% translation accuracy with autoencoders aligned by back-translation after investigating seven different models with different training protocols and hyperparameters. For comparison, we obtain 100% translation accuracy on the same task with supervised learning, but the need for a labeled dataset makes that approach less interesting. We discuss possibilities to extend the proposed unsupervised learning approach to reach higher translation accuracy.",https://ieeexplore.ieee.org/document/9147168/,2020 IEEE 24th International Conference on Intelligent Engineering Systems (INES),8-10 July 2020,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
10.1109/SNPD.2010.39,co-design of the business and software architectures: a systems engineering and model-driven method,IEEE,Conferences,"Software architecture design plays a crucial role for both the software and business success. Most of the existing methods conduct software architecture design driven by the key software requirements, facing the challenges of creating architectures from scratch and aligning with the high-level business goals. In this paper we propose the BASAD (Business And Software Architecture co-Design) method to facilitate alleviating the difficulty of software architecture design and achieving the high-level business goals. The method addresses the business and software architecture design in an integrated process from a systems engineering perspective, leveraging the SysML and UML modeling languages and the automated model transformation from the business architectures to the software architectures, so that provide pragmatic support for the architecture co-design.",https://ieeexplore.ieee.org/document/5521525/,"2010 11th ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",9-11 June 2010,ieeexplore,systems engineering,'systems engineering' AND ('generative ai' OR 'artificial intelligence')
