paperId,url,title,abstract,venue,year,id,type,status
7f4d129454480cea7683c5ed610c128876b6e12f,https://www.semanticscholar.org/paper/7f4d129454480cea7683c5ed610c128876b6e12f,Technology enablers for the implementation of Industry 4.0 to traditional manufacturing sectors: A review,"The traditional manufacturing sectors (footwear, textiles and clothing, furniture and toys, among others) are based on small and medium enterprises with limited capacity on investing in modern production technologies. Although these sectors rely heavily on product customization and short manufacturing cycles, they are still not able to take full advantage of the fourth industrial revolution. Industry 4.0 surfaced to address the current challenges of shorter product life-cycles, highly customized products and stiff global competition. The new manufacturing paradigm supports the development of modular factory structures within a computerized Internet of Things environment. With Industry 4.0, rigid planning and production processes can be revolutionized. However, the computerization of manufacturing has a high degree of complexity and its implementation tends to be expensive, which goes against the reality of SMEs that power the traditional sectors. This paper reviews the main scientific-technological advances that have been developed in recent years in traditional sectors with the aim of facilitating the transition to the new industry standard.",Comput. Ind.,2021,1,to_check,unknown
c138133577e40f56f64be95ab493a678bc6ee325,https://www.semanticscholar.org/paper/c138133577e40f56f64be95ab493a678bc6ee325,"Measuring User Experience, Usability and Interactivity of a Personalized Mobile Augmented Reality Training System","Innovative technology has been an important part of firefighting, as it advances firefighters’ safety and effectiveness. Prior research has examined the implementation of training systems using augmented reality (AR) in other domains, such as welding, aviation, army, and mathematics, offering significant pedagogical affordances. Nevertheless, firefighting training systems using AR are still an under-researched area. The increasing penetration of AR for training is the driving force behind this study, and the scope is to analyze the main aspects affecting the acceptance of AR by firefighters. The current research uses a technology acceptance model, extended by the external constructs of perceived interactivity and personalization, to consider both the system and individual level. The proposed model was evaluated by a sample of 200 users, and the results show that both the external variables of perceived interactivity and perceived personalization are prerequisite factors in extending the TAM model. The findings reveal that the usability is the strongest predictor of firefighters’ behavioral intentions to use the AR system, followed by the ease of use with smaller, yet meaningful, direct and indirect effects on firefighters’ intentions. The identified acceptance factors help AR developers enhance the firefighters’ experience in training operations.",Sensors,2021,2,to_check,unknown
d325aa9305ec92a75511dff3c5b2cdcc8b6c3953,https://www.semanticscholar.org/paper/d325aa9305ec92a75511dff3c5b2cdcc8b6c3953,Deep Reinforcement Learning with Shallow Controllers: An Experimental Application to PID Tuning,"Deep reinforcement learning (RL) is an optimization-driven framework for producing control strategies for general dynamical systems without explicit reliance on process models. Good results have been reported in simulation. Here we demonstrate the challenges in implementing a state of the art deep RL algorithm on a real physical system. Aspects include the interplay between software and existing hardware; experiment design and sample efficiency; training subject to input constraints; and interpretability of the algorithm and control law. At the core of our approach is the use of a PID controller as the trainable RL policy. In addition to its simplicity, this approach has several appealing features: No additional hardware needs to be added to the control system, since a PID controller can easily be implemented through a standard programmable logic controller; the control law can easily be initialized in a “safe” region of the parameter space; and the final product—a well-tuned PID controller—has a form that practitioners can reason about and deploy with confidence.",ArXiv,2021,3,to_check,unknown
dcbbe1d306b7ef25c2e9c5a5ba1599d79d03909c,https://www.semanticscholar.org/paper/dcbbe1d306b7ef25c2e9c5a5ba1599d79d03909c,Motivational engine with autonomous sub-goal identification for the Multilevel Darwinist Brain,"Abstract This work proposes a motivational system for an autonomous robot that guides the fulfillment of its goals in a developmental manner, discovering sub-goals not only as a way to simplify goal achievement, but as a way to acquire knowledge in an incremental, modular and reusable fashion. This system has been called MotivEn (Motivational Engine) and we have carried out its initial integration within the Multilevel Darwinist Brain (MDB) cognitive architecture. We describe here the main elements of MotivEn and how they improve the current MDB operation. Moreover, we present in detail a specific implementation of MotivEn and the application results obtained in terms of sub-goal identification when applying it in a real robot experiment with the MDB.",BICA 2016,2016,4,to_check,unknown
102f3f5f75401b1a70a6d3af4cf6f5df11ecb925,https://www.semanticscholar.org/paper/102f3f5f75401b1a70a6d3af4cf6f5df11ecb925,Introducing Synaptic Delays in the NEAT Algorithm to Improve Modelling in Cognitive Robotics,"This paper describes and tests an approach to improve the temporal processing capabilities of the neuroevolution of augmenting topologies (NEAT) algorithm. This algorithm is quite popular within the robotics community for the production of trained neural networks without having to determine a priori their size and topology. The main drawback of the traditional NEAT algorithm is that, even though it can implement recurrent synaptic connections, which allow it to perform some time related processing tasks, its capabilities are rather limited, especially when dealing with precise time dependent phenomena. NEAT’s ability to capture the underlying dynamics that correspond to complex time series still has a lot of room for improvement. To address this issue, the paper describes a new implementation of the NEAT algorithm that is able to generate artificial neural networks (ANNs) with trainable time delayed synapses in addition to its previous capacities. We show that this approach, called tao-NEAT improves the behavior of the neural networks obtained when dealing with complex time related processes. Several examples are presented, both dealing with the generation of ANNs that are able to produce complex theoretical signals such as chaotic signals or real data series, as in the case of the monthly number of international airline passengers or monthly $$\hbox {CO}_{2}$$CO2 concentrations. In these examples, t-NEAT clearly improves over the traditional NEAT algorithm in these tasks. A final example of the integration of this approach within a robot cognitive mechanism is also presented, showing the clear improvements it could provide in the modeling required for many cognitive processes.",Neural Processing Letters,2016,5,to_check,unknown
f5255357b82adb03c6c6729fc939bd1b82b22a02,https://www.semanticscholar.org/paper/f5255357b82adb03c6c6729fc939bd1b82b22a02,A weighted fuzzy C-means clustering method with density peak for anomaly detection in IoT-enabled manufacturing process,"Accurate anomaly detection is the premise of production process control and normal execution of production plan. The implementation of Internet of Things (IoT) provides data foundation and guarantee for real-time perception and detection of production state. Taking abundant IoT data as support, a density peak (DP)-weighted fuzzy C-means (WFCM) based clustering method is proposed to detect abnormal situations in production process. Firstly, a features correlation and redundancy measure method based on mutual information (MI) and conditional MI is proposed, unsupervised feature reduction is completed based on the principle of maximum correlation-minimum redundancy. Secondly, a DP-WFCM based clustering model is established to identify clusters with fewer samples to detect production anomalies. DP is used to obtain the initial clustering centers to solve the problem that FCM is sensitive to the initial centers and the clusters number needs to be determined manually in advance. MI-based similarities are introduced as weight coefficients to guide the clustering process, which improves convergence speed and clustering quality. Finally, a real case from an IoT enabled machining workshop is carried out to verify the accuracy and effectiveness of the proposed method in anomaly detection of manufacturing process.",J. Intell. Manuf.,2020,6,to_check,unknown
4d8fa54a23581d052296c31ae955cf711d01210f,https://www.semanticscholar.org/paper/4d8fa54a23581d052296c31ae955cf711d01210f,OFDM symbol identification by an unsupervised learning system under dynamically changing channel effects,"Orthogonal frequency-division multiplexing (OFDM) is one of the most successful digital communication techniques. Nevertheless, the decrease in inter-symbol interference in quadrature amplitude modulation (QAM) over dispersive channels is still challenging. Different researches recently proposed the idea of using unsupervised learning as an alternative to the classic approaches to equalization of OFDM channels. In those purposes, the identification of a received QAM symbol is possible by the comparison of its position on the in-phase/quadrature (IQ) plane relative to the positions of previously arrived symbols, generally processed by the Kohonen’s Self-Organizing Map (SOM) algorithm. This work presents the SOM unsupervised learning method executed on an embedded system applied to QAM symbols identification. The system is implemented on an FPGA, a configurable digital circuit able to meet the low power and parallel process requirements of mobile applications. Also, in order to extend the classical set of experiments to evaluate our system, this paper proposes a theoretical model of the time-varying scheme representing the transition between different channel characteristics, obtained from real measurements available on a public repository. The model is employed to verify our purpose under dynamically both changing and realistic conditions. On the assumption that it is provided enough IQ symbols for the initial training process, the hardware implementation of SOM is able to track and identify the time-varying distorted QAM constellation. No knowledge of channel characteristics is necessary. The system spends only some microseconds at start-up to reach about 100% performance, and no dedicated training phase is needed afterward.",Neural Computing and Applications,2018,7,to_check,unknown
116d6e724d0d15fbb2e84d741477102f9d988ed3,https://www.semanticscholar.org/paper/116d6e724d0d15fbb2e84d741477102f9d988ed3,iCub Whole-Body Control through Force Regulation on Rigid Non-Coplanar Contacts,"This paper details the implementation on the humanoid robot iCub of state-of-the-art algorithms for whole-body control. We regulate the forces between the robot and its surrounding environment to stabilize a desired robot posture. We assume that the forces and torques are exerted on rigid contacts. The validity of this assumption is guaranteed by constraining the contact forces and torques, e.g. the contact forces must belong to the associated friction cones. The implementation of this control strategy requires to estimate the external forces acting on the robot, and the internal joint torques. We then detail algorithms to obtain these estimations when using a robot with an iCub-like sensor set, i.e. distributed six-axis force-torque sensors and whole-body tactile sensors. A general theory for identifying the robot inertial parameters is also presented. From an actuation standpoint, we show how to implement a joint torque control in the case of DC brushless motors. In addition, the coupling mechanism of the iCub torso is investigated. The soundness of the entire control architecture is validated in a real scenario involving the robot iCub balancing and making contacts at both arms.",Front. Robot. AI,2015,8,to_check,unknown
cfc8a362f7f7e7b1bce51caac0db50dfb52b7f13,https://www.semanticscholar.org/paper/cfc8a362f7f7e7b1bce51caac0db50dfb52b7f13,Implementation of biomimetic central pattern generators on field-programmable gate array,"This study is a step towards the design of neuroprostheses using artificial biomimetic neural networks like the central pattern generator (CPG) we could find in the leech’s heartbeat system. We propose a resource-frugal implementation of CPG on a field-programmable gate array (FPGA) platform. Using Izhikevich’s neuron model and short-term plasticity synapse model, our implementation can host and mimic 500 CPGs in real time. Our results have been validated by comparing them to biological data. Our study shows a solid step towards hybridization of biological nervous system and artificial neural networks.",,2015,9,to_check,unknown
fab4b767e3ae70e8e04e991e8d626fe6b3184213,https://www.semanticscholar.org/paper/fab4b767e3ae70e8e04e991e8d626fe6b3184213,Learning Navigation Policies for Mobile Robots in Deep Reinforcement Learning with Random Network Distillation,"Learning navigation policies considers the task of training a model that can find collision-free paths for mobile robots, where various Deep Reinforcement Learning (DRL) methods have been applied with promising results. However, the natural reward function for the task is usually sparse, i.e., obtaining a penalty for the collision and a positive reward for arriving the target position, which makes it difficult to learn. In particular, for some complex navigation environments, it is hard to search a collision-free path by the random exploration, which leads to a rather slow learning speed and solutions with poor performance. In this paper, we propose a DRL based approach to train an end-to-end navigation planner, i.e, the policy neural network, that directly translates the local grid map and the relative goal of the robot into its moving actions. To handle the sparse reward problem, we augment the normal extrinsic reward from the environment with intrinsic reward signals measured by random network distillation (RND). In specific, the intrinsic reward is calculated by two different networks from RND, which encourages the agent to explore a state that has not been seen before. The experimental results show that by augmenting the reward function with intrinsic reward signals by RND, solutions with better performance can be learned more efficiently and more stably in our approach. We also deploy the trained model to a real robot, which can perform collision avoidance in navigation tasks without any parameter tuning. A video of our experiments can be found at https://youtu.be/b1GJrWfO8pw.",ICIAI,2021,10,to_check,unknown
