doi,type,publication,publisher,publication_date,database,title,url,abstract,domain,id,status
10.1007/978-0-387-35602-0_3,to_check,project-academic,"Springer, Boston, MA",25/08/2002 00:00,project-academic,agent based computing,project-academic," Agent-based computing represents an exciting new synthesis for both Artificial Intelligence and, more generally, Computer Science. It has the potential to improve the theory and the practice of modelling, designing and implementing complex computer systems. Yet, to date, there has been little systematic analysis of what makes the agent-based approach such an appealing and powerful computational model. To rectify this situation, this paper aims to tackle exactly this issue. The standpoint of this analysis is the role of agent-based software in solving complex, realworld problems. In particular, it will be argued that the development of robust and scalable software systems requires autonomous agents that can complete their objectives while situated in a dynamic and uncertain environment, that can engage in rich, high-level interactions, and that can operate within flexible organisational structures.",science,1,not included
10.23919/cisti.2017.7975750,to_check,2017 12th Iberian Conference on Information Systems and Technologies (CISTI),IEEE,24/06/2017 00:00,ieeexplore,uav simulator for grown-up people quality of life enhancement,https://ieeexplore.ieee.org/document/7975750/,This paper presents the development of a virtual reality simulator for the management of a UAV (Unmanned Aerial Vehicle) focused on improving the quality of life of grown-up people. The present research has collected characteristics of gestures and physical movements from users made by other related research in order to study the same interaction within a virtual world. Through this research a smaller number of gestures were created improving the user learning curve without affecting the usability. The following implementation uses a client-server architecture composed of 2 Raspberry Pi devices and a Smartphone acting as a server the communication between them was achieved by employing Bluetooth Low Energy technology. The immersive virtual experience is accomplished by using Unity 3D and Google VR tools that allowed the design and display of a playful virtual environment as an approach to promote physical and cognitive skills such as spatial thinking and hand-eye coordination. By performing maneuvers through an aerial circuit filled with obstacles the proposed UAV simulator encourages motor and mental activity while the user is being entertained. The result is the improvement of the user quality of life by avoiding cognitive and physical sedentarism.,autonomous vehicle,2,not included
10.3390/books978-3-03897-092-7,to_check,core,'MDPI AG',01/01/2018 00:00,core,uav or drones for remote sensing applications (volume 1),,"The rapid development and growth of unmanned aerial vehicles (UAVs) as a remote sensing platform, as well as advances in the miniaturization of instrumentation and data systems, have resulted in an increasing uptake of this technology in the environmental and remote sensing science communities. Although tough regulations across the globe may still limit the broader use of UAVs, their use in precision agriculture, ecology, atmospheric research, disaster response biosecurity, ecological and reef monitoring, forestry, fire monitoring, quick response measurements for emergency disaster, Earth science research,volcanic gas sampling, monitoring of gas pipelines, mining plumes, humanitarian observations and biological/chemo-sensing tasks continues to increase. This Special Issue provides a forum for high-quality peer-reviewed papers that broaden the awareness and understanding of UAV developments, applications of UAVs for remote sensing, and associated developments in sensor technology, data processing and communications, and UAV system design and sensing capabilities. This topic encompasses many algorithms and process flows and tools, including: robust vehicle detection in aerial images based on cascaded convolutional neural networks; a stereo dual-channel dynamic programming algorithm for UAV image stitching, as well as seamline determination based on PKGC segmentation for remote sensing image mosaicking; the implementation of an IMU-aided image stacking algorithm in digital cameras; the study of multispectral characteristics at different observation angles, rapid three-dimensional reconstruction for image sequence acquired from UAV cameras; comparisons of Riegl Ricopter UAV Lidar-derived canopy height and DBH with terrestrial Lidar; vision based target finding and inspection of a ground target using a multirotor UAV system; a localization framework for real-time UAV autonomous landing using an on-ground deployed visual approach; curvature continuous and bounded path planning for fixed-wing UAVs; the calculation and identification of the aerodynamic parameters for small-scaled fixed-wing UAVs Several wildfire and agricultural applications of UAVS including: deep learning-based wildfire identification in UAV imagery; postfire vegetation survey campaigns; secure utilization of beacons; and UAVS used in emergency response systems for building fire hazards; observing spring and fall phenology in a deciduous forest with aerial drone imagery; the design and testing of a UAV mapping system for agricultural field surveying; artificial neural network to predict vine water status spatial variability using multispectral information obtained from an unmanned aerial vehicle; automatic hotspot and sun glint detection in UAV multispectral images obtained via uncooled thermal camera calibration and optimization of the photogrammetry process for UAV applications in agriculture; olive yield forecast tool based on the tree canopy geometry using UAS imagery; spatial scale gap filling downscaling method for applications in precision agriculture; automatic co-registration algorithm to remove canopy shaded pixels in UAV-borne thermal images to improve the estimation of crop water stress on vineyards; methodologies for improving plant pest surveillance in vineyards and crops using UAV-based hyperspectral and spatial data; UAV-assisted dynamic clustering of wireless sensors and networks for crop health monitoring. Several applications of UAVS in the fields of environment and conservation including the following: the automatic detection of pre-existing termite mounds through UAS and hyperspectral imagery; aerial mapping of forests affected by pathogens using UAVs; hyperspectral sensors and artificial i ntelligence; coral reef and coral bleaching monitoring; invasive grass and vegetation surveys in remote arid lands. UAVs are also utilized in many other applications: vicarious calibration of SUAS microbolometer temperature imagery for the estimation of radiometric land surface temperature; the documentation of hiking trails in alpine areas; the detection of nuclear sources by UAV teleoperation using a visuo-haptic augmented reality interface; the design of a UAV-embedded microphone array system for sound source localization in outdoor environments; the monitoring of concentrated solar power plants, accuracy analysis of a dam model from drone surveys, mobile sensing and actuation infrastructure, UAV-based frameworks for river hydromorphological characterization; online aerial terrain mapping for ground robot navigation",autonomous vehicle,3,not included
10.1109/tits.2021.3108851,to_check,project-academic,Institute of Electrical and Electronics Engineers (IEEE),06/09/2021 00:00,project-academic,multi objective genetic algorithm for optimizing an elm based driver distraction detection system,project-academic," Driver Assistance Systems (DAS) have been progressively incorporated into commercial vehicles in recent years. All these systems are paving the way for the forthcoming autonomous vehicle which will become a reality in the near future. Existing systems are based on numerous electronic systems with advanced skills, high performances, and high degrees of adaptability and intelligence. As is to be expected, these cutting-edge features require, in most cases, the use of powerful computing platforms. However, the deployment of such platforms is not an easy task, since they have to be integrated in the vehicle where there exist important restrictions regarding size, power consumption and cost. In this sense, every smart proposal aimed at reducing the complexity of these systems without degrading performance, is always a valuable contribution in the field. In this work, we propose a methodology to reduce the dimensionality of a driver distraction recognition system. The methodology is based on a multi-objective genetic algorithm that looks for the minimum set of useful features collected during the driving task and also for the simplest recognition system. The recognition algorithm is an Extreme Learning Machine (ELM) whose simplicity and fast learning procedure make it especially suitable to be used by a Genetic Algorithm which needs to evaluate thousands of candidate solutions. The proposed methodology has been tested with a real-world database collected from different drivers performing an itinerary with an instrumented car. The results obtained validate the proposal as a method to reduce the complexity of a driver distraction recognition system.",autonomous vehicle,4,not included
10.1109/mwc.2020.9085257,to_check,project-academic,IEEE,13/05/2020 00:00,project-academic,artificial intelligence driven fog radio access networks recent advances and future trends,project-academic," The articles in this special section focus on artificial intelligence-driven fog radio access networks. To satisfy the explosively increasing demands of highspeed data applications and access requirements from a massive number of Internet-of-Things (IoT) devices, a paradigm of fog computing-based radio access network (F-RAN) has emerged as a promising evolution path for the fifth generation (5G) radio access networks. By taking full advantage of distributed caching and centralized processing, F-RANs provide great flexibility to satisfy the quality-of-service requirements of various 5G services. With the rapid deployment of 5G communication networks, the application of F-RANs to the envisioned sixth-generation (6G) mobile network has attracted extensive attention from academia, industry, and government agencies. The 6G network progress in enhanced mobile broadband, massive machine-type communications and ultra-reliable and low-latency communications will lead to the fast development of new applications, including augmented reality (AR), virtual reality (VR), holographic communications, vehicle-to-everything (V2X), self-driving cars, massive sensors connective on the ground and several tens of thousands of satellites connective in the sky.",autonomous vehicle,5,not included
10.1109/tiv.2019.2919460,to_check,project-academic,Institute of Electrical and Electronics Engineers (IEEE),28/05/2019 00:00,project-academic,functional safety verification for autonomous ugvs methodology presentation and implementation on a full scale system,project-academic," Autonomous vehicles (AVs) are expected to be on public roads in the near future, but some critical aspects of this reality are yet to be resolved. One of these aspects is the lack of a sufficient safety-performance-verification technique. The existing tools of functional-safety engineering do not provide a comprehensive solution for the verification of artificial intelligence and machine learning. For the verification of this type of algorithms, it has become widely accepted in the recent years that simulation tests should be used. Nevertheless, to the best of our knowledge, no detailed method for how these simulation tests should be performed has yet been suggested. To start tackling this gap, this paper presents a verification methodology based on the statistical testing of AVs’ safety-related functionality in simulated scenarios. Also, presented here is a test-case implementation of the methodology on a full-scale autonomous unmanned ground vehicle (UGV). In this example, the functionality of safe autonomous off-road navigation is verified. It is shown that the statistical performance data that are gathered using simulation can be used to accurately predict the overall safety performance of UGVs in real life. Our intention is that this paper will provide a starting point for the further discussion on the exact way simulation tests shall be used for the safety verification of AVs.",autonomous vehicle,6,not included
10.1007/3-540-63460-6,to_check,project-academic,Springer Berlin Heidelberg,01/01/1997 00:00,project-academic,computer analysis of images and patterns 7th international conference caip 97 kiel germany september 10 12 1997 proceedings,project-academic," Computational complexity reduction in eigenspace approaches.- An algorithm for intrinsic dimensionality estimation.- Fully unsupervised clustering using centre-surround receptive fields with applications to colour-segmentation.- Multi-sensor fusion with Bayesian inference.- MORAL - A vision-based object recognition system for autonomous mobile systems.- Real-time pedestrian tracking in natural scenes.- Non-rigid object recognition using principal component analysis and geometric hashing.- Object identification with surface signatures.- Computing projective and permutation invariants of points and lines.- Point projective and permutation invariants.- Computing 3D projective invariants from points and lines.- 2D ? 2D geometric transformation invariant to arbitrary translations, rotations and scales.- Extraction of filled-in data from colour forms.- Improvement of vessel segmentation by elastically compensated patient motion in digital subtraction angiography images.- Three-dimensional quasi-binary image restoration for confocal microscopy and its application to dendritic trees.- Mosaicing of flattened images from straight homogeneous generalized cylinders.- Well-posedness of linear shape-from-shading problem.- Comparing convex shapes using Minkowski addition.- Deformation of discrete object surfaces.- Non-Archimedean normalized fields in texture analysis tasks.- The Radon transform-based analysis of bidirectional structural textures.- Textures and structural defects.- Self-calibration from the absolute conic on the plane at infinity.- A badly calibrated camera in ego-motion estimation - propagation of uncertainty.- 6DOF calibration of a camera with respect to the wrist of a 5-axis machine tool.- Automated camera calibration and 3D egomotion estimation for augmented reality applications.- Optimally rotation-equivariant directional derivative kernels.- A hierarchical filter scheme for efficient corner detection.- Defect detection on leather by oriented singularities.- Uniqueness of 3D affine reconstruction of lines with affine cameras.- Distortions of stereoscopic visual space and quadratic Cremona transformations.- Self-evaluation for active vision by the geometric information criterion.- Discrete-time rigidity-constrained optical flow.- An iterative spectral-spatial Bayesian labeling approach for unsupervised robust change detection on remotely sensed multispectral imagery.- Contrast enhancement of badly illuminated images based on Gibbs distribution and random walk model.- Adaptive non-linear predictor for lossless image compression.- Beyond standard regularization theory.- Fast stereovision by coherence detection.- Stereo matching using M-estimators.- Robust location based partial correlation.- Optimization of stereo disparity estimation using the instantaneous frequency.- Segmentation from motion: Combining Gabor- and Mallat-wavelets to overcome aperture and correspondence problem.- Contour segmentation with recurrent neural networks of pulse-coding neurons.- Multigrid MRF based picture segmentation with cellular neural networks.- Computing stochastic completion fields in linear-time using a resolution pyramid.- A Bayesian network for 3d object recognition in range data.- Improving the shape recognition performance of a model with Gabor filter representation.- Bayesian decision versus voting for image retrieval.- A structured neural network invariant to cyclic shifts and rotations.- Morphological grain operators for binary images.- A parallel 12-subiteration 3D thinning algorithm to extract medial lines.- Architectural image segmentation using digital watersheds.- Morphological iterative closest point algorithm.- Planning multiple views for 3-D object recognition and pose determination.- Fast and reliable object pose estimation from line correspondences.- Statistical 3-D object localization without segmentation using wavelet analysis.- A real-time monocular vision-based 3D mouse system.- Face recognition by elastic bunch graph matching.- A conditional mixture of neural networks for face detection, applied to locating and tracking an individual speaker.- Lipreading using Fourier transform over time.- Phantom faces for face analysis.- A new hardware structure for implementation of soft morphological filters.- A method for anisotropy analysis of 3D images.- Fast line and rectangle detection by clustering and grouping.- 1st and 2nd order recursive operators for adaptive edge detection.- Smoothing noisy images without destroying predefined feature carriers.- Local subspace method for pattern recognition.- Testing the effectiveness of Non-Linear Rectification on gabor energy.- Neural-like thinning processing.- Detection of the objects with given shape on the grey-valued pictures.- Automatic parameter selection for object recognition using a parallel multiobjective genetic algorithm.- Unsupervised texture segmentation using Hermite transform filters.- Decomposition of the Hadamard matrices and fast Hadamard transform.- A characterization of digital disks by discrete moments.- ""One-step"" short-length DCT algorithms with data representation in the direct sum of the associative algebras.- Character extraction from scene image using fuzzy entropy and rule-based technique.- Facial image recognition using neural networks and genetic algorithms.- An energy minimisation approach to the registration, matching and recognition of images.- ""Error-free"" calculation of the convolution using generalized Mersenne and Fermat transforms over algebraic fields.- A new method of texture binarization.- Parameter optimisation of an image processing system using evolutionary algorithms.- Analysis of learning using segmentation models.- Stereo processing of image data from the Air-Borne CCD-scanner WAAC.- An adaptive method of color road segmentation.- Optical flow detection using a general noise model for gradient constraint.- Algorithmic solution and simulation results for vision-based autonomous mode of a planetary rover.- A framework for feature-based motion recovery in ground plane vehicle navigation.- Terrain reconstruction from multiple views.- Detecting motion independent of the camera movement through a log-polar differential approach.- Coordinate-free camera calibration.- A passive real-time gaze estimation system for human-machine interfaces.- An active vision system for obtaining high resolution depth information.",autonomous vehicle,7,not included
10.1109/icdmw.2019.00123,to_check,2019 International Conference on Data Mining Workshops (ICDMW),IEEE,11/11/2019 00:00,ieeexplore,implementation of mobile-based real-time heart rate variability detection for personalized healthcare,https://ieeexplore.ieee.org/document/8955523/,"The ubiquity of wearable devices together with areas like internet of things, big data and machine learning have promoted the development of solutions for personalized healthcare that use digital sensors. However, there is a lack of an implemented framework that is technically feasible, easily scalable and that provides meaningful variables to be used in applications for translational medicine. This paper describes the implementation and early evaluation of a physiological sensing tool that collects and processes photoplethysmography data from a wearable smartwatch to calculate heart rate variability in real-time. A technical open-source framework is outlined, involving mobile devices for collection of heart rate data, feature extraction and execution of data mining or machine learning algorithms that ultimately deliver mobile health interventions tailored to the users. Eleven volunteers participated in the empirical evaluation that was carried out using an existing mobile virtual reality application for mental health and under controlled slow-paced breathing exercises. The results validated the feasibility of implementation of the proposed framework in the stages of signal acquisition and real-time calculation of heart rate variability (HRV). The analysis of data regarding packet loss, peak detection and overall system performance provided considerations to enhance the real-time calculation of HRV features. Further studies are planned to validate all the stages of the proposed framework.",health,8,included
10.1109/access.2021.3103680,to_check,IEEE Access,IEEE,01/01/2021 00:00,ieeexplore,human centric digital transformation and operator 4.0 for the oil and gas industry,https://ieeexplore.ieee.org/document/9509417/,"Working at an oil and gas facility, such as a drilling rig, production facility, processing facility, or storage facility, involves various challenges, including health and safety risks. It is possible to leverage emerging digital technologies such as smart sensors, wearable or mobile devices, big data analytics, cloud computing, extended reality technologies, robotic systems, and drones to mitigate the challenges faced by oil and gas workers. While these technologies are not new to the oil and gas industry, most of its existing digital transformation initiatives follow business or process-centric approaches, in which the critical driver of the technology adoption is the enhancement of production, efficiency, and revenue. As a result, they may not address the challenges faced by the workers. As oil and gas workers are among the essential assets in the oil and gas industry, it is vital to address the challenges faced by these workers. This paper proposes a human-centric digital transformational framework for the oil and gas industry to deploy existing digital technologies to enhance their workers' health, safety, and working conditions. The paper outlines the critical challenges faced by oilfield workers, introduces a system architecture to implements a human-centric digital transformation, discusses the opportunities of the proposed framework, and summarizes the key impediment for the proposed framework.",health,9,not included
10.1109/icci-cc.2017.8109760,to_check,2017 IEEE 16th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC),IEEE,28/07/2017 00:00,ieeexplore,early diagnosis of mild cognitive impairment: a case study in approaches to inductive-logic programming,https://ieeexplore.ieee.org/document/8109760/,"Recent rapid advances in data collection routines in clinical science have led to a trend of storing patient data in a heterogeneous database. The lack of existing computing tools to enable operability to use machine learning on these heterogeneous data sources is a barrier to the healthcare sciences. Healthcare data is usually complex and highly context-dependent, and it requires modern computational tools to handle the complexity of such data. This study sought to utilize the data collected from virtual reality (VR)-based software and a leap-motion device used for learning in mild cognitive impairment (MCI) cases to enable early detection of MCI by analyzing the classification rules for errors (action slips) based on finger-action transitions when performing instrumental activities of daily living (IADL). Finger motion was recorded as a time-series database. An induction technique known as Inductive-Logic Programming (ILP), which uses logical and clausal language to represent the training data, was then used to discover a concise classification rule using logical programming. We were able to generate rules on how action transitions of the finger in the experiments were related to the pattern of micro-errors that indicate the difference of error regarding the length of the no-motion state of the finger.",health,10,not included
